Oyuncu,Takim,Pozisyon,Uyruk
Fernando Muslera,Galatasaray,Kaleci,Uruguay
Günay Güvenç,Galatasaray,Kaleci,Türkiye
Batuhan Şen,Galatasaray,Kaleci,Türkiye
Jankat Yılmaz,Galatasaray,Kaleci,Türkiye
Atakan Ordu,Galatasaray,Kaleci,Türkiye
Davinson Sánchez,Galatasaray,Stoper,Kolombiya
Victor Nelsson,Galatasaray,Stoper,Danimarka
Abdülkerim Bardakcı,Galatasaray,Stoper,Türkiye
Emin Bayram,Galatasaray,Stoper,Türkiye
Ali Yeşilyurt,Galatasaray,Stoper,Türkiye
Angeliño,Galatasaray,Sol Bek,İspanya
Derrick Köhn,Galatasaray,Sol Bek,Gana
Kazımcan Karataş,Galatasaray,Sol Bek,Türkiye
Sacha Boey,Galatasaray,Sağ Bek,Fransa
Serge Aurier,Galatasaray,Sağ Bek,Fildişi Sahili
Léo Dubois,Galatasaray,Sağ Bek,Fransa
Ali Turap Bülbül,Galatasaray,Sağ Bek,Türkiye
Lucas Torreira,Galatasaray,Ön Libero,Uruguay
Kaan Ayhan,Galatasaray,Ön Libero,Türkiye
Eyüp Aydın,Galatasaray,Ön Libero,Türkiye
Efe Akman,Galatasaray,Ön Libero,Türkiye
Baran Aksaka,Galatasaray,Ön Libero,Türkiye
Tanguy Ndombélé,Galatasaray,Merkez Orta Saha,Fransa
Kerem Demirbay,Galatasaray,Merkez Orta Saha,Almanya
Berkan Kutlu,Galatasaray,Merkez Orta Saha,Türkiye
Sérgio Oliveira,Galatasaray,Merkez Orta Saha,Portekiz
Fredrik Midtsjø,Galatasaray,Merkez Orta Saha,Norveç
Hamza Akman,Galatasaray,Merkez Orta Saha,Türkiye
Gökdeniz Gürpüz,Galatasaray,On Numara,Türkiye
Barış Alper Yılmaz,Galatasaray,Sol Kanat,Türkiye
Kerem Aktürkoğlu,Galatasaray,Sol Kanat,Türkiye
Wilfried Zaha,Galatasaray,Sol Kanat,Fildişi Sahili
Emre Kılınç,Galatasaray,Sol Kanat,Türkiye
Baran Demiroğlu,Galatasaray,Sol Kanat,Türkiye
Caner Doğan,Galatasaray,Sol Kanat,Türkiye
Tetê,Galatasaray,Sağ Kanat,Brezilya
Hakim Ziyech,Galatasaray,Sağ Kanat,Fas
Yunus Akgün,Galatasaray,Sağ Kanat,Türkiye
Olimpiu Moruțan,Galatasaray,Sağ Kanat,Romanya
Yusuf Demir,Galatasaray,Sağ Kanat,Avusturya
Nicolò Zaniolo,Galatasaray,Forvet Arkası,İtalya
Dries Mertens,Galatasaray,Forvet Arkası,Belçika
Mauro Icardi,Galatasaray,Santrafor,Arjantin
Carlos Vinícius,Galatasaray,Santrafor,Brezilya
Cédric Bakambu,Galatasaray,Santrafor,Kongo DC
Halil Dervişoğlu,Galatasaray,Santrafor,Türkiye
Dominik Livakovic,Fenerbahçe,Kaleci,Hırvatistan
Altay Bayındır,Fenerbahçe,Kaleci,Türkiye
İrfan Can Eğribayat,Fenerbahçe,Kaleci,Türkiye
Furkan Akyüz,Fenerbahçe,Kaleci,Türkiye
Doğukan Demir,Fenerbahçe,Kaleci,Türkiye
Ömer Bircan Camcı,Fenerbahçe,Kaleci,Türkiye
Jayden Oosterwolde,Fenerbahçe,Stoper,Hollanda
Çağlar Söyüncü,Fenerbahçe,Stoper,Türkiye
Alexander Djiku,Fenerbahçe,Stoper,Gana
Rodrigo Becão,Fenerbahçe,Stoper,Brezilya
Samet Akaydin,Fenerbahçe,Stoper,Türkiye
Luan Peres,Fenerbahçe,Stoper,Brezilya
Emir Ortakaya,Fenerbahçe,Stoper,Türkiye
Leonardo Bonucci,Fenerbahçe,Stoper,İtalya
Serdar Aziz,Fenerbahçe,Stoper,Türkiye
