OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
3527,Massimo Taibi,AC Milan,1990,Kaleci,İtalya
106923,Sebastiano Rossi,AC Milan,1990,Kaleci,İtalya
180477,Andrea Pazzagli,AC Milan,1990,Kaleci,İtalya
42049,Franco Baresi,AC Milan,1990,Libero,İtalya
228855,Giandomenico Costi,AC Milan,1990,Libero,İtalya
10055,Alessandro Costacurta,AC Milan,1990,Stoper,İtalya
91795,Stefano Nava,AC Milan,1990,Stoper,İtalya
106898,Filippo Galli,AC Milan,1990,Stoper,İtalya
5803,Paolo Maldini,AC Milan,1990,Sol Bek,İtalya
102483,Mauro Tassotti,AC Milan,1990,Sağ Bek,İtalya
214766,Stefano Carobbi,AC Milan,1990,Sağ Bek,İtalya
70667,Frank Rijkaard,AC Milan,1990,Ön Libero,Hollanda
169010,Stefano Salvatori,AC Milan,1990,Ön Libero,İtalya
116679,Carlo Ancelotti,AC Milan,1990,Merkez Orta Saha,İtalya
102474,Roberto Donadoni,AC Milan,1990,Orta Saha Sağ,İtalya
177667,Angelo Carbone,AC Milan,1990,Orta Saha Sağ,İtalya
180479,Gianluca Gaudenzi,AC Milan,1990,Orta Saha Sağ,İtalya
102475,Alberico Evani,AC Milan,1990,Orta Saha Sol,İtalya
101045,Ruud Gullit,AC Milan,1990,On Numara,Hollanda
167574,Giovanni Stroppa,AC Milan,1990,On Numara,İtalya
3524,Marco Simone,AC Milan,1990,Forvet Arkası,İtalya
74471,Marco van Basten,AC Milan,1990,Santrafor,Hollanda
102480,Daniele Massaro,AC Milan,1990,Santrafor,İtalya
180478,Massimo Agostini,AC Milan,1990,Santrafor,İtalya
3151,Carlo Cudicini,AC Milan,1991,Kaleci,İtalya
5935,Francesco Antonioli,AC Milan,1991,Kaleci,İtalya
106923,Sebastiano Rossi,AC Milan,1991,Kaleci,İtalya
42049,Franco Baresi,AC Milan,1991,Libero,İtalya
10055,Alessandro Costacurta,AC Milan,1991,Stoper,İtalya
106898,Filippo Galli,AC Milan,1991,Stoper,İtalya
5803,Paolo Maldini,AC Milan,1991,Sol Bek,İtalya
142521,Enzo Gambaro,AC Milan,1991,Sol Bek,İtalya
102483,Mauro Tassotti,AC Milan,1991,Sağ Bek,İtalya
3390,Demetrio Albertini,AC Milan,1991,Ön Libero,İtalya
70667,Frank Rijkaard,AC Milan,1991,Ön Libero,Hollanda
116679,Carlo Ancelotti,AC Milan,1991,Merkez Orta Saha,İtalya
5952,Diego Fuser,AC Milan,1991,Orta Saha Sağ,İtalya
102474,Roberto Donadoni,AC Milan,1991,Orta Saha Sağ,İtalya
102475,Alberico Evani,AC Milan,1991,Orta Saha Sol,İtalya
101045,Ruud Gullit,AC Milan,1991,On Numara,Hollanda
3524,Marco Simone,AC Milan,1991,Forvet Arkası,İtalya
168196,Giovanni Cornacchini,AC Milan,1991,Santrafor,İtalya
74471,Marco van Basten,AC Milan,1991,Santrafor,Hollanda
102480,Daniele Massaro,AC Milan,1991,Santrafor,İtalya
116741,Aldo Serena,AC Milan,1991,Santrafor,İtalya
3151,Carlo Cudicini,AC Milan,1992,Kaleci,İtalya
5935,Francesco Antonioli,AC Milan,1992,Kaleci,İtalya
106923,Sebastiano Rossi,AC Milan,1992,Kaleci,İtalya
42049,Franco Baresi,AC Milan,1992,Libero,İtalya
10055,Alessandro Costacurta,AC Milan,1992,Stoper,İtalya
91795,Stefano Nava,AC Milan,1992,Stoper,İtalya
106898,Filippo Galli,AC Milan,1992,Stoper,İtalya
5803,Paolo Maldini,AC Milan,1992,Sol Bek,İtalya
142521,Enzo Gambaro,AC Milan,1992,Sol Bek,İtalya
102483,Mauro Tassotti,AC Milan,1992,Sağ Bek,İtalya
3390,Demetrio Albertini,AC Milan,1992,Ön Libero,İtalya
70667,Frank Rijkaard,AC Milan,1992,Ön Libero,Hollanda
116755,Fernando De Napoli,AC Milan,1992,Merkez Orta Saha,İtalya
4227,Stefano Eranio,AC Milan,1992,Orta Saha Sağ,İtalya
102474,Roberto Donadoni,AC Milan,1992,Orta Saha Sağ,İtalya
102475,Alberico Evani,AC Milan,1992,Orta Saha Sol,İtalya
35894,Dejan Savicevic,AC Milan,1992,On Numara,Karadağ
89545,Zvonimir Boban,AC Milan,1992,On Numara,Hırvatistan
101045,Ruud Gullit,AC Milan,1992,On Numara,Hollanda
171685,Gianluigi Lentini,AC Milan,1992,Sağ Kanat,İtalya
3524,Marco Simone,AC Milan,1992,Forvet Arkası,İtalya
17168,Jean-Pierre Papin,AC Milan,1992,Santrafor,Fransa
28015,Davide Dionigi,AC Milan,1992,Santrafor,İtalya
74471,Marco van Basten,AC Milan,1992,Santrafor,Hollanda
102480,Daniele Massaro,AC Milan,1992,Santrafor,İtalya
116741,Aldo Serena,AC Milan,1992,Santrafor,İtalya
106923,Sebastiano Rossi,AC Milan,1993,Kaleci,İtalya
177673,Mario Ielpo,AC Milan,1993,Kaleci,İtalya
42049,Franco Baresi,AC Milan,1993,Libero,İtalya
3154,Marcel Desailly,AC Milan,1993,Stoper,Fransa
10055,Alessandro Costacurta,AC Milan,1993,Stoper,İtalya
91795,Stefano Nava,AC Milan,1993,Stoper,İtalya
106898,Filippo Galli,AC Milan,1993,Stoper,İtalya
5803,Paolo Maldini,AC Milan,1993,Sol Bek,İtalya
177685,Alessandro Orlando,AC Milan,1993,Sol Bek,İtalya
5837,Massimo Oddo,AC Milan,1993,Sağ Bek,İtalya
5940,Christian Panucci,AC Milan,1993,Sağ Bek,İtalya
102483,Mauro Tassotti,AC Milan,1993,Sağ Bek,İtalya
3390,Demetrio Albertini,AC Milan,1993,Ön Libero,İtalya
116755,Fernando De Napoli,AC Milan,1993,Merkez Orta Saha,İtalya
4227,Stefano Eranio,AC Milan,1993,Orta Saha Sağ,İtalya
102474,Roberto Donadoni,AC Milan,1993,Orta Saha Sağ,İtalya
177667,Angelo Carbone,AC Milan,1993,Orta Saha Sağ,İtalya
6071,Francesco Cozza,AC Milan,1993,On Numara,İtalya
35894,Dejan Savicevic,AC Milan,1993,On Numara,Karadağ
89545,Zvonimir Boban,AC Milan,1993,On Numara,Hırvatistan
39667,Brian Laudrup,AC Milan,1993,Sağ Kanat,Danimarka
171685,Gianluigi Lentini,AC Milan,1993,Sağ Kanat,İtalya
3524,Marco Simone,AC Milan,1993,Forvet Arkası,İtalya
16167,Florin Răducioiu,AC Milan,1993,Santrafor,Romanya
17168,Jean-Pierre Papin,AC Milan,1993,Santrafor,Fransa
