OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
574754,Fatih Yılmaz,Adana Demirspor,1990,Kaleci,Türkiye
577969,Abdülkadir Çotala,Adana Demirspor,1990,Kaleci,Türkiye
588019,İrfan Güneş,Adana Demirspor,1990,Kaleci,Türkiye
958278,Mustafa Temurhan,Adana Demirspor,1990,Kaleci,Türkiye
578493,Cengiz Büyükşanalan,Adana Demirspor,1990,Defans,Türkiye
583575,Erol Demirhan,Adana Demirspor,1990,Defans,Türkiye
573983,Ümit Özkalp,Adana Demirspor,1990,Stoper,Türkiye
426958,Muammer Birdal,Adana Demirspor,1990,Sol Bek,Türkiye
577970,Şener Dayı,Adana Demirspor,1990,Sağ Bek,Türkiye
577983,Cüneyt Kazan,Adana Demirspor,1990,Sağ Bek,Türkiye
583576,Mehmet Demirtaş,Adana Demirspor,1990,Sağ Bek,Türkiye
574014,Sedat Varak,Adana Demirspor,1990,Orta Saha,Türkiye
575609,Gürcan Aday,Adana Demirspor,1990,Ön Libero,Türkiye
577974,Salih Ağlamaz,Adana Demirspor,1990,Orta Saha,Türkiye
577975,Erhan Yılmaz,Adana Demirspor,1990,Orta Saha,Türkiye
577978,Fatih Tevek,Adana Demirspor,1990,Orta Saha,Türkiye
577980,Ali Kemal Alataş,Adana Demirspor,1990,Orta Saha,Türkiye
578137,Murat Sönmez,Adana Demirspor,1990,Ön Libero,Türkiye
599156,Ramazan Çavuşoğlu,Adana Demirspor,1990,Orta Saha,Türkiye
637182,Fethi Esin,Adana Demirspor,1990,Orta Saha,Türkiye
958277,İzzet Çetin,Adana Demirspor,1990,Orta Saha,Türkiye
573994,İbrahim Uzunca,Adana Demirspor,1990,Merkez Orta Saha,Türkiye
577976,Muzaffer Cansu,Adana Demirspor,1990,Orta Saha Sağ,Türkiye
576672,Ayhan Akyüz,Adana Demirspor,1990,Orta Saha Sağ,Türkiye
576683,Çetin Kahrıman,Adana Demirspor,1990,On Numara,Türkiye
573991,Hamdi Demirtaş,Adana Demirspor,1990,Santrafor,Türkiye
574004,Faik Demircan,Adana Demirspor,1990,Santrafor,Türkiye
574032,Fevzi Gündoğdu,Adana Demirspor,1990,Santrafor,Türkiye
583570,İbrahim Çolak,Adana Demirspor,1990,Forvet,Türkiye
583571,İsmail Akbaşlı,Adana Demirspor,1990,Santrafor,Türkiye
598871,Erol Azgın,Adana Demirspor,1990,Santrafor,Türkiye
633356,Seyfettin Aykan,Adana Demirspor,1990,Santrafor,Türkiye
343043,Okan Gedikali,Adana Demirspor,1991,Kaleci,Türkiye
574754,Fatih Yılmaz,Adana Demirspor,1991,Kaleci,Türkiye
577969,Abdülkadir Çotala,Adana Demirspor,1991,Kaleci,Türkiye
574018,İsmail Tunaboylu,Adana Demirspor,1991,Defans,Türkiye
577972,Ersin Komaç,Adana Demirspor,1991,Defans,Türkiye
578493,Cengiz Büyükşanalan,Adana Demirspor,1991,Defans,Türkiye
579581,Hakan Koçhan,Adana Demirspor,1991,Defans,Türkiye
214913,Hasan Özdemir,Adana Demirspor,1991,Stoper,Türkiye
573799,Ali Mehmedi,Adana Demirspor,1991,Stoper,Arnavutluk
573983,Ümit Özkalp,Adana Demirspor,1991,Stoper,Türkiye
577971,Cengizhan Köksal,Adana Demirspor,1991,Sol Bek,Türkiye
426958,Muammer Birdal,Adana Demirspor,1991,Sol Bek,Türkiye
572885,Dan Topolinschi,Adana Demirspor,1991,Sol Bek,Romanya
576705,Mehmet Şengüler,Adana Demirspor,1991,Sağ Bek,Türkiye
577970,Şener Dayı,Adana Demirspor,1991,Sağ Bek,Türkiye
577983,Cüneyt Kazan,Adana Demirspor,1991,Sağ Bek,Türkiye
577974,Salih Ağlamaz,Adana Demirspor,1991,Orta Saha,Türkiye
577975,Erhan Yılmaz,Adana Demirspor,1991,Orta Saha,Türkiye
577978,Fatih Tevek,Adana Demirspor,1991,Orta Saha,Türkiye
577980,Ali Kemal Alataş,Adana Demirspor,1991,Orta Saha,Türkiye
577981,Harun Karslı,Adana Demirspor,1991,Orta Saha,Türkiye
578137,Murat Sönmez,Adana Demirspor,1991,Ön Libero,Türkiye
599156,Ramazan Çavuşoğlu,Adana Demirspor,1991,Orta Saha,Türkiye
573994,İbrahim Uzunca,Adana Demirspor,1991,Merkez Orta Saha,Türkiye
577976,Muzaffer Cansu,Adana Demirspor,1991,Orta Saha Sağ,Türkiye
22962,Timuçin Bayazit,Adana Demirspor,1991,Orta Saha Sol,Türkiye
214482,Florian Riza,Adana Demirspor,1991,Santrafor,Arnavutluk
242327,Adnan Gülek,Adana Demirspor,1991,Santrafor,Türkiye
574004,Faik Demircan,Adana Demirspor,1991,Santrafor,Türkiye
574032,Fevzi Gündoğdu,Adana Demirspor,1991,Santrafor,Türkiye
577982,Serkan Gültang,Adana Demirspor,1991,Santrafor,Türkiye
577984,Volkan Gökdemir,Adana Demirspor,1991,Forvet,Türkiye
598871,Erol Azgın,Adana Demirspor,1991,Santrafor,Türkiye
639307,Smail Spahic,Adana Demirspor,1991,Forvet,Bosna-Hersek
7268,Hasan Gültang,Adana Demirspor,1992,Kaleci,Türkiye
574754,Fatih Yılmaz,Adana Demirspor,1992,Kaleci,Türkiye
578493,Cengiz Büyükşanalan,Adana Demirspor,1992,Defans,Türkiye
579581,Hakan Koçhan,Adana Demirspor,1992,Defans,Türkiye
573983,Ümit Özkalp,Adana Demirspor,1992,Stoper,Türkiye
577983,Cüneyt Kazan,Adana Demirspor,1992,Sağ Bek,Türkiye
577974,Salih Ağlamaz,Adana Demirspor,1992,Orta Saha,Türkiye
577975,Erhan Yılmaz,Adana Demirspor,1992,Orta Saha,Türkiye
577978,Fatih Tevek,Adana Demirspor,1992,Orta Saha,Türkiye
577980,Ali Kemal Alataş,Adana Demirspor,1992,Orta Saha,Türkiye
577981,Harun Karslı,Adana Demirspor,1992,Orta Saha,Türkiye
578137,Murat Sönmez,Adana Demirspor,1992,Ön Libero,Türkiye
634801,Gökmen Özcan,Adana Demirspor,1992,Orta Saha,Türkiye
819684,Yücel Kandemir,Adana Demirspor,1992,Orta Saha,Türkiye
958277,İzzet Çetin,Adana Demirspor,1992,Orta Saha,Türkiye
1190678,Ramazan Gülleri,Adana Demirspor,1992,Orta Saha,Türkiye
573994,İbrahim Uzunca,Adana Demirspor,1992,Merkez Orta Saha,Türkiye
22962,Timuçin Bayazit,Adana Demirspor,1992,Orta Saha Sol,Türkiye
583126,Bekir Gülerarslan,Adana Demirspor,1992,Orta Saha Sol,Türkiye
577982,Serkan Gültang,Adana Demirspor,1992,Santrafor,Türkiye
577984,Volkan Gökdemir,Adana Demirspor,1992,Forvet,Türkiye
616441,Nejdet Yaslıoğlu,Adana Demirspor,1992,Forvet,Türkiye
822801,Süleyman Gülaşlar,Adana Demirspor,1992,Forvet,Türkiye
1040766,Levent Şayık,Adana Demirspor,1992,Forvet,Türkiye
932046,İsmail Bartu,Adana Demirspor,1993,Kaleci,Türkiye
573873,Mehmet Tezcan,Adana Demirspor,1993,Kaleci,Türkiye
577969,Abdülkadir Çotala,Adana Demirspor,1993,Kaleci,Türkiye
114622,Ercan Aslankeser,Adana Demirspor,1993,Defans,Türkiye
578493,Cengiz Büyükşanalan,Adana Demirspor,1993,Defans,Türkiye
579581,Hakan Koçhan,Adana Demirspor,1993,Defans,Türkiye
656203,Ahmet Pişkin,Adana Demirspor,1993,Defans,Türkiye
865404,Orhan İnan,Adana Demirspor,1993,Defans,Türkiye
573983,Ümit Özkalp,Adana Demirspor,1993,Stoper,Türkiye
577971,Cengizhan Köksal,Adana Demirspor,1993,Sol Bek,Türkiye
577983,Cüneyt Kazan,Adana Demirspor,1993,Sağ Bek,Türkiye
577975,Erhan Yılmaz,Adana Demirspor,1993,Orta Saha,Türkiye
577978,Fatih Tevek,Adana Demirspor,1993,Orta Saha,Türkiye
577980,Ali Kemal Alataş,Adana Demirspor,1993,Orta Saha,Türkiye
634801,Gökmen Özcan,Adana Demirspor,1993,Orta Saha,Türkiye
635765,Hasan Gelir,Adana Demirspor,1993,Orta Saha,Türkiye
821259,Ömer Şaban,Adana Demirspor,1993,Orta Saha,Türkiye
573994,İbrahim Uzunca,Adana Demirspor,1993,Merkez Orta Saha,Türkiye
22962,Timuçin Bayazit,Adana Demirspor,1993,Orta Saha Sol,Türkiye
574096,Tekin İncebaldır,Adana Demirspor,1993,On Numara,Türkiye
336601,Kayhan Kaynak,Adana Demirspor,1993,Santrafor,Türkiye
114637,Murat Şimşek,Adana Demirspor,1993,Santrafor,Türkiye
214924,Şenol Ulusavaş,Adana Demirspor,1993,Santrafor,Türkiye
577982,Serkan Gültang,Adana Demirspor,1993,Santrafor,Türkiye
577984,Volkan Gökdemir,Adana Demirspor,1993,Forvet,Türkiye
639675,İsmail Orgun,Adana Demirspor,1993,Forvet,Türkiye
1040766,Levent Şayık,Adana Demirspor,1993,Forvet,Türkiye
428588,Arif Peçenek,Adana Demirspor,1994,Kaleci,Türkiye
