OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
570644,Darko Belojevic,Adanaspor,1990,Kaleci,Sırbistan
576706,İsmail Ünal,Adanaspor,1990,Kaleci,Türkiye
576707,Faruk Bahadır,Adanaspor,1990,Kaleci,Türkiye
114626,Nadir Naci Eyinç,Adanaspor,1990,Defans,Türkiye
301693,Eyüp Taş,Adanaspor,1990,Stoper,Türkiye
574089,Güven Sabaz,Adanaspor,1990,Stoper,Türkiye
574091,Burhanettin Turgut,Adanaspor,1990,Stoper,Türkiye
574088,Hakan Azman,Adanaspor,1990,Sol Bek,Türkiye
586374,Serbay Yengel,Adanaspor,1990,Sol Bek,Türkiye
241999,Eren Talu,Adanaspor,1990,Sağ Bek,Türkiye
576705,Mehmet Şengüler,Adanaspor,1990,Sağ Bek,Türkiye
574092,Hasan Sönmez,Adanaspor,1990,Orta Saha,Türkiye
574094,Reşat Yılmaz,Adanaspor,1990,Orta Saha,Türkiye
574098,Bülent Okyaz,Adanaspor,1990,Orta Saha,Türkiye
585059,Faruk Bulut,Adanaspor,1990,Orta Saha,Türkiye
597857,İbrahim Demiryol,Adanaspor,1990,Orta Saha,Türkiye
597918,Fuhat Yüksel,Adanaspor,1990,Orta Saha,Türkiye
574096,Tekin İncebaldır,Adanaspor,1990,On Numara,Türkiye
8687,Orhan Kaynak,Adanaspor,1990,Santrafor,Türkiye
114576,Orhan Kapucu,Adanaspor,1990,Santrafor,Türkiye
180743,Boguslaw Pachelski,Adanaspor,1990,Santrafor,Polonya
218080,Rostislav Jerabek,Adanaspor,1990,Santrafor,Çek Cumhuriyeti
572980,Amir Durgutovic,Adanaspor,1990,Santrafor,Bosna-Hersek
574024,Cihat Metin,Adanaspor,1990,Santrafor,Türkiye
576709,Osman Özdemir,Adanaspor,1990,Santrafor,Türkiye
585057,Akif Güngör,Adanaspor,1990,Forvet,Türkiye
585096,Adnan Avcu,Adanaspor,1990,Forvet,Türkiye
598642,Abdülkerim Afşin,Adanaspor,1990,Forvet,Türkiye
582944,Süleyman Güzel,Adanaspor,1991,Kaleci,Türkiye
667000,Nadir Usta,Adanaspor,1991,Kaleci,Türkiye
827424,Bülent Ergin,Adanaspor,1991,Kaleci,Türkiye
583575,Erol Demirhan,Adanaspor,1991,Defans,Türkiye
666940,Aziz Güleroğlu,Adanaspor,1991,Defans,Türkiye
666941,Cengiz Arık,Adanaspor,1991,Defans,Türkiye
666997,Akın Durgaç,Adanaspor,1991,Defans,Türkiye
827420,Burhan Kara,Adanaspor,1991,Defans,Türkiye
8038,Ünsal Aka,Adanaspor,1991,Stoper,Türkiye
301693,Eyüp Taş,Adanaspor,1991,Stoper,Türkiye
574089,Güven Sabaz,Adanaspor,1991,Stoper,Türkiye
574091,Burhanettin Turgut,Adanaspor,1991,Stoper,Türkiye
574088,Hakan Azman,Adanaspor,1991,Sol Bek,Türkiye
574094,Reşat Yılmaz,Adanaspor,1991,Orta Saha,Türkiye
574098,Bülent Okyaz,Adanaspor,1991,Orta Saha,Türkiye
585059,Faruk Bulut,Adanaspor,1991,Orta Saha,Türkiye
597857,İbrahim Demiryol,Adanaspor,1991,Orta Saha,Türkiye
