OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
3516,Edwin van der Sar,Ajax,1990,Kaleci,Hollanda
101048,Stanley Menzo,Ajax,1990,Kaleci,Hollanda
149382,Dennis van de Poll,Ajax,1990,Kaleci,Hollanda
101044,Danny Blind,Ajax,1990,Libero,Hollanda
3518,Frank de Boer,Ajax,1990,Stoper,Hollanda
149162,Peter Larsson,Ajax,1990,Stoper,İsveç
9858,Michel Kreek,Ajax,1990,Sol Bek,Hollanda
149191,Mark Verkuijl,Ajax,1990,Sol Bek,Hollanda
4375,Michael Reiziger,Ajax,1990,Sağ Bek,Hollanda
14834,Sonny Silooy,Ajax,1990,Sağ Bek,Hollanda
89419,Guus Uhlenbeek,Ajax,1990,Sağ Bek,Hollanda
39671,Jan Wouters,Ajax,1990,Ön Libero,Hollanda
101046,Wim Jonk,Ajax,1990,Ön Libero,Hollanda
107144,Marciano Vink,Ajax,1990,Ön Libero,Hollanda
149289,Jan Gerver,Ajax,1990,Orta Saha,Hollanda
149380,Danny den Ouden,Ajax,1990,Orta Saha,Hollanda
4324,Aron Winter,Ajax,1990,Merkez Orta Saha,Hollanda
4325,Richard Witschge,Ajax,1990,Merkez Orta Saha,Hollanda
3519,Ronald de Boer,Ajax,1990,Orta Saha Sağ,Hollanda
351,Bryan Roy,Ajax,1990,Sağ Kanat,Hollanda
101043,John van 't Schip,Ajax,1990,Sağ Kanat,Hollanda
3187,Dennis Bergkamp,Ajax,1990,Forvet Arkası,Hollanda
3512,Michael Mols,Ajax,1990,Santrafor,Hollanda
107824,Ron Willems,Ajax,1990,Forvet,Hollanda
149175,Stefan Pettersson,Ajax,1990,Santrafor,İsveç
3516,Edwin van der Sar,Ajax,1991,Kaleci,Hollanda
101048,Stanley Menzo,Ajax,1991,Kaleci,Hollanda
149382,Dennis van de Poll,Ajax,1991,Kaleci,Hollanda
101044,Danny Blind,Ajax,1991,Libero,Hollanda
6765,Jeffrey van As,Ajax,1991,Stoper,Hollanda
358,Dick van Burik,Ajax,1991,Stoper,Hollanda
3518,Frank de Boer,Ajax,1991,Stoper,Hollanda
149301,Johnny Hansen,Ajax,1991,Stoper,Danimarka
9858,Michel Kreek,Ajax,1991,Sol Bek,Hollanda
4375,Michael Reiziger,Ajax,1991,Sağ Bek,Hollanda
14834,Sonny Silooy,Ajax,1991,Sağ Bek,Hollanda
89419,Guus Uhlenbeek,Ajax,1991,Sağ Bek,Hollanda
39671,Jan Wouters,Ajax,1991,Ön Libero,Hollanda
101046,Wim Jonk,Ajax,1991,Ön Libero,Hollanda
107144,Marciano Vink,Ajax,1991,Ön Libero,Hollanda
149247,Rob Alflen,Ajax,1991,Ön Libero,Hollanda
4324,Aron Winter,Ajax,1991,Merkez Orta Saha,Hollanda
5758,Edgar Davids,Ajax,1991,Merkez Orta Saha,Hollanda
149294,Alfons Groenendijk,Ajax,1991,Merkez Orta Saha,Hollanda
138314,Tarik Oulida,Ajax,1991,Orta Saha Sol,Fas
351,Bryan Roy,Ajax,1991,Sağ Kanat,Hollanda
101043,John van 't Schip,Ajax,1991,Sağ Kanat,Hollanda
3187,Dennis Bergkamp,Ajax,1991,Forvet Arkası,Hollanda
3512,Michael Mols,Ajax,1991,Santrafor,Hollanda
5601,Dan Petersen,Ajax,1991,Santrafor,Danimarka
102001,John van Loen,Ajax,1991,Santrafor,Hollanda
107824,Ron Willems,Ajax,1991,Forvet,Hollanda
149175,Stefan Pettersson,Ajax,1991,Santrafor,İsveç
3516,Edwin van der Sar,Ajax,1992,Kaleci,Hollanda
101048,Stanley Menzo,Ajax,1992,Kaleci,Hollanda
149382,Dennis van de Poll,Ajax,1992,Kaleci,Hollanda
101044,Danny Blind,Ajax,1992,Libero,Hollanda
358,Dick van Burik,Ajax,1992,Stoper,Hollanda
3518,Frank de Boer,Ajax,1992,Stoper,Hollanda
149301,Johnny Hansen,Ajax,1992,Stoper,Danimarka
9858,Michel Kreek,Ajax,1992,Sol Bek,Hollanda
4375,Michael Reiziger,Ajax,1992,Sağ Bek,Hollanda
14834,Sonny Silooy,Ajax,1992,Sağ Bek,Hollanda
101046,Wim Jonk,Ajax,1992,Ön Libero,Hollanda
107144,Marciano Vink,Ajax,1992,Ön Libero,Hollanda
149247,Rob Alflen,Ajax,1992,Ön Libero,Hollanda
4168,Clarence Seedorf,Ajax,1992,Merkez Orta Saha,Hollanda
5758,Edgar Davids,Ajax,1992,Merkez Orta Saha,Hollanda
