OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
672136,Fatih Çelik,Akhisarspor,1990,Kaleci,Türkiye
1372173,Behram Üstün,Akhisarspor,1990,Defans,Türkiye
911846,Yusuf Güryaprak,Akhisarspor,1990,Orta Saha,Türkiye
29501,Aygün Taşkıran,Akhisarspor,1990,Sol Kanat,Türkiye
829204,Mehmet Özgan,Akhisarspor,1990,Santrafor,Türkiye
672136,Fatih Çelik,Akhisarspor,1991,Kaleci,Türkiye
949051,Mevlüt Okumuş,Akhisarspor,1991,Kaleci,Türkiye
950065,Altınay Çetin,Akhisarspor,1991,Kaleci,Türkiye
896937,Ogün Kundil,Akhisarspor,1991,Defans,Türkiye
911843,Bayram Ali Kaya,Akhisarspor,1991,Defans,Türkiye
869415,Behiç Başatuğrul,Akhisarspor,1991,Sol Bek,Türkiye
830396,Ahmet Nuri Çelik,Akhisarspor,1991,Orta Saha,Türkiye
911846,Yusuf Güryaprak,Akhisarspor,1991,Orta Saha,Türkiye
958722,Ercan Akkan,Akhisarspor,1991,Orta Saha,Türkiye
29501,Aygün Taşkıran,Akhisarspor,1991,Sol Kanat,Türkiye
1252253,Abdulaziz Durmaz,Akhisarspor,1991,Forvet,Türkiye
932046,İsmail Bartu,Akhisarspor,1992,Kaleci,Türkiye
672136,Fatih Çelik,Akhisarspor,1992,Kaleci,Türkiye
959981,Can Kulusoğlu,Akhisarspor,1992,Kaleci,Türkiye
896937,Ogün Kundil,Akhisarspor,1992,Defans,Türkiye
911843,Bayram Ali Kaya,Akhisarspor,1992,Defans,Türkiye
13451,Tolga Doğantez,Akhisarspor,1992,Stoper,Türkiye
922005,Metin İrişli,Akhisarspor,1992,Orta Saha,Türkiye
830396,Ahmet Nuri Çelik,Akhisarspor,1992,Orta Saha,Türkiye
911846,Yusuf Güryaprak,Akhisarspor,1992,Orta Saha,Türkiye
958722,Ercan Akkan,Akhisarspor,1992,Orta Saha,Türkiye
1346085,Tekin Dede,Akhisarspor,1992,Orta Saha,Türkiye
960892,Kamil Dalkara,Akhisarspor,1992,Santrafor,Türkiye
961864,Güngör Özcan,Akhisarspor,1992,Forvet,Türkiye
672136,Fatih Çelik,Akhisarspor,1993,Kaleci,Türkiye
738702,Murat Türkar,Akhisarspor,1993,Kaleci,Türkiye
829205,Adil Yoluk,Akhisarspor,1993,Kaleci,Türkiye
896937,Ogün Kundil,Akhisarspor,1993,Defans,Türkiye
911843,Bayram Ali Kaya,Akhisarspor,1993,Defans,Türkiye
13451,Tolga Doğantez,Akhisarspor,1993,Stoper,Türkiye
911846,Yusuf Güryaprak,Akhisarspor,1993,Orta Saha,Türkiye
949050,Necdet Karakan,Akhisarspor,1993,Orta Saha,Türkiye
949463,Hilmi Bozkurt,Akhisarspor,1993,Orta Saha,Türkiye
896937,Ogün Kundil,Akhisarspor,1994,Defans,Türkiye
672060,Emin Aydın,Akhisarspor,1995,Kaleci,Türkiye
672069,Ogün Yaşar Aydın,Akhisarspor,1995,Orta Saha,Türkiye
672110,İsmail Ege Üsttürk,Akhisarspor,1995,Orta Saha,Türkiye
672089,Hakan Sarı,Akhisarspor,1995,Forvet,Türkiye
823127,İbrahim Peynir,Akhisarspor,1995,Forvet,Türkiye
824153,Fatih Roşan,Akhisarspor,1995,Forvet,Türkiye
918523,Hakan Karahan,Akhisarspor,1995,Forvet,Türkiye
