OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
956894,Candemir Güngör,Amed SK,1991,Orta Saha,Türkiye
822001,Zülfükar Altay,Amed SK,1994,Defans,Türkiye
824605,İbrahim Solmaz,Amed SK,1994,Forvet,Türkiye
867046,Burhanettin Elhakan,Amed SK,1994,Forvet,Türkiye
301680,Çetin İnsel,Amed SK,1995,Orta Saha,Türkiye
822792,Zeyni Çıtak,Amed SK,1995,Orta Saha,Türkiye
114921,Azad Akın,Amed SK,1995,On Numara,Türkiye
1357811,Serdar Nabikoğlu,Amed SK,1996,Defans,Türkiye
712223,Kemal Zeydan,Amed SK,1996,Forvet,Türkiye
1357811,Serdar Nabikoğlu,Amed SK,1997,Defans,Türkiye
712215,Sezai Turcan,Amed SK,1998,Defans,Türkiye
599272,Ergün Koçyiğit,Amed SK,1998,Orta Saha,Türkiye
712215,Sezai Turcan,Amed SK,1999,Defans,Türkiye
1048771,Rıdvan Tulan,Amed SK,1999,Defans,Türkiye
1370714,İlmeddin Ceylan,Amed SK,1999,Defans,Türkiye
1152196,Cengiz Çelebi,Amed SK,1999,Orta Saha,Türkiye
775308,Mesut Yiğiter,Amed SK,2000,Kaleci,Türkiye
1048771,Rıdvan Tulan,Amed SK,2000,Defans,Türkiye
1152196,Cengiz Çelebi,Amed SK,2000,Orta Saha,Türkiye
1372969,Ferat Savaş,Amed SK,2000,Forvet,Türkiye
784920,Metin Kanağı,Amed SK,2001,Libero,Türkiye
1048771,Rıdvan Tulan,Amed SK,2001,Defans,Türkiye
599747,Yaşar Akçura,Amed SK,2001,Santrafor,Türkiye
1060925,Mehmet Şerif Elegel,Amed SK,2001,Forvet,Türkiye
1372969,Ferat Savaş,Amed SK,2001,Forvet,Türkiye
784920,Metin Kanağı,Amed SK,2002,Libero,Türkiye
144611,Oktay Kahraman,Amed SK,2002,Stoper,Türkiye
709262,Hakan Yapıcı,Amed SK,2002,Orta Saha,Türkiye
712184,Ümit Budakın,Amed SK,2002,Orta Saha,Türkiye
1556377,Barış Gürgül,Amed SK,2002,Orta Saha,Türkiye
185748,Hasan Ablak,Amed SK,2002,Orta Saha Sağ,Türkiye
599747,Yaşar Akçura,Amed SK,2002,Santrafor,Türkiye
1357814,Rakan Keleş,Amed SK,2002,Forvet,Türkiye
1326824,Abdulilah Cevheroğlu,Amed SK,2003,Kaleci,Türkiye
784920,Metin Kanağı,Amed SK,2003,Libero,Türkiye
1556375,Rıza Bulanık,Amed SK,2003,Defans,Türkiye
144611,Oktay Kahraman,Amed SK,2003,Stoper,Türkiye
712184,Ümit Budakın,Amed SK,2003,Orta Saha,Türkiye
857178,Tarık Aygün,Amed SK,2003,Orta Saha,Türkiye
1556377,Barış Gürgül,Amed SK,2003,Orta Saha,Türkiye
1194383,Zafer Yılmaz,Amed SK,2004,Kaleci,Türkiye
784920,Metin Kanağı,Amed SK,2004,Libero,Türkiye
144611,Oktay Kahraman,Amed SK,2004,Stoper,Türkiye
709262,Hakan Yapıcı,Amed SK,2004,Orta Saha,Türkiye
1556377,Barış Gürgül,Amed SK,2004,Orta Saha,Türkiye
7230,Erkan Öz,Amed SK,2004,Forvet,Türkiye
662968,Mehmet Emin Kaydı,Amed SK,2005,Defans,Türkiye
1215572,Ömer Faruk Güzel,Amed SK,2005,Defans,Türkiye
144611,Oktay Kahraman,Amed SK,2005,Stoper,Türkiye
712217,Sertaç Küçükbayrak,Amed SK,2005,Orta Saha,Türkiye
144999,Sinan Demir,Amed SK,2005,Merkez Orta Saha,Türkiye
739236,Ömer Tan,Amed SK,2006,Defans,Türkiye
1153831,Yusuf Işık,Amed SK,2006,Defans,Türkiye
99095,Murat Dönmez,Amed SK,2006,Stoper,Türkiye
144611,Oktay Kahraman,Amed SK,2006,Stoper,Türkiye
676001,Oktay Kahraman,Amed SK,2006,Stoper,Türkiye
187093,Fuat Özpenbe,Amed SK,2006,Orta Saha,Türkiye
599522,Levent Gündoğdu,Amed SK,2006,Orta Saha,Türkiye
675999,Memet Babaoğlu,Amed SK,2006,Ön Libero,Türkiye
842038,Mehmet Ramoğlu,Amed SK,2006,Orta Saha,Türkiye
1556377,Barış Gürgül,Amed SK,2006,Orta Saha,Türkiye
144999,Sinan Demir,Amed SK,2006,Merkez Orta Saha,Türkiye
114921,Azad Akın,Amed SK,2006,On Numara,Türkiye
812724,Hasan Batur,Amed SK,2006,Sol Kanat,Türkiye
66598,Hakikat Yıldırım,Amed SK,2006,Santrafor,Türkiye
1190685,Zeynel Abidin Oktay,Amed SK,2006,Forvet,Türkiye
114922,Kürşat Demir,Amed SK,2007,Kaleci,Türkiye
144531,Selçuk Aslan,Amed SK,2007,Kaleci,Türkiye
170266,Tayfun Özdemir,Amed SK,2007,Kaleci,Türkiye
676249,Eren Çelik,Amed SK,2007,Defans,Türkiye
85174,Kemal Karakaş,Amed SK,2007,Stoper,Türkiye
144611,Oktay Kahraman,Amed SK,2007,Stoper,Türkiye
676001,Oktay Kahraman,Amed SK,2007,Stoper,Türkiye
676031,Ömer Konduracıoğlu,Amed SK,2007,Stoper,Türkiye
676248,Cemil Turan,Amed SK,2007,Stoper,Türkiye
144936,Nedim Gül,Amed SK,2007,Sol Bek,Türkiye
169917,Serkan Tanrıseven,Amed SK,2007,Sol Bek,Türkiye
