OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
428588,Arif Peçenek,Ankaragücü,1990,Kaleci,Türkiye
324042,Rade Zalad,Ankaragücü,1990,Kaleci,Sırbistan
576670,Mehmet Arslan,Ankaragücü,1990,Kaleci,Türkiye
6996,Hakan Kutlu,Ankaragücü,1990,Libero,Türkiye
576664,Tarık Üstün,Ankaragücü,1990,Defans,Türkiye
590870,Ahmet Bilginer,Ankaragücü,1990,Defans,Türkiye
92206,Serhat Güller,Ankaragücü,1990,Stoper,Türkiye
299236,Bahaddin Güneş,Ankaragücü,1990,Stoper,Türkiye
576666,Dusan Ajder,Ankaragücü,1990,Stoper,Sırbistan
598143,Mehmet Ali Kökoğlu,Ankaragücü,1990,Stoper,Türkiye
91667,İsa Turan,Ankaragücü,1990,Sol Bek,Türkiye
576665,Erhan Çağlayan,Ankaragücü,1990,Sol Bek,Türkiye
572973,Hayati Soydaş,Ankaragücü,1990,Sağ Bek,Türkiye
573988,Ergün Yücel,Ankaragücü,1990,Orta Saha,Türkiye
574104,Suat Şatır,Ankaragücü,1990,Orta Saha,Türkiye
335771,Abdullah Duran,Ankaragücü,1990,Merkez Orta Saha,Türkiye
576672,Ayhan Akyüz,Ankaragücü,1990,Orta Saha Sağ,Türkiye
576668,Hayrettin Kılıç,Ankaragücü,1990,On Numara,Türkiye
115179,Cengiz Alp,Ankaragücü,1990,Sol Kanat,Türkiye
217783,Sinan Engin,Ankaragücü,1990,Sol Kanat,Türkiye
576671,Beyzat Kaya,Ankaragücü,1990,Sağ Kanat,Türkiye
586287,Vedat Taşdemir,Ankaragücü,1990,Sağ Kanat,Türkiye
457038,Zijad Svrakic,Ankaragücü,1990,Santrafor,Bosna-Hersek
570039,Sead Sabotic,Ankaragücü,1990,Santrafor,Bosna-Hersek
428588,Arif Peçenek,Ankaragücü,1991,Kaleci,Türkiye
324042,Rade Zalad,Ankaragücü,1991,Kaleci,Sırbistan
576670,Mehmet Arslan,Ankaragücü,1991,Kaleci,Türkiye
6996,Hakan Kutlu,Ankaragücü,1991,Libero,Türkiye
576664,Tarık Üstün,Ankaragücü,1991,Defans,Türkiye
590870,Ahmet Bilginer,Ankaragücü,1991,Defans,Türkiye
92206,Serhat Güller,Ankaragücü,1991,Stoper,Türkiye
299236,Bahaddin Güneş,Ankaragücü,1991,Stoper,Türkiye
577996,Mehmet Kalemci,Ankaragücü,1991,Stoper,Türkiye
598143,Mehmet Ali Kökoğlu,Ankaragücü,1991,Stoper,Türkiye
91667,İsa Turan,Ankaragücü,1991,Sol Bek,Türkiye
576665,Erhan Çağlayan,Ankaragücü,1991,Sol Bek,Türkiye
