OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
631132,Çetin Aykut,Antalyaspor,1990,Kaleci,Türkiye
827424,Bülent Ergin,Antalyaspor,1990,Kaleci,Türkiye
1103867,Murat Ayhan Aydın,Antalyaspor,1990,Kaleci,Türkiye
631196,Ahmet Çelikhan,Antalyaspor,1990,Libero,Türkiye
633025,Göksel Kırıkoğlu,Antalyaspor,1990,Defans,Türkiye
1043085,Ali Postacı,Antalyaspor,1990,Defans,Türkiye
1043090,Coşkun Eminoğlu,Antalyaspor,1990,Defans,Türkiye
1043197,Doğan Engin,Antalyaspor,1990,Defans,Türkiye
1059665,Adnan Şimşek,Antalyaspor,1990,Defans,Türkiye
701028,Gökhan Ersoy,Antalyaspor,1990,Stoper,Türkiye
950080,Ahmet Uzun,Antalyaspor,1990,Sağ Bek,Türkiye
223093,Birol Altın,Antalyaspor,1990,Orta Saha,Türkiye
416461,Selman Derven,Antalyaspor,1990,Orta Saha,Türkiye
1043086,Sefa Aydoğar,Antalyaspor,1990,Orta Saha,Türkiye
1043087,Mesut Açan,Antalyaspor,1990,Orta Saha,Türkiye
1043088,Fadıl Davutoğlu,Antalyaspor,1990,Orta Saha,Türkiye
1043093,Sinan Aylak,Antalyaspor,1990,Orta Saha,Türkiye
1494196,Murat Emrullah Poyraz,Antalyaspor,1990,Orta Saha,Türkiye
1067211,Levent Tekne,Antalyaspor,1990,Sol Kanat,Türkiye
586377,Bakir Šalak,Antalyaspor,1990,Santrafor,Bosna-Hersek
594910,Muammer Nurlu,Antalyaspor,1990,Santrafor,Türkiye
714562,Ahmet Kılıç,Antalyaspor,1990,Santrafor,Türkiye
961845,İbrahim Sırcan,Antalyaspor,1990,Forvet,Türkiye
1043089,Mehmet Uğurlu,Antalyaspor,1990,Forvet,Türkiye
1043091,Bülent Çalık,Antalyaspor,1990,Forvet,Türkiye
1043092,Hilmi Okudan,Antalyaspor,1990,Forvet,Türkiye
1043084,Bener Aydınlık,Antalyaspor,1991,Kaleci,Türkiye
4077,Rüştü Reçber,Antalyaspor,1991,Kaleci,Türkiye
631132,Çetin Aykut,Antalyaspor,1991,Kaleci,Türkiye
1103867,Murat Ayhan Aydın,Antalyaspor,1991,Kaleci,Türkiye
631196,Ahmet Çelikhan,Antalyaspor,1991,Libero,Türkiye
633025,Göksel Kırıkoğlu,Antalyaspor,1991,Defans,Türkiye
892650,Bülent Demir,Antalyaspor,1991,Defans,Türkiye
701028,Gökhan Ersoy,Antalyaspor,1991,Stoper,Türkiye
148257,İskender Eroğlu,Antalyaspor,1991,Sol Bek,Türkiye
633026,Ahmet Sönmez,Antalyaspor,1991,Sağ Bek,Türkiye
950080,Ahmet Uzun,Antalyaspor,1991,Sağ Bek,Türkiye
223093,Birol Altın,Antalyaspor,1991,Orta Saha,Türkiye
416461,Selman Derven,Antalyaspor,1991,Orta Saha,Türkiye
633532,Kadir Durum,Antalyaspor,1991,Orta Saha,Türkiye
894574,Muzaffer Yüzbaş,Antalyaspor,1991,Orta Saha,Türkiye
959538,Zeki Yakupoğlu,Antalyaspor,1991,Orta Saha,Türkiye
1043087,Mesut Açan,Antalyaspor,1991,Orta Saha,Türkiye
1494196,Murat Emrullah Poyraz,Antalyaspor,1991,Orta Saha,Türkiye
