OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
3141,David Seaman,Arsenal,1990,Kaleci,İngiltere
91920,Jim Leighton,Arsenal,1990,Kaleci,İskoçya
28238,Tony Adams,Arsenal,1990,Stoper,İngiltere
104109,David O'Leary,Arsenal,1990,Stoper,İrlanda
106893,Steve Bould,Arsenal,1990,Stoper,İngiltere
176749,Andy Linighan,Arsenal,1990,Stoper,İngiltere
176755,Colin Pates,Arsenal,1990,Stoper,İngiltere
3648,Nigel Winterburn,Arsenal,1990,Sol Bek,İngiltere
28240,Lee Dixon,Arsenal,1990,Sağ Bek,İngiltere
170393,Sigurdur Jónsson,Arsenal,1990,Ön Libero,İzlanda
176739,Kwame Ampadu,Arsenal,1990,Orta Saha,İrlanda
3208,Ray Parlour,Arsenal,1990,Merkez Orta Saha,İngiltere
101098,Anders Limpar,Arsenal,1990,Merkez Orta Saha,İsveç
176686,Paul Davis,Arsenal,1990,Merkez Orta Saha,İngiltere
107235,Michael Thomas,Arsenal,1990,Orta Saha Sağ,İngiltere
175583,David Rocastle,Arsenal,1990,On Numara,İngiltere
3250,Paul Merson,Arsenal,1990,On Numara,İngiltere
176691,Perry Groves,Arsenal,1990,Sol Kanat,İngiltere
176694,Martin Hayes,Arsenal,1990,Sol Kanat,İngiltere
3468,Kevin Campbell,Arsenal,1990,Santrafor,İngiltere
101327,Alan Smith,Arsenal,1990,Santrafor,İngiltere
3820,Alan Miller,Arsenal,1991,Kaleci,İngiltere
3141,David Seaman,Arsenal,1991,Kaleci,İngiltere
28238,Tony Adams,Arsenal,1991,Stoper,İngiltere
104109,David O'Leary,Arsenal,1991,Stoper,İrlanda
106893,Steve Bould,Arsenal,1991,Stoper,İngiltere
176749,Andy Linighan,Arsenal,1991,Stoper,İngiltere
176755,Colin Pates,Arsenal,1991,Stoper,İngiltere
3648,Nigel Winterburn,Arsenal,1991,Sol Bek,İngiltere
142511,Pål Lydersen,Arsenal,1991,Sol Bek,Norveç
28240,Lee Dixon,Arsenal,1991,Sağ Bek,İngiltere
176752,Steve Morrow,Arsenal,1991,Sağ Bek,Kuzey İrlanda
170393,Sigurdur Jónsson,Arsenal,1991,Ön Libero,İzlanda
3208,Ray Parlour,Arsenal,1991,Merkez Orta Saha,İngiltere
101098,Anders Limpar,Arsenal,1991,Merkez Orta Saha,İsveç
176686,Paul Davis,Arsenal,1991,Merkez Orta Saha,İngiltere
176745,David Hillier,Arsenal,1991,Merkez Orta Saha,İngiltere
107235,Michael Thomas,Arsenal,1991,Orta Saha Sağ,İngiltere
175583,David Rocastle,Arsenal,1991,On Numara,İngiltere
3250,Paul Merson,Arsenal,1991,On Numara,İngiltere
176691,Perry Groves,Arsenal,1991,Sol Kanat,İngiltere
145782,Jimmy Carter,Arsenal,1991,Sağ Kanat,İngiltere
3238,Andy Cole,Arsenal,1991,Santrafor,İngiltere
3468,Kevin Campbell,Arsenal,1991,Santrafor,İngiltere
104637,Ian Wright,Arsenal,1991,Santrafor,İngiltere
101327,Alan Smith,Arsenal,1991,Santrafor,İngiltere
3820,Alan Miller,Arsenal,1992,Kaleci,İngiltere
3141,David Seaman,Arsenal,1992,Kaleci,İngiltere
28238,Tony Adams,Arsenal,1992,Stoper,İngiltere
3184,Martin Keown,Arsenal,1992,Stoper,İngiltere
104109,David O'Leary,Arsenal,1992,Stoper,İrlanda
106893,Steve Bould,Arsenal,1992,Stoper,İngiltere
106912,Scott Marshall,Arsenal,1992,Stoper,İskoçya
176749,Andy Linighan,Arsenal,1992,Stoper,İngiltere
176755,Colin Pates,Arsenal,1992,Stoper,İngiltere
3648,Nigel Winterburn,Arsenal,1992,Sol Bek,İngiltere
106913,Gavin McGowan,Arsenal,1992,Sol Bek,İngiltere
142511,Pål Lydersen,Arsenal,1992,Sol Bek,Norveç
28240,Lee Dixon,Arsenal,1992,Sağ Bek,İngiltere
176752,Steve Morrow,Arsenal,1992,Sağ Bek,Kuzey İrlanda
3208,Ray Parlour,Arsenal,1992,Merkez Orta Saha,İngiltere
92130,John Jensen,Arsenal,1992,Merkez Orta Saha,Danimarka
101098,Anders Limpar,Arsenal,1992,Merkez Orta Saha,İsveç
175991,Ian Selley,Arsenal,1992,Merkez Orta Saha,İngiltere
176686,Paul Davis,Arsenal,1992,Merkez Orta Saha,İngiltere
176745,David Hillier,Arsenal,1992,Merkez Orta Saha,İngiltere
3250,Paul Merson,Arsenal,1992,On Numara,İngiltere
21265,Neil Heaney,Arsenal,1992,Sol Kanat,İngiltere
176691,Perry Groves,Arsenal,1992,Sol Kanat,İngiltere
145782,Jimmy Carter,Arsenal,1992,Sağ Kanat,İngiltere
222105,Mark Flatts,Arsenal,1992,Sağ Kanat,İngiltere
3468,Kevin Campbell,Arsenal,1992,Santrafor,İngiltere
9221,Paul Dickov,Arsenal,1992,Santrafor,İskoçya
101327,Alan Smith,Arsenal,1992,Santrafor,İngiltere
104637,Ian Wright,Arsenal,1992,Santrafor,İngiltere
3820,Alan Miller,Arsenal,1993,Kaleci,İngiltere
3141,David Seaman,Arsenal,1993,Kaleci,İngiltere
63710,Jim Will,Arsenal,1993,Kaleci,İskoçya
28238,Tony Adams,Arsenal,1993,Stoper,İngiltere
176749,Andy Linighan,Arsenal,1993,Stoper,İngiltere
106893,Steve Bould,Arsenal,1993,Stoper,İngiltere
3184,Martin Keown,Arsenal,1993,Stoper,İngiltere
3648,Nigel Winterburn,Arsenal,1993,Sol Bek,İngiltere
142511,Pål Lydersen,Arsenal,1993,Sol Bek,Norveç
28240,Lee Dixon,Arsenal,1993,Sağ Bek,İngiltere
176752,Steve Morrow,Arsenal,1993,Sağ Bek,Kuzey İrlanda
176686,Paul Davis,Arsenal,1993,Merkez Orta Saha,İngiltere
102491,Eddie McGoldrick,Arsenal,1993,Merkez Orta Saha,İrlanda
101098,Anders Limpar,Arsenal,1993,Merkez Orta Saha,İsveç
92130,John Jensen,Arsenal,1993,Merkez Orta Saha,Danimarka
176745,David Hillier,Arsenal,1993,Merkez Orta Saha,İngiltere
175991,Ian Selley,Arsenal,1993,Merkez Orta Saha,İngiltere
3208,Ray Parlour,Arsenal,1993,Merkez Orta Saha,İngiltere
3250,Paul Merson,Arsenal,1993,On Numara,İngiltere
21265,Neil Heaney,Arsenal,1993,Sol Kanat,İngiltere
145782,Jimmy Carter,Arsenal,1993,Sağ Kanat,İngiltere
222105,Mark Flatts,Arsenal,1993,Sağ Kanat,İngiltere
3468,Kevin Campbell,Arsenal,1993,Santrafor,İngiltere
104637,Ian Wright,Arsenal,1993,Santrafor,İngiltere
101327,Alan Smith,Arsenal,1993,Santrafor,İngiltere
9221,Paul Dickov,Arsenal,1993,Santrafor,İskoçya
3141,David Seaman,Arsenal,1994,Kaleci,İngiltere
13778,Vince Bartram,Arsenal,1994,Kaleci,İngiltere
98144,Lee Harper,Arsenal,1994,Kaleci,İngiltere
28238,Tony Adams,Arsenal,1994,Stoper,İngiltere
176749,Andy Linighan,Arsenal,1994,Stoper,İngiltere
106893,Steve Bould,Arsenal,1994,Stoper,İngiltere
3184,Martin Keown,Arsenal,1994,Stoper,İngiltere
106912,Scott Marshall,Arsenal,1994,Stoper,İskoçya
3648,Nigel Winterburn,Arsenal,1994,Sol Bek,İngiltere
142511,Pål Lydersen,Arsenal,1994,Sol Bek,Norveç
106913,Gavin McGowan,Arsenal,1994,Sol Bek,İngiltere
28240,Lee Dixon,Arsenal,1994,Sağ Bek,İngiltere
176752,Steve Morrow,Arsenal,1994,Sağ Bek,Kuzey İrlanda
176686,Paul Davis,Arsenal,1994,Merkez Orta Saha,İngiltere
102491,Eddie McGoldrick,Arsenal,1994,Merkez Orta Saha,İrlanda
4123,Stefan Schwarz,Arsenal,1994,Merkez Orta Saha,İsveç
92130,John Jensen,Arsenal,1994,Merkez Orta Saha,Danimarka
176745,David Hillier,Arsenal,1994,Merkez Orta Saha,İngiltere
175991,Ian Selley,Arsenal,1994,Merkez Orta Saha,İngiltere
3208,Ray Parlour,Arsenal,1994,Merkez Orta Saha,İngiltere
10400,Stephen Hughes,Arsenal,1994,Merkez Orta Saha,İngiltere
222104,Adrian Clarke,Arsenal,1994,Orta Saha Sol,İngiltere
3250,Paul Merson,Arsenal,1994,On Numara,İngiltere
152223,Glenn Helder,Arsenal,1994,Sol Kanat,Hollanda
145782,Jimmy Carter,Arsenal,1994,Sağ Kanat,İngiltere
222105,Mark Flatts,Arsenal,1994,Sağ Kanat,İngiltere
3468,Kevin Campbell,Arsenal,1994,Santrafor,İngiltere
104637,Ian Wright,Arsenal,1994,Santrafor,İngiltere
101327,Alan Smith,Arsenal,1994,Santrafor,İngiltere
3094,John Hartson,Arsenal,1994,Santrafor,Galler
9221,Paul Dickov,Arsenal,1994,Santrafor,İskoçya
14068,Paul Shaw,Arsenal,1994,Santrafor,İngiltere
173696,Chris Kiwomya,Arsenal,1994,Santrafor,İngiltere
3141,David Seaman,Arsenal,1995,Kaleci,İngiltere
13778,Vince Bartram,Arsenal,1995,Kaleci,İngiltere
98144,Lee Harper,Arsenal,1995,Kaleci,İngiltere
28238,Tony Adams,Arsenal,1995,Stoper,İngiltere
106893,Steve Bould,Arsenal,1995,Stoper,İngiltere
176749,Andy Linighan,Arsenal,1995,Stoper,İngiltere
3184,Martin Keown,Arsenal,1995,Stoper,İngiltere
106912,Scott Marshall,Arsenal,1995,Stoper,İskoçya
13733,Matthew Rose,Arsenal,1995,Stoper,İngiltere
3648,Nigel Winterburn,Arsenal,1995,Sol Bek,İngiltere
106913,Gavin McGowan,Arsenal,1995,Sol Bek,İngiltere
28240,Lee Dixon,Arsenal,1995,Sağ Bek,İngiltere
176752,Steve Morrow,Arsenal,1995,Sağ Bek,Kuzey İrlanda
4123,Stefan Schwarz,Arsenal,1995,Merkez Orta Saha,İsveç
3208,Ray Parlour,Arsenal,1995,Merkez Orta Saha,İngiltere
176745,David Hillier,Arsenal,1995,Merkez Orta Saha,İngiltere
92130,John Jensen,Arsenal,1995,Merkez Orta Saha,Danimarka
102491,Eddie McGoldrick,Arsenal,1995,Merkez Orta Saha,İrlanda
175991,Ian Selley,Arsenal,1995,Merkez Orta Saha,İngiltere
10400,Stephen Hughes,Arsenal,1995,Merkez Orta Saha,İngiltere
222104,Adrian Clarke,Arsenal,1995,Orta Saha Sol,İngiltere
101318,David Platt,Arsenal,1995,On Numara,İngiltere
3250,Paul Merson,Arsenal,1995,On Numara,İngiltere
152223,Glenn Helder,Arsenal,1995,Sol Kanat,Hollanda
222105,Mark Flatts,Arsenal,1995,Sağ Kanat,İngiltere
3187,Dennis Bergkamp,Arsenal,1995,Forvet Arkası,Hollanda
104637,Ian Wright,Arsenal,1995,Santrafor,İngiltere
3094,John Hartson,Arsenal,1995,Santrafor,Galler
173696,Chris Kiwomya,Arsenal,1995,Santrafor,İngiltere
9221,Paul Dickov,Arsenal,1995,Santrafor,İskoçya
14068,Paul Shaw,Arsenal,1995,Santrafor,İngiltere
28241,John Lukic,Arsenal,1996,Kaleci,İngiltere
3141,David Seaman,Arsenal,1996,Kaleci,İngiltere
13778,Vince Bartram,Arsenal,1996,Kaleci,İngiltere
98144,Lee Harper,Arsenal,1996,Kaleci,İngiltere
28238,Tony Adams,Arsenal,1996,Stoper,İngiltere
106893,Steve Bould,Arsenal,1996,Stoper,İngiltere
176749,Andy Linighan,Arsenal,1996,Stoper,İngiltere
3184,Martin Keown,Arsenal,1996,Stoper,İngiltere
106912,Scott Marshall,Arsenal,1996,Stoper,İskoçya
13733,Matthew Rose,Arsenal,1996,Stoper,İngiltere
3648,Nigel Winterburn,Arsenal,1996,Sol Bek,İngiltere
106913,Gavin McGowan,Arsenal,1996,Sol Bek,İngiltere
28240,Lee Dixon,Arsenal,1996,Sağ Bek,İngiltere
176752,Steve Morrow,Arsenal,1996,Sağ Bek,Kuzey İrlanda
3183,Patrick Vieira,Arsenal,1996,Ön Libero,Fransa
101115,Rémi Garde,Arsenal,1996,Ön Libero,Fransa
3208,Ray Parlour,Arsenal,1996,Merkez Orta Saha,İngiltere
176745,David Hillier,Arsenal,1996,Merkez Orta Saha,İngiltere
102491,Eddie McGoldrick,Arsenal,1996,Merkez Orta Saha,İrlanda
175991,Ian Selley,Arsenal,1996,Merkez Orta Saha,İngiltere
10400,Stephen Hughes,Arsenal,1996,Merkez Orta Saha,İngiltere
222104,Adrian Clarke,Arsenal,1996,Orta Saha Sol,İngiltere
101318,David Platt,Arsenal,1996,On Numara,İngiltere
3250,Paul Merson,Arsenal,1996,On Numara,İngiltere
152223,Glenn Helder,Arsenal,1996,Sol Kanat,Hollanda
3187,Dennis Bergkamp,Arsenal,1996,Forvet Arkası,Hollanda
104637,Ian Wright,Arsenal,1996,Santrafor,İngiltere
3226,Nicolas Anelka,Arsenal,1996,Santrafor,Fransa
3094,John Hartson,Arsenal,1996,Santrafor,Galler
173696,Chris Kiwomya,Arsenal,1996,Santrafor,İngiltere
9221,Paul Dickov,Arsenal,1996,Santrafor,İskoçya
