OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
170660,Lee Butler,Aston Villa,1990,Kaleci,İngiltere
193806,Nigel Spink,Aston Villa,1990,Kaleci,İngiltere
98530,Kent Nielsen,Aston Villa,1990,Stoper,Danimarka
102492,Paul McGrath,Aston Villa,1990,Stoper,İrlanda
177220,Derek Mountfield,Aston Villa,1990,Stoper,İngiltere
222638,Andy Comyn,Aston Villa,1990,Stoper,İngiltere
222640,Bernie Gallacher,Aston Villa,1990,Sol Bek,İskoçya
222641,Stuart Gray,Aston Villa,1990,Sol Bek,İngiltere
13784,Neil Cox,Aston Villa,1990,Sağ Bek,İngiltere
222639,Kevin Gage,Aston Villa,1990,Sağ Bek,İngiltere
222687,Chris Price,Aston Villa,1990,Sağ Bek,İngiltere
222649,Gareth Williams,Aston Villa,1990,Orta Saha,İngiltere
193796,Gordon Cowans,Aston Villa,1990,Merkez Orta Saha,İngiltere
222489,Mark Blake,Aston Villa,1990,Merkez Orta Saha,İngiltere
193795,Paul Birch,Aston Villa,1990,Orta Saha Sağ,İngiltere
101318,David Platt,Aston Villa,1990,On Numara,İngiltere
101323,Tony Daley,Aston Villa,1990,Sağ Kanat,İngiltere
222637,Nigel Callaghan,Aston Villa,1990,Sağ Kanat,İngiltere
3223,Dwight Yorke,Aston Villa,1990,Santrafor,Trinidad ve Tobago
15447,Tony Cascarino,Aston Villa,1990,Santrafor,İrlanda
20761,Martin Carruthers,Aston Villa,1990,Santrafor,İngiltere
130312,Peter Withe,Aston Villa,1990,Santrafor,İngiltere
222643,Ian Olney,Aston Villa,1990,Santrafor,İngiltere
222644,Ian Ormondroyd,Aston Villa,1990,Santrafor,İngiltere
222646,Gary Penrice,Aston Villa,1990,Santrafor,İngiltere
230934,Neil Davis,Aston Villa,1990,Santrafor,İngiltere
176019,Les Sealey,Aston Villa,1991,Kaleci,İngiltere
3249,Mark Bosnich,Aston Villa,1991,Kaleci,Avustralya
4237,Michael Oakes,Aston Villa,1991,Kaleci,İngiltere
193806,Nigel Spink,Aston Villa,1991,Kaleci,İngiltere
3247,Ugo Ehiogu,Aston Villa,1991,Stoper,İngiltere
98530,Kent Nielsen,Aston Villa,1991,Stoper,Danimarka
102492,Paul McGrath,Aston Villa,1991,Stoper,İrlanda
177220,Derek Mountfield,Aston Villa,1991,Stoper,İngiltere
222308,Shaun Teale,Aston Villa,1991,Stoper,İngiltere
3839,Steve Staunton,Aston Villa,1991,Sol Bek,İrlanda
222733,Bryan Small,Aston Villa,1991,Sol Bek,İngiltere
13784,Neil Cox,Aston Villa,1991,Sağ Bek,İngiltere
106795,Earl Barrett,Aston Villa,1991,Sağ Bek,İngiltere
117233,Dariusz Kubicki,Aston Villa,1991,Sağ Bek,Polonya
222687,Chris Price,Aston Villa,1991,Sağ Bek,İngiltere
102500,Alan McLoughlin,Aston Villa,1991,Merkez Orta Saha,İrlanda
234,Matthias Breitkreutz,Aston Villa,1991,Merkez Orta Saha,Almanya
107796,Garry Parker,Aston Villa,1991,Merkez Orta Saha,İngiltere
109495,Kevin Richardson,Aston Villa,1991,Merkez Orta Saha,İngiltere
193796,Gordon Cowans,Aston Villa,1991,Merkez Orta Saha,İngiltere
222489,Mark Blake,Aston Villa,1991,Merkez Orta Saha,İngiltere
223447,Paul Mortimer,Aston Villa,1991,Merkez Orta Saha,İngiltere
64,Stefan Beinlich,Aston Villa,1991,On Numara,Almanya
49585,David Farrell,Aston Villa,1991,Sol Kanat,İngiltere
222292,Steve Froggatt,Aston Villa,1991,Sol Kanat,İngiltere
101323,Tony Daley,Aston Villa,1991,Sağ Kanat,İngiltere
200738,Dalian Atkinson,Aston Villa,1991,Santrafor,İngiltere
222304,Cyrille Regis,Aston Villa,1991,Santrafor,İngiltere
3223,Dwight Yorke,Aston Villa,1991,Santrafor,Trinidad ve Tobago
20761,Martin Carruthers,Aston Villa,1991,Santrafor,İngiltere
222643,Ian Olney,Aston Villa,1991,Santrafor,İngiltere
222644,Ian Ormondroyd,Aston Villa,1991,Santrafor,İngiltere
222646,Gary Penrice,Aston Villa,1991,Santrafor,İngiltere
230934,Neil Davis,Aston Villa,1991,Santrafor,İngiltere
176019,Les Sealey,Aston Villa,1992,Kaleci,İngiltere
4237,Michael Oakes,Aston Villa,1992,Kaleci,İngiltere
193806,Nigel Spink,Aston Villa,1992,Kaleci,İngiltere
3249,Mark Bosnich,Aston Villa,1992,Kaleci,Avustralya
222308,Shaun Teale,Aston Villa,1992,Stoper,İngiltere
102492,Paul McGrath,Aston Villa,1992,Stoper,İrlanda
3247,Ugo Ehiogu,Aston Villa,1992,Stoper,İngiltere
222733,Bryan Small,Aston Villa,1992,Sol Bek,İngiltere
3839,Steve Staunton,Aston Villa,1992,Sol Bek,İrlanda
13784,Neil Cox,Aston Villa,1992,Sağ Bek,İngiltere
106795,Earl Barrett,Aston Villa,1992,Sağ Bek,İngiltere
117233,Dariusz Kubicki,Aston Villa,1992,Sağ Bek,Polonya
234,Matthias Breitkreutz,Aston Villa,1992,Merkez Orta Saha,Almanya
107796,Garry Parker,Aston Villa,1992,Merkez Orta Saha,İngiltere
109495,Kevin Richardson,Aston Villa,1992,Merkez Orta Saha,İngiltere
222489,Mark Blake,Aston Villa,1992,Merkez Orta Saha,İngiltere
102488,Ray Houghton,Aston Villa,1992,Orta Saha Sağ,İrlanda
64,Stefan Beinlich,Aston Villa,1992,On Numara,Almanya
49585,David Farrell,Aston Villa,1992,Sol Kanat,İngiltere
222292,Steve Froggatt,Aston Villa,1992,Sol Kanat,İngiltere
101323,Tony Daley,Aston Villa,1992,Sağ Kanat,İngiltere
200738,Dalian Atkinson,Aston Villa,1992,Santrafor,İngiltere
222304,Cyrille Regis,Aston Villa,1992,Santrafor,İngiltere
20761,Martin Carruthers,Aston Villa,1992,Santrafor,İngiltere
92213,Dean Saunders,Aston Villa,1992,Santrafor,Galler
116148,Frank McAvennie,Aston Villa,1992,Santrafor,İskoçya
3223,Dwight Yorke,Aston Villa,1992,Santrafor,Trinidad ve Tobago
193806,Nigel Spink,Aston Villa,1993,Kaleci,İngiltere
3249,Mark Bosnich,Aston Villa,1993,Kaleci,Avustralya
4237,Michael Oakes,Aston Villa,1993,Kaleci,İngiltere
222308,Shaun Teale,Aston Villa,1993,Stoper,İngiltere
102492,Paul McGrath,Aston Villa,1993,Stoper,İrlanda
3247,Ugo Ehiogu,Aston Villa,1993,Stoper,İngiltere
3839,Steve Staunton,Aston Villa,1993,Sol Bek,İrlanda
222733,Bryan Small,Aston Villa,1993,Sol Bek,İngiltere
106795,Earl Barrett,Aston Villa,1993,Sağ Bek,İngiltere
13784,Neil Cox,Aston Villa,1993,Sağ Bek,İngiltere
117233,Dariusz Kubicki,Aston Villa,1993,Sağ Bek,Polonya
109495,Kevin Richardson,Aston Villa,1993,Merkez Orta Saha,İngiltere
107796,Garry Parker,Aston Villa,1993,Merkez Orta Saha,İngiltere
102498,Andy Townsend,Aston Villa,1993,Merkez Orta Saha,İrlanda
193796,Gordon Cowans,Aston Villa,1993,Merkez Orta Saha,İngiltere
234,Matthias Breitkreutz,Aston Villa,1993,Merkez Orta Saha,Almanya
102488,Ray Houghton,Aston Villa,1993,Orta Saha Sağ,İrlanda
64,Stefan Beinlich,Aston Villa,1993,On Numara,Almanya
222292,Steve Froggatt,Aston Villa,1993,Sol Kanat,İngiltere
49585,David Farrell,Aston Villa,1993,Sol Kanat,İngiltere
101323,Tony Daley,Aston Villa,1993,Sağ Kanat,İngiltere
200738,Dalian Atkinson,Aston Villa,1993,Santrafor,İngiltere
