OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
3523,Fabrizio Ferron,Atalanta,1990,Kaleci,İtalya
120533,Davide Pinato,Atalanta,1990,Kaleci,İtalya
243068,Mirko Guerrieri,Atalanta,1990,Kaleci,İtalya
244283,Claudio Maretti,Atalanta,1990,Defans,İtalya
294192,Renato Paolo Marchesi,Atalanta,1990,Defans,İtalya
88295,Nicola Boselli,Atalanta,1990,Stoper,İtalya
216657,Tebaldo Bigliardi,Atalanta,1990,Stoper,İtalya
222988,Domenico Progna,Atalanta,1990,Stoper,İtalya
223001,Claudio Vertova,Atalanta,1990,Stoper,İtalya
223013,Marco Monti,Atalanta,1990,Stoper,İtalya
222984,Luigino Pasciullo,Atalanta,1990,Sol Bek,İtalya
106220,Sergio Porrini,Atalanta,1990,Sağ Bek,İtalya
222992,Renzo Contratto,Atalanta,1990,Sağ Bek,İtalya
199545,Roberto Bordin,Atalanta,1990,Ön Libero,İtalya
218177,Valter Bonacina,Atalanta,1990,Ön Libero,İtalya
22247,Mirco Poloni,Atalanta,1990,Merkez Orta Saha,İtalya
140425,Stefano De Angelis,Atalanta,1990,Merkez Orta Saha,İtalya
222990,Glenn Strömberg,Atalanta,1990,Merkez Orta Saha,İsveç
223007,Fabrizio Catelli,Atalanta,1990,Merkez Orta Saha,İtalya
160215,Pierluigi Orlandini,Atalanta,1990,Orta Saha Sağ,İtalya
222994,Tiziano De Patre,Atalanta,1990,Orta Saha Sol,İtalya
222998,Eligio Nicolini,Atalanta,1990,On Numara,İtalya
223004,Giovanni Bonavita,Atalanta,1990,Sol Kanat,İtalya
10367,Claudio Caniggia,Atalanta,1990,Sağ Kanat,Arjantin
223015,Carlo Perrone,Atalanta,1990,Sağ Kanat,İtalya
7275,Filippo Maniero,Atalanta,1990,Santrafor,İtalya
222767,Evair,Atalanta,1990,Santrafor,Brezilya
223014,Ulisse Paleni,Atalanta,1990,Forvet,İtalya
223018,Antonio Rizzolo,Atalanta,1990,Forvet,İtalya
3523,Fabrizio Ferron,Atalanta,1991,Kaleci,İtalya
6196,Tiziano Ramon,Atalanta,1991,Kaleci,İtalya
223011,Astutillo Malgioglio,Atalanta,1991,Kaleci,İtalya
254946,Pier Angelo Brianza,Atalanta,1991,Kaleci,İtalya
173433,Mauro Valentini,Atalanta,1991,Defans,San Marino
88295,Nicola Boselli,Atalanta,1991,Stoper,İtalya
216657,Tebaldo Bigliardi,Atalanta,1991,Stoper,İtalya
223020,Stefano Sottili,Atalanta,1991,Stoper,İtalya
257397,Mauro Valentini,Atalanta,1991,Stoper,İtalya
222984,Luigino Pasciullo,Atalanta,1991,Sol Bek,İtalya
223021,Emanuele Tresoldi,Atalanta,1991,Sol Bek,İtalya
106220,Sergio Porrini,Atalanta,1991,Sağ Bek,İtalya
223009,Carlo Cornacchia,Atalanta,1991,Sağ Bek,İtalya
199545,Roberto Bordin,Atalanta,1991,Ön Libero,İtalya
22247,Mirco Poloni,Atalanta,1991,Merkez Orta Saha,İtalya
222971,Riccardo Bracaloni,Atalanta,1991,Merkez Orta Saha,İtalya
222990,Glenn Strömberg,Atalanta,1991,Merkez Orta Saha,İsveç
223012,Giuseppe Minaudo,Atalanta,1991,Merkez Orta Saha,İtalya
160215,Pierluigi Orlandini,Atalanta,1991,Orta Saha Sağ,İtalya
222994,Tiziano De Patre,Atalanta,1991,Orta Saha Sol,İtalya
222998,Eligio Nicolini,Atalanta,1991,On Numara,İtalya
10367,Claudio Caniggia,Atalanta,1991,Sağ Kanat,Arjantin
223015,Carlo Perrone,Atalanta,1991,Sağ Kanat,İtalya
223016,Federico Pisani,Atalanta,1991,Forvet Arkası,İtalya
222987,Lamberto Piovanelli,Atalanta,1991,Santrafor,İtalya
223003,Careca Bianchesi,Atalanta,1991,Santrafor,Brezilya
223008,Claudio Clementi,Atalanta,1991,Santrafor,İtalya
3523,Fabrizio Ferron,Atalanta,1992,Kaleci,İtalya
4294,Marco Ambrosio,Atalanta,1992,Kaleci,İtalya
120533,Davide Pinato,Atalanta,1992,Kaleci,İtalya
173433,Mauro Valentini,Atalanta,1992,Defans,San Marino
223108,Claudio Mascheretti,Atalanta,1992,Defans,İtalya
5747,Paolo Montero,Atalanta,1992,Stoper,Uruguay
17149,Simone Pavan,Atalanta,1992,Stoper,İtalya
216657,Tebaldo Bigliardi,Atalanta,1992,Stoper,İtalya
257397,Mauro Valentini,Atalanta,1992,Stoper,İtalya
222984,Luigino Pasciullo,Atalanta,1992,Sol Bek,İtalya
223021,Emanuele Tresoldi,Atalanta,1992,Sol Bek,İtalya
223103,Maurizio Codispoti,Atalanta,1992,Sol Bek,İtalya
106220,Sergio Porrini,Atalanta,1992,Sağ Bek,İtalya
5748,Alessio Tacchinardi,Atalanta,1992,Ön Libero,İtalya
117634,Alemão,Atalanta,1992,Ön Libero,Brezilya
199545,Roberto Bordin,Atalanta,1992,Ön Libero,İtalya
216814,Oscar Magoni,Atalanta,1992,Ön Libero,İtalya
223104,Stefano De Agostini,Atalanta,1992,Ön Libero,İtalya
249023,Matteo Capecchi,Atalanta,1992,Orta Saha,İtalya
22247,Mirco Poloni,Atalanta,1992,Merkez Orta Saha,İtalya
223012,Giuseppe Minaudo,Atalanta,1992,Merkez Orta Saha,İtalya
102212,Leonardo Rodríguez,Atalanta,1992,On Numara,Arjantin
223015,Carlo Perrone,Atalanta,1992,Sağ Kanat,İtalya
223111,Roberto Rambaudi,Atalanta,1992,Sağ Kanat,İtalya
223016,Federico Pisani,Atalanta,1992,Forvet Arkası,İtalya
6078,Gianluca Savoldi,Atalanta,1992,Santrafor,İtalya
15272,Maurizio Ganz,Atalanta,1992,Santrafor,İtalya
102182,Iván Valenciano,Atalanta,1992,Santrafor,Kolombiya
3523,Fabrizio Ferron,Atalanta,1993,Kaleci,İtalya
4294,Marco Ambrosio,Atalanta,1993,Kaleci,İtalya
120533,Davide Pinato,Atalanta,1993,Kaleci,İtalya
173433,Mauro Valentini,Atalanta,1993,Defans,San Marino
