OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
179572,Josu Lobato,Athletic Bilbao,1990,Kaleci,İspanya
154600,Patxi Iru,Athletic Bilbao,1990,Kaleci,İspanya
51451,Kike Burgos,Athletic Bilbao,1990,Kaleci,İspanya
101566,Rafael Alkorta,Athletic Bilbao,1990,Stoper,İspanya
150658,Patxi Salinas,Athletic Bilbao,1990,Stoper,İspanya
118351,Genar Andrinua,Athletic Bilbao,1990,Stoper,İspanya
154605,Loren Juarros,Athletic Bilbao,1990,Stoper,İspanya
154650,Oskar Tabuenka,Athletic Bilbao,1990,Stoper,İspanya
154622,Jesús Merino,Athletic Bilbao,1990,Stoper,İspanya
7622,Aitor Larrazabal,Athletic Bilbao,1990,Sol Bek,İspanya
154615,Andoni Lakabeg,Athletic Bilbao,1990,Sağ Bek,İspanya
154585,Eduardo Estibariz,Athletic Bilbao,1990,Sağ Bek,İspanya
154588,Luis Fernando,Athletic Bilbao,1990,Orta Saha,İspanya
154618,Javi Luke,Athletic Bilbao,1990,Orta Saha,İspanya
7635,Josu Urrutia,Athletic Bilbao,1990,Ön Libero,İspanya
154567,David Billabona,Athletic Bilbao,1990,Merkez Orta Saha,İspanya
154640,Patxi Rípodas,Athletic Bilbao,1990,Merkez Orta Saha,İspanya
154584,Xabier Eskurza,Athletic Bilbao,1990,Merkez Orta Saha,İspanya
150648,Txetxu Gallego,Athletic Bilbao,1990,Merkez Orta Saha,İspanya
154601,Lutxo Iturrino,Athletic Bilbao,1990,Orta Saha Sağ,İspanya
150649,Ander Garitano,Athletic Bilbao,1990,Orta Saha Sol,İspanya
150665,Ismael Urtubi,Athletic Bilbao,1990,Orta Saha Sol,İspanya
150667,Ernesto Valverde,Athletic Bilbao,1990,Santrafor,İspanya
154621,Ricardo Mendiguren,Athletic Bilbao,1990,Santrafor,İspanya
154655,Jon Uribarrena,Athletic Bilbao,1990,Forvet,İspanya
154576,Crescencio Cuéllar,Athletic Bilbao,1990,Santrafor,İspanya
51451,Kike Burgos,Athletic Bilbao,1991,Kaleci,İspanya
154600,Patxi Iru,Athletic Bilbao,1991,Kaleci,İspanya
154591,Asier García,Athletic Bilbao,1991,Defans,İspanya
154562,Andoni Ayarza,Athletic Bilbao,1991,Defans,İspanya
118351,Genar Andrinua,Athletic Bilbao,1991,Stoper,İspanya
150658,Patxi Salinas,Athletic Bilbao,1991,Stoper,İspanya
101566,Rafael Alkorta,Athletic Bilbao,1991,Stoper,İspanya
154650,Oskar Tabuenka,Athletic Bilbao,1991,Stoper,İspanya
154589,José Manuel Galdames,Athletic Bilbao,1991,Stoper,İspanya
154622,Jesús Merino,Athletic Bilbao,1991,Stoper,İspanya
7622,Aitor Larrazabal,Athletic Bilbao,1991,Sol Bek,İspanya
150670,Luis de la Fuente,Athletic Bilbao,1991,Sol Bek,İspanya
154615,Andoni Lakabeg,Athletic Bilbao,1991,Sağ Bek,İspanya
154585,Eduardo Estibariz,Athletic Bilbao,1991,Sağ Bek,İspanya
7635,Josu Urrutia,Athletic Bilbao,1991,Ön Libero,İspanya
154618,Javi Luke,Athletic Bilbao,1991,Orta Saha,İspanya
154588,Luis Fernando,Athletic Bilbao,1991,Orta Saha,İspanya
154584,Xabier Eskurza,Athletic Bilbao,1991,Merkez Orta Saha,İspanya
154567,David Billabona,Athletic Bilbao,1991,Merkez Orta Saha,İspanya
154640,Patxi Rípodas,Athletic Bilbao,1991,Merkez Orta Saha,İspanya
150649,Ander Garitano,Athletic Bilbao,1991,Orta Saha Sol,İspanya
150665,Ismael Urtubi,Athletic Bilbao,1991,Orta Saha Sol,İspanya
150419,Cuco Ziganda,Athletic Bilbao,1991,Santrafor,İspanya
150667,Ernesto Valverde,Athletic Bilbao,1991,Santrafor,İspanya
154621,Ricardo Mendiguren,Athletic Bilbao,1991,Santrafor,İspanya
29119,Juanjo Valencia,Athletic Bilbao,1992,Kaleci,İspanya
51451,Kike Burgos,Athletic Bilbao,1992,Kaleci,İspanya
179572,Josu Lobato,Athletic Bilbao,1992,Kaleci,İspanya
154591,Asier García,Athletic Bilbao,1992,Defans,İspanya
154562,Andoni Ayarza,Athletic Bilbao,1992,Defans,İspanya
118351,Genar Andrinua,Athletic Bilbao,1992,Stoper,İspanya
101566,Rafael Alkorta,Athletic Bilbao,1992,Stoper,İspanya
154589,José Manuel Galdames,Athletic Bilbao,1992,Stoper,İspanya
154650,Oskar Tabuenka,Athletic Bilbao,1992,Stoper,İspanya
154582,Txutxi,Athletic Bilbao,1992,Stoper,İspanya
7622,Aitor Larrazabal,Athletic Bilbao,1992,Sol Bek,İspanya
150670,Luis de la Fuente,Athletic Bilbao,1992,Sol Bek,İspanya
179575,Goyo,Athletic Bilbao,1992,Sol Bek,İspanya
154615,Andoni Lakabeg,Athletic Bilbao,1992,Sağ Bek,İspanya
154585,Eduardo Estibariz,Athletic Bilbao,1992,Sağ Bek,İspanya
7628,Carlos García,Athletic Bilbao,1992,Ön Libero,İspanya
7635,Josu Urrutia,Athletic Bilbao,1992,Ön Libero,İspanya
154618,Javi Luke,Athletic Bilbao,1992,Orta Saha,İspanya
