OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
131614,Abel Resino,Atletico Madrid,1990,Kaleci,İspanya
310570,Ángel Mejías,Atletico Madrid,1990,Kaleci,İspanya
104047,Juanma López,Atletico Madrid,1990,Stoper,İspanya
150645,Patxi Ferreira,Atletico Madrid,1990,Stoper,İspanya
173139,Roberto Solozábal,Atletico Madrid,1990,Stoper,İspanya
253986,Juanito Rodríguez,Atletico Madrid,1990,Stoper,İspanya
173136,Toni Muñoz,Atletico Madrid,1990,Sol Bek,İspanya
178738,Juan Carlos,Atletico Madrid,1990,Sol Bek,İspanya
254096,Pedro,Atletico Madrid,1990,Sol Bek,İspanya
7370,Juan Carlos Aguilera,Atletico Madrid,1990,Sağ Bek,İspanya
117607,Tomás Reñones,Atletico Madrid,1990,Sağ Bek,İspanya
7489,Donato,Atletico Madrid,1990,Ön Libero,İspanya
130036,Antonio Orejuela,Atletico Madrid,1990,Orta Saha,İspanya
154877,Pizo Gómez,Atletico Madrid,1990,Orta Saha,İspanya
173141,Juan Vizcaíno,Atletico Madrid,1990,Ön Libero,İspanya
253504,Alfredo Santaelena,Atletico Madrid,1990,Orta Saha,İspanya
121098,Julio Prieto,Atletico Madrid,1990,Merkez Orta Saha,İspanya
8025,Bernd Schuster,Atletico Madrid,1990,On Numara,Almanya
27705,Futre,Atletico Madrid,1990,Sol Kanat,Portekiz
79969,Gerhard Rodax,Atletico Madrid,1990,Santrafor,Avusturya
135736,Manolo,Atletico Madrid,1990,Santrafor,İspanya
135738,Baltazar,Atletico Madrid,1990,Santrafor,Brezilya
221878,Manolo Alfaro,Atletico Madrid,1990,Santrafor,İspanya
253212,Juan Sabas,Atletico Madrid,1990,Santrafor,İspanya
131614,Abel Resino,Atletico Madrid,1991,Kaleci,İspanya
257759,Diego,Atletico Madrid,1991,Kaleci,İspanya
310570,Ángel Mejías,Atletico Madrid,1991,Kaleci,İspanya
104047,Juanma López,Atletico Madrid,1991,Stoper,İspanya
150645,Patxi Ferreira,Atletico Madrid,1991,Stoper,İspanya
173139,Roberto Solozábal,Atletico Madrid,1991,Stoper,İspanya
253986,Juanito Rodríguez,Atletico Madrid,1991,Stoper,İspanya
7675,Miquel Soler,Atletico Madrid,1991,Sol Bek,İspanya
173136,Toni Muñoz,Atletico Madrid,1991,Sol Bek,İspanya
