OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
583568,Kürşad Küçükkayalar,Balıkesirspor,1990,Kaleci,Türkiye
892999,Mesut Dilsöz,Balıkesirspor,1990,Defans,Türkiye
932056,Gökhan Tetik,Balıkesirspor,1990,Defans,Türkiye
632063,Murat Bölükbaşı,Balıkesirspor,1990,Orta Saha,Türkiye
893000,İsmet Gümüş,Balıkesirspor,1990,Orta Saha,Türkiye
932217,Ali Efe,Balıkesirspor,1990,Orta Saha,Türkiye
953751,Ayvaz Öztürk,Balıkesirspor,1990,Orta Saha,Türkiye
889539,Sancar Kirazlı,Balıkesirspor,1990,Sol Kanat,Türkiye
932216,Okan Atay,Balıkesirspor,1990,Forvet,Türkiye
593421,Hakan Yalçın,Balıkesirspor,1990,Forvet,Türkiye
830434,İlhan Doğru,Balıkesirspor,1990,Forvet,Türkiye
950114,Osman Karadeniz,Balıkesirspor,1990,Santrafor,Türkiye
1340395,Mücahit Bozdemir,Balıkesirspor,1990,Santrafor,Türkiye
324012,Veysel Beşik,Balıkesirspor,1991,Kaleci,Türkiye
583568,Kürşad Küçükkayalar,Balıkesirspor,1991,Kaleci,Türkiye
1359823,Ali Bayrak,Balıkesirspor,1991,Kaleci,Türkiye
892999,Mesut Dilsöz,Balıkesirspor,1991,Defans,Türkiye
894499,Biran Erarslan,Balıkesirspor,1991,Defans,Türkiye
932056,Gökhan Tetik,Balıkesirspor,1991,Defans,Türkiye
1395983,Tayfun Kansoy,Balıkesirspor,1991,Defans,Türkiye
7179,Ali Ravcı,Balıkesirspor,1991,Stoper,Türkiye
632063,Murat Bölükbaşı,Balıkesirspor,1991,Orta Saha,Türkiye
953751,Ayvaz Öztürk,Balıkesirspor,1991,Orta Saha,Türkiye
616011,Fatih Parmaksız,Balıkesirspor,1991,Orta Saha Sağ,Türkiye
889539,Sancar Kirazlı,Balıkesirspor,1991,Sol Kanat,Türkiye
932216,Okan Atay,Balıkesirspor,1991,Forvet,Türkiye
714562,Ahmet Kılıç,Balıkesirspor,1991,Santrafor,Türkiye
918475,Erkan Akgönül,Balıkesirspor,1991,Forvet,Türkiye
949407,Hasan Yilmaz,Balıkesirspor,1991,Forvet,Türkiye
1340395,Mücahit Bozdemir,Balıkesirspor,1991,Santrafor,Türkiye
324012,Veysel Beşik,Balıkesirspor,1992,Kaleci,Türkiye
598398,Nail Tuncak,Balıkesirspor,1992,Kaleci,Türkiye
830632,Menderes Sunkar,Balıkesirspor,1992,Kaleci,Türkiye
1359823,Ali Bayrak,Balıkesirspor,1992,Kaleci,Türkiye
576697,İmdat Yılmaz,Balıkesirspor,1992,Defans,Türkiye
892999,Mesut Dilsöz,Balıkesirspor,1992,Defans,Türkiye
894499,Biran Erarslan,Balıkesirspor,1992,Defans,Türkiye
932056,Gökhan Tetik,Balıkesirspor,1992,Defans,Türkiye
3379,Emre Aşık,Balıkesirspor,1992,Stoper,Türkiye
574089,Güven Sabaz,Balıkesirspor,1992,Stoper,Türkiye
894501,Hasip Ertürk,Balıkesirspor,1992,Sağ Bek,Türkiye
717667,Can Cangök,Balıkesirspor,1992,Orta Saha,Türkiye
583127,Yılmaz İşler,Balıkesirspor,1992,Orta Saha,Türkiye
632063,Murat Bölükbaşı,Balıkesirspor,1992,Orta Saha,Türkiye
