OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
8117,Andoni Zubizarreta,Barcelona,1990,Kaleci,İspanya
134927,Carles Busquets,Barcelona,1990,Kaleci,İspanya
7940,Ronald Koeman,Barcelona,1990,Libero,Hollanda
134926,José Ramón Alexanko,Barcelona,1990,Libero,İspanya
173941,Nando,Barcelona,1990,Stoper,İspanya
7675,Miquel Soler,Barcelona,1990,Sol Bek,İspanya
117597,Julio Alberto,Barcelona,1990,Sol Bek,İspanya
3152,Albert Ferrer,Barcelona,1990,Sağ Bek,İspanya
159966,Luis López Rekarte,Barcelona,1990,Sağ Bek,İspanya
5950,Pep Guardiola,Barcelona,1990,Ön Libero,İspanya
8128,Eusebio,Barcelona,1990,Ön Libero,İspanya
214127,Urbano Ortega,Barcelona,1990,Ön Libero,İspanya
104046,Guillermo Amor,Barcelona,1990,Merkez Orta Saha,İspanya
150650,Jon Andoni Goikoetxea,Barcelona,1990,Orta Saha Sağ,İspanya
7935,José Mari Bakero,Barcelona,1990,On Numara,İspanya
8023,Michael Laudrup,Barcelona,1990,On Numara,Danimarka
7938,Hristo Stoichkov,Barcelona,1990,Sol Kanat,Bulgaristan
29111,Antonio Pinilla,Barcelona,1990,Sol Kanat,İspanya
8141,Julio Salinas,Barcelona,1990,Santrafor,İspanya
214138,Paco Clos,Barcelona,1990,Santrafor,İspanya
8117,Andoni Zubizarreta,Barcelona,1991,Kaleci,İspanya
134927,Carles Busquets,Barcelona,1991,Kaleci,İspanya
7940,Ronald Koeman,Barcelona,1991,Libero,Hollanda
134926,José Ramón Alexanko,Barcelona,1991,Libero,İspanya
7676,Miguel Ángel Nadal,Barcelona,1991,Stoper,İspanya
173941,Nando,Barcelona,1991,Stoper,İspanya
267783,Ricardo Serna,Barcelona,1991,Stoper,İspanya
178738,Juan Carlos,Barcelona,1991,Sol Bek,İspanya
3152,Albert Ferrer,Barcelona,1991,Sağ Bek,İspanya
5551,Cristóbal Parralo,Barcelona,1991,Sağ Bek,İspanya
5950,Pep Guardiola,Barcelona,1991,Ön Libero,İspanya
8128,Eusebio,Barcelona,1991,Ön Libero,İspanya
4325,Richard Witschge,Barcelona,1991,Merkez Orta Saha,Hollanda
104046,Guillermo Amor,Barcelona,1991,Merkez Orta Saha,İspanya
150650,Jon Andoni Goikoetxea,Barcelona,1991,Orta Saha Sağ,İspanya
7935,José Mari Bakero,Barcelona,1991,On Numara,İspanya
8023,Michael Laudrup,Barcelona,1991,On Numara,Danimarka
7938,Hristo Stoichkov,Barcelona,1991,Sol Kanat,Bulgaristan
8124,Txiki Begiristain,Barcelona,1991,Sol Kanat,İspanya
8141,Julio Salinas,Barcelona,1991,Santrafor,İspanya
8117,Andoni Zubizarreta,Barcelona,1992,Kaleci,İspanya
134927,Carles Busquets,Barcelona,1992,Kaleci,İspanya
7940,Ronald Koeman,Barcelona,1992,Libero,Hollanda
134926,José Ramón Alexanko,Barcelona,1992,Libero,İspanya
7676,Miguel Ángel Nadal,Barcelona,1992,Stoper,İspanya
7700,Pablo Alfaro,Barcelona,1992,Stoper,İspanya
101565,Andoni Goikoetxea,Barcelona,1992,Stoper,İspanya
7675,Miquel Soler,Barcelona,1992,Sol Bek,İspanya
178738,Juan Carlos,Barcelona,1992,Sol Bek,İspanya
3152,Albert Ferrer,Barcelona,1992,Sağ Bek,İspanya
5950,Pep Guardiola,Barcelona,1992,Ön Libero,İspanya
8128,Eusebio,Barcelona,1992,Ön Libero,İspanya
4325,Richard Witschge,Barcelona,1992,Merkez Orta Saha,Hollanda
104046,Guillermo Amor,Barcelona,1992,Merkez Orta Saha,İspanya
130411,Goran Vucevic,Barcelona,1992,Merkez Orta Saha,Hırvatistan
7935,José Mari Bakero,Barcelona,1992,On Numara,İspanya
8023,Michael Laudrup,Barcelona,1992,On Numara,Danimarka
7938,Hristo Stoichkov,Barcelona,1992,Sol Kanat,Bulgaristan
8124,Txiki Begiristain,Barcelona,1992,Sol Kanat,İspanya
722,Thomas Christiansen,Barcelona,1992,Santrafor,İspanya
8141,Julio Salinas,Barcelona,1992,Santrafor,İspanya
8117,Andoni Zubizarreta,Barcelona,1993,Kaleci,İspanya
134927,Carles Busquets,Barcelona,1993,Kaleci,İspanya
7940,Ronald Koeman,Barcelona,1993,Libero,Hollanda
7676,Miguel Ángel Nadal,Barcelona,1993,Stoper,İspanya
8063,Sergi Barjuan,Barcelona,1993,Sol Bek,İspanya
178738,Juan Carlos,Barcelona,1993,Sol Bek,İspanya
3152,Albert Ferrer,Barcelona,1993,Sağ Bek,İspanya
5950,Pep Guardiola,Barcelona,1993,Ön Libero,İspanya
