OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
557145,Thomas Grüter,Basel,1990,Kaleci,İsviçre
96067,Maximilian Heidenreich,Basel,1990,Libero,Almanya
65092,Patrick Liniger,Basel,1990,Defans,İsviçre
172060,Martin Thalmann,Basel,1990,Defans,İsviçre
311196,Thomas Karrer,Basel,1990,Defans,İsviçre
557876,Peter Bernauer,Basel,1990,Defans,İsviçre
557883,Markus Hodel,Basel,1990,Defans,İsviçre
740652,Olivier Bauer,Basel,1990,Defans,İsviçre
742045,Andreas Steiner,Basel,1990,Defans,İsviçre
795756,Miodrag Djurdjevic,Basel,1990,Defans,Bosna-Hersek
112542,Massimo Ceccaroni,Basel,1990,Sağ Bek,İsviçre
107434,Uwe Dittus,Basel,1990,Ön Libero,Almanya
203198,Manfred Wagner,Basel,1990,Orta Saha,Almanya
220326,Rolf Baumann,Basel,1990,Orta Saha,Almanya
555244,Sascha Reich,Basel,1990,Orta Saha,İsviçre
555247,Ruedi Zbinden,Basel,1990,Orta Saha,İsviçre
555348,Reto Baumgartner,Basel,1990,Orta Saha,İsviçre
557018,Roman Hangarter,Basel,1990,Orta Saha,İsviçre
557879,Germano Fanciulli,Basel,1990,Orta Saha,İtalya
740661,Boris Mancastroppa,Basel,1990,Orta Saha,İtalya
742044,Vittorio Gottardi,Basel,1990,Orta Saha,İtalya
298094,Brian Bertelsen,Basel,1990,Merkez Orta Saha,Danimarka
156235,Erni Maissen,Basel,1990,On Numara,İsviçre
557884,Enrique Mata,Basel,1990,On Numara,İsviçre
557842,Patrick Rahmen,Basel,1990,Forvet,İsviçre
742186,Christian Marcolli,Basel,1990,Santrafor,İsviçre
557145,Thomas Grüter,Basel,1991,Kaleci,İsviçre
96067,Maximilian Heidenreich,Basel,1991,Libero,Almanya
172060,Martin Thalmann,Basel,1991,Defans,İsviçre
311196,Thomas Karrer,Basel,1991,Defans,İsviçre
562157,Michel Rahmen,Basel,1991,Defans,İsviçre
740652,Olivier Bauer,Basel,1991,Defans,İsviçre
742045,Andreas Steiner,Basel,1991,Defans,İsviçre
112542,Massimo Ceccaroni,Basel,1991,Sağ Bek,İsviçre
203198,Manfred Wagner,Basel,1991,Orta Saha,Almanya
221351,Martin Jeitziner,Basel,1991,Orta Saha,İsviçre
555240,Gilbert Epars,Basel,1991,Orta Saha,İsviçre
555247,Ruedi Zbinden,Basel,1991,Orta Saha,İsviçre
555348,Reto Baumgartner,Basel,1991,Orta Saha,İsviçre
740661,Boris Mancastroppa,Basel,1991,Orta Saha,İtalya
742044,Vittorio Gottardi,Basel,1991,Orta Saha,İtalya
1588,Mourad Bounoua,Basel,1991,On Numara,Fas
96379,Thomas Schweizer,Basel,1991,Santrafor,Almanya
156224,Robert Kok,Basel,1991,Forvet,Hollanda
350590,André Sitek,Basel,1991,Santrafor,Hollanda
742186,Christian Marcolli,Basel,1991,Santrafor,İsviçre
557145,Thomas Grüter,Basel,1992,Kaleci,İsviçre
624743,Christian Reinwald,Basel,1992,Kaleci,İsviçre
17274,Dirk Lellek,Basel,1992,Libero,Almanya
156265,Mario Uccella,Basel,1992,Defans,İtalya
311196,Thomas Karrer,Basel,1992,Defans,İsviçre
562157,Michel Rahmen,Basel,1992,Defans,İsviçre
740652,Olivier Bauer,Basel,1992,Defans,İsviçre
4899,Marco Walker,Basel,1992,Stoper,İsviçre
112542,Massimo Ceccaroni,Basel,1992,Sağ Bek,İsviçre
106303,Admir Smajic,Basel,1992,Orta Saha,Bosna-Hersek
221351,Martin Jeitziner,Basel,1992,Orta Saha,İsviçre
508389,Pierre-André Schürmann,Basel,1992,Orta Saha,İsviçre
555247,Ruedi Zbinden,Basel,1992,Orta Saha,İsviçre
555348,Reto Baumgartner,Basel,1992,Orta Saha,İsviçre
6559,Ørjan Berg,Basel,1992,Merkez Orta Saha,Norveç
1588,Mourad Bounoua,Basel,1992,On Numara,Fas
4909,Frédéric Chassot,Basel,1992,Santrafor,İsviçre
11521,Gaetano Giallanza,Basel,1992,Santrafor,İsviçre
350590,André Sitek,Basel,1992,Santrafor,Hollanda
557842,Patrick Rahmen,Basel,1992,Forvet,İsviçre
186851,Stefan Huber,Basel,1993,Kaleci,İsviçre
557145,Thomas Grüter,Basel,1993,Kaleci,İsviçre
65526,Markus Lichtsteiner,Basel,1993,Defans,İsviçre
156265,Mario Uccella,Basel,1993,Defans,İtalya
311196,Thomas Karrer,Basel,1993,Defans,İsviçre
562157,Michel Rahmen,Basel,1993,Defans,İsviçre
571260,Ralph Steingruber,Basel,1993,Defans,İsviçre
4899,Marco Walker,Basel,1993,Stoper,İsviçre
172059,Samir Tabakovic,Basel,1993,Sağ Bek,İsviçre
112542,Massimo Ceccaroni,Basel,1993,Sağ Bek,İsviçre
2807,Mario Cantaluppi,Basel,1993,Ön Libero,İsviçre
106303,Admir Smajic,Basel,1993,Orta Saha,Bosna-Hersek
221351,Martin Jeitziner,Basel,1993,Orta Saha,İsviçre
358678,André Meier,Basel,1993,Orta Saha,İsviçre
555348,Reto Baumgartner,Basel,1993,Orta Saha,İsviçre
6559,Ørjan Berg,Basel,1993,Merkez Orta Saha,Norveç
358990,Didier Gigon,Basel,1993,Merkez Orta Saha,İsviçre
257758,Sergey Derkach,Basel,1993,Orta Saha Sol,Rusya
1588,Mourad Bounoua,Basel,1993,On Numara,Fas
302709,Philippe Hertig,Basel,1993,On Numara,İsviçre
6607,Axel Kruse,Basel,1993,Santrafor,Almanya
132797,Vincenzo Palumbo,Basel,1993,Forvet,Almanya
221363,Dario Zuffi,Basel,1993,Santrafor,İsviçre
358955,Roger Schreiber,Basel,1993,Forvet,İsviçre
186851,Stefan Huber,Basel,1994,Kaleci,İsviçre
557145,Thomas Grüter,Basel,1994,Kaleci,İsviçre
591273,Andreas Niederer,Basel,1994,Kaleci,İsviçre
65526,Markus Lichtsteiner,Basel,1994,Defans,İsviçre
101299,Lars Olsen,Basel,1994,Libero,Danimarka
311196,Thomas Karrer,Basel,1994,Defans,İsviçre
571260,Ralph Steingruber,Basel,1994,Defans,İsviçre
4899,Marco Walker,Basel,1994,Stoper,İsviçre
112542,Massimo Ceccaroni,Basel,1994,Sağ Bek,İsviçre
172059,Samir Tabakovic,Basel,1994,Sağ Bek,İsviçre
2807,Mario Cantaluppi,Basel,1994,Ön Libero,İsviçre
106303,Admir Smajic,Basel,1994,Orta Saha,Bosna-Hersek
221351,Martin Jeitziner,Basel,1994,Orta Saha,İsviçre
256291,Dominic Moser,Basel,1994,Orta Saha,İsviçre
311188,Thierry Schmitt,Basel,1994,Orta Saha,Fransa
358678,André Meier,Basel,1994,Orta Saha,İsviçre
358954,Yassine Douimi,Basel,1994,Orta Saha,Fransa
358990,Didier Gigon,Basel,1994,Merkez Orta Saha,İsviçre
6562,Asif Saric,Basel,1994,Orta Saha Sol,Bosna-Hersek
1054,Hakan Yakin,Basel,1994,On Numara,İsviçre
302709,Philippe Hertig,Basel,1994,On Numara,İsviçre
150922,Mart van Duren,Basel,1994,Sağ Kanat,Hollanda
4804,Alexandre Rey,Basel,1994,Santrafor,İsviçre
221363,Dario Zuffi,Basel,1994,Santrafor,İsviçre
186851,Stefan Huber,Basel,1995,Kaleci,İsviçre
557145,Thomas Grüter,Basel,1995,Kaleci,İsviçre
101299,Lars Olsen,Basel,1995,Libero,Danimarka
256285,Yannick Hasler,Basel,1995,Defans,İsviçre
413,Oumar Kondé,Basel,1995,Stoper,İsviçre
814,Vilmar,Basel,1995,Stoper,Brezilya
4899,Marco Walker,Basel,1995,Stoper,İsviçre
256278,Theodore Disseris,Basel,1995,Sol Bek,İsviçre
112542,Massimo Ceccaroni,Basel,1995,Sağ Bek,İsviçre
172059,Samir Tabakovic,Basel,1995,Sağ Bek,İsviçre
2807,Mario Cantaluppi,Basel,1995,Ön Libero,İsviçre
106303,Admir Smajic,Basel,1995,Orta Saha,Bosna-Hersek
156240,Daniele Moro,Basel,1995,Orta Saha,İsviçre
166560,Gabriel Okolosi,Basel,1995,Orta Saha,Nijerya
