OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
440,Dirk Heinen,Bayer Leverkusen,1990,Kaleci,Almanya
81665,Rüdiger Vollborn,Bayer Leverkusen,1990,Kaleci,Almanya
40461,Franco Foda,Bayer Leverkusen,1990,Libero,Almanya
3419,Thomas Hörster,Bayer Leverkusen,1990,Libero,Almanya
39669,Alois Reinhardt,Bayer Leverkusen,1990,Stoper,Almanya
1209,Jens Tschiedel,Bayer Leverkusen,1990,Stoper,Almanya
25349,Erich Seckler,Bayer Leverkusen,1990,Stoper,Almanya
84184,Martin Kree,Bayer Leverkusen,1990,Stoper,Almanya
84661,Oliver Pagé,Bayer Leverkusen,1990,Stoper,Almanya
84680,Jean-Pierre de Keyser,Bayer Leverkusen,1990,Stoper,Almanya
17166,Jorginho,Bayer Leverkusen,1990,Sağ Bek,Brezilya
300,Andreas Fischer,Bayer Leverkusen,1990,Ön Libero,Almanya
1537,Ioan Lupescu,Bayer Leverkusen,1990,Merkez Orta Saha,Romanya
17990,Knut Reinhardt,Bayer Leverkusen,1990,Orta Saha Sol,Almanya
84568,Mathias Stammann,Bayer Leverkusen,1990,Orta Saha Sol,Almanya
84192,Christian Schreier,Bayer Leverkusen,1990,On Numara,Almanya
93946,Andrzej Buncol,Bayer Leverkusen,1990,On Numara,Polonya
5088,Marek Lesniak,Bayer Leverkusen,1990,Santrafor,Polonya
74,Ulf Kirsten,Bayer Leverkusen,1990,Santrafor,Almanya
114,Heiko Herrlich,Bayer Leverkusen,1990,Santrafor,Almanya
356,Andreas Thom,Bayer Leverkusen,1990,Santrafor,Almanya
979,Marcus Feinbier,Bayer Leverkusen,1990,Santrafor,Almanya
85985,Marco Schröder,Bayer Leverkusen,1990,Forvet,Almanya
440,Dirk Heinen,Bayer Leverkusen,1991,Kaleci,Almanya
81665,Rüdiger Vollborn,Bayer Leverkusen,1991,Kaleci,Almanya
40461,Franco Foda,Bayer Leverkusen,1991,Libero,Almanya
39669,Alois Reinhardt,Bayer Leverkusen,1991,Stoper,Almanya
137,Christian Wörns,Bayer Leverkusen,1991,Stoper,Almanya
265,Markus Happe,Bayer Leverkusen,1991,Stoper,Almanya
25349,Erich Seckler,Bayer Leverkusen,1991,Stoper,Almanya
84184,Martin Kree,Bayer Leverkusen,1991,Stoper,Almanya
96649,Jürgen Radschuweit,Bayer Leverkusen,1991,Stoper,Almanya
17166,Jorginho,Bayer Leverkusen,1991,Sağ Bek,Brezilya
300,Andreas Fischer,Bayer Leverkusen,1991,Ön Libero,Almanya
934,Markus von Ahlen,Bayer Leverkusen,1991,Ön Libero,Almanya
2059,Stephan Hanke,Bayer Leverkusen,1991,Ön Libero,Almanya
1537,Ioan Lupescu,Bayer Leverkusen,1991,Merkez Orta Saha,Romanya
154,René Rydlewicz,Bayer Leverkusen,1991,Orta Saha Sağ,Almanya
