OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
216,Sven Scheuer,Bayern Münih,1990,Kaleci,Almanya
84550,Raimond Aumann,Bayern Münih,1990,Kaleci,Almanya
85968,Klaus Augenthaler,Bayern Münih,1990,Libero,Almanya
119,Jürgen Kohler,Bayern Münih,1990,Stoper,Almanya
84618,Rainer Aigner,Bayern Münih,1990,Stoper,Almanya
1119,Markus Münch,Bayern Münih,1990,Sol Bek,Almanya
81644,Hans Pflügler,Bayern Münih,1990,Sol Bek,Almanya
24953,Roland Grahammer,Bayern Münih,1990,Sağ Bek,Almanya
221,Thomas Strunz,Bayern Münih,1990,Ön Libero,Almanya
6571,Manfred Schwabl,Bayern Münih,1990,Ön Libero,Almanya
6730,Michael Hecht,Bayern Münih,1990,Orta Saha,Almanya
67792,Thorsten Wörsdörfer,Bayern Münih,1990,Ön Libero,Almanya
282,Olaf Thon,Bayern Münih,1990,Merkez Orta Saha,Almanya
17945,Hans Dorfner,Bayern Münih,1990,Merkez Orta Saha,Almanya
31829,Allan Nielsen,Bayern Münih,1990,Merkez Orta Saha,Danimarka
155,Michael Sternkopf,Bayern Münih,1990,Orta Saha Sağ,Almanya
130,Stefan Reuter,Bayern Münih,1990,Orta Saha Sağ,Almanya
916,Christian Ziege,Bayern Münih,1990,Orta Saha Sol,Almanya
197,Stefan Effenberg,Bayern Münih,1990,On Numara,Almanya
1005,Manfred Bender,Bayern Münih,1990,On Numara,Almanya
39667,Brian Laudrup,Bayern Münih,1990,Sağ Kanat,Danimarka
28780,Alan McInally,Bayern Münih,1990,Santrafor,İskoçya
84555,Roland Wohlfarth,Bayern Münih,1990,Santrafor,Almanya
84658,Radmilo Mihajlovic,Bayern Münih,1990,Santrafor,Bosna-Hersek
39670,Toni Schumacher,Bayern Münih,1991,Kaleci,Almanya
6,Uwe Gospodarek,Bayern Münih,1991,Kaleci,Almanya
216,Sven Scheuer,Bayern Münih,1991,Kaleci,Almanya
84550,Raimond Aumann,Bayern Münih,1991,Kaleci,Almanya
91297,Gerald Hillringhaus,Bayern Münih,1991,Kaleci,Almanya
39669,Alois Reinhardt,Bayern Münih,1991,Stoper,Almanya
57,Thomas Berthold,Bayern Münih,1991,Stoper,Almanya
192,Markus Babbel,Bayern Münih,1991,Stoper,Almanya
1053,Oliver Kreuzer,Bayern Münih,1991,Stoper,Almanya
116431,Kurt Kremm,Bayern Münih,1991,Stoper,Almanya
1119,Markus Münch,Bayern Münih,1991,Sol Bek,Almanya
81644,Hans Pflügler,Bayern Münih,1991,Sol Bek,Almanya
785,Max Eberl,Bayern Münih,1991,Sağ Bek,Almanya
24953,Roland Grahammer,Bayern Münih,1991,Sağ Bek,Almanya
39671,Jan Wouters,Bayern Münih,1991,Ön Libero,Hollanda
221,Thomas Strunz,Bayern Münih,1991,Ön Libero,Almanya
6571,Manfred Schwabl,Bayern Münih,1991,Ön Libero,Almanya
84632,Bernardo,Bayern Münih,1991,Ön Libero,Brezilya
282,Olaf Thon,Bayern Münih,1991,Merkez Orta Saha,Almanya
155,Michael Sternkopf,Bayern Münih,1991,Orta Saha Sağ,Almanya
916,Christian Ziege,Bayern Münih,1991,Orta Saha Sol,Almanya
197,Stefan Effenberg,Bayern Münih,1991,On Numara,Almanya
1005,Manfred Bender,Bayern Münih,1991,On Numara,Almanya
39667,Brian Laudrup,Bayern Münih,1991,Sağ Kanat,Danimarka
28780,Alan McInally,Bayern Münih,1991,Santrafor,İskoçya
149,Bruno Labbadia,Bayern Münih,1991,Santrafor,Almanya
49131,Mazinho,Bayern Münih,1991,Santrafor,Brezilya
84555,Roland Wohlfarth,Bayern Münih,1991,Santrafor,Almanya
127917,Thorsten Ott,Bayern Münih,1991,Forvet,Almanya
6,Uwe Gospodarek,Bayern Münih,1992,Kaleci,Almanya
216,Sven Scheuer,Bayern Münih,1992,Kaleci,Almanya
84550,Raimond Aumann,Bayern Münih,1992,Kaleci,Almanya
39669,Alois Reinhardt,Bayern Münih,1992,Stoper,Almanya
57,Thomas Berthold,Bayern Münih,1992,Stoper,Almanya
1053,Oliver Kreuzer,Bayern Münih,1992,Stoper,Almanya
12405,Thomas Helmer,Bayern Münih,1992,Stoper,Almanya
1119,Markus Münch,Bayern Münih,1992,Sol Bek,Almanya
527,Dieter Frey,Bayern Münih,1992,Sağ Bek,Almanya
17166,Jorginho,Bayern Münih,1992,Sağ Bek,Brezilya
24953,Roland Grahammer,Bayern Münih,1992,Sağ Bek,Almanya
39671,Jan Wouters,Bayern Münih,1992,Ön Libero,Hollanda
125,Christian Nerlinger,Bayern Münih,1992,Ön Libero,Almanya
1527,Lothar Matthäus,Bayern Münih,1992,Ön Libero,Almanya
6571,Manfred Schwabl,Bayern Münih,1992,Ön Libero,Almanya
282,Olaf Thon,Bayern Münih,1992,Merkez Orta Saha,Almanya
4574,Raymond Victoria,Bayern Münih,1992,Merkez Orta Saha,Curacao
4748,Andreas Mayer,Bayern Münih,1992,Merkez Orta Saha,Almanya
155,Michael Sternkopf,Bayern Münih,1992,Orta Saha Sağ,Almanya
548,Harald Cerny,Bayern Münih,1992,Orta Saha Sağ,Avusturya
916,Christian Ziege,Bayern Münih,1992,Orta Saha Sol,Almanya
217,Mehmet Scholl,Bayern Münih,1992,On Numara,Almanya
17932,Markus Schupp,Bayern Münih,1992,On Numara,Almanya
28780,Alan McInally,Bayern Münih,1992,Santrafor,İskoçya
149,Bruno Labbadia,Bayern Münih,1992,Santrafor,Almanya
49131,Mazinho,Bayern Münih,1992,Santrafor,Brezilya
84555,Roland Wohlfarth,Bayern Münih,1992,Santrafor,Almanya
6,Uwe Gospodarek,Bayern Münih,1993,Kaleci,Almanya
216,Sven Scheuer,Bayern Münih,1993,Kaleci,Almanya
84550,Raimond Aumann,Bayern Münih,1993,Kaleci,Almanya
1053,Oliver Kreuzer,Bayern Münih,1993,Stoper,Almanya
12405,Thomas Helmer,Bayern Münih,1993,Stoper,Almanya
1119,Markus Münch,Bayern Münih,1993,Sol Bek,Almanya
527,Dieter Frey,Bayern Münih,1993,Sağ Bek,Almanya
17166,Jorginho,Bayern Münih,1993,Sağ Bek,Brezilya
24953,Roland Grahammer,Bayern Münih,1993,Sağ Bek,Almanya
39671,Jan Wouters,Bayern Münih,1993,Ön Libero,Hollanda
125,Christian Nerlinger,Bayern Münih,1993,Ön Libero,Almanya
919,Dietmar Hamann,Bayern Münih,1993,Ön Libero,Almanya
1527,Lothar Matthäus,Bayern Münih,1993,Ön Libero,Almanya
282,Olaf Thon,Bayern Münih,1993,Merkez Orta Saha,Almanya
87863,Aleksandr Karataev,Bayern Münih,1993,Merkez Orta Saha,Rusya
155,Michael Sternkopf,Bayern Münih,1993,Orta Saha Sağ,Almanya
548,Harald Cerny,Bayern Münih,1993,Orta Saha Sağ,Avusturya
916,Christian Ziege,Bayern Münih,1993,Orta Saha Sol,Almanya
217,Mehmet Scholl,Bayern Münih,1993,On Numara,Almanya
17932,Markus Schupp,Bayern Münih,1993,On Numara,Almanya
807,Marcel Witeczek,Bayern Münih,1993,Santrafor,Almanya
149,Bruno Labbadia,Bayern Münih,1993,Santrafor,Almanya
227,Alexander Zickler,Bayern Münih,1993,Santrafor,Almanya
49131,Mazinho,Bayern Münih,1993,Santrafor,Brezilya
84610,Adolfo Valencia,Bayern Münih,1993,Santrafor,Kolombiya
6,Uwe Gospodarek,Bayern Münih,1994,Kaleci,Almanya
206,Oliver Kahn,Bayern Münih,1994,Kaleci,Almanya
216,Sven Scheuer,Bayern Münih,1994,Kaleci,Almanya
192,Markus Babbel,Bayern Münih,1994,Stoper,Almanya
208,Samuel Kuffour,Bayern Münih,1994,Stoper,Gana
1053,Oliver Kreuzer,Bayern Münih,1994,Stoper,Almanya
1299,Marco Grimm,Bayern Münih,1994,Stoper,Almanya
12405,Thomas Helmer,Bayern Münih,1994,Stoper,Almanya
81644,Hans Pflügler,Bayern Münih,1994,Sol Bek,Almanya
527,Dieter Frey,Bayern Münih,1994,Sağ Bek,Almanya
17166,Jorginho,Bayern Münih,1994,Sağ Bek,Brezilya
125,Christian Nerlinger,Bayern Münih,1994,Ön Libero,Almanya
919,Dietmar Hamann,Bayern Münih,1994,Ön Libero,Almanya
1527,Lothar Matthäus,Bayern Münih,1994,Ön Libero,Almanya
