OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
324012,Veysel Beşik,Başakşehir,1991,Kaleci,Türkiye
1308224,Mehmet Bulduk,Başakşehir,1991,Defans,Türkiye
586398,Selahattin Gözoğlu,Başakşehir,1991,Stoper,Türkiye
1469081,Rahmi Kalkan,Başakşehir,1991,Ön Libero,Türkiye
827718,Cengiz Sabancı,Başakşehir,1991,Forvet,Türkiye
868112,Arif Sarıkaya,Başakşehir,1991,Forvet,Türkiye
915700,Adnan Karayaka,Başakşehir,1991,Forvet,Türkiye
58900,Ünal Odabaş,Başakşehir,1992,Kaleci,Türkiye
590645,Bülent Yenidoğan,Başakşehir,1992,Kaleci,Türkiye
613768,Fikret Durak,Başakşehir,1992,Defans,Türkiye
868109,Murat Karakale,Başakşehir,1992,Defans,Türkiye
922249,Ercan Yerdak,Başakşehir,1992,Defans,Türkiye
830064,Erdin Pehlivan,Başakşehir,1992,Orta Saha,Türkiye
902480,Metin Öztürk,Başakşehir,1992,Orta Saha,Türkiye
1469081,Rahmi Kalkan,Başakşehir,1992,Ön Libero,Türkiye
301687,Faruk Şahin,Başakşehir,1992,Santrafor,Türkiye
607480,Yasin Avcıoğlu,Başakşehir,1992,Santrafor,Türkiye
607482,Sadettin Demirtaş,Başakşehir,1992,Santrafor,Türkiye
822969,Kenan Oktay,Başakşehir,1992,Forvet,Türkiye
830069,İbrahim Çelik,Başakşehir,1992,Forvet,Türkiye
868112,Arif Sarıkaya,Başakşehir,1992,Forvet,Türkiye
58900,Ünal Odabaş,Başakşehir,1993,Kaleci,Türkiye
590645,Bülent Yenidoğan,Başakşehir,1993,Kaleci,Türkiye
868106,Hakan Çolak,Başakşehir,1993,Kaleci,Türkiye
577961,Serkut Coşkunsu,Başakşehir,1993,Defans,Türkiye
868109,Murat Karakale,Başakşehir,1993,Defans,Türkiye
922249,Ercan Yerdak,Başakşehir,1993,Defans,Türkiye
902480,Metin Öztürk,Başakşehir,1993,Orta Saha,Türkiye
1469081,Rahmi Kalkan,Başakşehir,1993,Ön Libero,Türkiye
630545,Fikret Erdoğan,Başakşehir,1993,Santrafor,Türkiye
739212,Hakan Saral,Başakşehir,1993,Forvet,Türkiye
822969,Kenan Oktay,Başakşehir,1993,Forvet,Türkiye
830069,İbrahim Çelik,Başakşehir,1993,Forvet,Türkiye
956363,Birol Gezer,Başakşehir,1993,Forvet,Türkiye
