OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
107857,Neno,Benfica,1990,Kaleci,Portekiz
126892,Silvino,Benfica,1990,Kaleci,Portekiz
117241,Manuel Bento,Benfica,1990,Kaleci,Portekiz
34014,Ricardo Gomes,Benfica,1990,Stoper,Brezilya
13194,Paulo Madeira,Benfica,1990,Stoper,Portekiz
176031,William,Benfica,1990,Stoper,Brezilya
209529,Samuel,Benfica,1990,Stoper,Portekiz
30046,Fernando Mendes,Benfica,1990,Sol Bek,Portekiz
107429,Veloso,Benfica,1990,Sağ Bek,Portekiz
150452,José Carlos,Benfica,1990,Sağ Bek,Portekiz
1536,Paulo Sousa,Benfica,1990,Ön Libero,Portekiz
14510,Rui Bento,Benfica,1990,Ön Libero,Portekiz
209530,Hernâni,Benfica,1990,Ön Libero,Portekiz
34025,Jonas Thern,Benfica,1990,Merkez Orta Saha,İsveç
4123,Stefan Schwarz,Benfica,1990,Merkez Orta Saha,İsveç
16886,Erwin Sánchez,Benfica,1990,On Numara,Bolivya
117635,Valdo,Benfica,1990,On Numara,Brezilya
208417,Pacheco,Benfica,1990,Sol Kanat,Portekiz
103758,Vítor Paneira,Benfica,1990,Sağ Kanat,Portekiz
92082,Rui Águas,Benfica,1990,Santrafor,Portekiz
135531,Mats Magnusson,Benfica,1990,Santrafor,İsveç
150441,César Brito,Benfica,1990,Santrafor,Portekiz
176034,Isaías,Benfica,1990,Santrafor,Brezilya
209531,Vata,Benfica,1990,Santrafor,Angola
214362,Lima,Benfica,1990,Forvet,Brezilya
107857,Neno,Benfica,1991,Kaleci,Portekiz
126892,Silvino,Benfica,1991,Kaleci,Portekiz
117241,Manuel Bento,Benfica,1991,Kaleci,Portekiz
67114,Vasiliy Kulkov,Benfica,1991,Stoper,Rusya
13194,Paulo Madeira,Benfica,1991,Stoper,Portekiz
13214,Hélder Cristóvão,Benfica,1991,Stoper,Portekiz
176031,William,Benfica,1991,Stoper,Brezilya
209529,Samuel,Benfica,1991,Stoper,Portekiz
214207,Pedro Valido,Benfica,1991,Stoper,Portekiz
30046,Fernando Mendes,Benfica,1991,Sol Bek,Portekiz
14123,Kenedy,Benfica,1991,Sol Bek,Portekiz
107429,Veloso,Benfica,1991,Sağ Bek,Portekiz
150452,José Carlos,Benfica,1991,Sağ Bek,Portekiz
1536,Paulo Sousa,Benfica,1991,Ön Libero,Portekiz
14510,Rui Bento,Benfica,1991,Ön Libero,Portekiz
209530,Hernâni,Benfica,1991,Ön Libero,Portekiz
34025,Jonas Thern,Benfica,1991,Merkez Orta Saha,İsveç
4123,Stefan Schwarz,Benfica,1991,Merkez Orta Saha,İsveç
3624,Rui Costa,Benfica,1991,On Numara,Portekiz
7556,Aleksandr Mostovoy,Benfica,1991,On Numara,Rusya
208417,Pacheco,Benfica,1991,Sol Kanat,Portekiz
214208,João Pires,Benfica,1991,Sol Kanat,Portekiz
103758,Vítor Paneira,Benfica,1991,Sağ Kanat,Portekiz
3628,João Pinto,Benfica,1991,Forvet Arkası,Portekiz
85424,Sergey Yuran,Benfica,1991,Santrafor,Rusya
92082,Rui Águas,Benfica,1991,Santrafor,Portekiz
135531,Mats Magnusson,Benfica,1991,Santrafor,İsveç
150441,César Brito,Benfica,1991,Santrafor,Portekiz
176034,Isaías,Benfica,1991,Santrafor,Brezilya
107857,Neno,Benfica,1992,Kaleci,Portekiz
