OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
92224,Engin İpekoğlu,Beşiktaş,1990,Kaleci,Türkiye
92268,Fatih Uraz,Beşiktaş,1990,Kaleci,Türkiye
92272,Metin Akçevre,Beşiktaş,1990,Kaleci,Türkiye
607052,Hakan Yurtvermez,Beşiktaş,1990,Kaleci,Türkiye
92263,Gökhan Keskin,Beşiktaş,1990,Libero,Türkiye
92278,Ulvi Güveneroğlu,Beşiktaş,1990,Stoper,Türkiye
181210,Hamit Yüksel,Beşiktaş,1990,Stoper,Türkiye
92271,Kadir Akbulut,Beşiktaş,1990,Sol Bek,Türkiye
92275,Recep Çetin,Beşiktaş,1990,Sağ Bek,Türkiye
598640,Serdar Bayer,Beşiktaş,1990,Sağ Bek,Türkiye
7164,Zeki Önatlı,Beşiktaş,1990,Merkez Orta Saha,Türkiye
92274,Rıza Çalımbay,Beşiktaş,1990,Merkez Orta Saha,Türkiye
181208,Turan Uzun,Beşiktaş,1990,Merkez Orta Saha,Türkiye
222910,Ian Wilson,Beşiktaş,1990,Merkez Orta Saha,İskoçya
180284,Şenol Fidan,Beşiktaş,1990,Orta Saha Sağ,Türkiye
92269,Alan Walsh,Beşiktaş,1990,Orta Saha Sol,İngiltere
92282,Mutlu Topçu,Beşiktaş,1990,Orta Saha Sol,Türkiye
6904,Sergen Yalçın,Beşiktaş,1990,On Numara,Türkiye
17126,Mehmet Özdilek,Beşiktaş,1990,On Numara,Türkiye
180289,Halim Okta,Beşiktaş,1990,Sol Kanat,Türkiye
92281,Metin Tekin,Beşiktaş,1990,Sağ Kanat,Türkiye
664878,Erkan Aydın,Beşiktaş,1990,Sağ Kanat,Türkiye
92239,Feyyaz Uçar,Beşiktaş,1990,Santrafor,Türkiye
92276,Ali Gültiken,Beşiktaş,1990,Santrafor,Türkiye
92272,Metin Akçevre,Beşiktaş,1991,Kaleci,Türkiye
92273,Jaroslaw Bako,Beşiktaş,1991,Kaleci,Polonya
584741,Aydın Salatan,Beşiktaş,1991,Kaleci,Türkiye
92263,Gökhan Keskin,Beşiktaş,1991,Libero,Türkiye
92278,Ulvi Güveneroğlu,Beşiktaş,1991,Stoper,Türkiye
181210,Hamit Yüksel,Beşiktaş,1991,Stoper,Türkiye
92271,Kadir Akbulut,Beşiktaş,1991,Sol Bek,Türkiye
92275,Recep Çetin,Beşiktaş,1991,Sağ Bek,Türkiye
598640,Serdar Bayer,Beşiktaş,1991,Sağ Bek,Türkiye
585296,Cemre Özbalkan,Beşiktaş,1991,Orta Saha,Türkiye
7164,Zeki Önatlı,Beşiktaş,1991,Merkez Orta Saha,Türkiye
92274,Rıza Çalımbay,Beşiktaş,1991,Merkez Orta Saha,Türkiye
181208,Turan Uzun,Beşiktaş,1991,Merkez Orta Saha,Türkiye
573842,Metin Uzun,Beşiktaş,1991,Merkez Orta Saha,Türkiye
180284,Şenol Fidan,Beşiktaş,1991,Orta Saha Sağ,Türkiye
92282,Mutlu Topçu,Beşiktaş,1991,Orta Saha Sol,Türkiye
92283,Adam Zejer,Beşiktaş,1991,Orta Saha Sol,Polonya
6904,Sergen Yalçın,Beşiktaş,1991,On Numara,Türkiye
17126,Mehmet Özdilek,Beşiktaş,1991,On Numara,Türkiye
180289,Halim Okta,Beşiktaş,1991,Sol Kanat,Türkiye
92281,Metin Tekin,Beşiktaş,1991,Sağ Kanat,Türkiye
92239,Feyyaz Uçar,Beşiktaş,1991,Santrafor,Türkiye
92276,Ali Gültiken,Beşiktaş,1991,Santrafor,Türkiye
92272,Metin Akçevre,Beşiktaş,1992,Kaleci,Türkiye
92273,Jaroslaw Bako,Beşiktaş,1992,Kaleci,Polonya
584741,Aydın Salatan,Beşiktaş,1992,Kaleci,Türkiye
92263,Gökhan Keskin,Beşiktaş,1992,Libero,Türkiye
92277,Ali Günçar,Beşiktaş,1992,Stoper,Türkiye
92278,Ulvi Güveneroğlu,Beşiktaş,1992,Stoper,Türkiye
181210,Hamit Yüksel,Beşiktaş,1992,Stoper,Türkiye
92271,Kadir Akbulut,Beşiktaş,1992,Sol Bek,Türkiye
92275,Recep Çetin,Beşiktaş,1992,Sağ Bek,Türkiye
7164,Zeki Önatlı,Beşiktaş,1992,Merkez Orta Saha,Türkiye
8703,Yusuf Tokaç,Beşiktaş,1992,Merkez Orta Saha,Türkiye
