OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
214773,Trond Sollied,Bodo Glimt,1991,Ön Libero,Norveç
106844,Rohnny Westad,Bodo Glimt,1992,Kaleci,Norveç
642368,Tor Arne Aga,Bodo Glimt,1992,Kaleci,Norveç
279676,Charles Berstad,Bodo Glimt,1992,Defans,Norveç
104857,Andreas Evjen,Bodo Glimt,1992,Sol Bek,Norveç
281281,Petter Solli,Bodo Glimt,1992,Sol Bek,Norveç
104866,Thor Mikalsen,Bodo Glimt,1992,Sağ Bek,Norveç
279273,Ola Haldorsen,Bodo Glimt,1992,Sağ Bek,Norveç
104853,Arild Berg,Bodo Glimt,1992,Orta Saha,Norveç
104875,Tom Kare Staurvik,Bodo Glimt,1992,Ön Libero,Norveç
214773,Trond Sollied,Bodo Glimt,1992,Ön Libero,Norveç
280032,Tommy Hansen,Bodo Glimt,1992,Orta Saha,Norveç
24142,Bent Inge Johnsen,Bodo Glimt,1992,Merkez Orta Saha,Norveç
24072,Runar Berg,Bodo Glimt,1992,Merkez Orta Saha,Norveç
24073,Aasmund Bjørkan,Bodo Glimt,1992,Santrafor,Norveç
12367,Harald Brattbakk,Bodo Glimt,1992,Santrafor,Norveç
355403,Ivar Morten Normark,Bodo Glimt,1992,Forvet,Norveç
407709,Inge Börre Lekang,Bodo Glimt,1992,Forvet,Norveç
36448,Ole Arvid Langnes,Bodo Glimt,1993,Kaleci,Norveç
106844,Rohnny Westad,Bodo Glimt,1993,Kaleci,Norveç
196669,Kristján Jónsson,Bodo Glimt,1993,Defans,İzlanda
279676,Charles Berstad,Bodo Glimt,1993,Defans,Norveç
281281,Petter Solli,Bodo Glimt,1993,Sol Bek,Norveç
104857,Andreas Evjen,Bodo Glimt,1993,Sol Bek,Norveç
23997,Jan Egil Brekke,Bodo Glimt,1993,Sol Bek,Norveç
279273,Ola Haldorsen,Bodo Glimt,1993,Sağ Bek,Norveç
104866,Thor Mikalsen,Bodo Glimt,1993,Sağ Bek,Norveç
104853,Arild Berg,Bodo Glimt,1993,Orta Saha,Norveç
214773,Trond Sollied,Bodo Glimt,1993,Ön Libero,Norveç
104875,Tom Kare Staurvik,Bodo Glimt,1993,Ön Libero,Norveç
280032,Tommy Hansen,Bodo Glimt,1993,Orta Saha,Norveç
354696,Kyrre Nilsen,Bodo Glimt,1993,Orta Saha,Norveç
24142,Bent Inge Johnsen,Bodo Glimt,1993,Merkez Orta Saha,Norveç
6559,Ørjan Berg,Bodo Glimt,1993,Merkez Orta Saha,Norveç
24072,Runar Berg,Bodo Glimt,1993,Merkez Orta Saha,Norveç
24073,Aasmund Bjørkan,Bodo Glimt,1993,Santrafor,Norveç
221215,Anthony Karl Gregory,Bodo Glimt,1993,Forvet,İzlanda
355403,Ivar Morten Normark,Bodo Glimt,1993,Forvet,Norveç
36448,Ole Arvid Langnes,Bodo Glimt,1994,Kaleci,Norveç
106844,Rohnny Westad,Bodo Glimt,1994,Kaleci,Norveç
215469,Morten André Olsen,Bodo Glimt,1994,Kaleci,Norveç
196669,Kristján Jónsson,Bodo Glimt,1994,Defans,İzlanda
279676,Charles Berstad,Bodo Glimt,1994,Defans,Norveç
