OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
108,Wolfgang de Beer,Borussia Dortmund,1990,Kaleci,Almanya
3442,Stefan Klos,Borussia Dortmund,1990,Kaleci,Almanya
81737,Rolf Meyer,Borussia Dortmund,1990,Kaleci,Almanya
497,Uwe Grauer,Borussia Dortmund,1990,Stoper,Almanya
726,Peter Quallo,Borussia Dortmund,1990,Stoper,Almanya
12405,Thomas Helmer,Borussia Dortmund,1990,Stoper,Almanya
21657,Sergey Gorlukovich,Borussia Dortmund,1990,Stoper,Rusya
22537,Michael Schulz,Borussia Dortmund,1990,Stoper,Almanya
95856,Günter Kutowski,Borussia Dortmund,1990,Stoper,Almanya
1071,Robert Nikolic,Borussia Dortmund,1990,Sağ Bek,Almanya
38033,Michael Zorc,Borussia Dortmund,1990,Ön Libero,Almanya
1521,Gerhard Poschner,Borussia Dortmund,1990,Ön Libero,Almanya
84633,Thomas Franck,Borussia Dortmund,1990,Ön Libero,Almanya
84696,Mario Plechaty,Borussia Dortmund,1990,Orta Saha,Almanya
95857,Murdo MacLeod,Borussia Dortmund,1990,Ön Libero,İskoçya
95864,Stefan Strerath,Borussia Dortmund,1990,Orta Saha,Almanya
1542,Steffen Karl,Borussia Dortmund,1990,Merkez Orta Saha,Almanya
472,Dirk Hofmann,Borussia Dortmund,1990,Orta Saha Sağ,Almanya
84554,Michael Lusch,Borussia Dortmund,1990,Orta Saha Sağ,Almanya
95853,Günter Breitzke,Borussia Dortmund,1990,Orta Saha Sağ,Almanya
15479,Tim Gutberlet,Borussia Dortmund,1990,On Numara,Almanya
77015,Michael Rummenigge,Borussia Dortmund,1990,On Numara,Almanya
84562,Frank Mill,Borussia Dortmund,1990,Santrafor,Almanya
778,Martin Driller,Borussia Dortmund,1990,Santrafor,Almanya
81554,Flemming Povlsen,Borussia Dortmund,1990,Santrafor,Danimarka
95073,Jürgen Wegmann,Borussia Dortmund,1990,Santrafor,Almanya
108,Wolfgang de Beer,Borussia Dortmund,1991,Kaleci,Almanya
3442,Stefan Klos,Borussia Dortmund,1991,Kaleci,Almanya
11197,Bodo Schmidt,Borussia Dortmund,1991,Stoper,Almanya
21350,Wolfgang Homberg,Borussia Dortmund,1991,Stoper,Almanya
497,Uwe Grauer,Borussia Dortmund,1991,Stoper,Almanya
726,Peter Quallo,Borussia Dortmund,1991,Stoper,Almanya
12405,Thomas Helmer,Borussia Dortmund,1991,Stoper,Almanya
21657,Sergey Gorlukovich,Borussia Dortmund,1991,Stoper,Rusya
22537,Michael Schulz,Borussia Dortmund,1991,Stoper,Almanya
95856,Günter Kutowski,Borussia Dortmund,1991,Stoper,Almanya
38033,Michael Zorc,Borussia Dortmund,1991,Ön Libero,Almanya
1521,Gerhard Poschner,Borussia Dortmund,1991,Ön Libero,Almanya
84633,Thomas Franck,Borussia Dortmund,1991,Ön Libero,Almanya
1542,Steffen Karl,Borussia Dortmund,1991,Merkez Orta Saha,Almanya
472,Dirk Hofmann,Borussia Dortmund,1991,Orta Saha Sağ,Almanya
84554,Michael Lusch,Borussia Dortmund,1991,Orta Saha Sağ,Almanya
95853,Günter Breitzke,Borussia Dortmund,1991,Orta Saha Sağ,Almanya
17990,Knut Reinhardt,Borussia Dortmund,1991,Orta Saha Sol,Almanya
15479,Tim Gutberlet,Borussia Dortmund,1991,On Numara,Almanya
77015,Michael Rummenigge,Borussia Dortmund,1991,On Numara,Almanya
84562,Frank Mill,Borussia Dortmund,1991,Santrafor,Almanya
3501,Stéphane Chapuisat,Borussia Dortmund,1991,Santrafor,İsviçre
81554,Flemming Povlsen,Borussia Dortmund,1991,Santrafor,Danimarka
95073,Jürgen Wegmann,Borussia Dortmund,1991,Santrafor,Almanya
108,Wolfgang de Beer,Borussia Dortmund,1992,Kaleci,Almanya
3442,Stefan Klos,Borussia Dortmund,1992,Kaleci,Almanya
95859,Christof Osigus,Borussia Dortmund,1992,Kaleci,Almanya
127892,Dirk Galeski,Borussia Dortmund,1992,Kaleci,Almanya
77010,Matthias Sammer,Borussia Dortmund,1992,Libero,Almanya
11197,Bodo Schmidt,Borussia Dortmund,1992,Stoper,Almanya
497,Uwe Grauer,Borussia Dortmund,1992,Stoper,Almanya
573,Ned Zelic,Borussia Dortmund,1992,Stoper,Avustralya
22537,Michael Schulz,Borussia Dortmund,1992,Stoper,Almanya
95856,Günter Kutowski,Borussia Dortmund,1992,Stoper,Almanya
357,René Tretschok,Borussia Dortmund,1992,Ön Libero,Almanya
38033,Michael Zorc,Borussia Dortmund,1992,Ön Libero,Almanya
1521,Gerhard Poschner,Borussia Dortmund,1992,Ön Libero,Almanya
84633,Thomas Franck,Borussia Dortmund,1992,Ön Libero,Almanya
1542,Steffen Karl,Borussia Dortmund,1992,Merkez Orta Saha,Almanya
130,Stefan Reuter,Borussia Dortmund,1992,Orta Saha Sağ,Almanya
84554,Michael Lusch,Borussia Dortmund,1992,Orta Saha Sağ,Almanya
17990,Knut Reinhardt,Borussia Dortmund,1992,Orta Saha Sol,Almanya
