OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
721049,Régis,Braga,1990,Kaleci,Brezilya
1080497,Luís Manuel,Braga,1990,Kaleci,Portekiz
1275925,Ricardo,Braga,1990,Kaleci,Portekiz
117374,Carlos Carvalhal,Braga,1990,Stoper,Portekiz
667664,Vitor Duarte,Braga,1990,Stoper,Mozambik
1275924,Moroni,Braga,1990,Stoper,Brezilya
1324044,Quim Nunes,Braga,1990,Stoper,Portekiz
170326,Laureta,Braga,1990,Sol Bek,Portekiz
1324059,Kapa,Braga,1990,Sol Bek,Portekiz
216963,Nedyalko Mladenov,Braga,1990,Sağ Bek,Bulgaristan
266570,Quim Machado,Braga,1990,Sağ Bek,Portekiz
1223992,Chico Silva,Braga,1990,Sağ Bek,Portekiz
13962,Barroso,Braga,1990,Ön Libero,Portekiz
676588,Valtinho,Braga,1990,Ön Libero,Brezilya
1331043,Rogério Leite,Braga,1990,Orta Saha,Portekiz
676821,Pingo,Braga,1990,Merkez Orta Saha,Brezilya
1275926,João Mário,Braga,1990,Merkez Orta Saha,Portekiz
1276418,Rui Manuel,Braga,1990,Merkez Orta Saha,Portekiz
952175,Fernando Pires,Braga,1990,On Numara,Portekiz
14296,Augusto Gama,Braga,1990,Sağ Kanat,Portekiz
668159,Serrinha,Braga,1990,Sağ Kanat,Portekiz
738593,Santos,Braga,1990,Sağ Kanat,Brezilya
141201,Eli Ohana,Braga,1990,Santrafor,İsrail
266982,Forbs,Braga,1990,Santrafor,Gine-Bissau
344121,Aparício,Braga,1990,Santrafor,Portekiz
738425,Vinícius,Braga,1990,Forvet,Brezilya
1324083,Marcão,Braga,1990,Santrafor,Brezilya
662673,Orlando Silva,Braga,1991,Kaleci,Portekiz
738424,Hugo,Braga,1991,Kaleci,Brezilya
1080497,Luís Manuel,Braga,1991,Kaleci,Portekiz
1510815,Carlitos Oliveira,Braga,1991,Defans,Portekiz
34176,Sérgio,Braga,1991,Stoper,Portekiz
117374,Carlos Carvalhal,Braga,1991,Stoper,Portekiz
1275924,Moroni,Braga,1991,Stoper,Brezilya
571454,Rogério Pimenta,Braga,1991,Sol Bek,Portekiz
624586,Nando,Braga,1991,Sağ Bek,Portekiz
1223992,Chico Silva,Braga,1991,Sağ Bek,Portekiz
13962,Barroso,Braga,1991,Ön Libero,Portekiz
1210088,Eusébio,Braga,1991,Ön Libero,Portekiz
1331043,Rogério Leite,Braga,1991,Orta Saha,Portekiz
1099768,Cacioli,Braga,1991,Merkez Orta Saha,Brezilya
1275926,João Mário,Braga,1991,Merkez Orta Saha,Portekiz
216560,Chiquinho Carlos,Braga,1991,On Numara,Brezilya
952175,Fernando Pires,Braga,1991,On Numara,Portekiz
14296,Augusto Gama,Braga,1991,Sağ Kanat,Portekiz
214385,Abel Campos,Braga,1991,Sağ Kanat,Angola
203562,Chiquinho Conde,Braga,1991,Santrafor,Mozambik
266982,Forbs,Braga,1991,Santrafor,Gine-Bissau
676752,João Pedro Sousa,Braga,1991,Santrafor,Portekiz
738425,Vinícius,Braga,1991,Forvet,Brezilya
24936,Rui Correia,Braga,1992,Kaleci,Portekiz
662673,Orlando Silva,Braga,1992,Kaleci,Portekiz
1223991,José Nuno Amaro,Braga,1992,Kaleci,Portekiz
13967,Artur Jorge,Braga,1992,Stoper,Portekiz
34176,Sérgio,Braga,1992,Stoper,Portekiz
16181,King,Braga,1992,Stoper,Brezilya
571454,Rogério Pimenta,Braga,1992,Sol Bek,Portekiz
9829,Secretário,Braga,1992,Sağ Bek,Portekiz
208392,Jorge Ferreira,Braga,1992,Sağ Bek,Portekiz
251307,Zé Nuno Azevedo,Braga,1992,Sağ Bek,Portekiz
520018,Eugénio,Braga,1992,Sağ Bek,Portekiz
1223992,Chico Silva,Braga,1992,Sağ Bek,Portekiz
1210088,Eusébio,Braga,1992,Ön Libero,Portekiz
180629,Kiki,Braga,1992,On Numara,Portekiz
216560,Chiquinho Carlos,Braga,1992,On Numara,Brezilya
756120,Luíz Fernando,Braga,1992,On Numara,Brezilya
952175,Fernando Pires,Braga,1992,On Numara,Portekiz
17351,António Folha,Braga,1992,Sol Kanat,Portekiz
130557,Armando,Braga,1992,Santrafor,Angola
