OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
481138,Perry Digweed,Brighton,1990,Kaleci,İngiltere
13673,Paul McCarthy,Brighton,1990,Defans,İrlanda
409812,Gary Chivers,Brighton,1990,Stoper,İngiltere
644713,Ian Chapman,Brighton,1990,Sol Bek,İngiltere
644715,John Crumplin,Brighton,1990,Sağ Bek,İngiltere
176689,Steve Gatting,Brighton,1990,Ön Libero,İngiltere
350895,Dean Wilkins,Brighton,1990,Orta Saha,İngiltere
587359,Derek McGrath,Brighton,1990,Orta Saha,İrlanda
499508,Mark Barham,Brighton,1990,Orta Saha Sağ,İngiltere
10428,John Robinson,Brighton,1990,Sağ Kanat,Galler
176838,Clive Walker,Brighton,1990,Sağ Kanat,İngiltere
104114,John Byrne,Brighton,1990,Santrafor,İrlanda
171941,Igor Gurinovich,Brighton,1990,Santrafor,Belarus
244029,Mike Small,Brighton,1990,Santrafor,İngiltere
641552,Garry Nelson,Brighton,1990,Santrafor,İngiltere
644716,Bryan Wade,Brighton,1990,Santrafor,İngiltere
644717,Robert Codner,Brighton,1990,Santrafor,İngiltere
107177,Mark Beeney,Brighton,1991,Kaleci,İngiltere
481138,Perry Digweed,Brighton,1991,Kaleci,İngiltere
13673,Paul McCarthy,Brighton,1991,Defans,İrlanda
1003231,Stuart Munday,Brighton,1991,Defans,İngiltere
253957,Gary O'Reilly,Brighton,1991,Stoper,İngiltere
409812,Gary Chivers,Brighton,1991,Stoper,İngiltere
1017360,Nicky Bissett,Brighton,1991,Stoper,İngiltere
222640,Bernie Gallacher,Brighton,1991,Sol Bek,İskoçya
644713,Ian Chapman,Brighton,1991,Sol Bek,İngiltere
644715,John Crumplin,Brighton,1991,Sağ Bek,İngiltere
262189,David Clarkson,Brighton,1991,Orta Saha,Avustralya
350895,Dean Wilkins,Brighton,1991,Orta Saha,İngiltere
587359,Derek McGrath,Brighton,1991,Orta Saha,İrlanda
499508,Mark Barham,Brighton,1991,Orta Saha Sağ,İngiltere
10428,John Robinson,Brighton,1991,Sağ Kanat,Galler
176838,Clive Walker,Brighton,1991,Sağ Kanat,İngiltere
25327,Mark Farrington,Brighton,1991,Forvet,İngiltere
104114,John Byrne,Brighton,1991,Santrafor,İrlanda
360264,Raphael Meade,Brighton,1991,Santrafor,İngiltere
644716,Bryan Wade,Brighton,1991,Santrafor,İngiltere
644717,Robert Codner,Brighton,1991,Santrafor,İngiltere
1002679,Mark Gall,Brighton,1991,Forvet,İngiltere
107177,Mark Beeney,Brighton,1992,Kaleci,İngiltere
13673,Paul McCarthy,Brighton,1992,Defans,İrlanda
