OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
571062,Gheorghe Nitu,Bursaspor,1990,Kaleci,Romanya
573873,Mehmet Tezcan,Bursaspor,1990,Kaleci,Türkiye
597916,Nihat Yüksel,Bursaspor,1990,Kaleci,Türkiye
598398,Nail Tuncak,Bursaspor,1990,Kaleci,Türkiye
614018,Akan Saçı,Bursaspor,1990,Defans,Türkiye
17464,Mesut Ünal,Bursaspor,1990,Stoper,Türkiye
323636,Yalçın Gündüz,Bursaspor,1990,Stoper,Türkiye
358388,Turhan Şen,Bursaspor,1990,Stoper,Türkiye
358389,Adnan Örnek,Bursaspor,1990,Stoper,Türkiye
576538,Taner Ertaş,Bursaspor,1990,Stoper,Türkiye
598641,İsmail Yalçınkaya,Bursaspor,1990,Stoper,Türkiye
599488,Sadri Güler,Bursaspor,1990,Stoper,Türkiye
323645,Salih Salimoğlu,Bursaspor,1990,Sol Bek,Türkiye
576680,Hulusi Bozkurt,Bursaspor,1990,Sol Bek,Türkiye
598142,Nurgut Ak,Bursaspor,1990,Sol Bek,Türkiye
122154,Mircea Rednic,Bursaspor,1990,Sağ Bek,Romanya
572884,Ersel Uzğur,Bursaspor,1990,Sağ Bek,Türkiye
301694,Tuncay Toper,Bursaspor,1990,Orta Saha,Türkiye
574115,Adnan Yıldız,Bursaspor,1990,Orta Saha,Türkiye
301669,Beyhan Çalışkan,Bursaspor,1990,Merkez Orta Saha,Türkiye
576684,Mehmet Aydın,Bursaspor,1990,Merkez Orta Saha,Türkiye
215088,Arif Kocabıyık,Bursaspor,1990,Orta Saha Sağ,Türkiye
597917,Sunay Bilir,Bursaspor,1990,Orta Saha Sağ,Türkiye
379197,Nenad Bijedic,Bursaspor,1990,On Numara,Bosna-Hersek
92232,Ali Nail Durmuş,Bursaspor,1990,On Numara,Türkiye
100903,Andrzej Palasz,Bursaspor,1990,On Numara,Polonya
576683,Çetin Kahrıman,Bursaspor,1990,On Numara,Türkiye
3363,Hakan Şükür,Bursaspor,1990,Santrafor,Türkiye
