OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
96437,Pat Bonner,Celtic,1990,Kaleci,İrlanda
11375,Derek Whyte,Celtic,1990,Stoper,İskoçya
228011,Mike Galloway,Celtic,1990,Stoper,İskoçya
120513,Anton Rogan,Celtic,1990,Stoper,Kuzey İrlanda
170395,Mark McNally,Celtic,1990,Stoper,İskoçya
222499,Paul Elliott,Celtic,1990,Stoper,İngiltere
571668,Lex Baillie,Celtic,1990,Stoper,İskoçya
196677,Dariusz Wdowczyk,Celtic,1990,Sol Bek,Polonya
559999,Paul McLaughlin,Celtic,1990,Sol Bek,İskoçya
104108,Chris Morris,Celtic,1990,Sağ Bek,İrlanda
571669,Dugald McCarrison,Celtic,1990,Orta Saha,İskoçya
101127,Paul McStay,Celtic,1990,Merkez Orta Saha,İskoçya
120507,Peter Grant,Celtic,1990,Merkez Orta Saha,İskoçya
3663,John Collins,Celtic,1990,Orta Saha Sol,İskoçya
12733,Steve Fulton,Celtic,1990,Orta Saha Sol,İskoçya
176694,Martin Hayes,Celtic,1990,Sol Kanat,İngiltere
33730,Joe Miller,Celtic,1990,Sağ Kanat,İskoçya
12823,Gerry Britton,Celtic,1990,Santrafor,İskoçya
102487,Tommy Coyne,Celtic,1990,Santrafor,İrlanda
116152,Charlie Nicholas,Celtic,1990,Santrafor,İskoçya
117230,Dariusz Dziekanowski,Celtic,1990,Santrafor,Polonya
120516,Andy Walker,Celtic,1990,Forvet,İskoçya
130192,John Hewitt,Celtic,1990,Santrafor,İskoçya
170394,Alex Mathie,Celtic,1990,Santrafor,İskoçya
215645,Gerry Creaney,Celtic,1990,Santrafor,İskoçya
12667,Gordon Marshall,Celtic,1991,Kaleci,İskoçya
96437,Pat Bonner,Celtic,1991,Kaleci,İrlanda
11375,Derek Whyte,Celtic,1991,Stoper,İskoçya
228011,Mike Galloway,Celtic,1991,Stoper,İskoçya
669,Brian O'Neil,Celtic,1991,Stoper,İskoçya
