OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
26168,Kevin Hitchcock,Chelsea,1990,Kaleci,İngiltere
10384,Dave Beasant,Chelsea,1990,Kaleci,İngiltere
176800,Roger Freestone,Chelsea,1990,Kaleci,Galler
95371,Erland Johnsen,Chelsea,1990,Stoper,Norveç
107092,David Lee,Chelsea,1990,Stoper,İngiltere
109494,Ken Monkou,Chelsea,1990,Stoper,Hollanda
176789,Jason Cundy,Chelsea,1990,Stoper,İngiltere
3157,Graeme Le Saux,Chelsea,1990,Sol Bek,İngiltere
101324,Tony Dorigo,Chelsea,1990,Sol Bek,İngiltere
107084,Steve Clarke,Chelsea,1990,Sağ Bek,İskoçya
175580,Gareth Hall,Chelsea,1990,Sağ Bek,Galler
4006,Dennis Wise,Chelsea,1990,Ön Libero,İngiltere
176715,Peter Nicholas,Chelsea,1990,Ön Libero,Galler
102498,Andy Townsend,Chelsea,1990,Merkez Orta Saha,İrlanda
107094,Eddie Newton,Chelsea,1990,Merkez Orta Saha,İngiltere
176792,Alan Dickens,Chelsea,1990,Merkez Orta Saha,İngiltere
11319,Craig Burley,Chelsea,1990,On Numara,İskoçya
3334,Graham Stuart,Chelsea,1990,Sağ Kanat,İngiltere
176817,Kevin McAllister,Chelsea,1990,Sağ Kanat,İskoçya
101129,Gordon Durie,Chelsea,1990,Santrafor,İskoçya
117190,Kerry Dixon,Chelsea,1990,Santrafor,İngiltere
176842,Kevin Wilson,Chelsea,1990,Santrafor,Kuzey İrlanda
26168,Kevin Hitchcock,Chelsea,1991,Kaleci,İngiltere
10384,Dave Beasant,Chelsea,1991,Kaleci,İngiltere
176800,Roger Freestone,Chelsea,1991,Kaleci,Galler
3879,Ian Pearce,Chelsea,1991,Stoper,İngiltere
8056,Frank Sinclair,Chelsea,1991,Stoper,Jamaika
95371,Erland Johnsen,Chelsea,1991,Stoper,Norveç
107092,David Lee,Chelsea,1991,Stoper,İngiltere
109494,Ken Monkou,Chelsea,1991,Stoper,Hollanda
135835,Tim Myers,Chelsea,1991,Stoper,Yeni Zelanda
176789,Jason Cundy,Chelsea,1991,Stoper,İngiltere
3157,Graeme Le Saux,Chelsea,1991,Sol Bek,İngiltere
101132,Tom Boyd,Chelsea,1991,Sol Bek,İskoçya
175578,Darren Barnard,Chelsea,1991,Sol Bek,Galler
107084,Steve Clarke,Chelsea,1991,Sağ Bek,İskoçya
175580,Gareth Hall,Chelsea,1991,Sağ Bek,Galler
4006,Dennis Wise,Chelsea,1991,Ön Libero,İngiltere
136042,Vinnie Jones,Chelsea,1991,Ön Libero,Galler
102498,Andy Townsend,Chelsea,1991,Merkez Orta Saha,İrlanda
107094,Eddie Newton,Chelsea,1991,Merkez Orta Saha,İngiltere
176792,Alan Dickens,Chelsea,1991,Merkez Orta Saha,İngiltere
176803,Michael Gilkes,Chelsea,1991,Orta Saha Sol,Barbados
11319,Craig Burley,Chelsea,1991,On Numara,İskoçya
3334,Graham Stuart,Chelsea,1991,Sağ Kanat,İngiltere
176817,Kevin McAllister,Chelsea,1991,Sağ Kanat,İskoçya
15447,Tony Cascarino,Chelsea,1991,Santrafor,İrlanda
101129,Gordon Durie,Chelsea,1991,Santrafor,İskoçya
117190,Kerry Dixon,Chelsea,1991,Santrafor,İngiltere
176672,Clive Allen,Chelsea,1991,Santrafor,İngiltere
176776,Joe Allon,Chelsea,1991,Santrafor,İngiltere
176842,Kevin Wilson,Chelsea,1991,Santrafor,Kuzey İrlanda
26168,Kevin Hitchcock,Chelsea,1992,Kaleci,İngiltere
10384,Dave Beasant,Chelsea,1992,Kaleci,İngiltere
67109,Dmitriy Kharin,Chelsea,1992,Kaleci,Rusya
104115,Gerry Peyton,Chelsea,1992,Kaleci,İrlanda
3879,Ian Pearce,Chelsea,1992,Stoper,İngiltere
8056,Frank Sinclair,Chelsea,1992,Stoper,Jamaika
95371,Erland Johnsen,Chelsea,1992,Stoper,Norveç
107092,David Lee,Chelsea,1992,Stoper,İngiltere
222499,Paul Elliott,Chelsea,1992,Stoper,İngiltere
15058,Andy Myers,Chelsea,1992,Sol Bek,İngiltere
3157,Graeme Le Saux,Chelsea,1992,Sol Bek,İngiltere
3288,Anthony Barness,Chelsea,1992,Sol Bek,İngiltere
117755,Mal Donaghy,Chelsea,1992,Sol Bek,Kuzey İrlanda
175578,Darren Barnard,Chelsea,1992,Sol Bek,Galler
107084,Steve Clarke,Chelsea,1992,Sağ Bek,İskoçya
175580,Gareth Hall,Chelsea,1992,Sağ Bek,Galler
4006,Dennis Wise,Chelsea,1992,Ön Libero,İngiltere
136042,Vinnie Jones,Chelsea,1992,Ön Libero,Galler
175584,Nigel Spackman,Chelsea,1992,Ön Libero,İngiltere
102498,Andy Townsend,Chelsea,1992,Merkez Orta Saha,İrlanda
107094,Eddie Newton,Chelsea,1992,Merkez Orta Saha,İngiltere
222518,Damian Matthew,Chelsea,1992,Merkez Orta Saha,İngiltere
107198,David Hopkin,Chelsea,1992,Orta Saha Sağ,İskoçya
11319,Craig Burley,Chelsea,1992,On Numara,İskoçya
3334,Graham Stuart,Chelsea,1992,Sağ Kanat,İngiltere
13801,Neil Shipperley,Chelsea,1992,Santrafor,İngiltere
15447,Tony Cascarino,Chelsea,1992,Santrafor,İrlanda
27004,John Spencer,Chelsea,1992,Santrafor,İskoçya
175579,Robert Fleck,Chelsea,1992,Santrafor,İskoçya
176776,Joe Allon,Chelsea,1992,Santrafor,İngiltere
176806,Mick Harford,Chelsea,1992,Santrafor,İngiltere
176815,Steve Livingstone,Chelsea,1992,Santrafor,İngiltere
26168,Kevin Hitchcock,Chelsea,1993,Kaleci,İngiltere
67109,Dmitriy Kharin,Chelsea,1993,Kaleci,Rusya
