OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
9668,Dany Verlinden,Club Brugge,1990,Kaleci,Belçika
148942,Hans Galjé,Club Brugge,1990,Kaleci,Belçika
293393,Jurgen Belpaire,Club Brugge,1990,Kaleci,Belçika
120331,Alex Querter,Club Brugge,1990,Libero,Belçika
133922,Cedomir Janevski,Club Brugge,1990,Libero,Kuzey Makedonya
170397,Antonio “Tonny” Mols,Club Brugge,1990,Libero,Belçika
180545,Luc Somers,Club Brugge,1990,Defans,Belçika
117407,László Disztl,Club Brugge,1990,Stoper,Macaristan
120313,Rudy Cossey,Club Brugge,1990,Stoper,Belçika
120330,Pascal Plovie,Club Brugge,1990,Stoper,Belçika
13039,Vital Borkelmans,Club Brugge,1990,Sol Bek,Belçika
120335,Dominique Vanmaele,Club Brugge,1990,Sağ Bek,Belçika
15549,Lorenzo Staelens,Club Brugge,1990,Ön Libero,Belçika
15637,Franky Van der Elst,Club Brugge,1990,Ön Libero,Belçika
120308,Luc Beyens,Club Brugge,1990,Orta Saha,Belçika
120314,Peter Crève,Club Brugge,1990,Orta Saha Sağ,Belçika
120336,Claude Verspaille,Club Brugge,1990,Orta Saha Sağ,Belçika
118147,Jan Ceulemans,Club Brugge,1990,On Numara,Belçika
92287,Daniel Amokachi,Club Brugge,1990,Santrafor,Nijerya
120310,Foeke Booy,Club Brugge,1990,Santrafor,Hollanda
129611,Frank Farina,Club Brugge,1990,Santrafor,Avustralya
247045,Francis Couvreur,Club Brugge,1990,Santrafor,Belçika
250196,Hans Christiaens,Club Brugge,1990,Santrafor,Belçika
9668,Dany Verlinden,Club Brugge,1991,Kaleci,Belçika
148942,Hans Galjé,Club Brugge,1991,Kaleci,Belçika
293393,Jurgen Belpaire,Club Brugge,1991,Kaleci,Belçika
120331,Alex Querter,Club Brugge,1991,Libero,Belçika
170397,Antonio “Tonny” Mols,Club Brugge,1991,Libero,Belçika
180545,Luc Somers,Club Brugge,1991,Defans,Belçika
117407,László Disztl,Club Brugge,1991,Stoper,Macaristan
120313,Rudy Cossey,Club Brugge,1991,Stoper,Belçika
120330,Pascal Plovie,Club Brugge,1991,Stoper,Belçika
13039,Vital Borkelmans,Club Brugge,1991,Sol Bek,Belçika
120335,Dominique Vanmaele,Club Brugge,1991,Sağ Bek,Belçika
15549,Lorenzo Staelens,Club Brugge,1991,Ön Libero,Belçika
15637,Franky Van der Elst,Club Brugge,1991,Ön Libero,Belçika
120308,Luc Beyens,Club Brugge,1991,Orta Saha,Belçika
13119,Marc Schaessens,Club Brugge,1991,Orta Saha Sağ,Belçika
120314,Peter Crève,Club Brugge,1991,Orta Saha Sağ,Belçika
