OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
3629,Nigel Martyn,Crystal Palace,1990,Kaleci,İngiltere
3744,Gareth Southgate,Crystal Palace,1990,Stoper,İngiltere
10034,Richard Shaw,Crystal Palace,1990,Stoper,İngiltere
222309,Andy Thorn,Crystal Palace,1990,Stoper,İngiltere
222546,Eric Young,Crystal Palace,1990,Stoper,Galler
681319,Rudi Hedman,Crystal Palace,1990,Stoper,İngiltere
186012,Paul Bodin,Crystal Palace,1990,Sol Bek,Galler
454796,Mark Dennis,Crystal Palace,1990,Sol Bek,İngiltere
222509,John Humphrey,Crystal Palace,1990,Sağ Bek,İngiltere
13800,Simon Osborn,Crystal Palace,1990,Merkez Orta Saha,İngiltere
102491,Eddie McGoldrick,Crystal Palace,1990,Merkez Orta Saha,İrlanda
222541,Geoff Thomas,Crystal Palace,1990,Merkez Orta Saha,İngiltere
222684,Andy Gray,Crystal Palace,1990,Merkez Orta Saha,İngiltere
359116,Alan Pardew,Crystal Palace,1990,Merkez Orta Saha,İngiltere
221987,Glyn Hodges,Crystal Palace,1990,Orta Saha Sağ,Galler
13423,John Salako,Crystal Palace,1990,Orta Saha Sol,İngiltere
506887,Phil Barber,Crystal Palace,1990,Orta Saha Sol,İngiltere
104637,Ian Wright,Crystal Palace,1990,Santrafor,İngiltere
106811,Stan Collymore,Crystal Palace,1990,Santrafor,İngiltere
222688,Garry Thompson,Crystal Palace,1990,Santrafor,İngiltere
223280,Mark Bright,Crystal Palace,1990,Santrafor,İngiltere
3629,Nigel Martyn,Crystal Palace,1991,Kaleci,İngiltere
4045,Neil Sullivan,Crystal Palace,1991,Kaleci,İskoçya
405299,Perry Suckling,Crystal Palace,1991,Kaleci,İngiltere
3744,Gareth Southgate,Crystal Palace,1991,Stoper,İngiltere
10034,Richard Shaw,Crystal Palace,1991,Stoper,İngiltere
132125,Chris Coleman,Crystal Palace,1991,Stoper,Galler
222309,Andy Thorn,Crystal Palace,1991,Stoper,İngiltere
222546,Eric Young,Crystal Palace,1991,Stoper,Galler
226955,Lee Sinnott,Crystal Palace,1991,Stoper,İngiltere
681319,Rudi Hedman,Crystal Palace,1991,Stoper,İngiltere
10049,Dean Gordon,Crystal Palace,1991,Sol Bek,İngiltere
186012,Paul Bodin,Crystal Palace,1991,Sol Bek,Galler
222509,John Humphrey,Crystal Palace,1991,Sağ Bek,İngiltere
13800,Simon Osborn,Crystal Palace,1991,Merkez Orta Saha,İngiltere
102491,Eddie McGoldrick,Crystal Palace,1991,Merkez Orta Saha,İrlanda
222541,Geoff Thomas,Crystal Palace,1991,Merkez Orta Saha,İngiltere
222684,Andy Gray,Crystal Palace,1991,Merkez Orta Saha,İngiltere
223447,Paul Mortimer,Crystal Palace,1991,Merkez Orta Saha,İngiltere
359116,Alan Pardew,Crystal Palace,1991,Merkez Orta Saha,İngiltere
13423,John Salako,Crystal Palace,1991,Orta Saha Sol,İngiltere
195606,Simon Rodger,Crystal Palace,1991,Orta Saha Sol,İngiltere
