OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
583080,Metin Bayındır,Denizlispor,1990,Kaleci,Türkiye
583084,Mustafa Kocakaya,Denizlispor,1990,Kaleci,Türkiye
892465,Sedat Eser,Denizlispor,1990,Kaleci,Türkiye
583081,Erhan Yığ,Denizlispor,1990,Defans,Türkiye
583082,Yener Tosun,Denizlispor,1990,Defans,Türkiye
583092,Kenan Atay,Denizlispor,1990,Defans,Türkiye
583093,Berkay Yönter,Denizlispor,1990,Defans,Türkiye
621529,Kenan Atik,Denizlispor,1990,Defans,Türkiye
621885,Ali Özyar,Denizlispor,1990,Defans,Türkiye
638220,Abbas Yaşar,Denizlispor,1990,Defans,Türkiye
892558,Ayhan Er,Denizlispor,1990,Defans,Türkiye
214912,Nezihi Tosuncuk,Denizlispor,1990,Stoper,Türkiye
583085,Hayati Şen,Denizlispor,1990,Sağ Bek,Türkiye
621890,Kemal Aktaş,Denizlispor,1990,Orta Saha,Türkiye
583086,Köksal Ferizcan,Denizlispor,1990,Orta Saha,Türkiye
583087,Hüseyin Çoban,Denizlispor,1990,Orta Saha,Türkiye
621889,Tacettin Bakacak,Denizlispor,1990,Orta Saha,Türkiye
673303,İbrahim Emik,Denizlispor,1990,Orta Saha,Türkiye
717669,Erhan Turhan,Denizlispor,1990,Orta Saha,Türkiye
583088,Mesut Bakkal,Denizlispor,1990,Merkez Orta Saha,Türkiye
582802,Cafer Orbay,Denizlispor,1990,Santrafor,Türkiye
583079,Hüseyin Şengül,Denizlispor,1990,Santrafor,Türkiye
583083,Kemal Şahinoğlu,Denizlispor,1990,Santrafor,Türkiye
583091,Ercan Erkavas,Denizlispor,1990,Santrafor,Türkiye
583094,Köksal Şanlı,Denizlispor,1990,Forvet,Türkiye
950383,Levent Avcı,Denizlispor,1990,Forvet,Türkiye
103805,Şanver Göymen,Denizlispor,1991,Kaleci,Türkiye
583080,Metin Bayındır,Denizlispor,1991,Kaleci,Türkiye
583084,Mustafa Kocakaya,Denizlispor,1991,Kaleci,Türkiye
583081,Erhan Yığ,Denizlispor,1991,Defans,Türkiye
583082,Yener Tosun,Denizlispor,1991,Defans,Türkiye
583092,Kenan Atay,Denizlispor,1991,Defans,Türkiye
621529,Kenan Atik,Denizlispor,1991,Defans,Türkiye
621885,Ali Özyar,Denizlispor,1991,Defans,Türkiye
621886,Ahmet Karayakalıoğlu,Denizlispor,1991,Defans,Türkiye
621891,Şevket Diril,Denizlispor,1991,Defans,Türkiye
621893,İbrahim Ogün Özkan,Denizlispor,1991,Defans,Türkiye
638220,Abbas Yaşar,Denizlispor,1991,Defans,Türkiye
621888,Hasan Alumert,Denizlispor,1991,Stoper,Türkiye
621890,Kemal Aktaş,Denizlispor,1991,Orta Saha,Türkiye
574101,Nezih Balcı,Denizlispor,1991,Orta Saha,Türkiye
583087,Hüseyin Çoban,Denizlispor,1991,Orta Saha,Türkiye
621736,Ali Çetin,Denizlispor,1991,Orta Saha,Türkiye
621737,Gültekin Taşkın,Denizlispor,1991,Orta Saha,Türkiye
621887,Tahsin Ongun,Denizlispor,1991,Orta Saha,Türkiye
621889,Tacettin Bakacak,Denizlispor,1991,Orta Saha,Türkiye
299230,Yaşar Alemdaroğlu,Denizlispor,1991,Merkez Orta Saha,Türkiye
583088,Mesut Bakkal,Denizlispor,1991,Merkez Orta Saha,Türkiye
582802,Cafer Orbay,Denizlispor,1991,Santrafor,Türkiye
583083,Kemal Şahinoğlu,Denizlispor,1991,Santrafor,Türkiye
583094,Köksal Şanlı,Denizlispor,1991,Forvet,Türkiye
621892,Tamer Altınmakas,Denizlispor,1991,Forvet,Türkiye
731303,Yasin Evkuran,Denizlispor,1991,Forvet,Türkiye
829250,Feyzi Ünlü,Denizlispor,1991,Forvet,Türkiye
583080,Metin Bayındır,Denizlispor,1992,Kaleci,Türkiye
583084,Mustafa Kocakaya,Denizlispor,1992,Kaleci,Türkiye
574111,Ali Yalçın,Denizlispor,1992,Defans,Türkiye
583081,Erhan Yığ,Denizlispor,1992,Defans,Türkiye
583082,Yener Tosun,Denizlispor,1992,Defans,Türkiye
621529,Kenan Atik,Denizlispor,1992,Defans,Türkiye
621885,Ali Özyar,Denizlispor,1992,Defans,Türkiye
621891,Şevket Diril,Denizlispor,1992,Defans,Türkiye
574003,Erkal Başoğlu,Denizlispor,1992,Stoper,Türkiye
583128,Muharrem Vezir,Denizlispor,1992,Stoper,Türkiye
358390,Şaban Yıldırım,Denizlispor,1992,Sol Bek,Türkiye
621890,Kemal Aktaş,Denizlispor,1992,Orta Saha,Türkiye
7086,İsmet Taşdemir,Denizlispor,1992,Ön Libero,Türkiye
574092,Hasan Sönmez,Denizlispor,1992,Orta Saha,Türkiye
583087,Hüseyin Çoban,Denizlispor,1992,Orta Saha,Türkiye
621736,Ali Çetin,Denizlispor,1992,Orta Saha,Türkiye
621737,Gültekin Taşkın,Denizlispor,1992,Orta Saha,Türkiye
621889,Tacettin Bakacak,Denizlispor,1992,Orta Saha,Türkiye
583088,Mesut Bakkal,Denizlispor,1992,Merkez Orta Saha,Türkiye
572970,Durmuş Ali Çolak,Denizlispor,1992,On Numara,Türkiye
572888,Ali Beykoz,Denizlispor,1992,Santrafor,Türkiye
582802,Cafer Orbay,Denizlispor,1992,Santrafor,Türkiye
583083,Kemal Şahinoğlu,Denizlispor,1992,Santrafor,Türkiye
583094,Köksal Şanlı,Denizlispor,1992,Forvet,Türkiye
621892,Tamer Altınmakas,Denizlispor,1992,Forvet,Türkiye
673259,Ali Tepeler,Denizlispor,1992,Santrafor,Türkiye
583080,Metin Bayındır,Denizlispor,1993,Kaleci,Türkiye
583084,Mustafa Kocakaya,Denizlispor,1993,Kaleci,Türkiye
621740,Rasim Soğuncak,Denizlispor,1993,Kaleci,Türkiye
621741,Mehmet Zaman,Denizlispor,1993,Kaleci,Türkiye
574111,Ali Yalçın,Denizlispor,1993,Defans,Türkiye
583082,Yener Tosun,Denizlispor,1993,Defans,Türkiye
602633,Abdussamet Yiğit,Denizlispor,1993,Defans,Türkiye
621529,Kenan Atik,Denizlispor,1993,Defans,Türkiye
621651,Günal Akça,Denizlispor,1993,Stoper,Türkiye
214914,İsmail Kartal,Denizlispor,1993,Sağ Bek,Türkiye
577965,Murat Küçük,Denizlispor,1993,Sağ Bek,Türkiye
7086,İsmet Taşdemir,Denizlispor,1993,Ön Libero,Türkiye
576685,Ahmet Kilimcioğlu,Denizlispor,1993,Orta Saha,Türkiye
580574,Mustafa Oğur,Denizlispor,1993,Orta Saha,Türkiye
606265,Seyfettin Kurtulmuş,Denizlispor,1993,Orta Saha,Türkiye
621527,Hakan Dolutaş,Denizlispor,1993,Orta Saha,Türkiye
621736,Ali Çetin,Denizlispor,1993,Orta Saha,Türkiye
621737,Gültekin Taşkın,Denizlispor,1993,Orta Saha,Türkiye
621738,Mehmet Ekmekçi,Denizlispor,1993,Orta Saha,Türkiye
633237,Murat Arabacı,Denizlispor,1993,Orta Saha,Türkiye
62651,Kerem Barut,Denizlispor,1993,Orta Saha Sağ,Türkiye
7220,Mutlu Sezer,Denizlispor,1993,On Numara,Türkiye
574032,Fevzi Gündoğdu,Denizlispor,1993,Santrafor,Türkiye
582802,Cafer Orbay,Denizlispor,1993,Santrafor,Türkiye
583083,Kemal Şahinoğlu,Denizlispor,1993,Santrafor,Türkiye
583094,Köksal Şanlı,Denizlispor,1993,Forvet,Türkiye
621477,Kutay Poyraz,Denizlispor,1993,Forvet,Türkiye
621528,Salih Diler,Denizlispor,1993,Forvet,Türkiye
621650,Savaş Akgün,Denizlispor,1993,Forvet,Türkiye
621652,Mehmet Kabak,Denizlispor,1993,Forvet,Türkiye
621739,Ahmet Seçgin,Denizlispor,1993,Forvet,Türkiye
621892,Tamer Altınmakas,Denizlispor,1993,Forvet,Türkiye
116748,Iliya Valov,Denizlispor,1994,Kaleci,Bulgaristan
583080,Metin Bayındır,Denizlispor,1994,Kaleci,Türkiye
583084,Mustafa Kocakaya,Denizlispor,1994,Kaleci,Türkiye
621741,Mehmet Zaman,Denizlispor,1994,Kaleci,Türkiye
574005,Muharrem Eroğlu,Denizlispor,1994,Defans,Türkiye
574111,Ali Yalçın,Denizlispor,1994,Defans,Türkiye
583082,Yener Tosun,Denizlispor,1994,Defans,Türkiye
16694,Cihat Arslan,Denizlispor,1994,Stoper,Türkiye
152380,Ilija Najdoski,Denizlispor,1994,Stoper,Kuzey Makedonya
561315,Murat Doğansoy,Denizlispor,1994,Stoper,Türkiye
621651,Günal Akça,Denizlispor,1994,Stoper,Türkiye
577965,Murat Küçük,Denizlispor,1994,Sağ Bek,Türkiye
7086,İsmet Taşdemir,Denizlispor,1994,Ön Libero,Türkiye
606265,Seyfettin Kurtulmuş,Denizlispor,1994,Orta Saha,Türkiye
621527,Hakan Dolutaş,Denizlispor,1994,Orta Saha,Türkiye
621736,Ali Çetin,Denizlispor,1994,Orta Saha,Türkiye
633237,Murat Arabacı,Denizlispor,1994,Orta Saha,Türkiye
981,Musemestre Bamba,Denizlispor,1994,Orta Saha Sağ,Kongo DC
92262,Metin Diyadin,Denizlispor,1994,Orta Saha Sol,Türkiye
534363,Necmettin Inan,Denizlispor,1994,Orta Saha Sol,Türkiye
7220,Mutlu Sezer,Denizlispor,1994,On Numara,Türkiye
324010,Mehmet Altıparmak,Denizlispor,1994,On Numara,Türkiye
221603,Milan Kashmerov,Denizlispor,1994,Santrafor,Bulgaristan
574032,Fevzi Gündoğdu,Denizlispor,1994,Santrafor,Türkiye
582802,Cafer Orbay,Denizlispor,1994,Santrafor,Türkiye
583083,Kemal Şahinoğlu,Denizlispor,1994,Santrafor,Türkiye
583094,Köksal Şanlı,Denizlispor,1994,Forvet,Türkiye
583124,Muhammet Dilaver,Denizlispor,1994,Santrafor,Türkiye
621477,Kutay Poyraz,Denizlispor,1994,Forvet,Türkiye
621528,Salih Diler,Denizlispor,1994,Forvet,Türkiye
621650,Savaş Akgün,Denizlispor,1994,Forvet,Türkiye
621652,Mehmet Kabak,Denizlispor,1994,Forvet,Türkiye
621739,Ahmet Seçgin,Denizlispor,1994,Forvet,Türkiye
661888,Amir Alibaz,Denizlispor,1994,Santrafor,Türkiye
266417,Zafer Öğer,Denizlispor,1995,Kaleci,Türkiye
583084,Mustafa Kocakaya,Denizlispor,1995,Kaleci,Türkiye
621741,Mehmet Zaman,Denizlispor,1995,Kaleci,Türkiye
670863,Ali Müslüm Oğraş,Denizlispor,1995,Kaleci,Türkiye
574111,Ali Yalçın,Denizlispor,1995,Defans,Türkiye
676366,Fatih Akarsu,Denizlispor,1995,Defans,Türkiye
677870,Berkay Özgür,Denizlispor,1995,Defans,Türkiye
8696,Semavi Uzun,Denizlispor,1995,Stoper,Türkiye
106899,Gosho Ginchev,Denizlispor,1995,Stoper,Bulgaristan
561315,Murat Doğansoy,Denizlispor,1995,Stoper,Türkiye
576536,Kadri Sancak,Denizlispor,1995,Stoper,Türkiye
621651,Günal Akça,Denizlispor,1995,Stoper,Türkiye
662857,Cüneyt Aksu,Denizlispor,1995,Stoper,Türkiye
171962,Mustafa Karakaya,Denizlispor,1995,Orta Saha,Türkiye
606265,Seyfettin Kurtulmuş,Denizlispor,1995,Orta Saha,Türkiye
621527,Hakan Dolutaş,Denizlispor,1995,Orta Saha,Türkiye
350058,Sevket Candar,Denizlispor,1995,Merkez Orta Saha,Bulgaristan
16071,Tamer Tuna,Denizlispor,1995,Orta Saha Sağ,Türkiye
534363,Necmettin Inan,Denizlispor,1995,Orta Saha Sol,Türkiye
7220,Mutlu Sezer,Denizlispor,1995,On Numara,Türkiye
324010,Mehmet Altıparmak,Denizlispor,1995,On Numara,Türkiye
92230,Mecnur Çolak,Denizlispor,1995,Santrafor,Türkiye
92848,Mustafa Ceviz,Denizlispor,1995,Forvet,Türkiye
115909,Hasan Şermet,Denizlispor,1995,Forvet,Türkiye
223099,Zafer Tüzün,Denizlispor,1995,Santrafor,Türkiye
482257,Richard Njok,Denizlispor,1995,Santrafor,Kamerun
621650,Savaş Akgün,Denizlispor,1995,Forvet,Türkiye
621892,Tamer Altınmakas,Denizlispor,1995,Forvet,Türkiye
661878,David Njok,Denizlispor,1995,Santrafor,Fransa
661888,Amir Alibaz,Denizlispor,1995,Santrafor,Türkiye
676429,Kaseem Yebsaya,Denizlispor,1995,Forvet,Nijerya
324026,Abdullah Kılıç,Denizlispor,1996,Kaleci,Türkiye
583084,Mustafa Kocakaya,Denizlispor,1996,Kaleci,Türkiye
621741,Mehmet Zaman,Denizlispor,1996,Kaleci,Türkiye
670863,Ali Müslüm Oğraş,Denizlispor,1996,Kaleci,Türkiye
688112,Nail Alköse,Denizlispor,1996,Kaleci,Türkiye
574111,Ali Yalçın,Denizlispor,1996,Defans,Türkiye
676748,Gökhan Kılavuz,Denizlispor,1996,Defans,Türkiye
677870,Berkay Özgür,Denizlispor,1996,Defans,Türkiye
688126,Hasan Hüseyin Tavlı,Denizlispor,1996,Defans,Türkiye
688664,Tacettin Bilal Hatman,Denizlispor,1996,Defans,Türkiye
7313,Erman Güraçar,Denizlispor,1996,Stoper,Türkiye
114629,Yaşar Işık,Denizlispor,1996,Stoper,Türkiye
561315,Murat Doğansoy,Denizlispor,1996,Stoper,Türkiye
634228,Zoran Djuric,Denizlispor,1996,Stoper,Sırbistan
658585,İlker Daşbulak,Denizlispor,1996,Stoper,Türkiye
662857,Cüneyt Aksu,Denizlispor,1996,Stoper,Türkiye
823020,Ömer Karadağ,Denizlispor,1996,Orta Saha,Türkiye
7107,Levent Kartop,Denizlispor,1996,Ön Libero,Türkiye
115897,Yuriy Shelepnytskyi,Denizlispor,1996,Ön Libero,Ukrayna
387887,Ali Işık,Denizlispor,1996,Orta Saha,Türkiye
606265,Seyfettin Kurtulmuş,Denizlispor,1996,Orta Saha,Türkiye
621527,Hakan Dolutaş,Denizlispor,1996,Orta Saha,Türkiye
666994,Cemal Çıldır,Denizlispor,1996,Orta Saha,Türkiye
676747,Ivica Milivojev,Denizlispor,1996,Orta Saha,Sırbistan
857374,Bülent İpkin,Denizlispor,1996,Orta Saha,Türkiye
350058,Sevket Candar,Denizlispor,1996,Merkez Orta Saha,Bulgaristan
16071,Tamer Tuna,Denizlispor,1996,Orta Saha Sağ,Türkiye
7034,Yusuf Şimşek,Denizlispor,1996,On Numara,Türkiye
