OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
134174,Viktor Chanov,Dinamo Kiev,1990,Kaleci,Ukrayna
88158,Aleksandr Zhidkov,Dinamo Kiev,1990,Kaleci,Azerbaycan
93319,Igor Kutepov,Dinamo Kiev,1990,Kaleci,Ukrayna
187546,Valdemaras Martinkenas,Dinamo Kiev,1990,Kaleci,Litvanya
779841,Svyatoslav Syrota,Dinamo Kiev,1990,Kaleci,Ukrayna
101037,Akhrik Tsveiba,Dinamo Kiev,1990,Libero,Rusya
966455,Dmytro Zubakha,Dinamo Kiev,1990,Defans,Ukrayna
96524,Sergiy Shmatovalenko,Dinamo Kiev,1990,Stoper,Ukrayna
214162,Boris Derkach,Dinamo Kiev,1990,Stoper,Ukrayna
101021,Oleg Kuznetsov,Dinamo Kiev,1990,Stoper,Ukrayna
102596,Vladislav Ternavskiy,Dinamo Kiev,1990,Stoper,Rusya
178674,Anatoliy Bezsmertnyi,Dinamo Kiev,1990,Stoper,Ukrayna
209544,Sergiy Zayets,Dinamo Kiev,1990,Stoper,Ukrayna
117378,Anatoliy Demyanenko,Dinamo Kiev,1990,Sol Bek,Ukrayna
209545,Yuriy Moroz,Dinamo Kiev,1990,Sol Bek,Ukrayna
244049,Yuriy Aksenov,Dinamo Kiev,1990,Sol Bek,Kazakistan
3196,Oleg Luzhnyi,Dinamo Kiev,1990,Sağ Bek,Ukrayna
117371,Volodymyr Bezsonov,Dinamo Kiev,1990,Sağ Bek,Ukrayna
117395,Pavlo Yakovenko,Dinamo Kiev,1990,Ön Libero,Ukrayna
178673,Andriy Annenkov,Dinamo Kiev,1990,Ön Libero,Ukrayna
209546,Andrey Aleksanenkov,Dinamo Kiev,1990,Ön Libero,Rusya
358918,Vitaliy Mintenko,Dinamo Kiev,1990,Orta Saha,Ukrayna
117370,Andriy Bal,Dinamo Kiev,1990,Merkez Orta Saha,Ukrayna
209548,Stepan Betsa,Dinamo Kiev,1990,Merkez Orta Saha,Ukrayna
88142,Gennadiy Lytovchenko,Dinamo Kiev,1990,Merkez Orta Saha,Ukrayna
178675,Yuriy Gritsyna,Dinamo Kiev,1990,Merkez Orta Saha,Ukrayna
209547,Viktor Moroz,Dinamo Kiev,1990,Merkez Orta Saha,Ukrayna
117396,Ivan Yaremchuk,Dinamo Kiev,1990,Orta Saha Sağ,Ukrayna
106540,Vasyl Rats,Dinamo Kiev,1990,Orta Saha Sol,Ukrayna
107039,Sergiy Kovalets,Dinamo Kiev,1990,On Numara,Ukrayna
175951,Volodymyr Sharan,Dinamo Kiev,1990,On Numara,Ukrayna
358917,Mykola Yurchenko,Dinamo Kiev,1990,Forvet Arkası,Ukrayna
86709,Oleg Matveyev,Dinamo Kiev,1990,Santrafor,Ukrayna
85424,Sergey Yuran,Dinamo Kiev,1990,Santrafor,Rusya
88147,Oleg Salenko,Dinamo Kiev,1990,Santrafor,Rusya
93319,Igor Kutepov,Dinamo Kiev,1991,Kaleci,Ukrayna
187546,Valdemaras Martinkenas,Dinamo Kiev,1991,Kaleci,Litvanya
101037,Akhrik Tsveiba,Dinamo Kiev,1991,Libero,Rusya
958391,Oleksandr Golovko,Dinamo Kiev,1991,Defans,Ukrayna
966455,Dmytro Zubakha,Dinamo Kiev,1991,Defans,Ukrayna
96524,Sergiy Shmatovalenko,Dinamo Kiev,1991,Stoper,Ukrayna
214162,Boris Derkach,Dinamo Kiev,1991,Stoper,Ukrayna
102596,Vladislav Ternavskiy,Dinamo Kiev,1991,Stoper,Rusya
178674,Anatoliy Bezsmertnyi,Dinamo Kiev,1991,Stoper,Ukrayna
209544,Sergiy Zayets,Dinamo Kiev,1991,Stoper,Ukrayna
155119,Ervand Sukiasyan,Dinamo Kiev,1991,Sol Bek,Ermenistan
209545,Yuriy Moroz,Dinamo Kiev,1991,Sol Bek,Ukrayna
3196,Oleg Luzhnyi,Dinamo Kiev,1991,Sağ Bek,Ukrayna
117395,Pavlo Yakovenko,Dinamo Kiev,1991,Ön Libero,Ukrayna
178673,Andriy Annenkov,Dinamo Kiev,1991,Ön Libero,Ukrayna
209546,Andrey Aleksanenkov,Dinamo Kiev,1991,Ön Libero,Rusya
209549,Oleg Volotjok,Dinamo Kiev,1991,Orta Saha,Ukrayna
358918,Vitaliy Mintenko,Dinamo Kiev,1991,Orta Saha,Ukrayna
209548,Stepan Betsa,Dinamo Kiev,1991,Merkez Orta Saha,Ukrayna
178675,Yuriy Gritsyna,Dinamo Kiev,1991,Merkez Orta Saha,Ukrayna
209547,Viktor Moroz,Dinamo Kiev,1991,Merkez Orta Saha,Ukrayna
107039,Sergiy Kovalets,Dinamo Kiev,1991,On Numara,Ukrayna
175951,Volodymyr Sharan,Dinamo Kiev,1991,On Numara,Ukrayna
15389,Valeriy Esipov,Dinamo Kiev,1991,Sağ Kanat,Rusya
358917,Mykola Yurchenko,Dinamo Kiev,1991,Forvet Arkası,Ukrayna
86709,Oleg Matveyev,Dinamo Kiev,1991,Santrafor,Ukrayna
88147,Oleg Salenko,Dinamo Kiev,1991,Santrafor,Rusya
107652,Viktor Leonenko,Dinamo Kiev,1991,Santrafor,Ukrayna
209550,Gintaras Kvitkauskas,Dinamo Kiev,1991,Forvet,Litvanya
493853,Oleg Nikulin,Dinamo Kiev,1991,Santrafor,Rusya
93319,Igor Kutepov,Dinamo Kiev,1992,Kaleci,Ukrayna
187546,Valdemaras Martinkenas,Dinamo Kiev,1992,Kaleci,Litvanya
779841,Svyatoslav Syrota,Dinamo Kiev,1992,Kaleci,Ukrayna
101037,Akhrik Tsveiba,Dinamo Kiev,1992,Libero,Rusya
411866,Mykola Zuenko,Dinamo Kiev,1992,Defans,Ukrayna
96524,Sergiy Shmatovalenko,Dinamo Kiev,1992,Stoper,Ukrayna
178674,Anatoliy Bezsmertnyi,Dinamo Kiev,1992,Stoper,Ukrayna
209544,Sergiy Zayets,Dinamo Kiev,1992,Stoper,Ukrayna
510029,Vyacheslav Khruslov,Dinamo Kiev,1992,Stoper,Ukrayna
117378,Anatoliy Demyanenko,Dinamo Kiev,1992,Sol Bek,Ukrayna
155119,Ervand Sukiasyan,Dinamo Kiev,1992,Sol Bek,Ermenistan
178676,Vitaliy Ponomarenko,Dinamo Kiev,1992,Sol Bek,Ukrayna
209545,Yuriy Moroz,Dinamo Kiev,1992,Sol Bek,Ukrayna
3196,Oleg Luzhnyi,Dinamo Kiev,1992,Sağ Bek,Ukrayna
117395,Pavlo Yakovenko,Dinamo Kiev,1992,Ön Libero,Ukrayna
178673,Andriy Annenkov,Dinamo Kiev,1992,Ön Libero,Ukrayna
209546,Andrey Aleksanenkov,Dinamo Kiev,1992,Ön Libero,Rusya
209549,Oleg Volotjok,Dinamo Kiev,1992,Orta Saha,Ukrayna
239345,Igoris Pankratjevas,Dinamo Kiev,1992,Ön Libero,Litvanya
358918,Vitaliy Mintenko,Dinamo Kiev,1992,Orta Saha,Ukrayna
209548,Stepan Betsa,Dinamo Kiev,1992,Merkez Orta Saha,Ukrayna
178675,Yuriy Gritsyna,Dinamo Kiev,1992,Merkez Orta Saha,Ukrayna
514030,Andriy Zavyalov,Dinamo Kiev,1992,Merkez Orta Saha,Türkmenistan
557179,Viktor Belkin,Dinamo Kiev,1992,Merkez Orta Saha,Ukrayna
178679,Dmytro Topchiev,Dinamo Kiev,1992,Orta Saha Sol,Ukrayna
25842,Pavlo Shkapenko,Dinamo Kiev,1992,On Numara,Ukrayna
59869,Sergiy Mizin,Dinamo Kiev,1992,On Numara,Ukrayna
107039,Sergiy Kovalets,Dinamo Kiev,1992,On Numara,Ukrayna
175951,Volodymyr Sharan,Dinamo Kiev,1992,On Numara,Ukrayna
3122,Sergiy Rebrov,Dinamo Kiev,1992,Forvet Arkası,Ukrayna
107652,Viktor Leonenko,Dinamo Kiev,1992,Santrafor,Ukrayna
9775,Oleksandr Shovkovskyi,Dinamo Kiev,1993,Kaleci,Ukrayna
93319,Igor Kutepov,Dinamo Kiev,1993,Kaleci,Ukrayna
187546,Valdemaras Martinkenas,Dinamo Kiev,1993,Kaleci,Litvanya
190291,Andriy Kovtun,Dinamo Kiev,1993,Kaleci,Ukrayna
1013165,Igor Taran,Dinamo Kiev,1993,Defans,Ukrayna
96524,Sergiy Shmatovalenko,Dinamo Kiev,1993,Stoper,Ukrayna
9781,Sergiy Fedorov,Dinamo Kiev,1993,Stoper,Ukrayna
15114,Vladyslav Vashchuk,Dinamo Kiev,1993,Stoper,Ukrayna
178674,Anatoliy Bezsmertnyi,Dinamo Kiev,1993,Stoper,Ukrayna
510029,Vyacheslav Khruslov,Dinamo Kiev,1993,Stoper,Ukrayna
178676,Vitaliy Ponomarenko,Dinamo Kiev,1993,Sol Bek,Ukrayna
96458,Andriy Khomyn,Dinamo Kiev,1993,Sağ Bek,Ukrayna
3196,Oleg Luzhnyi,Dinamo Kiev,1993,Sağ Bek,Ukrayna
178673,Andriy Annenkov,Dinamo Kiev,1993,Ön Libero,Ukrayna
358918,Vitaliy Mintenko,Dinamo Kiev,1993,Orta Saha,Ukrayna
15063,Maksim Demenko,Dinamo Kiev,1993,Merkez Orta Saha,Rusya
