OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
594,Thomas Ernst,E. Frankfurt,1990,Kaleci,Almanya
14835,Ulrich Stein,E. Frankfurt,1990,Kaleci,Almanya
1523,Manfred Binz,E. Frankfurt,1990,Libero,Almanya
97898,Michael Klein,E. Frankfurt,1990,Libero,Almanya
97899,Thomas Klepper,E. Frankfurt,1990,Libero,Almanya
39781,Karl-Heinz Körbel,E. Frankfurt,1990,Stoper,Almanya
437,Uwe Bindewald,E. Frankfurt,1990,Stoper,Almanya
22768,Alexander Conrad,E. Frankfurt,1990,Stoper,Almanya
95058,Dietmar Roth,E. Frankfurt,1990,Stoper,Almanya
97901,Andre Köhler,E. Frankfurt,1990,Stoper,Almanya
201012,Leo Caic,E. Frankfurt,1990,Stoper,Almanya
40124,Ralf Falkenmayer,E. Frankfurt,1990,Ön Libero,Almanya
14832,Peter Hobday,E. Frankfurt,1990,Ön Libero,İngiltere
97895,Christian Heide,E. Frankfurt,1990,Orta Saha,Almanya
97902,Thomas Lasser,E. Frankfurt,1990,Ön Libero,Almanya
97904,Björn Pistauer,E. Frankfurt,1990,Ön Libero,Almanya
84673,Ralf Sievers,E. Frankfurt,1990,Orta Saha Sağ,Almanya
454,Ralf Weber,E. Frankfurt,1990,Orta Saha Sol,Almanya
4720,Stefan Studer,E. Frankfurt,1990,Orta Saha Sol,Almanya
40122,Uwe Bein,E. Frankfurt,1990,On Numara,Almanya
124,Andreas Möller,E. Frankfurt,1990,On Numara,Almanya
11473,David Wagner,E. Frankfurt,1990,Santrafor,Amerika Birleşik Devletleri
39770,Janusz Turowski,E. Frankfurt,1990,Santrafor,Polonya
328,Anthony Yeboah,E. Frankfurt,1990,Santrafor,Gana
3506,Jørn Andersen,E. Frankfurt,1990,Santrafor,Norveç
6607,Axel Kruse,E. Frankfurt,1990,Santrafor,Almanya
17948,Dieter Eckstein,E. Frankfurt,1990,Santrafor,Almanya
78749,Lothar Sippel,E. Frankfurt,1990,Santrafor,Almanya
85590,Heinz Gründel,E. Frankfurt,1990,Santrafor,Almanya
594,Thomas Ernst,E. Frankfurt,1991,Kaleci,Almanya
14835,Ulrich Stein,E. Frankfurt,1991,Kaleci,Almanya
