OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
824797,Suat Aksoy,Erzurumspor,1995,Forvet,Türkiye
1196583,Ahmet Büyükalemdar,Erzurumspor,2000,Kaleci,Türkiye
1196583,Ahmet Büyükalemdar,Erzurumspor,2001,Kaleci,Türkiye
719069,Fatih Özbayraktar,Erzurumspor,2001,Orta Saha,Türkiye
1196583,Ahmet Büyükalemdar,Erzurumspor,2002,Kaleci,Türkiye
1376747,Fatih Şaşmaz,Erzurumspor,2005,Defans,Türkiye
958560,Mehmet Yıldırım,Erzurumspor,2005,Forvet,Türkiye
1196583,Ahmet Büyükalemdar,Erzurumspor,2006,Kaleci,Türkiye
669544,Tolga Köprülü,Erzurumspor,2007,Kaleci,Türkiye
683110,Murathan Karagöl,Erzurumspor,2007,Orta Saha,Türkiye
85167,Abdullah Hün,Erzurumspor,2010,Stoper,Türkiye
7242,Remzi Acet,Erzurumspor,2010,On Numara,Türkiye
839473,Abdullah Koparan,Erzurumspor,2010,Santrafor,Türkiye
72126,Rasim Mutlu,Erzurumspor,2011,Kaleci,Türkiye
51798,Metin Kanar,Erzurumspor,2011,Kaleci,Türkiye
669382,Sefa Altay,Erzurumspor,2011,Kaleci,Türkiye
401249,Murat Şahin,Erzurumspor,2011,Defans,Türkiye
314833,Ufuk Karabulut,Erzurumspor,2011,Stoper,Türkiye
144447,Uğur Kuru,Erzurumspor,2011,Stoper,Türkiye
144441,Mehmet Murat Gülbaba,Erzurumspor,2011,Stoper,Türkiye
288972,Dede Çelik,Erzurumspor,2011,Stoper,Türkiye
251808,Mert Aydın,Erzurumspor,2011,Stoper,Türkiye
292538,Tarık Tekdal,Erzurumspor,2011,Stoper,Türkiye
25478,Ferhat Yayla,Erzurumspor,2011,Sol Bek,Türkiye
137613,Serhad Kaya,Erzurumspor,2011,Sol Bek,Türkiye
144207,Cabir Coşar,Erzurumspor,2011,Ön Libero,Türkiye
294927,Emre Celik,Erzurumspor,2011,Ön Libero,Türkiye
671612,Ersin Sen,Erzurumspor,2011,Orta Saha,Türkiye
670276,Muhammet Emin Bayoglu,Erzurumspor,2011,Orta Saha,Türkiye
668804,Serkan Zaimoğlu,Erzurumspor,2011,Merkez Orta Saha,Türkiye
138347,Burak Küçüköner,Erzurumspor,2011,Merkez Orta Saha,Türkiye
116858,Emrah Bayram,Erzurumspor,2011,Orta Saha Sağ,Türkiye
6992,Musa Ballı,Erzurumspor,2011,Sol Kanat,Türkiye
125179,Mustafa Öztürk,Erzurumspor,2011,Sağ Kanat,Türkiye
291805,Güner Okay,Erzurumspor,2011,Sağ Kanat,Türkiye
169884,Mehmet Türk,Erzurumspor,2011,Forvet Arkası,Türkiye
134539,Habib Uzun,Erzurumspor,2011,Santrafor,Türkiye
394893,Tarik Aksoy,Erzurumspor,2011,Forvet,Belçika
288692,Volkan Serim,Erzurumspor,2011,Santrafor,Türkiye
294239,Volkan Bayram,Erzurumspor,2011,Santrafor,Türkiye
185757,Lokman Atakol,Erzurumspor,2012,Kaleci,Türkiye
188948,İsmail Türkaslan,Erzurumspor,2012,Stoper,Türkiye
267548,Erdinç Pekgöz,Erzurumspor,2012,Stoper,Türkiye
182851,Samet Altuntas,Erzurumspor,2012,Sol Bek,Türkiye
248239,Ekrem Sütçü,Erzurumspor,2012,On Numara,Türkiye
67567,Fatih Arat,Erzurumspor,2012,Santrafor,Türkiye
217015,Cihan Atak,Erzurumspor,2013,Kaleci,Türkiye
247930,Hüseyin Daş,Erzurumspor,2013,Kaleci,Türkiye
291796,İlker Günay,Erzurumspor,2013,Kaleci,Türkiye
314961,Neset Özgür Özoglu,Erzurumspor,2013,Kaleci,Türkiye
293678,Sila Gülüm,Erzurumspor,2013,Kaleci,Türkiye
230933,Furkan Çağlın,Erzurumspor,2013,Defans,Türkiye
96328,Onur Demir,Erzurumspor,2013,Stoper,Türkiye
103376,Fatih Gültekin,Erzurumspor,2013,Stoper,Türkiye
188948,İsmail Türkaslan,Erzurumspor,2013,Stoper,Türkiye
267548,Erdinç Pekgöz,Erzurumspor,2013,Stoper,Türkiye
