OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
616009,Tahir Aksoy,Eskişehirspor,1990,Kaleci,Türkiye
625703,Serkan Topkaya,Eskişehirspor,1990,Kaleci,Türkiye
615739,Çetin Yurtşen,Eskişehirspor,1990,Defans,Türkiye
616008,Alaettin Çiçek,Eskişehirspor,1990,Defans,Türkiye
820255,Ender Yildiz,Eskişehirspor,1990,Defans,Türkiye
1259473,Semih Üsküp,Eskişehirspor,1990,Defans,Türkiye
604049,Halit Kök,Eskişehirspor,1990,Stoper,Türkiye
604015,Sinan Kahraman,Eskişehirspor,1990,Orta Saha,Türkiye
616010,Ömer Belgin,Eskişehirspor,1990,Orta Saha,Türkiye
629831,Selim Öztoprak,Eskişehirspor,1990,Orta Saha,Türkiye
640900,Zekir Keskin,Eskişehirspor,1990,Orta Saha,Türkiye
820253,Orhan Önemlibıçak,Eskişehirspor,1990,Orta Saha,Türkiye
950959,Nazmi Gül,Eskişehirspor,1990,Orta Saha,Türkiye
1289746,Yavuz Memigüven,Eskişehirspor,1990,Orta Saha,Türkiye
299230,Yaşar Alemdaroğlu,Eskişehirspor,1990,Merkez Orta Saha,Türkiye
147884,Ayhan Hüseyinoğlu,Eskişehirspor,1990,On Numara,Türkiye
702622,Metin Aydın,Eskişehirspor,1990,Sol Kanat,Türkiye
114905,Naser Beadini,Eskişehirspor,1990,Santrafor,Kuzey Makedonya
223100,Erdoğan Yılmaz,Eskişehirspor,1990,Santrafor,Türkiye
615737,İrfan Koçak,Eskişehirspor,1990,Forvet,Türkiye
615738,Namık Koyuncu,Eskişehirspor,1990,Forvet,Türkiye
658572,Ali Rıza Heper,Eskişehirspor,1990,Forvet,Türkiye
825561,Mehmet Aşık,Eskişehirspor,1990,Santrafor,Türkiye
7249,Ömer Çatkıç,Eskişehirspor,1991,Kaleci,Türkiye
616009,Tahir Aksoy,Eskişehirspor,1991,Kaleci,Türkiye
625703,Serkan Topkaya,Eskişehirspor,1991,Kaleci,Türkiye
820256,Halil Başargan,Eskişehirspor,1991,Kaleci,Türkiye
583093,Berkay Yönter,Eskişehirspor,1991,Defans,Türkiye
615739,Çetin Yurtşen,Eskişehirspor,1991,Defans,Türkiye
616008,Alaettin Çiçek,Eskişehirspor,1991,Defans,Türkiye
819683,Özkan Yaşar,Eskişehirspor,1991,Defans,Türkiye
819687,Mesut Babayiğit,Eskişehirspor,1991,Defans,Türkiye
820255,Ender Yildiz,Eskişehirspor,1991,Defans,Türkiye
825560,Mehmet Solak,Eskişehirspor,1991,Defans,Türkiye
604049,Halit Kök,Eskişehirspor,1991,Stoper,Türkiye
21714,Veysel Kupan,Eskişehirspor,1991,Orta Saha,Türkiye
576698,Zafer Derici,Eskişehirspor,1991,Orta Saha,Türkiye
578137,Murat Sönmez,Eskişehirspor,1991,Ön Libero,Türkiye
604015,Sinan Kahraman,Eskişehirspor,1991,Orta Saha,Türkiye
604032,Volkan Şahinkol,Eskişehirspor,1991,Orta Saha,Türkiye
616010,Ömer Belgin,Eskişehirspor,1991,Orta Saha,Türkiye
811173,Mustafa Bankoğlu,Eskişehirspor,1991,Orta Saha,Türkiye
819684,Yücel Kandemir,Eskişehirspor,1991,Orta Saha,Türkiye
820253,Orhan Önemlibıçak,Eskişehirspor,1991,Orta Saha,Türkiye
821266,Levent Kuslugil,Eskişehirspor,1991,Orta Saha,Türkiye
147884,Ayhan Hüseyinoğlu,Eskişehirspor,1991,On Numara,Türkiye
336601,Kayhan Kaynak,Eskişehirspor,1991,Santrafor,Türkiye
223100,Erdoğan Yılmaz,Eskişehirspor,1991,Santrafor,Türkiye
615737,İrfan Koçak,Eskişehirspor,1991,Forvet,Türkiye
615738,Namık Koyuncu,Eskişehirspor,1991,Forvet,Türkiye
658572,Ali Rıza Heper,Eskişehirspor,1991,Forvet,Türkiye
819691,Nedret Sezen,Eskişehirspor,1991,Forvet,Türkiye
825561,Mehmet Aşık,Eskişehirspor,1991,Santrafor,Türkiye
826211,İrfan Şener,Eskişehirspor,1991,Forvet,Türkiye
7249,Ömer Çatkıç,Eskişehirspor,1992,Kaleci,Türkiye
625703,Serkan Topkaya,Eskişehirspor,1992,Kaleci,Türkiye
583093,Berkay Yönter,Eskişehirspor,1992,Defans,Türkiye
615739,Çetin Yurtşen,Eskişehirspor,1992,Defans,Türkiye
666997,Akın Durgaç,Eskişehirspor,1992,Defans,Türkiye
825560,Mehmet Solak,Eskişehirspor,1992,Defans,Türkiye
996656,Necmi Erpek,Eskişehirspor,1992,Defans,Türkiye
604049,Halit Kök,Eskişehirspor,1992,Stoper,Türkiye
21714,Veysel Kupan,Eskişehirspor,1992,Orta Saha,Türkiye
666999,Engin Hasgül,Eskişehirspor,1992,Orta Saha,Türkiye
604015,Sinan Kahraman,Eskişehirspor,1992,Orta Saha,Türkiye
604032,Volkan Şahinkol,Eskişehirspor,1992,Orta Saha,Türkiye
811173,Mustafa Bankoğlu,Eskişehirspor,1992,Orta Saha,Türkiye
147884,Ayhan Hüseyinoğlu,Eskişehirspor,1992,On Numara,Türkiye
574026,Cevdet Çapar,Eskişehirspor,1992,Santrafor,Türkiye
586396,Serdar Şener,Eskişehirspor,1992,Forvet,Türkiye
615737,İrfan Koçak,Eskişehirspor,1992,Forvet,Türkiye
658572,Ali Rıza Heper,Eskişehirspor,1992,Forvet,Türkiye
739212,Hakan Saral,Eskişehirspor,1992,Forvet,Türkiye
7249,Ömer Çatkıç,Eskişehirspor,1993,Kaleci,Türkiye
625703,Serkan Topkaya,Eskişehirspor,1993,Kaleci,Türkiye
668397,Metin Akdemir,Eskişehirspor,1993,Kaleci,Türkiye
583093,Berkay Yönter,Eskişehirspor,1993,Defans,Türkiye
615739,Çetin Yurtşen,Eskişehirspor,1993,Defans,Türkiye
825560,Mehmet Solak,Eskişehirspor,1993,Defans,Türkiye
996656,Necmi Erpek,Eskişehirspor,1993,Defans,Türkiye
1051519,Tayfun Küçükler,Eskişehirspor,1993,Defans,Türkiye
601055,Fevzi Açıkgöz,Eskişehirspor,1993,Stoper,Türkiye
604049,Halit Kök,Eskişehirspor,1993,Stoper,Türkiye
21714,Veysel Kupan,Eskişehirspor,1993,Orta Saha,Türkiye
666999,Engin Hasgül,Eskişehirspor,1993,Orta Saha,Türkiye
604015,Sinan Kahraman,Eskişehirspor,1993,Orta Saha,Türkiye
604032,Volkan Şahinkol,Eskişehirspor,1993,Orta Saha,Türkiye
666992,Metin Arvas,Eskişehirspor,1993,Orta Saha,Türkiye
666994,Cemal Çıldır,Eskişehirspor,1993,Orta Saha,Türkiye
147884,Ayhan Hüseyinoğlu,Eskişehirspor,1993,On Numara,Türkiye
