OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
114777,Şevki Ekşi,Eyüpspor,1990,Kaleci,Türkiye
868106,Hakan Çolak,Eyüpspor,1990,Kaleci,Türkiye
868107,Adnan Keskin,Eyüpspor,1990,Defans,Türkiye
868109,Murat Karakale,Eyüpspor,1990,Defans,Türkiye
868125,Erdal Yüzer,Eyüpspor,1990,Defans,Türkiye
868142,Metin Kaygın,Eyüpspor,1990,Defans,Türkiye
827689,Faruk Demir,Eyüpspor,1990,Sol Bek,Türkiye
868108,Aydan Keskin,Eyüpspor,1990,Orta Saha,Türkiye
868110,Kemal Mercangül,Eyüpspor,1990,Orta Saha,Türkiye
633028,Barış Çakır,Eyüpspor,1990,Merkez Orta Saha,Türkiye
615735,Bekir Kahraman,Eyüpspor,1990,Forvet,Türkiye
632222,Hüseyin Sarıçan,Eyüpspor,1990,Forvet,Türkiye
637982,Ahmet Tekeşin,Eyüpspor,1990,Forvet,Türkiye
719068,Nejdet Erdem,Eyüpspor,1990,Forvet,Türkiye
822969,Kenan Oktay,Eyüpspor,1990,Forvet,Türkiye
822990,Erkan Serin,Eyüpspor,1990,Forvet,Türkiye
822994,Nurettin Özlü,Eyüpspor,1990,Forvet,Türkiye
868111,Beytullah Ercan,Eyüpspor,1990,Forvet,Türkiye
868112,Arif Sarıkaya,Eyüpspor,1990,Forvet,Türkiye
868143,Raif Öztürk,Eyüpspor,1990,Santrafor,Türkiye
114777,Şevki Ekşi,Eyüpspor,1991,Kaleci,Türkiye
868106,Hakan Çolak,Eyüpspor,1991,Kaleci,Türkiye
639296,Suat Ak,Eyüpspor,1991,Defans,Türkiye
868107,Adnan Keskin,Eyüpspor,1991,Defans,Türkiye
868109,Murat Karakale,Eyüpspor,1991,Defans,Türkiye
868142,Metin Kaygın,Eyüpspor,1991,Defans,Türkiye
575914,Ergin Parlar,Eyüpspor,1991,Stoper,Türkiye
586713,İlker Kırmızıgül,Eyüpspor,1991,Sol Bek,Türkiye
868108,Aydan Keskin,Eyüpspor,1991,Orta Saha,Türkiye
868110,Kemal Mercangül,Eyüpspor,1991,Orta Saha,Türkiye
373684,Sami Kökten,Eyüpspor,1991,Orta Saha Sol,Türkiye
632222,Hüseyin Sarıçan,Eyüpspor,1991,Forvet,Türkiye
718694,Yaşar Çevikel,Eyüpspor,1991,Forvet,Türkiye
719068,Nejdet Erdem,Eyüpspor,1991,Forvet,Türkiye
730909,Necati Erdoğan,Eyüpspor,1991,Forvet,Türkiye
839479,Meriç Güven,Eyüpspor,1991,Santrafor,Türkiye
868111,Beytullah Ercan,Eyüpspor,1991,Forvet,Türkiye
868143,Raif Öztürk,Eyüpspor,1991,Santrafor,Türkiye
879673,Saffet İşler,Eyüpspor,1991,Forvet,Türkiye
114777,Şevki Ekşi,Eyüpspor,1992,Kaleci,Türkiye
1426516,Sedat Şengel,Eyüpspor,1992,Kaleci,Türkiye
639296,Suat Ak,Eyüpspor,1992,Defans,Türkiye
868107,Adnan Keskin,Eyüpspor,1992,Defans,Türkiye
868142,Metin Kaygın,Eyüpspor,1992,Defans,Türkiye
949418,Zeki Selçik,Eyüpspor,1992,Defans,Türkiye
868108,Aydan Keskin,Eyüpspor,1992,Orta Saha,Türkiye
868110,Kemal Mercangül,Eyüpspor,1992,Orta Saha,Türkiye
373684,Sami Kökten,Eyüpspor,1992,Orta Saha Sol,Türkiye
583096,Burak Sadık Dilmen,Eyüpspor,1992,Sol Kanat,Türkiye
866925,Cihan Karaca,Eyüpspor,1992,Forvet,Türkiye
719068,Nejdet Erdem,Eyüpspor,1992,Forvet,Türkiye
730909,Necati Erdoğan,Eyüpspor,1992,Forvet,Türkiye
820560,Kemal Fatih Hayırcı,Eyüpspor,1992,Forvet,Türkiye
868111,Beytullah Ercan,Eyüpspor,1992,Forvet,Türkiye
1322330,Yusuf Silan,Eyüpspor,1992,Forvet,Türkiye
601220,Alp Pehlivan,Eyüpspor,1993,Kaleci,Türkiye
1426516,Sedat Şengel,Eyüpspor,1993,Kaleci,Türkiye
584095,Zafer Koç,Eyüpspor,1993,Defans,Türkiye
639296,Suat Ak,Eyüpspor,1993,Defans,Türkiye
739091,Şerif Çelik,Eyüpspor,1993,Defans,Türkiye
868107,Adnan Keskin,Eyüpspor,1993,Defans,Türkiye
868142,Metin Kaygın,Eyüpspor,1993,Defans,Türkiye
949418,Zeki Selçik,Eyüpspor,1993,Defans,Türkiye
964187,Şerif Hasanoğlu,Eyüpspor,1993,Sol Bek,Türkiye
732600,Muhammet Yılmaz,Eyüpspor,1993,Orta Saha,Türkiye
831362,İsmet Albayrak,Eyüpspor,1993,Orta Saha,Türkiye
868108,Aydan Keskin,Eyüpspor,1993,Orta Saha,Türkiye
868110,Kemal Mercangül,Eyüpspor,1993,Orta Saha,Türkiye
866925,Cihan Karaca,Eyüpspor,1993,Forvet,Türkiye
730909,Necati Erdoğan,Eyüpspor,1993,Forvet,Türkiye
830071,Tuncay Terzi,Eyüpspor,1993,Forvet,Türkiye
868111,Beytullah Ercan,Eyüpspor,1993,Forvet,Türkiye
1033170,Cüneyt Toygün,Eyüpspor,1993,Forvet,Türkiye
1040760,Emin Uslu,Eyüpspor,1993,Forvet,Türkiye
652630,Adnan Başaran,Eyüpspor,1994,Kaleci,Türkiye
820587,Ahmet Rauf Akan,Eyüpspor,1994,Kaleci,Türkiye
739091,Şerif Çelik,Eyüpspor,1994,Defans,Türkiye
868107,Adnan Keskin,Eyüpspor,1994,Defans,Türkiye
732600,Muhammet Yılmaz,Eyüpspor,1994,Orta Saha,Türkiye
831362,İsmet Albayrak,Eyüpspor,1994,Orta Saha,Türkiye
868110,Kemal Mercangül,Eyüpspor,1994,Orta Saha,Türkiye
617246,Ergun Erikdemir,Eyüpspor,1994,Forvet,Türkiye
868111,Beytullah Ercan,Eyüpspor,1994,Forvet,Türkiye
868112,Arif Sarıkaya,Eyüpspor,1994,Forvet,Türkiye
639296,Suat Ak,Eyüpspor,1995,Defans,Türkiye
739091,Şerif Çelik,Eyüpspor,1995,Defans,Türkiye
823009,Cemal Oral,Eyüpspor,1995,Defans,Türkiye
868107,Adnan Keskin,Eyüpspor,1995,Defans,Türkiye
1556376,Salih Yılmaz,Eyüpspor,1995,Defans,Türkiye
1469081,Rahmi Kalkan,Eyüpspor,1995,Ön Libero,Türkiye
673259,Ali Tepeler,Eyüpspor,1995,Santrafor,Türkiye
868112,Arif Sarıkaya,Eyüpspor,1995,Forvet,Türkiye
169817,Güner Topçu,Eyüpspor,1996,Kaleci,Türkiye
819784,Ramiz Çöl,Eyüpspor,1996,Kaleci,Türkiye
868106,Hakan Çolak,Eyüpspor,1996,Kaleci,Türkiye
739091,Şerif Çelik,Eyüpspor,1996,Defans,Türkiye
821287,Alpaslan Aydın,Eyüpspor,1996,Defans,Türkiye
830070,İbrahim Akın,Eyüpspor,1996,Defans,Türkiye
868107,Adnan Keskin,Eyüpspor,1996,Defans,Türkiye
673259,Ali Tepeler,Eyüpspor,1996,Santrafor,Türkiye
823585,Muzaffer Bahadır Çakır,Eyüpspor,1996,Forvet,Türkiye
868112,Arif Sarıkaya,Eyüpspor,1996,Forvet,Türkiye
956363,Birol Gezer,Eyüpspor,1996,Forvet,Türkiye
58723,Halit Matlı,Eyüpspor,1997,Kaleci,Türkiye
