OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
961601,Yusuf Köknar,Fatih Karagümrük,1990,Kaleci,Türkiye
961693,Senih Yaban,Fatih Karagümrük,1990,Kaleci,Türkiye
582477,Husein Nedjat,Fatih Karagümrük,1990,Defans,Bosna-Hersek
882551,Süha Özkan,Fatih Karagümrük,1990,Libero,Türkiye
961604,Gürcan Özcan,Fatih Karagümrük,1990,Defans,Türkiye
961605,İslam Hacıoğlu,Fatih Karagümrük,1990,Defans,Türkiye
961627,Yener Akpulat,Fatih Karagümrük,1990,Defans,Türkiye
1041732,Fahri Çakar,Fatih Karagümrük,1990,Defans,Türkiye
824890,Mustafa Uruçoğlu,Fatih Karagümrük,1990,Stoper,Türkiye
839449,Yılmaz Akı,Fatih Karagümrük,1990,Sağ Bek,Türkiye
917523,Ercan Altay,Fatih Karagümrük,1990,Orta Saha,Türkiye
961602,Salih Demen,Fatih Karagümrük,1990,Orta Saha,Türkiye
961626,Erkan Er,Fatih Karagümrük,1990,Orta Saha,Türkiye
4752,Oktay Derelioğlu,Fatih Karagümrük,1990,Santrafor,Türkiye
574015,Selçuk Bıyıklı,Fatih Karagümrük,1990,Santrafor,Türkiye
583569,Hamdi Yıldırım,Fatih Karagümrük,1990,Forvet,Türkiye
646936,Bülent Bilge,Fatih Karagümrük,1990,Forvet,Türkiye
830067,Altan Kurtbaş,Fatih Karagümrük,1990,Santrafor,Türkiye
839450,Yavuz Özkan,Fatih Karagümrük,1990,Forvet,Türkiye
839451,Cemal Hotan,Fatih Karagümrük,1990,Santrafor,Türkiye
961603,Süleyman Güre,Fatih Karagümrük,1990,Forvet,Türkiye
961624,Bülent Ufuk Melikoğlu,Fatih Karagümrük,1990,Forvet,Türkiye
961625,Ergin Demir,Fatih Karagümrük,1990,Forvet,Türkiye
1041731,Sadun Narlıtepe,Fatih Karagümrük,1990,Forvet,Türkiye
652630,Adnan Başaran,Fatih Karagümrük,1991,Kaleci,Türkiye
961693,Senih Yaban,Fatih Karagümrük,1991,Kaleci,Türkiye
582477,Husein Nedjat,Fatih Karagümrük,1991,Defans,Bosna-Hersek
961604,Gürcan Özcan,Fatih Karagümrük,1991,Defans,Türkiye
961605,İslam Hacıoğlu,Fatih Karagümrük,1991,Defans,Türkiye
961627,Yener Akpulat,Fatih Karagümrük,1991,Defans,Türkiye
1041732,Fahri Çakar,Fatih Karagümrük,1991,Defans,Türkiye
68262,Bülent Yenihayat,Fatih Karagümrük,1991,Stoper,Türkiye
839449,Yılmaz Akı,Fatih Karagümrük,1991,Sağ Bek,Türkiye
114646,Tarkan Alkan,Fatih Karagümrük,1991,Orta Saha,Türkiye
576650,Özgen Kulbay,Fatih Karagümrük,1991,Orta Saha,Türkiye
961602,Salih Demen,Fatih Karagümrük,1991,Orta Saha,Türkiye
961626,Erkan Er,Fatih Karagümrük,1991,Orta Saha,Türkiye
574033,Atilla Bülbül,Fatih Karagümrük,1991,On Numara,Türkiye
4752,Oktay Derelioğlu,Fatih Karagümrük,1991,Santrafor,Türkiye
583569,Hamdi Yıldırım,Fatih Karagümrük,1991,Forvet,Türkiye
839451,Cemal Hotan,Fatih Karagümrük,1991,Santrafor,Türkiye
961624,Bülent Ufuk Melikoğlu,Fatih Karagümrük,1991,Forvet,Türkiye
961625,Ergin Demir,Fatih Karagümrük,1991,Forvet,Türkiye
1041731,Sadun Narlıtepe,Fatih Karagümrük,1991,Forvet,Türkiye
961693,Senih Yaban,Fatih Karagümrük,1992,Kaleci,Türkiye
931154,Aydın Sever,Fatih Karagümrük,1992,Defans,Türkiye
961605,İslam Hacıoğlu,Fatih Karagümrük,1992,Defans,Türkiye
1041577,Metin Aydemir,Fatih Karagümrük,1992,Defans,Türkiye
68262,Bülent Yenihayat,Fatih Karagümrük,1992,Stoper,Türkiye
839449,Yılmaz Akı,Fatih Karagümrük,1992,Sağ Bek,Türkiye
114646,Tarkan Alkan,Fatih Karagümrük,1992,Orta Saha,Türkiye
961602,Salih Demen,Fatih Karagümrük,1992,Orta Saha,Türkiye
6909,Serdar Topraktepe,Fatih Karagümrük,1992,Sol Kanat,Türkiye
839451,Cemal Hotan,Fatih Karagümrük,1992,Santrafor,Türkiye
839479,Meriç Güven,Fatih Karagümrük,1992,Santrafor,Türkiye
961603,Süleyman Güre,Fatih Karagümrük,1992,Forvet,Türkiye
1041731,Sadun Narlıtepe,Fatih Karagümrük,1992,Forvet,Türkiye
223088,Abdülkerim Durmaz,Fatih Karagümrük,1993,Libero,Türkiye
68262,Bülent Yenihayat,Fatih Karagümrük,1993,Stoper,Türkiye
839449,Yılmaz Akı,Fatih Karagümrük,1993,Sağ Bek,Türkiye
6909,Serdar Topraktepe,Fatih Karagümrük,1993,Sol Kanat,Türkiye
839479,Meriç Güven,Fatih Karagümrük,1993,Santrafor,Türkiye
223088,Abdülkerim Durmaz,Fatih Karagümrük,1994,Libero,Türkiye
866195,İbrahim Yiğit,Fatih Karagümrük,1994,Defans,Türkiye
839449,Yılmaz Akı,Fatih Karagümrük,1994,Sağ Bek,Türkiye
839479,Meriç Güven,Fatih Karagümrük,1994,Santrafor,Türkiye
1355989,Cumhur Tunçmay,Fatih Karagümrük,1994,Forvet,Türkiye
1370556,Şükrü Sebat,Fatih Karagümrük,1994,Forvet,Türkiye
666865,Özgür Güngör,Fatih Karagümrük,1995,Kaleci,Türkiye
866195,İbrahim Yiğit,Fatih Karagümrük,1995,Defans,Türkiye
1041571,Erol Günay,Fatih Karagümrük,1995,Defans,Türkiye
839449,Yılmaz Akı,Fatih Karagümrük,1995,Sağ Bek,Türkiye
605040,Barış Apa,Fatih Karagümrük,1995,Orta Saha,Türkiye
1050408,Serkan Irmak,Fatih Karagümrük,1995,Orta Saha,Türkiye
666881,Onur Tütüncü,Fatih Karagümrük,1995,Forvet,Türkiye
881428,Bülent Şimşek,Fatih Karagümrük,1995,Forvet,Türkiye
1355989,Cumhur Tunçmay,Fatih Karagümrük,1995,Forvet,Türkiye
1370556,Şükrü Sebat,Fatih Karagümrük,1995,Forvet,Türkiye
866195,İbrahim Yiğit,Fatih Karagümrük,1996,Defans,Türkiye
1041571,Erol Günay,Fatih Karagümrük,1996,Defans,Türkiye
839449,Yılmaz Akı,Fatih Karagümrük,1996,Sağ Bek,Türkiye
29651,Bülent Samancı,Fatih Karagümrük,1996,Orta Saha,Türkiye
953197,Ayhan Özcan,Fatih Karagümrük,1996,Orta Saha,Türkiye
