OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
8683,Alper Mutlu Özel,Fenerbahçe,1992,Kaleci,Türkiye
92224,Engin İpekoğlu,Fenerbahçe,1992,Kaleci,Türkiye
324015,Altay Dağdelen,Fenerbahçe,1992,Kaleci,Türkiye
601167,Can Okuyucu,Fenerbahçe,1992,Kaleci,Türkiye
7209,Burhan Saatçioğlu,Fenerbahçe,1992,Libero,Türkiye
25477,Nuri Kamburoğlu,Fenerbahçe,1992,Stoper,Türkiye
92241,Müjdat Yetkiner,Fenerbahçe,1992,Stoper,Türkiye
114627,Gökhan Gedikali,Fenerbahçe,1992,Stoper,Türkiye
586398,Selahattin Gözoğlu,Fenerbahçe,1992,Stoper,Türkiye
92242,Semih Yuvakuran,Fenerbahçe,1992,Sol Bek,Türkiye
214911,Şenol Ustaömer,Fenerbahçe,1992,Sol Bek,Türkiye
335769,Ülken Durak,Fenerbahçe,1992,Sol Bek,Türkiye
7166,İlker Yağcıoğlu,Fenerbahçe,1992,Sağ Bek,Türkiye
92223,Ahmet Suphi Evke,Fenerbahçe,1992,Sağ Bek,Türkiye
214914,İsmail Kartal,Fenerbahçe,1992,Sağ Bek,Türkiye
114638,Turhan Sofuoğlu,Fenerbahçe,1992,Ön Libero,Türkiye
605040,Barış Apa,Fenerbahçe,1992,Orta Saha,Türkiye
606730,Şevki Murat Arslanoğlu,Fenerbahçe,1992,Orta Saha,Türkiye
92221,Oğuz Çetin,Fenerbahçe,1992,Merkez Orta Saha,Türkiye
92231,Gerson Caçapa,Fenerbahçe,1992,Merkez Orta Saha,Brezilya
301668,Ümit Birol,Fenerbahçe,1992,Orta Saha Sağ,Türkiye
729,Dzoni Novak,Fenerbahçe,1992,Orta Saha Sol,Slovenya
120376,Mustafa Yücedağ,Fenerbahçe,1992,On Numara,Türkiye
92222,Rıdvan Dilmen,Fenerbahçe,1992,On Numara,Türkiye
214917,Hakan Tecimer,Fenerbahçe,1992,Sağ Kanat,Türkiye
90976,Tanju Çolak,Fenerbahçe,1992,Santrafor,Türkiye
92131,Faruk Korkmaz,Fenerbahçe,1992,Santrafor,Türkiye
92225,Aykut Kocaman,Fenerbahçe,1992,Santrafor,Türkiye
92237,Stanimir Stoilov,Fenerbahçe,1992,Santrafor,Bulgaristan
92224,Engin İpekoğlu,Fenerbahçe,1993,Kaleci,Türkiye
324015,Altay Dağdelen,Fenerbahçe,1993,Kaleci,Türkiye
578000,Kazım Konak,Fenerbahçe,1993,Kaleci,Türkiye
7209,Burhan Saatçioğlu,Fenerbahçe,1993,Libero,Türkiye
607794,Kerem Şenel,Fenerbahçe,1993,Defans,Türkiye
3379,Emre Aşık,Fenerbahçe,1993,Stoper,Türkiye
25477,Nuri Kamburoğlu,Fenerbahçe,1993,Stoper,Türkiye
84563,Andreas Wagenhaus,Fenerbahçe,1993,Stoper,Almanya
92241,Müjdat Yetkiner,Fenerbahçe,1993,Stoper,Türkiye
102313,Uche Okechukwu,Fenerbahçe,1993,Stoper,Nijerya
92242,Semih Yuvakuran,Fenerbahçe,1993,Sol Bek,Türkiye
633030,Ayvaz Moralı,Fenerbahçe,1993,Sol Bek,Türkiye
7166,İlker Yağcıoğlu,Fenerbahçe,1993,Sağ Bek,Türkiye
6869,Tayfur Havutçu,Fenerbahçe,1993,Ön Libero,Türkiye
92236,Kemalettin Şentürk,Fenerbahçe,1993,Ön Libero,Türkiye
576693,Batur Altıparmak,Fenerbahçe,1993,Ön Libero,Türkiye
92221,Oğuz Çetin,Fenerbahçe,1993,Merkez Orta Saha,Türkiye
22907,Brian Steen Nielsen,Fenerbahçe,1993,Orta Saha Sol,Danimarka
92222,Rıdvan Dilmen,Fenerbahçe,1993,On Numara,Türkiye
92240,Bülent Uygun,Fenerbahçe,1993,On Numara,Türkiye
29501,Aygün Taşkıran,Fenerbahçe,1993,Sol Kanat,Türkiye
115179,Cengiz Alp,Fenerbahçe,1993,Sol Kanat,Türkiye
214917,Hakan Tecimer,Fenerbahçe,1993,Sağ Kanat,Türkiye
92230,Mecnur Çolak,Fenerbahçe,1993,Santrafor,Türkiye
67751,Demir Hotic,Fenerbahçe,1993,Santrafor,Bosna-Hersek
92225,Aykut Kocaman,Fenerbahçe,1993,Santrafor,Türkiye
607482,Sadettin Demirtaş,Fenerbahçe,1993,Santrafor,Türkiye
613575,Volkan Alpacar,Fenerbahçe,1993,Santrafor,Türkiye
4077,Rüştü Reçber,Fenerbahçe,1994,Kaleci,Türkiye
6942,Murat Şahin,Fenerbahçe,1994,Kaleci,Türkiye
92224,Engin İpekoğlu,Fenerbahçe,1994,Kaleci,Türkiye
578000,Kazım Konak,Fenerbahçe,1994,Kaleci,Türkiye
7209,Burhan Saatçioğlu,Fenerbahçe,1994,Libero,Türkiye
3379,Emre Aşık,Fenerbahçe,1994,Stoper,Türkiye
25477,Nuri Kamburoğlu,Fenerbahçe,1994,Stoper,Türkiye
92241,Müjdat Yetkiner,Fenerbahçe,1994,Stoper,Türkiye
102313,Uche Okechukwu,Fenerbahçe,1994,Stoper,Nijerya
92242,Semih Yuvakuran,Fenerbahçe,1994,Sol Bek,Türkiye
633030,Ayvaz Moralı,Fenerbahçe,1994,Sol Bek,Türkiye
7166,İlker Yağcıoğlu,Fenerbahçe,1994,Sağ Bek,Türkiye
92234,Toprak Kırtoğlu,Fenerbahçe,1994,Sağ Bek,Türkiye
6869,Tayfur Havutçu,Fenerbahçe,1994,Ön Libero,Türkiye
92236,Kemalettin Şentürk,Fenerbahçe,1994,Ön Libero,Türkiye
92221,Oğuz Çetin,Fenerbahçe,1994,Merkez Orta Saha,Türkiye
22907,Brian Steen Nielsen,Fenerbahçe,1994,Orta Saha Sol,Danimarka
92222,Rıdvan Dilmen,Fenerbahçe,1994,On Numara,Türkiye
92232,Ali Nail Durmuş,Fenerbahçe,1994,On Numara,Türkiye
92240,Bülent Uygun,Fenerbahçe,1994,On Numara,Türkiye
29501,Aygün Taşkıran,Fenerbahçe,1994,Sol Kanat,Türkiye
214917,Hakan Tecimer,Fenerbahçe,1994,Sağ Kanat,Türkiye
92230,Mecnur Çolak,Fenerbahçe,1994,Santrafor,Türkiye
6729,Frank Pingel,Fenerbahçe,1994,Santrafor,Danimarka
92225,Aykut Kocaman,Fenerbahçe,1994,Santrafor,Türkiye
92239,Feyyaz Uçar,Fenerbahçe,1994,Santrafor,Türkiye
4077,Rüştü Reçber,Fenerbahçe,1995,Kaleci,Türkiye
6942,Murat Şahin,Fenerbahçe,1995,Kaleci,Türkiye
92224,Engin İpekoğlu,Fenerbahçe,1995,Kaleci,Türkiye
3379,Emre Aşık,Fenerbahçe,1995,Stoper,Türkiye
7134,Saffet Akbaş,Fenerbahçe,1995,Stoper,Türkiye
102313,Uche Okechukwu,Fenerbahçe,1995,Stoper,Nijerya
102755,Jes Høgh,Fenerbahçe,1995,Stoper,Danimarka
427,Erol Bulut,Fenerbahçe,1995,Sol Bek,Türkiye
7166,İlker Yağcıoğlu,Fenerbahçe,1995,Sağ Bek,Türkiye
509796,Mustafa Özer,Fenerbahçe,1995,Sağ Bek,Türkiye
6905,Ahmet Yıldırım,Fenerbahçe,1995,Ön Libero,Türkiye
35279,Serkan Reçber,Fenerbahçe,1995,Ön Libero,Türkiye
92236,Kemalettin Şentürk,Fenerbahçe,1995,Ön Libero,Türkiye
675469,Mustafa Katip,Fenerbahçe,1995,Orta Saha,Türkiye
