OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
3150,Ed de Goey,Feyenoord,1990,Kaleci,Hollanda
4180,Harald Wapenaar,Feyenoord,1990,Kaleci,Hollanda
186323,Ricardo de Jongh,Feyenoord,1990,Kaleci,Hollanda
186324,Rob Grauwmeijer,Feyenoord,1990,Kaleci,Hollanda
150621,John Metgod,Feyenoord,1990,Libero,Hollanda
150622,Paul Nortan,Feyenoord,1990,Defans,Hollanda
186322,Rene Brochard,Feyenoord,1990,Defans,Hollanda
7292,Remco Schol,Feyenoord,1990,Stoper,Hollanda
85437,Gerrit Plomp,Feyenoord,1990,Stoper,Hollanda
101758,John de Wolf,Feyenoord,1990,Stoper,Hollanda
101996,Henk Fraser,Feyenoord,1990,Stoper,Hollanda
107129,Ruud Heus,Feyenoord,1990,Sol Bek,Hollanda
186325,Jerry Smith,Feyenoord,1990,Sol Bek,Hollanda
92229,Ulrich van Gobbel,Feyenoord,1990,Sağ Bek,Hollanda
117260,Sjaak Troost,Feyenoord,1990,Sağ Bek,Hollanda
4455,Alfred Schreuder,Feyenoord,1990,Ön Libero,Hollanda
107139,Arnold Scholten,Feyenoord,1990,Ön Libero,Hollanda
148542,Marchanno Schultz,Feyenoord,1990,Orta Saha,Hollanda
186327,André Wasiman,Feyenoord,1990,Orta Saha,Hollanda
4574,Raymond Victoria,Feyenoord,1990,Merkez Orta Saha,Curacao
104071,Ovidiu Sabău,Feyenoord,1990,Merkez Orta Saha,Romanya
150916,Ton Lokhoff,Feyenoord,1990,Orta Saha Sağ,Hollanda
101053,Rob Witschge,Feyenoord,1990,Orta Saha Sol,Hollanda
107125,Regi Blinker,Feyenoord,1990,Sol Kanat,Hollanda
15550,Gaston Taument,Feyenoord,1990,Sağ Kanat,Hollanda
25327,Mark Farrington,Feyenoord,1990,Forvet,İngiltere
106963,Stanislav Griga,Feyenoord,1990,Santrafor,Slovakya
117416,József Kiprich,Feyenoord,1990,Santrafor,Macaristan
150834,Piet Keur,Feyenoord,1990,Santrafor,Hollanda
186320,Dwight Blackson,Feyenoord,1990,Forvet,Hollanda
186326,Harry van der Laan,Feyenoord,1990,Santrafor,Hollanda
3150,Ed de Goey,Feyenoord,1991,Kaleci,Hollanda
4180,Harald Wapenaar,Feyenoord,1991,Kaleci,Hollanda
186324,Rob Grauwmeijer,Feyenoord,1991,Kaleci,Hollanda
150621,John Metgod,Feyenoord,1991,Libero,Hollanda
150622,Paul Nortan,Feyenoord,1991,Defans,Hollanda
7292,Remco Schol,Feyenoord,1991,Stoper,Hollanda
85437,Gerrit Plomp,Feyenoord,1991,Stoper,Hollanda
101758,John de Wolf,Feyenoord,1991,Stoper,Hollanda
101996,Henk Fraser,Feyenoord,1991,Stoper,Hollanda
107129,Ruud Heus,Feyenoord,1991,Sol Bek,Hollanda
186325,Jerry Smith,Feyenoord,1991,Sol Bek,Hollanda
92229,Ulrich van Gobbel,Feyenoord,1991,Sağ Bek,Hollanda
117260,Sjaak Troost,Feyenoord,1991,Sağ Bek,Hollanda
4455,Alfred Schreuder,Feyenoord,1991,Ön Libero,Hollanda
4708,Peter Bosz,Feyenoord,1991,Ön Libero,Hollanda
107139,Arnold Scholten,Feyenoord,1991,Ön Libero,Hollanda
148542,Marchanno Schultz,Feyenoord,1991,Orta Saha,Hollanda
104071,Ovidiu Sabău,Feyenoord,1991,Merkez Orta Saha,Romanya
101053,Rob Witschge,Feyenoord,1991,Orta Saha Sol,Hollanda
107125,Regi Blinker,Feyenoord,1991,Sol Kanat,Hollanda
15550,Gaston Taument,Feyenoord,1991,Sağ Kanat,Hollanda
25327,Mark Farrington,Feyenoord,1991,Forvet,İngiltere
106963,Stanislav Griga,Feyenoord,1991,Santrafor,Slovakya
117416,József Kiprich,Feyenoord,1991,Santrafor,Macaristan
180677,Marian Damaschin,Feyenoord,1991,Forvet,Romanya
3150,Ed de Goey,Feyenoord,1992,Kaleci,Hollanda
4180,Harald Wapenaar,Feyenoord,1992,Kaleci,Hollanda
4485,Rob van Dijk,Feyenoord,1992,Kaleci,Hollanda
501896,Mukwayanzo Bulayima,Feyenoord,1992,Kaleci,Kongo DC
150621,John Metgod,Feyenoord,1992,Libero,Hollanda
150622,Paul Nortan,Feyenoord,1992,Defans,Hollanda
7292,Remco Schol,Feyenoord,1992,Stoper,Hollanda
99757,Errol Refos,Feyenoord,1992,Stoper,Hollanda
101758,John de Wolf,Feyenoord,1992,Stoper,Hollanda
101996,Henk Fraser,Feyenoord,1992,Stoper,Hollanda
107129,Ruud Heus,Feyenoord,1992,Sol Bek,Hollanda
92229,Ulrich van Gobbel,Feyenoord,1992,Sağ Bek,Hollanda
4455,Alfred Schreuder,Feyenoord,1992,Ön Libero,Hollanda
4708,Peter Bosz,Feyenoord,1992,Ön Libero,Hollanda
107139,Arnold Scholten,Feyenoord,1992,Ön Libero,Hollanda
107142,Orlando Trustfull,Feyenoord,1992,Ön Libero,Hollanda
148542,Marchanno Schultz,Feyenoord,1992,Orta Saha,Hollanda
3335,Bobby Petta,Feyenoord,1992,Orta Saha Sol,Hollanda
101053,Rob Witschge,Feyenoord,1992,Orta Saha Sol,Hollanda
107125,Regi Blinker,Feyenoord,1992,Sol Kanat,Hollanda
15550,Gaston Taument,Feyenoord,1992,Sağ Kanat,Hollanda
17955,Arnar Gunnlaugsson,Feyenoord,1992,Sağ Kanat,İzlanda
107128,Dean Gorré,Feyenoord,1992,Sağ Kanat,Hollanda
102001,John van Loen,Feyenoord,1992,Santrafor,Hollanda
117416,József Kiprich,Feyenoord,1992,Santrafor,Macaristan
127756,Mike Obiku,Feyenoord,1992,Santrafor,Nijerya
180677,Marian Damaschin,Feyenoord,1992,Forvet,Romanya
223772,Lloyd Kammeron,Feyenoord,1992,Santrafor,Hollanda
3150,Ed de Goey,Feyenoord,1993,Kaleci,Hollanda
4485,Rob van Dijk,Feyenoord,1993,Kaleci,Hollanda
150621,John Metgod,Feyenoord,1993,Libero,Hollanda
18511,Harvey Esajas,Feyenoord,1993,Stoper,Hollanda
99757,Errol Refos,Feyenoord,1993,Stoper,Hollanda
101758,John de Wolf,Feyenoord,1993,Stoper,Hollanda
101996,Henk Fraser,Feyenoord,1993,Stoper,Hollanda
107129,Ruud Heus,Feyenoord,1993,Sol Bek,Hollanda
3191,Giovanni van Bronckhorst,Feyenoord,1993,Sol Bek,Hollanda
92229,Ulrich van Gobbel,Feyenoord,1993,Sağ Bek,Hollanda
344,Rob Maas,Feyenoord,1993,Ön Libero,Hollanda
4708,Peter Bosz,Feyenoord,1993,Ön Libero,Hollanda
107139,Arnold Scholten,Feyenoord,1993,Ön Libero,Hollanda
107142,Orlando Trustfull,Feyenoord,1993,Ön Libero,Hollanda
3335,Bobby Petta,Feyenoord,1993,Orta Saha Sol,Hollanda
101053,Rob Witschge,Feyenoord,1993,Orta Saha Sol,Hollanda
17956,Bjarki Gunnlaugsson,Feyenoord,1993,On Numara,İzlanda
107125,Regi Blinker,Feyenoord,1993,Sol Kanat,Hollanda
15550,Gaston Taument,Feyenoord,1993,Sağ Kanat,Hollanda
17955,Arnar Gunnlaugsson,Feyenoord,1993,Sağ Kanat,İzlanda
107128,Dean Gorré,Feyenoord,1993,Sağ Kanat,Hollanda
102001,John van Loen,Feyenoord,1993,Santrafor,Hollanda
117416,József Kiprich,Feyenoord,1993,Santrafor,Macaristan
127756,Mike Obiku,Feyenoord,1993,Santrafor,Nijerya
3514,Henrik Larsson,Feyenoord,1993,Santrafor,İsveç
3150,Ed de Goey,Feyenoord,1994,Kaleci,Hollanda
4485,Rob van Dijk,Feyenoord,1994,Kaleci,Hollanda
248179,Michiel Sol,Feyenoord,1994,Defans,Hollanda
330723,Barry Dubbeldeman,Feyenoord,1994,Defans,Hollanda
1061,Bernard Schuiteman,Feyenoord,1994,Stoper,Hollanda
18511,Harvey Esajas,Feyenoord,1994,Stoper,Hollanda
99757,Errol Refos,Feyenoord,1994,Stoper,Hollanda
101758,John de Wolf,Feyenoord,1994,Stoper,Hollanda
101996,Henk Fraser,Feyenoord,1994,Stoper,Hollanda
107129,Ruud Heus,Feyenoord,1994,Sol Bek,Hollanda
3191,Giovanni van Bronckhorst,Feyenoord,1994,Sol Bek,Hollanda
92229,Ulrich van Gobbel,Feyenoord,1994,Sağ Bek,Hollanda
344,Rob Maas,Feyenoord,1994,Ön Libero,Hollanda
4708,Peter Bosz,Feyenoord,1994,Ön Libero,Hollanda
107139,Arnold Scholten,Feyenoord,1994,Ön Libero,Hollanda
107142,Orlando Trustfull,Feyenoord,1994,Ön Libero,Hollanda
15296,Denis Klyuev,Feyenoord,1994,Merkez Orta Saha,Rusya
101053,Rob Witschge,Feyenoord,1994,Orta Saha Sol,Hollanda
27356,Gláucio,Feyenoord,1994,On Numara,Brezilya
107125,Regi Blinker,Feyenoord,1994,Sol Kanat,Hollanda
4599,Ellery Cairo,Feyenoord,1994,Sağ Kanat,Hollanda
15550,Gaston Taument,Feyenoord,1994,Sağ Kanat,Hollanda
107128,Dean Gorré,Feyenoord,1994,Sağ Kanat,Hollanda
102001,John van Loen,Feyenoord,1994,Santrafor,Hollanda
117416,József Kiprich,Feyenoord,1994,Santrafor,Macaristan
127756,Mike Obiku,Feyenoord,1994,Santrafor,Nijerya
3514,Henrik Larsson,Feyenoord,1994,Santrafor,İsveç
3150,Ed de Goey,Feyenoord,1995,Kaleci,Hollanda
7940,Ronald Koeman,Feyenoord,1995,Libero,Hollanda
1061,Bernard Schuiteman,Feyenoord,1995,Stoper,Hollanda
99757,Errol Refos,Feyenoord,1995,Stoper,Hollanda
101996,Henk Fraser,Feyenoord,1995,Stoper,Hollanda
107129,Ruud Heus,Feyenoord,1995,Sol Bek,Hollanda
3191,Giovanni van Bronckhorst,Feyenoord,1995,Sol Bek,Hollanda
4368,Christian Gyan,Feyenoord,1995,Sağ Bek,Gana
92229,Ulrich van Gobbel,Feyenoord,1995,Sağ Bek,Hollanda
114392,Clemens Zwijnenberg,Feyenoord,1995,Sağ Bek,Hollanda
344,Rob Maas,Feyenoord,1995,Ön Libero,Hollanda
3358,George Boateng,Feyenoord,1995,Ön Libero,Hollanda
4708,Peter Bosz,Feyenoord,1995,Ön Libero,Hollanda
107142,Orlando Trustfull,Feyenoord,1995,Ön Libero,Hollanda
151086,Jean-Paul van Gastel,Feyenoord,1995,Ön Libero,Hollanda
15296,Denis Klyuev,Feyenoord,1995,Merkez Orta Saha,Rusya
2838,Tomasz Iwan,Feyenoord,1995,Orta Saha Sağ,Polonya
101053,Rob Witschge,Feyenoord,1995,Orta Saha Sol,Hollanda
27356,Gláucio,Feyenoord,1995,On Numara,Brezilya
107125,Regi Blinker,Feyenoord,1995,Sol Kanat,Hollanda
15550,Gaston Taument,Feyenoord,1995,Sağ Kanat,Hollanda
31341,Chaly Jones,Feyenoord,1995,Sağ Kanat,Curacao
4670,Henk Vos,Feyenoord,1995,Santrafor,Hollanda
127756,Mike Obiku,Feyenoord,1995,Santrafor,Nijerya
129623,Aurelio Vidmar,Feyenoord,1995,Santrafor,Avustralya
3514,Henrik Larsson,Feyenoord,1995,Santrafor,İsveç
3150,Ed de Goey,Feyenoord,1996,Kaleci,Hollanda
3209,Jerzy Dudek,Feyenoord,1996,Kaleci,Polonya
7940,Ronald Koeman,Feyenoord,1996,Libero,Hollanda
154902,Patrick Allotey,Feyenoord,1996,Stoper,Gana
1061,Bernard Schuiteman,Feyenoord,1996,Stoper,Hollanda
13287,Geoffrey Claeys,Feyenoord,1996,Stoper,Belçika
101996,Henk Fraser,Feyenoord,1996,Stoper,Hollanda
172396,Fernando Picún,Feyenoord,1996,Stoper,Uruguay
183056,Haytham Farouk,Feyenoord,1996,Stoper,Mısır
4013,Kees van Wonderen,Feyenoord,1996,Stoper,Hollanda
22570,Patricio Graff,Feyenoord,1996,Sol Bek,Arjantin
3191,Giovanni van Bronckhorst,Feyenoord,1996,Sol Bek,Hollanda
4368,Christian Gyan,Feyenoord,1996,Sağ Bek,Gana
114392,Clemens Zwijnenberg,Feyenoord,1996,Sağ Bek,Hollanda
3358,George Boateng,Feyenoord,1996,Ön Libero,Hollanda
4708,Peter Bosz,Feyenoord,1996,Ön Libero,Hollanda
151086,Jean-Paul van Gastel,Feyenoord,1996,Ön Libero,Hollanda
2838,Tomasz Iwan,Feyenoord,1996,Orta Saha Sağ,Polonya
30932,Pablo Sánchez,Feyenoord,1996,On Numara,Arjantin
15550,Gaston Taument,Feyenoord,1996,Sağ Kanat,Hollanda
31341,Chaly Jones,Feyenoord,1996,Sağ Kanat,Curacao
3084,Marek Saganowski,Feyenoord,1996,Santrafor,Polonya
4670,Henk Vos,Feyenoord,1996,Santrafor,Hollanda
58478,Eduardo Bustos Montoya,Feyenoord,1996,Santrafor,Arjantin
127756,Mike Obiku,Feyenoord,1996,Santrafor,Nijerya
3514,Henrik Larsson,Feyenoord,1996,Santrafor,İsveç
20432,Zsolt Petry,Feyenoord,1997,Kaleci,Macaristan
4365,Edwin Zoetebier,Feyenoord,1997,Kaleci,Hollanda
3209,Jerzy Dudek,Feyenoord,1997,Kaleci,Polonya
154902,Patrick Allotey,Feyenoord,1997,Stoper,Gana
35365,Douglas Sequeira,Feyenoord,1997,Stoper,Kosta Rika
101996,Henk Fraser,Feyenoord,1997,Stoper,Hollanda
172396,Fernando Picún,Feyenoord,1997,Stoper,Uruguay
4013,Kees van Wonderen,Feyenoord,1997,Stoper,Hollanda
1061,Bernard Schuiteman,Feyenoord,1997,Stoper,Hollanda
13287,Geoffrey Claeys,Feyenoord,1997,Stoper,Belçika
22570,Patricio Graff,Feyenoord,1997,Sol Bek,Arjantin
3191,Giovanni van Bronckhorst,Feyenoord,1997,Sol Bek,Hollanda
14861,René Bot,Feyenoord,1997,Sağ Bek,Hollanda
4368,Christian Gyan,Feyenoord,1997,Sağ Bek,Gana
92229,Ulrich van Gobbel,Feyenoord,1997,Sağ Bek,Hollanda
114392,Clemens Zwijnenberg,Feyenoord,1997,Sağ Bek,Hollanda
3358,George Boateng,Feyenoord,1997,Ön Libero,Hollanda
151086,Jean-Paul van Gastel,Feyenoord,1997,Ön Libero,Hollanda
4376,Paul Bosvelt,Feyenoord,1997,Ön Libero,Hollanda
120106,Jaromir Paciorek,Feyenoord,1997,Merkez Orta Saha,Çek Cumhuriyeti
30932,Pablo Sánchez,Feyenoord,1997,On Numara,Arjantin
27356,Gláucio,Feyenoord,1997,On Numara,Brezilya
3017,Volkan Kahraman,Feyenoord,1997,On Numara,Avusturya
4164,Bonaventure Kalou,Feyenoord,1997,Sağ Kanat,Fildişi Sahili
8011,Igor Korneev,Feyenoord,1997,Sağ Kanat,Rusya
24002,Giorgi Demetradze,Feyenoord,1997,Santrafor,Gürcistan
58478,Eduardo Bustos Montoya,Feyenoord,1997,Santrafor,Arjantin
6006,Julio Cruz,Feyenoord,1997,Santrafor,Arjantin
9051,David Connolly,Feyenoord,1997,Santrafor,İrlanda
4670,Henk Vos,Feyenoord,1997,Santrafor,Hollanda
4556,Robin Nelisse,Feyenoord,1997,Santrafor,Curacao
3209,Jerzy Dudek,Feyenoord,1998,Kaleci,Polonya
4365,Edwin Zoetebier,Feyenoord,1998,Kaleci,Hollanda
19342,Ronald Graafland,Feyenoord,1998,Kaleci,Hollanda
6252,Bert Konterman,Feyenoord,1998,Stoper,Hollanda
154902,Patrick Allotey,Feyenoord,1998,Stoper,Gana
172396,Fernando Picún,Feyenoord,1998,Stoper,Uruguay
