OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
29601,Emiliano Betti,Fiorentina,1990,Kaleci,İtalya
21186,Gianmatteo Mareggini,Fiorentina,1990,Kaleci,İtalya
120404,Marco Landucci,Fiorentina,1990,Kaleci,İtalya
15538,Alberto Malusci,Fiorentina,1990,Libero,İtalya
226408,Roberto Bosco,Fiorentina,1990,Libero,İtalya
227275,Massimiliano Fiondella,Fiorentina,1990,Defans,İtalya
120428,Celeste Pin,Fiorentina,1990,Stoper,İtalya
5754,Salvatore Fresi,Fiorentina,1990,Stoper,İtalya
120411,Stefano Pioli,Fiorentina,1990,Stoper,İtalya
226446,Mario Faccenda,Fiorentina,1990,Stoper,İtalya
30656,Stefano Rossini,Fiorentina,1990,Sol Bek,İtalya
120395,Alberto Di Chiara,Fiorentina,1990,Sol Bek,İtalya
120429,Giuseppe Volpecina,Fiorentina,1990,Sol Bek,İtalya
96342,Dunga,Fiorentina,1990,Ön Libero,Brezilya
120402,Giuseppe Iachini,Fiorentina,1990,Ön Libero,İtalya
120421,Alessandro Antinori,Fiorentina,1990,Orta Saha,İtalya
169010,Stefano Salvatori,Fiorentina,1990,Ön Libero,İtalya
227286,Andrea Vascotto,Fiorentina,1990,Orta Saha,İtalya
314705,Mauro Zironelli,Fiorentina,1990,Orta Saha,İtalya
17964,Lubos Kubik,Fiorentina,1990,Merkez Orta Saha,Çek Cumhuriyeti
5952,Diego Fuser,Fiorentina,1990,Orta Saha Sağ,İtalya
120392,Renato Buso,Fiorentina,1990,Orta Saha Sağ,İtalya
120419,Antonio Dell'Oglio,Fiorentina,1990,Orta Saha Sağ,İtalya
175938,Massimo Orlando,Fiorentina,1990,On Numara,İtalya
120420,Marco Nappi,Fiorentina,1990,Forvet Arkası,İtalya
192594,Stefano Borgonovo,Fiorentina,1990,Santrafor,İtalya
103220,Marius Lăcătuş,Fiorentina,1990,Santrafor,Romanya
223333,Giacomo Banchelli,Fiorentina,1990,Santrafor,İtalya
29601,Emiliano Betti,Fiorentina,1991,Kaleci,İtalya
21186,Gianmatteo Mareggini,Fiorentina,1991,Kaleci,İtalya
227280,Alessandro Mannini,Fiorentina,1991,Kaleci,İtalya
15538,Alberto Malusci,Fiorentina,1991,Libero,İtalya
