OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
91655,Hayrettin Demirbaş,Galatasaray,1990,Kaleci,Türkiye
92205,Nezih Ali Boloğlu,Galatasaray,1990,Kaleci,Türkiye
584743,Murat Yılmaz,Galatasaray,1990,Kaleci,Türkiye
92217,Erhan Önal,Galatasaray,1990,Libero,Türkiye
3380,Bülent Korkmaz,Galatasaray,1990,Stoper,Türkiye
6990,Mert Korkmaz,Galatasaray,1990,Stoper,Türkiye
91666,Cüneyt Tanman,Galatasaray,1990,Stoper,Türkiye
92202,Yusuf Altıntaş,Galatasaray,1990,Stoper,Türkiye
92206,Serhat Güller,Galatasaray,1990,Stoper,Türkiye
120374,Tayfun Hut,Galatasaray,1990,Sol Bek,Türkiye
115886,İsmail Demiriz,Galatasaray,1990,Sağ Bek,Türkiye
3703,Tugay Kerimoğlu,Galatasaray,1990,Ön Libero,Türkiye
114585,Savaş Demiral,Galatasaray,1990,Ön Libero,Türkiye
624351,Talat Alptekin,Galatasaray,1990,Orta Saha,Türkiye
91668,Uğur Tütüneker,Galatasaray,1990,Merkez Orta Saha,Türkiye
92211,Iosif Rotariu,Galatasaray,1990,Merkez Orta Saha,Romanya
92201,Muhammed Altıntaş,Galatasaray,1990,Orta Saha Sağ,Türkiye
120376,Mustafa Yücedağ,Galatasaray,1990,On Numara,Türkiye
120375,Metin Yıldız,Galatasaray,1990,On Numara,Türkiye
91663,Xhevat Prekazi,Galatasaray,1990,Sol Kanat,Sırbistan
90976,Tanju Çolak,Galatasaray,1990,Santrafor,Türkiye
91659,Erdal Keser,Galatasaray,1990,Santrafor,Türkiye
91661,Roman Kosecki,Galatasaray,1990,Santrafor,Polonya
120388,Taner Alpak,Galatasaray,1990,Santrafor,Türkiye
197172,Hasan Vezir,Galatasaray,1990,Santrafor,Türkiye
574060,Bülent Alkılıç,Galatasaray,1990,Santrafor,Türkiye
586390,Yücel Çolak,Galatasaray,1990,Santrafor,Türkiye
91655,Hayrettin Demirbaş,Galatasaray,1991,Kaleci,Türkiye
92205,Nezih Ali Boloğlu,Galatasaray,1991,Kaleci,Türkiye
584742,Murat Bodur,Galatasaray,1991,Kaleci,Türkiye
92217,Erhan Önal,Galatasaray,1991,Libero,Türkiye
579056,Metin Aydemir,Galatasaray,1991,Defans,Türkiye
3380,Bülent Korkmaz,Galatasaray,1991,Stoper,Türkiye
6990,Mert Korkmaz,Galatasaray,1991,Stoper,Türkiye
92202,Yusuf Altıntaş,Galatasaray,1991,Stoper,Türkiye
120374,Tayfun Hut,Galatasaray,1991,Sol Bek,Türkiye
115886,İsmail Demiriz,Galatasaray,1991,Sağ Bek,Türkiye
3703,Tugay Kerimoğlu,Galatasaray,1991,Ön Libero,Türkiye
91668,Uğur Tütüneker,Galatasaray,1991,Merkez Orta Saha,Türkiye
92211,Iosif Rotariu,Galatasaray,1991,Merkez Orta Saha,Romanya
