OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
599359,Bayram Erdal Konukoğlu,Gaziantep FK,1993,Kaleci,Türkiye
615062,İsmet Savcılıoğlu,Gaziantep FK,1993,Kaleci,Türkiye
670930,Ufuk Atlas,Gaziantep FK,1993,Defans,Türkiye
1502676,Ahmet Atalay,Gaziantep FK,1993,Defans,Türkiye
599127,Mehmet Ali Topal,Gaziantep FK,1993,Orta Saha,Türkiye
829167,Celal Konuşkaner,Gaziantep FK,1993,Orta Saha,Türkiye
841142,Halil Öztürk,Gaziantep FK,1993,Merkez Orta Saha,Türkiye
1344156,Abdullah Eryiğit,Gaziantep FK,1993,Forvet,Türkiye
16706,Sefer Hakan Olgun,Gaziantep FK,1994,Kaleci,Türkiye
599359,Bayram Erdal Konukoğlu,Gaziantep FK,1994,Kaleci,Türkiye
615062,İsmet Savcılıoğlu,Gaziantep FK,1994,Kaleci,Türkiye
1502676,Ahmet Atalay,Gaziantep FK,1994,Defans,Türkiye
599127,Mehmet Ali Topal,Gaziantep FK,1994,Orta Saha,Türkiye
829167,Celal Konuşkaner,Gaziantep FK,1994,Orta Saha,Türkiye
841142,Halil Öztürk,Gaziantep FK,1994,Merkez Orta Saha,Türkiye
1344156,Abdullah Eryiğit,Gaziantep FK,1994,Forvet,Türkiye
599359,Bayram Erdal Konukoğlu,Gaziantep FK,1995,Kaleci,Türkiye
1502676,Ahmet Atalay,Gaziantep FK,1995,Defans,Türkiye
599127,Mehmet Ali Topal,Gaziantep FK,1995,Orta Saha,Türkiye
829167,Celal Konuşkaner,Gaziantep FK,1995,Orta Saha,Türkiye
949050,Necdet Karakan,Gaziantep FK,1995,Orta Saha,Türkiye
841142,Halil Öztürk,Gaziantep FK,1995,Merkez Orta Saha,Türkiye
651689,Ali Borazan,Gaziantep FK,1995,Forvet,Türkiye
1344156,Abdullah Eryiğit,Gaziantep FK,1995,Forvet,Türkiye
16706,Sefer Hakan Olgun,Gaziantep FK,1996,Kaleci,Türkiye
599359,Bayram Erdal Konukoğlu,Gaziantep FK,1996,Kaleci,Türkiye
1502676,Ahmet Atalay,Gaziantep FK,1996,Defans,Türkiye
599127,Mehmet Ali Topal,Gaziantep FK,1996,Orta Saha,Türkiye
848136,Mustafa Diliçıkık,Gaziantep FK,1996,Orta Saha,Türkiye
949050,Necdet Karakan,Gaziantep FK,1996,Orta Saha,Türkiye
1190678,Ramazan Gülleri,Gaziantep FK,1996,Orta Saha,Türkiye
8701,Mustafa Marangoz,Gaziantep FK,1996,Merkez Orta Saha,Türkiye
841142,Halil Öztürk,Gaziantep FK,1996,Merkez Orta Saha,Türkiye
35272,Adem Kaya,Gaziantep FK,1996,Santrafor,Türkiye
651689,Ali Borazan,Gaziantep FK,1996,Forvet,Türkiye
1343915,Murat Özdemir,Gaziantep FK,1996,Forvet,Türkiye
1344156,Abdullah Eryiğit,Gaziantep FK,1996,Forvet,Türkiye
115298,Murat İbrahim Uslu,Gaziantep FK,1997,Kaleci,Türkiye
573873,Mehmet Tezcan,Gaziantep FK,1997,Kaleci,Türkiye
576507,Muharrem Kayan,Gaziantep FK,1997,Kaleci,Türkiye
599359,Bayram Erdal Konukoğlu,Gaziantep FK,1997,Kaleci,Türkiye
841152,Yusuf Aslan,Gaziantep FK,1997,Defans,Türkiye
1502676,Ahmet Atalay,Gaziantep FK,1997,Defans,Türkiye
6101,Mehmet Polat,Gaziantep FK,1997,Stoper,Türkiye
347360,Nasri Konak,Gaziantep FK,1997,Orta Saha,Türkiye
599127,Mehmet Ali Topal,Gaziantep FK,1997,Orta Saha,Türkiye
678867,Mustafa Aksoy,Gaziantep FK,1997,Orta Saha,Türkiye
797750,Ali Ömer Sakarya,Gaziantep FK,1997,Orta Saha,Türkiye
848136,Mustafa Diliçıkık,Gaziantep FK,1997,Orta Saha,Türkiye
949050,Necdet Karakan,Gaziantep FK,1997,Orta Saha,Türkiye
1190678,Ramazan Gülleri,Gaziantep FK,1997,Orta Saha,Türkiye
8701,Mustafa Marangoz,Gaziantep FK,1997,Merkez Orta Saha,Türkiye
841142,Halil Öztürk,Gaziantep FK,1997,Merkez Orta Saha,Türkiye
115203,Levent Okmeydan,Gaziantep FK,1997,Orta Saha Sağ,Türkiye
33813,Serdar Uçgan,Gaziantep FK,1997,Santrafor,Türkiye
35272,Adem Kaya,Gaziantep FK,1997,Santrafor,Türkiye
633831,Niyazi Kışla,Gaziantep FK,1997,Forvet,Türkiye
651689,Ali Borazan,Gaziantep FK,1997,Forvet,Türkiye
686975,Şenol Çetin,Gaziantep FK,1997,Forvet,Türkiye
795855,Mustafa Polat,Gaziantep FK,1997,Forvet,Türkiye
822303,Serkant Gülyaşar,Gaziantep FK,1997,Santrafor,Türkiye
1344156,Abdullah Eryiğit,Gaziantep FK,1997,Forvet,Türkiye
16706,Sefer Hakan Olgun,Gaziantep FK,1998,Kaleci,Türkiye
579108,Erol Bilir,Gaziantep FK,1998,Kaleci,Türkiye
599359,Bayram Erdal Konukoğlu,Gaziantep FK,1998,Kaleci,Türkiye
673493,Murat Tuğa,Gaziantep FK,1998,Defans,Türkiye
677267,Ümit Geçmen,Gaziantep FK,1998,Defans,Türkiye
841152,Yusuf Aslan,Gaziantep FK,1998,Defans,Türkiye
1188767,Alican Biçici,Gaziantep FK,1998,Defans,Türkiye
1502676,Ahmet Atalay,Gaziantep FK,1998,Defans,Türkiye
7289,Hasan Yurt,Gaziantep FK,1998,Stoper,Türkiye
347360,Nasri Konak,Gaziantep FK,1998,Orta Saha,Türkiye
599127,Mehmet Ali Topal,Gaziantep FK,1998,Orta Saha,Türkiye
669248,Yıldıray Arslan,Gaziantep FK,1998,Orta Saha,Türkiye
848136,Mustafa Diliçıkık,Gaziantep FK,1998,Orta Saha,Türkiye
949050,Necdet Karakan,Gaziantep FK,1998,Orta Saha,Türkiye
1486744,İrfan Dal,Gaziantep FK,1998,Orta Saha,Türkiye
1556377,Barış Gürgül,Gaziantep FK,1998,Orta Saha,Türkiye
7033,Kemal Aslan,Gaziantep FK,1998,Merkez Orta Saha,Türkiye
8701,Mustafa Marangoz,Gaziantep FK,1998,Merkez Orta Saha,Türkiye
185763,Mehmet Balcı,Gaziantep FK,1998,Merkez Orta Saha,Türkiye
33805,Mehmet Akdemir,Gaziantep FK,1998,Sağ Kanat,Türkiye
35272,Adem Kaya,Gaziantep FK,1998,Santrafor,Türkiye
633831,Niyazi Kışla,Gaziantep FK,1998,Forvet,Türkiye
651689,Ali Borazan,Gaziantep FK,1998,Forvet,Türkiye
710707,Musa Kahraman,Gaziantep FK,1998,Forvet,Türkiye
1344156,Abdullah Eryiğit,Gaziantep FK,1998,Forvet,Türkiye
7253,Kaya Tarakçı,Gaziantep FK,1999,Kaleci,Türkiye
115298,Murat İbrahim Uslu,Gaziantep FK,1999,Kaleci,Türkiye
883385,Şakir Can,Gaziantep FK,1999,Kaleci,Türkiye
1502675,Mehmet Şükrü Şenbahar,Gaziantep FK,1999,Kaleci,Türkiye
673493,Murat Tuğa,Gaziantep FK,1999,Defans,Türkiye
841152,Yusuf Aslan,Gaziantep FK,1999,Defans,Türkiye
1046752,Ahmet Bilgi,Gaziantep FK,1999,Defans,Türkiye
1048772,Sedat Kara,Gaziantep FK,1999,Defans,Türkiye
1188767,Alican Biçici,Gaziantep FK,1999,Defans,Türkiye
1502676,Ahmet Atalay,Gaziantep FK,1999,Defans,Türkiye
7113,Bülent Bal,Gaziantep FK,1999,Stoper,Türkiye
7261,Alper Akıcı,Gaziantep FK,1999,Stoper,Türkiye
7289,Hasan Yurt,Gaziantep FK,1999,Stoper,Türkiye
58758,Ogün Özcan,Gaziantep FK,1999,Sol Bek,Türkiye
68220,Seydi Çil,Gaziantep FK,1999,Orta Saha,Türkiye
96406,Fatih Sarı,Gaziantep FK,1999,Orta Saha,Türkiye
599127,Mehmet Ali Topal,Gaziantep FK,1999,Orta Saha,Türkiye
669248,Yıldıray Arslan,Gaziantep FK,1999,Orta Saha,Türkiye
1152193,Coşkun Yakar,Gaziantep FK,1999,Orta Saha,Türkiye
1320070,Mustafa Şefik Canbülbül,Gaziantep FK,1999,Orta Saha,Türkiye
1486744,İrfan Dal,Gaziantep FK,1999,Orta Saha,Türkiye
1540922,Ali Uğur Balibey,Gaziantep FK,1999,Orta Saha,Türkiye
1555305,Mehmet Vertop,Gaziantep FK,1999,Orta Saha,Türkiye
7033,Kemal Aslan,Gaziantep FK,1999,Merkez Orta Saha,Türkiye
8701,Mustafa Marangoz,Gaziantep FK,1999,Merkez Orta Saha,Türkiye
709577,Oral Küçükoral,Gaziantep FK,1999,On Numara,Türkiye
33805,Mehmet Akdemir,Gaziantep FK,1999,Sağ Kanat,Türkiye
15703,Cemal Dilek,Gaziantep FK,1999,Forvet,Türkiye
35068,Mustafa Şahintürk,Gaziantep FK,1999,Santrafor,Türkiye
35272,Adem Kaya,Gaziantep FK,1999,Santrafor,Türkiye
651689,Ali Borazan,Gaziantep FK,1999,Forvet,Türkiye
710707,Musa Kahraman,Gaziantep FK,1999,Forvet,Türkiye
1052814,Nurettin Özhan,Gaziantep FK,1999,Forvet,Türkiye
7253,Kaya Tarakçı,Gaziantep FK,2000,Kaleci,Türkiye
115298,Murat İbrahim Uslu,Gaziantep FK,2000,Kaleci,Türkiye
171098,Kenan İmirhan,Gaziantep FK,2000,Defans,Türkiye
782322,Mustafa Özdenk,Gaziantep FK,2000,Defans,Türkiye
1046752,Ahmet Bilgi,Gaziantep FK,2000,Defans,Türkiye
