OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
343043,Okan Gedikali,Gençlerbirliği,1990,Kaleci,Türkiye
115910,Ramazan Silin,Gençlerbirliği,1990,Kaleci,Türkiye
92294,Rahim Zafer,Gençlerbirliği,1990,Libero,Türkiye
576674,Sedat Küçük,Gençlerbirliği,1990,Defans,Türkiye
1487903,Ali Kemal Karabal,Gençlerbirliği,1990,Defans,Türkiye
92277,Ali Günçar,Gençlerbirliği,1990,Stoper,Türkiye
570746,Claudio Zacarias,Gençlerbirliği,1990,Stoper,Arjantin
573995,Özcan Duman,Gençlerbirliği,1990,Stoper,Türkiye
576676,Atilla Metin,Gençlerbirliği,1990,Stoper,Türkiye
323644,İslam Otlan,Gençlerbirliği,1990,Sol Bek,Türkiye
572983,Metin Altınay,Gençlerbirliği,1990,Sol Bek,Türkiye
586388,Rasim Tuncel,Gençlerbirliği,1990,Sağ Bek,Türkiye
573990,İzzet Kazancı,Gençlerbirliği,1990,Orta Saha,Türkiye
575609,Gürcan Aday,Gençlerbirliği,1990,Ön Libero,Türkiye
576675,Yunus Kara,Gençlerbirliği,1990,Orta Saha,Türkiye
576694,Luis Alberto Oriolo,Gençlerbirliği,1990,Orta Saha,Arjantin
572886,Avni Okumuş,Gençlerbirliği,1990,Merkez Orta Saha,Türkiye
92262,Metin Diyadin,Gençlerbirliği,1990,Orta Saha Sol,Türkiye
324010,Mehmet Altıparmak,Gençlerbirliği,1990,On Numara,Türkiye
576673,Harun Erol,Gençlerbirliği,1990,Sağ Kanat,Türkiye
6954,Cafer Aydın,Gençlerbirliği,1990,Santrafor,Türkiye
242327,Adnan Gülek,Gençlerbirliği,1990,Santrafor,Türkiye
570641,Mario Noremberg,Gençlerbirliği,1990,Santrafor,Arjantin
574023,Kemal Yıldırım,Gençlerbirliği,1990,Santrafor,Türkiye
574032,Fevzi Gündoğdu,Gençlerbirliği,1990,Santrafor,Türkiye
115910,Ramazan Silin,Gençlerbirliği,1991,Kaleci,Türkiye
578000,Kazım Konak,Gençlerbirliği,1991,Kaleci,Türkiye
598872,Mehmet Güler,Gençlerbirliği,1991,Kaleci,Türkiye
827424,Bülent Ergin,Gençlerbirliği,1991,Kaleci,Türkiye
92294,Rahim Zafer,Gençlerbirliği,1991,Libero,Türkiye
576674,Sedat Küçük,Gençlerbirliği,1991,Defans,Türkiye
1487903,Ali Kemal Karabal,Gençlerbirliği,1991,Defans,Türkiye
92277,Ali Günçar,Gençlerbirliği,1991,Stoper,Türkiye
573995,Özcan Duman,Gençlerbirliği,1991,Stoper,Türkiye
576676,Atilla Metin,Gençlerbirliği,1991,Stoper,Türkiye
8052,Ergün Penbe,Gençlerbirliği,1991,Sol Bek,Türkiye
323644,İslam Otlan,Gençlerbirliği,1991,Sol Bek,Türkiye
572983,Metin Altınay,Gençlerbirliği,1991,Sol Bek,Türkiye
91847,Uğur Zararsız,Gençlerbirliği,1991,Orta Saha,Türkiye
92236,Kemalettin Şentürk,Gençlerbirliği,1991,Ön Libero,Türkiye
573990,İzzet Kazancı,Gençlerbirliği,1991,Orta Saha,Türkiye
576675,Yunus Kara,Gençlerbirliği,1991,Orta Saha,Türkiye
572886,Avni Okumuş,Gençlerbirliği,1991,Merkez Orta Saha,Türkiye
92262,Metin Diyadin,Gençlerbirliği,1991,Orta Saha Sol,Türkiye
324010,Mehmet Altıparmak,Gençlerbirliği,1991,On Numara,Türkiye
313686,Metin Bak,Gençlerbirliği,1991,Sol Kanat,Türkiye
576673,Harun Erol,Gençlerbirliği,1991,Sağ Kanat,Türkiye
6954,Cafer Aydın,Gençlerbirliği,1991,Santrafor,Türkiye
242327,Adnan Gülek,Gençlerbirliği,1991,Santrafor,Türkiye
573987,Hayrettin Aksoy,Gençlerbirliği,1991,Santrafor,Türkiye
573991,Hamdi Demirtaş,Gençlerbirliği,1991,Santrafor,Türkiye
574004,Faik Demircan,Gençlerbirliği,1991,Santrafor,Türkiye
574032,Fevzi Gündoğdu,Gençlerbirliği,1991,Santrafor,Türkiye
578003,Mesut Üretir,Gençlerbirliği,1991,Forvet,Türkiye
358928,Levent Zorluer,Gençlerbirliği,1992,Kaleci,Türkiye
578000,Kazım Konak,Gençlerbirliği,1992,Kaleci,Türkiye
586301,Goran Gavrilovic,Gençlerbirliği,1992,Kaleci,Sırbistan
598872,Mehmet Güler,Gençlerbirliği,1992,Kaleci,Türkiye
92294,Rahim Zafer,Gençlerbirliği,1992,Libero,Türkiye
573799,Ali Mehmedi,Gençlerbirliği,1992,Stoper,Arnavutluk
576676,Atilla Metin,Gençlerbirliği,1992,Stoper,Türkiye
586303,Taner Taşkın,Gençlerbirliği,1992,Stoper,Türkiye
8052,Ergün Penbe,Gençlerbirliği,1992,Sol Bek,Türkiye
144476,Osman Coşkun,Gençlerbirliği,1992,Sol Bek,Türkiye
323644,İslam Otlan,Gençlerbirliği,1992,Sol Bek,Türkiye
371022,Erkan Sözeri,Gençlerbirliği,1992,Sağ Bek,Türkiye
91847,Uğur Zararsız,Gençlerbirliği,1992,Orta Saha,Türkiye
92236,Kemalettin Şentürk,Gençlerbirliği,1992,Ön Libero,Türkiye
114908,Erkut Çağdaş,Gençlerbirliği,1992,Orta Saha,Türkiye
387887,Ali Işık,Gençlerbirliği,1992,Orta Saha,Türkiye
576675,Yunus Kara,Gençlerbirliği,1992,Orta Saha,Türkiye
600370,Murat Şenvardar,Gençlerbirliği,1992,Orta Saha,Türkiye
572886,Avni Okumuş,Gençlerbirliği,1992,Merkez Orta Saha,Türkiye
572946,Rovshan Mukhadov,Gençlerbirliği,1992,Merkez Orta Saha,Türkmenistan
572945,Aleksey Kozlov,Gençlerbirliği,1992,Orta Saha Sağ,Türkmenistan
92262,Metin Diyadin,Gençlerbirliği,1992,Orta Saha Sol,Türkiye
324010,Mehmet Altıparmak,Gençlerbirliği,1992,On Numara,Türkiye
351250,Aykan Atik,Gençlerbirliği,1992,Sol Kanat,Türkiye
91017,Engin Özdemir,Gençlerbirliği,1992,Sağ Kanat,Almanya
6954,Cafer Aydın,Gençlerbirliği,1992,Santrafor,Türkiye
573987,Hayrettin Aksoy,Gençlerbirliği,1992,Santrafor,Türkiye
573991,Hamdi Demirtaş,Gençlerbirliği,1992,Santrafor,Türkiye
606524,Sunay Kahraman,Gençlerbirliği,1992,Forvet,Türkiye
7268,Hasan Gültang,Gençlerbirliği,1993,Kaleci,Türkiye
598872,Mehmet Güler,Gençlerbirliği,1993,Kaleci,Türkiye
605857,Ivo Simunic,Gençlerbirliği,1993,Kaleci,Bosna-Hersek
614697,Rüstem İsmailoğlu,Gençlerbirliği,1993,Kaleci,Türkiye
92294,Rahim Zafer,Gençlerbirliği,1993,Libero,Türkiye
586303,Taner Taşkın,Gençlerbirliği,1993,Stoper,Türkiye
7310,Serkan Damla,Gençlerbirliği,1993,Sol Bek,Türkiye
8052,Ergün Penbe,Gençlerbirliği,1993,Sol Bek,Türkiye
144476,Osman Coşkun,Gençlerbirliği,1993,Sol Bek,Türkiye
371022,Erkan Sözeri,Gençlerbirliği,1993,Sağ Bek,Türkiye
114908,Erkut Çağdaş,Gençlerbirliği,1993,Orta Saha,Türkiye
148861,Ace Khuse,Gençlerbirliği,1993,Orta Saha,Güney Afrika
387887,Ali Işık,Gençlerbirliği,1993,Orta Saha,Türkiye
576675,Yunus Kara,Gençlerbirliği,1993,Orta Saha,Türkiye
600370,Murat Şenvardar,Gençlerbirliği,1993,Orta Saha,Türkiye
7047,Nihat Baştürk,Gençlerbirliği,1993,Merkez Orta Saha,Türkiye
92262,Metin Diyadin,Gençlerbirliği,1993,Orta Saha Sol,Türkiye
586771,Mehmet Şimşek,Gençlerbirliği,1993,Orta Saha Sol,Türkiye
6116,John Moshoeu,Gençlerbirliği,1993,On Numara,Güney Afrika
324010,Mehmet Altıparmak,Gençlerbirliği,1993,On Numara,Türkiye
351250,Aykan Atik,Gençlerbirliği,1993,Sol Kanat,Türkiye
91017,Engin Özdemir,Gençlerbirliği,1993,Sağ Kanat,Almanya
34977,Tarkan Özyılmaz,Gençlerbirliği,1993,Santrafor,Türkiye
51878,Andre Kona,Gençlerbirliği,1993,Santrafor,Kongo DC
7405,Tarık Daşgün,Gençlerbirliği,1993,Santrafor,Türkiye
577982,Serkan Gültang,Gençlerbirliği,1993,Santrafor,Türkiye
606524,Sunay Kahraman,Gençlerbirliği,1993,Forvet,Türkiye
7268,Hasan Gültang,Gençlerbirliği,1994,Kaleci,Türkiye
631883,Ahmet Ersoy,Gençlerbirliği,1994,Kaleci,Türkiye
633973,Mehmet Talaş,Gençlerbirliği,1994,Kaleci,Türkiye
669148,Volkan Erten,Gençlerbirliği,1994,Kaleci,Türkiye
92294,Rahim Zafer,Gençlerbirliği,1994,Libero,Türkiye
633974,İbrahim Eroğlu,Gençlerbirliği,1994,Defans,Türkiye
586303,Taner Taşkın,Gençlerbirliği,1994,Stoper,Türkiye
7310,Serkan Damla,Gençlerbirliği,1994,Sol Bek,Türkiye
144476,Osman Coşkun,Gençlerbirliği,1994,Sol Bek,Türkiye
10197,Ali Eren Beşerler,Gençlerbirliği,1994,Sağ Bek,Türkiye
371022,Erkan Sözeri,Gençlerbirliği,1994,Sağ Bek,Türkiye
114908,Erkut Çağdaş,Gençlerbirliği,1994,Orta Saha,Türkiye
148861,Ace Khuse,Gençlerbirliği,1994,Orta Saha,Güney Afrika
387887,Ali Işık,Gençlerbirliği,1994,Orta Saha,Türkiye
600370,Murat Şenvardar,Gençlerbirliği,1994,Orta Saha,Türkiye
6943,İlker Dalçiçek,Gençlerbirliği,1994,Merkez Orta Saha,Türkiye
7047,Nihat Baştürk,Gençlerbirliği,1994,Merkez Orta Saha,Türkiye
92262,Metin Diyadin,Gençlerbirliği,1994,Orta Saha Sol,Türkiye
586771,Mehmet Şimşek,Gençlerbirliği,1994,Orta Saha Sol,Türkiye
6116,John Moshoeu,Gençlerbirliği,1994,On Numara,Güney Afrika
91017,Engin Özdemir,Gençlerbirliği,1994,Sağ Kanat,Almanya
51878,Andre Kona,Gençlerbirliği,1994,Santrafor,Kongo DC
7147,Sinan Ertan,Gençlerbirliği,1994,Santrafor,Türkiye
7405,Tarık Daşgün,Gençlerbirliği,1994,Santrafor,Türkiye
20432,Zsolt Petry,Gençlerbirliği,1995,Kaleci,Macaristan
6895,Hasan Sönmez,Gençlerbirliği,1995,Kaleci,Türkiye
631883,Ahmet Ersoy,Gençlerbirliği,1995,Kaleci,Türkiye
92294,Rahim Zafer,Gençlerbirliği,1995,Libero,Türkiye
633974,İbrahim Eroğlu,Gençlerbirliği,1995,Defans,Türkiye
16704,İdris Gümüşdere,Gençlerbirliği,1995,Stoper,Türkiye
662888,Hakan Kaygusuz,Gençlerbirliği,1995,Stoper,Türkiye
6933,Ümit Özat,Gençlerbirliği,1995,Sol Bek,Türkiye
144476,Osman Coşkun,Gençlerbirliği,1995,Sol Bek,Türkiye
7118,Osman Yeşilmeşe,Gençlerbirliği,1995,Sağ Bek,Türkiye
10197,Ali Eren Beşerler,Gençlerbirliği,1995,Sağ Bek,Türkiye
371022,Erkan Sözeri,Gençlerbirliği,1995,Sağ Bek,Türkiye
16712,Mehmet Önür,Gençlerbirliği,1995,Ön Libero,Türkiye
148861,Ace Khuse,Gençlerbirliği,1995,Orta Saha,Güney Afrika
202422,Tarık Sarısakal,Gençlerbirliği,1995,Orta Saha,Türkiye
6943,İlker Dalçiçek,Gençlerbirliği,1995,Merkez Orta Saha,Türkiye
7047,Nihat Baştürk,Gençlerbirliği,1995,Merkez Orta Saha,Türkiye
269519,Zola Kiniambi,Gençlerbirliği,1995,Orta Saha Sağ,Kongo DC
92262,Metin Diyadin,Gençlerbirliği,1995,Orta Saha Sol,Türkiye
586771,Mehmet Şimşek,Gençlerbirliği,1995,Orta Saha Sol,Türkiye
91017,Engin Özdemir,Gençlerbirliği,1995,Sağ Kanat,Almanya
51878,Andre Kona,Gençlerbirliği,1995,Santrafor,Kongo DC
6875,İlhan Mansız,Gençlerbirliği,1995,Santrafor,Türkiye
7147,Sinan Ertan,Gençlerbirliği,1995,Santrafor,Türkiye
380430,Seyit Cem Ünsal,Gençlerbirliği,1995,Santrafor,Türkiye
6895,Hasan Sönmez,Gençlerbirliği,1996,Kaleci,Türkiye
7190,Kubilay Aydın,Gençlerbirliği,1996,Kaleci,Türkiye
676663,Onat Çetin,Gençlerbirliği,1996,Defans,Türkiye
7049,İsmail Güldüren,Gençlerbirliği,1996,Stoper,Türkiye
