OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
719040,Hakan Kanber,Giresunspor,1990,Kaleci,Türkiye
951304,Mustafa Kerim,Giresunspor,1990,Kaleci,Türkiye
1043908,Ziya Demiral,Giresunspor,1990,Kaleci,Türkiye
650257,Murat Beşel,Giresunspor,1990,Defans,Türkiye
682874,Hakan Kurt,Giresunspor,1990,Defans,Türkiye
819651,Nejdet Öksüzcük,Giresunspor,1990,Defans,Türkiye
950116,Müslüm Gülhan,Giresunspor,1990,Defans,Türkiye
951305,Özcan Yamak,Giresunspor,1990,Defans,Türkiye
951306,Ali Özdemir,Giresunspor,1990,Defans,Türkiye
1043967,İlhan Dervişoğlu,Giresunspor,1990,Defans,Türkiye
1493236,Ali Kemal Bakoğlu,Giresunspor,1990,Defans,Türkiye
615052,Teoman Çamlıca,Giresunspor,1990,Orta Saha,Türkiye
951285,Arif Göral,Giresunspor,1990,Orta Saha,Türkiye
969925,Cengiz Demir,Giresunspor,1990,Orta Saha,Türkiye
1043909,Erkan Gürsoy,Giresunspor,1990,Orta Saha,Türkiye
1251336,Metin Aydın,Giresunspor,1990,Sağ Kanat,Türkiye
323649,İbrahim Türkseven,Giresunspor,1990,Forvet,Türkiye
584342,Bilal Güven,Giresunspor,1990,Santrafor,Türkiye
670936,Ömer Zorlu,Giresunspor,1990,Forvet,Türkiye
717670,İsmail Hakkı Yılmaz,Giresunspor,1990,Santrafor,Türkiye
951286,Ali Osman Duruşkan,Giresunspor,1990,Forvet,Türkiye
952131,Tahsin Çavuşoğlu,Giresunspor,1990,Forvet,Türkiye
1043911,Hasan Erkin Şimşir,Giresunspor,1990,Forvet,Türkiye
1043912,Mustafa Eltuğral,Giresunspor,1990,Forvet,Türkiye
1043913,Yaşar Ertürk,Giresunspor,1990,Forvet,Türkiye
1043914,Ahmet Tanzer Kara,Giresunspor,1990,Forvet,Türkiye
1043915,Ali Riza Özdemir,Giresunspor,1990,Forvet,Türkiye
951304,Mustafa Kerim,Giresunspor,1991,Kaleci,Türkiye
1043908,Ziya Demiral,Giresunspor,1991,Kaleci,Türkiye
682874,Hakan Kurt,Giresunspor,1991,Defans,Türkiye
950116,Müslüm Gülhan,Giresunspor,1991,Defans,Türkiye
951305,Özcan Yamak,Giresunspor,1991,Defans,Türkiye
1043967,İlhan Dervişoğlu,Giresunspor,1991,Defans,Türkiye
68269,Mustafa Öztürk,Giresunspor,1991,Orta Saha,Türkiye
615052,Teoman Çamlıca,Giresunspor,1991,Orta Saha,Türkiye
621738,Mehmet Ekmekçi,Giresunspor,1991,Orta Saha,Türkiye
867152,Osman Sivri,Giresunspor,1991,Orta Saha,Türkiye
951285,Arif Göral,Giresunspor,1991,Orta Saha,Türkiye
969925,Cengiz Demir,Giresunspor,1991,Orta Saha,Türkiye
1043909,Erkan Gürsoy,Giresunspor,1991,Orta Saha,Türkiye
114644,Yüksel Öğüten,Giresunspor,1991,On Numara,Türkiye
323649,İbrahim Türkseven,Giresunspor,1991,Forvet,Türkiye
670936,Ömer Zorlu,Giresunspor,1991,Forvet,Türkiye
951286,Ali Osman Duruşkan,Giresunspor,1991,Forvet,Türkiye
1043911,Hasan Erkin Şimşir,Giresunspor,1991,Forvet,Türkiye
1043914,Ahmet Tanzer Kara,Giresunspor,1991,Forvet,Türkiye
820338,Zafer Güngör,Giresunspor,1992,Kaleci,Türkiye
949403,İsmail Güney,Giresunspor,1992,Kaleci,Türkiye
1043908,Ziya Demiral,Giresunspor,1992,Kaleci,Türkiye
576640,Adil Tozlu,Giresunspor,1992,Defans,Türkiye
682874,Hakan Kurt,Giresunspor,1992,Defans,Türkiye
820339,Kemal Köse,Giresunspor,1992,Defans,Türkiye
950116,Müslüm Gülhan,Giresunspor,1992,Defans,Türkiye
951306,Ali Özdemir,Giresunspor,1992,Defans,Türkiye
1043967,İlhan Dervişoğlu,Giresunspor,1992,Defans,Türkiye
820342,Mehmet Yaylı,Giresunspor,1992,Stoper,Türkiye
68269,Mustafa Öztürk,Giresunspor,1992,Orta Saha,Türkiye
615052,Teoman Çamlıca,Giresunspor,1992,Orta Saha,Türkiye
867152,Osman Sivri,Giresunspor,1992,Orta Saha,Türkiye
951285,Arif Göral,Giresunspor,1992,Orta Saha,Türkiye
1043909,Erkan Gürsoy,Giresunspor,1992,Orta Saha,Türkiye
114644,Yüksel Öğüten,Giresunspor,1992,On Numara,Türkiye
650222,Mustafa Aydın,Giresunspor,1992,Forvet,Türkiye
670936,Ömer Zorlu,Giresunspor,1992,Forvet,Türkiye
951286,Ali Osman Duruşkan,Giresunspor,1992,Forvet,Türkiye
1043914,Ahmet Tanzer Kara,Giresunspor,1992,Forvet,Türkiye
1340749,Erden Aksoy,Giresunspor,1992,Santrafor,Türkiye
820338,Zafer Güngör,Giresunspor,1993,Kaleci,Türkiye
949403,İsmail Güney,Giresunspor,1993,Kaleci,Türkiye
1043908,Ziya Demiral,Giresunspor,1993,Kaleci,Türkiye
576640,Adil Tozlu,Giresunspor,1993,Defans,Türkiye
621891,Şevket Diril,Giresunspor,1993,Defans,Türkiye
682874,Hakan Kurt,Giresunspor,1993,Defans,Türkiye
820339,Kemal Köse,Giresunspor,1993,Defans,Türkiye
824609,Fikret Acuner,Giresunspor,1993,Defans,Türkiye
825568,Eyüp Yenal,Giresunspor,1993,Defans,Türkiye
1043967,İlhan Dervişoğlu,Giresunspor,1993,Defans,Türkiye
820342,Mehmet Yaylı,Giresunspor,1993,Stoper,Türkiye
68269,Mustafa Öztürk,Giresunspor,1993,Orta Saha,Türkiye
172365,Osman Üstünel,Giresunspor,1993,Orta Saha,Türkiye
615052,Teoman Çamlıca,Giresunspor,1993,Orta Saha,Türkiye
867152,Osman Sivri,Giresunspor,1993,Orta Saha,Türkiye
951285,Arif Göral,Giresunspor,1993,Orta Saha,Türkiye
1043909,Erkan Gürsoy,Giresunspor,1993,Orta Saha,Türkiye
650222,Mustafa Aydın,Giresunspor,1993,Forvet,Türkiye
670936,Ömer Zorlu,Giresunspor,1993,Forvet,Türkiye
821281,Suat Türe,Giresunspor,1993,Forvet,Türkiye
1043914,Ahmet Tanzer Kara,Giresunspor,1993,Forvet,Türkiye
1340749,Erden Aksoy,Giresunspor,1993,Santrafor,Türkiye
1371166,Nadir Gönül,Giresunspor,1993,Forvet,Türkiye
949403,İsmail Güney,Giresunspor,1994,Kaleci,Türkiye
1043908,Ziya Demiral,Giresunspor,1994,Kaleci,Türkiye
682874,Hakan Kurt,Giresunspor,1994,Defans,Türkiye
820339,Kemal Köse,Giresunspor,1994,Defans,Türkiye
824609,Fikret Acuner,Giresunspor,1994,Defans,Türkiye
824877,Hasan Ali Tek,Giresunspor,1994,Defans,Türkiye
825568,Eyüp Yenal,Giresunspor,1994,Defans,Türkiye
1043967,İlhan Dervişoğlu,Giresunspor,1994,Defans,Türkiye
68269,Mustafa Öztürk,Giresunspor,1994,Orta Saha,Türkiye
615052,Teoman Çamlıca,Giresunspor,1994,Orta Saha,Türkiye
624969,Hasan Şişman,Giresunspor,1994,Orta Saha,Türkiye
797750,Ali Ömer Sakarya,Giresunspor,1994,Orta Saha,Türkiye
916937,Memiş Özata,Giresunspor,1994,Orta Saha,Türkiye
954042,Hayrullah Yılmaz,Giresunspor,1994,Orta Saha,Türkiye
1043909,Erkan Gürsoy,Giresunspor,1994,Orta Saha,Türkiye
1190678,Ramazan Gülleri,Giresunspor,1994,Orta Saha,Türkiye
623042,Bayram Oral,Giresunspor,1994,Santrafor,Türkiye
630486,Oğuz Aydoğdu,Giresunspor,1994,Santrafor,Türkiye
650222,Mustafa Aydın,Giresunspor,1994,Forvet,Türkiye
822976,Sarper Ergün,Giresunspor,1994,Forvet,Türkiye
1043914,Ahmet Tanzer Kara,Giresunspor,1994,Forvet,Türkiye
1043908,Ziya Demiral,Giresunspor,1995,Kaleci,Türkiye
590870,Ahmet Bilginer,Giresunspor,1995,Defans,Türkiye
682874,Hakan Kurt,Giresunspor,1995,Defans,Türkiye
739090,Onur Bozlar,Giresunspor,1995,Defans,Türkiye
820339,Kemal Köse,Giresunspor,1995,Defans,Türkiye
824609,Fikret Acuner,Giresunspor,1995,Defans,Türkiye
