OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
601167,Can Okuyucu,Göztepe,1990,Kaleci,Türkiye
673281,Suat Arıcan,Göztepe,1990,Kaleci,Türkiye
830632,Menderes Sunkar,Göztepe,1990,Kaleci,Türkiye
603465,Mirsad Sahinovic,Göztepe,1990,Libero,Bosna-Hersek
581070,Hüsnü Akın,Göztepe,1990,Defans,Türkiye
607746,Bayram Mercan,Göztepe,1990,Defans,Türkiye
673294,Hasan Büyükbaş,Göztepe,1990,Defans,Türkiye
830716,Mustafa Özgür,Göztepe,1990,Defans,Türkiye
830721,Ramadan Yılmaz,Göztepe,1990,Defans,Türkiye
899788,Gürhan Dizlek,Göztepe,1990,Defans,Türkiye
428589,Muharrem Gürbüz,Göztepe,1990,Stoper,Türkiye
599748,Mustafa Fedai,Göztepe,1990,Orta Saha,Türkiye
630885,Adnan Esen,Göztepe,1990,Ön Libero,Türkiye
830718,Alpaslan Karaca,Göztepe,1990,Orta Saha,Türkiye
830726,Hayrullah Eskiçeri,Göztepe,1990,Orta Saha,Türkiye
1134863,Mustafa Doğru,Göztepe,1990,Orta Saha,Türkiye
35668,İlkan Aksoy,Göztepe,1990,Orta Saha Sağ,Türkiye
616011,Fatih Parmaksız,Göztepe,1990,Orta Saha Sağ,Türkiye
324025,Tahir Karapınar,Göztepe,1990,Orta Saha Sol,Türkiye
599864,Volkan Velioğlu,Göztepe,1990,On Numara,Türkiye
873194,Zafer Altındağ,Göztepe,1990,Sol Kanat,Türkiye
574026,Cevdet Çapar,Göztepe,1990,Santrafor,Türkiye
599747,Yaşar Akçura,Göztepe,1990,Santrafor,Türkiye
666154,Emin Taş,Göztepe,1990,Santrafor,Türkiye
714562,Ahmet Kılıç,Göztepe,1990,Santrafor,Türkiye
950795,Cengiz Önbaş,Göztepe,1990,Forvet,Türkiye
601167,Can Okuyucu,Göztepe,1991,Kaleci,Türkiye
673281,Suat Arıcan,Göztepe,1991,Kaleci,Türkiye
830632,Menderes Sunkar,Göztepe,1991,Kaleci,Türkiye
607746,Bayram Mercan,Göztepe,1991,Defans,Türkiye
673288,Burak Başar,Göztepe,1991,Defans,Türkiye
673293,Can Çaylan,Göztepe,1991,Defans,Türkiye
673294,Hasan Büyükbaş,Göztepe,1991,Defans,Türkiye
830716,Mustafa Özgür,Göztepe,1991,Defans,Türkiye
830721,Ramadan Yılmaz,Göztepe,1991,Defans,Türkiye
899788,Gürhan Dizlek,Göztepe,1991,Defans,Türkiye
586304,Reha Erginer,Göztepe,1991,Orta Saha,Türkiye
599748,Mustafa Fedai,Göztepe,1991,Orta Saha,Türkiye
630885,Adnan Esen,Göztepe,1991,Ön Libero,Türkiye
830718,Alpaslan Karaca,Göztepe,1991,Orta Saha,Türkiye
830724,Timur Sezgin,Göztepe,1991,Orta Saha,Türkiye
830726,Hayrullah Eskiçeri,Göztepe,1991,Orta Saha,Türkiye
830728,Ali Akın Çilek,Göztepe,1991,Orta Saha,Türkiye
35668,İlkan Aksoy,Göztepe,1991,Orta Saha Sağ,Türkiye
574105,Ali Yüksel Can,Göztepe,1991,On Numara,Türkiye
599864,Volkan Velioğlu,Göztepe,1991,On Numara,Türkiye
603700,Fadıl Kurt,Göztepe,1991,Sol Kanat,Türkiye
578006,Hasan Yıldırım,Göztepe,1991,Santrafor,Türkiye
578026,Erdoğan Paslı,Göztepe,1991,Forvet,Türkiye
599747,Yaşar Akçura,Göztepe,1991,Santrafor,Türkiye
613575,Volkan Alpacar,Göztepe,1991,Santrafor,Türkiye
666154,Emin Taş,Göztepe,1991,Santrafor,Türkiye
830720,Bülent Dalkılıç,Göztepe,1991,Forvet,Türkiye
573873,Mehmet Tezcan,Göztepe,1992,Kaleci,Türkiye
673281,Suat Arıcan,Göztepe,1992,Kaleci,Türkiye
900266,Şenol Sevindi,Göztepe,1992,Kaleci,Türkiye
576539,Harun Şen,Göztepe,1992,Defans,Türkiye
607746,Bayram Mercan,Göztepe,1992,Defans,Türkiye
673288,Burak Başar,Göztepe,1992,Defans,Türkiye
673293,Can Çaylan,Göztepe,1992,Defans,Türkiye
673294,Hasan Büyükbaş,Göztepe,1992,Defans,Türkiye
828805,Hasan Fındık,Göztepe,1992,Defans,Türkiye
830716,Mustafa Özgür,Göztepe,1992,Defans,Türkiye
899788,Gürhan Dizlek,Göztepe,1992,Defans,Türkiye
617926,Hakkı Öztabağ,Göztepe,1992,Orta Saha,Türkiye
630885,Adnan Esen,Göztepe,1992,Ön Libero,Türkiye
632220,Tayfun Demirci,Göztepe,1992,Orta Saha,Türkiye
672061,Serter Serttepe,Göztepe,1992,Orta Saha,Türkiye
811172,Aktan Kutlu,Göztepe,1992,Orta Saha,Türkiye
830726,Hayrullah Eskiçeri,Göztepe,1992,Orta Saha,Türkiye
35668,İlkan Aksoy,Göztepe,1992,Orta Saha Sağ,Türkiye
8051,Altan Aksoy,Göztepe,1992,On Numara,Türkiye
574105,Ali Yüksel Can,Göztepe,1992,On Numara,Türkiye
