OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
666939,Adnan Çağlar,Hatayspor,1990,Kaleci,Türkiye
983924,Mehmet Coşar,Hatayspor,1990,Kaleci,Türkiye
952450,Yılmaz Ayten,Hatayspor,1990,Defans,Türkiye
973027,Muzaffer Tozlu,Hatayspor,1990,Defans,Türkiye
586375,Mahmut Çay,Hatayspor,1990,Stoper,Türkiye
950648,Süreyya Tomak,Hatayspor,1990,Stoper,Türkiye
952431,Şirzat Çoktur,Hatayspor,1990,Stoper,Türkiye
822987,Ömer Leylak,Hatayspor,1990,Orta Saha,Türkiye
826489,Mehmet Sayıcı,Hatayspor,1990,Orta Saha,Türkiye
828729,Yavuz Lavkor,Hatayspor,1990,Orta Saha,Türkiye
952451,Cengiz Aykut Özçiçek,Hatayspor,1990,Orta Saha,Türkiye
950611,Yüksel Coşkun,Hatayspor,1990,On Numara,Türkiye
950612,Riyad Aslan,Hatayspor,1990,Sağ Kanat,Türkiye
640643,Senai Kara,Hatayspor,1990,Santrafor,Türkiye
666939,Adnan Çağlar,Hatayspor,1991,Kaleci,Türkiye
983924,Mehmet Coşar,Hatayspor,1991,Kaleci,Türkiye
729141,Deniz Şanlı,Hatayspor,1991,Defans,Türkiye
952450,Yılmaz Ayten,Hatayspor,1991,Defans,Türkiye
959542,Nedim Tanrıverdi,Hatayspor,1991,Defans,Türkiye
973027,Muzaffer Tozlu,Hatayspor,1991,Defans,Türkiye
1370718,Ergün Aydın,Hatayspor,1991,Libero,Türkiye
586375,Mahmut Çay,Hatayspor,1991,Stoper,Türkiye
950648,Süreyya Tomak,Hatayspor,1991,Stoper,Türkiye
952431,Şirzat Çoktur,Hatayspor,1991,Stoper,Türkiye
828729,Yavuz Lavkor,Hatayspor,1991,Orta Saha,Türkiye
952451,Cengiz Aykut Özçiçek,Hatayspor,1991,Orta Saha,Türkiye
950611,Yüksel Coşkun,Hatayspor,1991,On Numara,Türkiye
597792,Mehmet Kakil,Hatayspor,1991,Santrafor,Türkiye
950430,Ayhan Kaya,Hatayspor,1991,Forvet,Türkiye
322043,Mehmet Duymazer,Hatayspor,1992,Kaleci,Türkiye
588019,İrfan Güneş,Hatayspor,1992,Kaleci,Türkiye
604066,Yılmaz Bal,Hatayspor,1992,Kaleci,Türkiye
729141,Deniz Şanlı,Hatayspor,1992,Defans,Türkiye
824923,Erkan Aygün,Hatayspor,1992,Defans,Türkiye
952450,Yılmaz Ayten,Hatayspor,1992,Defans,Türkiye
973027,Muzaffer Tozlu,Hatayspor,1992,Defans,Türkiye
1370714,İlmeddin Ceylan,Hatayspor,1992,Defans,Türkiye
1370716,Hıdır Özdemir,Hatayspor,1992,Defans,Türkiye
1370718,Ergün Aydın,Hatayspor,1992,Libero,Türkiye
561322,İlhami Arslan,Hatayspor,1992,Sağ Bek,Türkiye
952451,Cengiz Aykut Özçiçek,Hatayspor,1992,Orta Saha,Türkiye
1370717,Ergün Uğur,Hatayspor,1992,Orta Saha,Türkiye
950611,Yüksel Coşkun,Hatayspor,1992,On Numara,Türkiye
597792,Mehmet Kakil,Hatayspor,1992,Santrafor,Türkiye
