OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
21797,Paolo Orlandoni,Inter,1990,Kaleci,İtalya
116754,Walter Zenga,Inter,1990,Kaleci,İtalya
221211,Luciano Bodini,Inter,1990,Kaleci,İtalya
223011,Astutillo Malgioglio,Inter,1990,Kaleci,İtalya
228539,Massimiliano Tacchinardi,Inter,1990,Defans,İtalya
23597,Davide Belotti,Inter,1990,Stoper,İtalya
118251,Riccardo Ferri,Inter,1990,Stoper,İtalya
223109,Antonio Paganin,Inter,1990,Stoper,İtalya
6746,Stefano Bettarini,Inter,1990,Sol Bek,İtalya
16056,Andreas Brehme,Inter,1990,Sol Bek,Almanya
107860,Giuseppe Bergomi,Inter,1990,Sağ Bek,İtalya
6024,Marco Barollo,Inter,1990,Orta Saha,İtalya
1527,Lothar Matthäus,Inter,1990,Ön Libero,Almanya
116683,Giuseppe Baresi,Inter,1990,Ön Libero,İtalya
120391,Sergio Battistini,Inter,1990,Ön Libero,İtalya
214676,Andrea Mandorlini,Inter,1990,Ön Libero,İtalya
222796,Paolo Stringara,Inter,1990,Ön Libero,İtalya
254370,Marco Grossi,Inter,1990,Orta Saha,İtalya
102473,Nicola Berti,Inter,1990,Merkez Orta Saha,İtalya
214677,Alessandro Bianchi,Inter,1990,Orta Saha Sağ,İtalya
224590,Fausto Pizzi,Inter,1990,On Numara,İtalya
163317,Davide Fontolan,Inter,1990,Sol Kanat,İtalya
223468,Maurizio Iorio,Inter,1990,Forvet Arkası,İtalya
5961,Marco Delvecchio,Inter,1990,Santrafor,İtalya
16980,Jürgen Klinsmann,Inter,1990,Santrafor,Almanya
116741,Aldo Serena,Inter,1990,Santrafor,İtalya
305116,Giuseppe Marino,Inter,1990,Forvet,İtalya
116754,Walter Zenga,Inter,1991,Kaleci,İtalya
223330,Beniamino Abate,Inter,1991,Kaleci,İtalya
228538,Raffaele Nuzzo,Inter,1991,Kaleci,İtalya
254898,Davide Cecotti,Inter,1991,Kaleci,İtalya
23597,Davide Belotti,Inter,1991,Stoper,İtalya
118251,Riccardo Ferri,Inter,1991,Stoper,İtalya
223109,Antonio Paganin,Inter,1991,Stoper,İtalya
228216,Marcello Montanari,Inter,1991,Stoper,İtalya
16056,Andreas Brehme,Inter,1991,Sol Bek,Almanya
107860,Giuseppe Bergomi,Inter,1991,Sağ Bek,İtalya
1527,Lothar Matthäus,Inter,1991,Ön Libero,Almanya
5843,Dino Baggio,Inter,1991,Ön Libero,İtalya
116683,Giuseppe Baresi,Inter,1991,Ön Libero,İtalya
120391,Sergio Battistini,Inter,1991,Ön Libero,İtalya
223482,Pasquale Rocco,Inter,1991,Ön Libero,İtalya
224529,Stefano Desideri,Inter,1991,Ön Libero,İtalya
254370,Marco Grossi,Inter,1991,Orta Saha,İtalya
21234,Dario Passoni,Inter,1991,Merkez Orta Saha,İtalya
102473,Nicola Berti,Inter,1991,Merkez Orta Saha,İtalya
214677,Alessandro Bianchi,Inter,1991,Orta Saha Sağ,İtalya
224586,Angelo Orlando,Inter,1991,Orta Saha Sağ,İtalya
224590,Fausto Pizzi,Inter,1991,On Numara,İtalya
163317,Davide Fontolan,Inter,1991,Sol Kanat,İtalya
5961,Marco Delvecchio,Inter,1991,Santrafor,İtalya
16980,Jürgen Klinsmann,Inter,1991,Santrafor,Almanya
223457,Massimo Ciocci,Inter,1991,Santrafor,İtalya
6808,Marco Fortin,Inter,1992,Kaleci,İtalya
116754,Walter Zenga,Inter,1992,Kaleci,İtalya
223330,Beniamino Abate,Inter,1992,Kaleci,İtalya
77010,Matthias Sammer,Inter,1992,Libero,Almanya
311302,Stefano Ricci,Inter,1992,Defans,İtalya
102646,Mirko Taccola,Inter,1992,Stoper,İtalya
118251,Riccardo Ferri,Inter,1992,Stoper,İtalya
223109,Antonio Paganin,Inter,1992,Stoper,İtalya
228216,Marcello Montanari,Inter,1992,Stoper,İtalya
6406,Paolo Tramezzani,Inter,1992,Sol Bek,İtalya
30656,Stefano Rossini,Inter,1992,Sol Bek,İtalya
118258,Luigi De Agostini,Inter,1992,Sol Bek,İtalya
107860,Giuseppe Bergomi,Inter,1992,Sağ Bek,İtalya
223363,Simone Veronese,Inter,1992,Sağ Bek,İtalya
120391,Sergio Battistini,Inter,1992,Ön Libero,İtalya
223471,Antonio Manicone,Inter,1992,Ön Libero,İtalya
224529,Stefano Desideri,Inter,1992,Ön Libero,İtalya
253329,Stefano Vecchi,Inter,1992,Orta Saha,İtalya
102473,Nicola Berti,Inter,1992,Merkez Orta Saha,İtalya
214677,Alessandro Bianchi,Inter,1992,Orta Saha Sağ,İtalya
224586,Angelo Orlando,Inter,1992,Orta Saha Sağ,İtalya
88150,Igor Shalimov,Inter,1992,On Numara,Rusya
163317,Davide Fontolan,Inter,1992,Sol Kanat,İtalya
22455,Rubén Sosa,Inter,1992,Forvet Arkası,Uruguay
90513,Salvatore Schillaci,Inter,1992,Santrafor,İtalya
100098,Darko Pancev,Inter,1992,Santrafor,Kuzey Makedonya
116754,Walter Zenga,Inter,1993,Kaleci,İtalya
223330,Beniamino Abate,Inter,1993,Kaleci,İtalya
228874,Alessandro Rossi,Inter,1993,Defans,İtalya
5596,Gianluca Festa,Inter,1993,Stoper,İtalya
22207,Massimo Paganin,Inter,1993,Stoper,İtalya
118251,Riccardo Ferri,Inter,1993,Stoper,İtalya
223109,Antonio Paganin,Inter,1993,Stoper,İtalya
6406,Paolo Tramezzani,Inter,1993,Sol Bek,İtalya
228870,Fabio Di Sauro,Inter,1993,Sol Bek,İtalya
107860,Giuseppe Bergomi,Inter,1993,Sağ Bek,İtalya
101046,Wim Jonk,Inter,1993,Ön Libero,Hollanda
120391,Sergio Battistini,Inter,1993,Ön Libero,İtalya
223471,Antonio Manicone,Inter,1993,Ön Libero,İtalya
257114,Marco Nichetti,Inter,1993,Orta Saha,İtalya
7098,Andrea Zanchetta,Inter,1993,Merkez Orta Saha,İtalya
21879,Alessandro Conticchio,Inter,1993,Merkez Orta Saha,İtalya
102473,Nicola Berti,Inter,1993,Merkez Orta Saha,İtalya
214677,Alessandro Bianchi,Inter,1993,Orta Saha Sağ,İtalya
224586,Angelo Orlando,Inter,1993,Orta Saha Sağ,İtalya
88150,Igor Shalimov,Inter,1993,On Numara,Rusya
224554,Francesco Dell'Anno,Inter,1993,On Numara,İtalya
163317,Davide Fontolan,Inter,1993,Sol Kanat,İtalya
