OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
16983,Adriano Bonaiuti,Juventus,1990,Kaleci,İtalya
5965,Davide Micillo,Juventus,1990,Kaleci,İtalya
118257,Stefano Tacconi,Juventus,1990,Kaleci,İtalya
30945,Júlio César,Juventus,1990,Stoper,Brezilya
121088,Dario Bonetti,Juventus,1990,Stoper,İtalya
186334,Marco De Marchi,Juventus,1990,Stoper,İtalya
222791,Gianluca Luppi,Juventus,1990,Stoper,İtalya
248879,Andrea De Min,Juventus,1990,Stoper,İtalya
5777,Michele Serena,Juventus,1990,Sol Bek,İtalya
118258,Luigi De Agostini,Juventus,1990,Sol Bek,İtalya
223352,Nicolò Napoli,Juventus,1990,Sağ Bek,İtalya
5921,Eugenio Corini,Juventus,1990,Ön Libero,İtalya
121091,Roberto Galia,Juventus,1990,Ön Libero,İtalya
223002,Daniele Fortunato,Juventus,1990,Ön Libero,İtalya
173739,Giancarlo Marocchi,Juventus,1990,Merkez Orta Saha,İtalya
553,Thomas Häßler,Juventus,1990,On Numara,Almanya
6054,Rubens Pasino,Juventus,1990,On Numara,İtalya
22218,Nicola Zanini,Juventus,1990,On Numara,İtalya
175938,Massimo Orlando,Juventus,1990,On Numara,İtalya
222798,Angelo Alessio,Juventus,1990,Sağ Kanat,İtalya
4153,Roberto Baggio,Juventus,1990,Forvet Arkası,İtalya
90513,Salvatore Schillaci,Juventus,1990,Santrafor,İtalya
3699,Paolo Di Canio,Juventus,1990,Santrafor,İtalya
102485,Pierluigi Casiraghi,Juventus,1990,Santrafor,İtalya
139294,Fabio Artico,Juventus,1990,Santrafor,İtalya
55770,Fabio Marchioro,Juventus,1991,Kaleci,İtalya
5826,Angelo Peruzzi,Juventus,1991,Kaleci,İtalya
118257,Stefano Tacconi,Juventus,1991,Kaleci,İtalya
23348,Massimo Carrera,Juventus,1991,Stoper,İtalya
30945,Júlio César,Juventus,1991,Stoper,Brezilya
119,Jürgen Kohler,Juventus,1991,Stoper,Almanya
222791,Gianluca Luppi,Juventus,1991,Stoper,İtalya
24320,Alessandro Dal Canto,Juventus,1991,Sol Bek,İtalya
118258,Luigi De Agostini,Juventus,1991,Sol Bek,İtalya
5941,Luigi Sartor,Juventus,1991,Sağ Bek,İtalya
5921,Eugenio Corini,Juventus,1991,Ön Libero,İtalya
121091,Roberto Galia,Juventus,1991,Ön Libero,İtalya
247175,Nicola Ragagnin,Juventus,1991,Orta Saha,İtalya
5759,Antonio Conte,Juventus,1991,Merkez Orta Saha,İtalya
16850,Massimiliano Giacobbo,Juventus,1991,Merkez Orta Saha,İtalya
173739,Giancarlo Marocchi,Juventus,1991,Merkez Orta Saha,İtalya
130,Stefan Reuter,Juventus,1991,Orta Saha Sağ,Almanya
224549,Andrea Caverzan,Juventus,1991,Orta Saha Sol,İtalya
22218,Nicola Zanini,Juventus,1991,On Numara,İtalya
222798,Angelo Alessio,Juventus,1991,Sağ Kanat,İtalya
4153,Roberto Baggio,Juventus,1991,Forvet Arkası,İtalya
90513,Salvatore Schillaci,Juventus,1991,Santrafor,İtalya
3699,Paolo Di Canio,Juventus,1991,Santrafor,İtalya
102485,Pierluigi Casiraghi,Juventus,1991,Santrafor,İtalya
5826,Angelo Peruzzi,Juventus,1992,Kaleci,İtalya
11808,Michelangelo Rampulla,Juventus,1992,Kaleci,İtalya
22092,Lorenzo Squizzi,Juventus,1992,Kaleci,İtalya
210388,Christian Trombini,Juventus,1992,Kaleci,İtalya
23348,Massimo Carrera,Juventus,1992,Stoper,İtalya
30945,Júlio César,Juventus,1992,Stoper,Brezilya
119,Jürgen Kohler,Juventus,1992,Stoper,Almanya
186334,Marco De Marchi,Juventus,1992,Stoper,İtalya
24320,Alessandro Dal Canto,Juventus,1992,Sol Bek,İtalya
5941,Luigi Sartor,Juventus,1992,Sağ Bek,İtalya
15769,Moreno Torricelli,Juventus,1992,Sağ Bek,İtalya
5843,Dino Baggio,Juventus,1992,Ön Libero,İtalya
121091,Roberto Galia,Juventus,1992,Ön Libero,İtalya
247175,Nicola Ragagnin,Juventus,1992,Orta Saha,İtalya
5759,Antonio Conte,Juventus,1992,Merkez Orta Saha,İtalya
16850,Massimiliano Giacobbo,Juventus,1992,Merkez Orta Saha,İtalya
173739,Giancarlo Marocchi,Juventus,1992,Merkez Orta Saha,İtalya
124,Andreas Möller,Juventus,1992,On Numara,Almanya
101318,David Platt,Juventus,1992,On Numara,İngiltere
4153,Roberto Baggio,Juventus,1992,Forvet Arkası,İtalya
16036,Gianluca Vialli,Juventus,1992,Santrafor,İtalya
3699,Paolo Di Canio,Juventus,1992,Santrafor,İtalya
4226,Fabrizio Ravanelli,Juventus,1992,Santrafor,İtalya
102485,Pierluigi Casiraghi,Juventus,1992,Santrafor,İtalya
255714,Bruno Trocini,Juventus,1992,Santrafor,İtalya
55770,Fabio Marchioro,Juventus,1993,Kaleci,İtalya
5826,Angelo Peruzzi,Juventus,1993,Kaleci,İtalya
11808,Michelangelo Rampulla,Juventus,1993,Kaleci,İtalya
22092,Lorenzo Squizzi,Juventus,1993,Kaleci,İtalya
229198,Massimiliano Notari,Juventus,1993,Defans,İtalya
23348,Massimo Carrera,Juventus,1993,Stoper,İtalya
30945,Júlio César,Juventus,1993,Stoper,Brezilya
119,Jürgen Kohler,Juventus,1993,Stoper,Almanya
21901,Francesco Baldini,Juventus,1993,Stoper,İtalya
186334,Marco De Marchi,Juventus,1993,Stoper,İtalya
223464,Gianluca Francesconi,Juventus,1993,Stoper,İtalya
223463,Andrea Fortunato,Juventus,1993,Sol Bek,İtalya
24320,Alessandro Dal Canto,Juventus,1993,Sol Bek,İtalya
15769,Moreno Torricelli,Juventus,1993,Sağ Bek,İtalya
106220,Sergio Porrini,Juventus,1993,Sağ Bek,İtalya
5843,Dino Baggio,Juventus,1993,Ön Libero,İtalya
121091,Roberto Galia,Juventus,1993,Ön Libero,İtalya
5759,Antonio Conte,Juventus,1993,Merkez Orta Saha,İtalya
16850,Massimiliano Giacobbo,Juventus,1993,Merkez Orta Saha,İtalya
20732,Loris Del Nevo,Juventus,1993,Merkez Orta Saha,İtalya
173739,Giancarlo Marocchi,Juventus,1993,Merkez Orta Saha,İtalya
21148,Angelo Di Livio,Juventus,1993,Orta Saha Sağ,İtalya
124,Andreas Möller,Juventus,1993,On Numara,Almanya
5850,Christian Manfredini,Juventus,1993,Sol Kanat,Fildişi Sahili
28009,Jonatan Binotto,Juventus,1993,Sağ Kanat,İtalya
22273,Federico Giampaolo,Juventus,1993,Forvet Arkası,İtalya
4153,Roberto Baggio,Juventus,1993,Forvet Arkası,İtalya
4289,Alessandro Del Piero,Juventus,1993,Forvet Arkası,İtalya
12899,Zoran Ban,Juventus,1993,Santrafor,Hırvatistan
16036,Gianluca Vialli,Juventus,1993,Santrafor,İtalya
4226,Fabrizio Ravanelli,Juventus,1993,Santrafor,İtalya
16890,Fabrizio Cammarata,Juventus,1993,Santrafor,İtalya
5826,Angelo Peruzzi,Juventus,1994,Kaleci,İtalya
11808,Michelangelo Rampulla,Juventus,1994,Kaleci,İtalya
22092,Lorenzo Squizzi,Juventus,1994,Kaleci,İtalya
5749,Ciro Ferrara,Juventus,1994,Stoper,İtalya
23348,Massimo Carrera,Juventus,1994,Stoper,İtalya
119,Jürgen Kohler,Juventus,1994,Stoper,Almanya
20741,Simone Loria,Juventus,1994,Stoper,İtalya
223464,Gianluca Francesconi,Juventus,1994,Stoper,İtalya
503220,Alessio Morelli,Juventus,1994,Stoper,İtalya
29556,Robert Jarni,Juventus,1994,Sol Bek,Hırvatistan
177685,Alessandro Orlando,Juventus,1994,Sol Bek,İtalya
15769,Moreno Torricelli,Juventus,1994,Sağ Bek,İtalya
106220,Sergio Porrini,Juventus,1994,Sağ Bek,İtalya
1536,Paulo Sousa,Juventus,1994,Ön Libero,Portekiz
5748,Alessio Tacchinardi,Juventus,1994,Ön Libero,İtalya
75553,Didier Deschamps,Juventus,1994,Ön Libero,Fransa
118253,Luca Fusi,Juventus,1994,Ön Libero,İtalya
223482,Pasquale Rocco,Juventus,1994,Ön Libero,İtalya
228549,Simone Tognon,Juventus,1994,Orta Saha,İtalya
5759,Antonio Conte,Juventus,1994,Merkez Orta Saha,İtalya
173739,Giancarlo Marocchi,Juventus,1994,Merkez Orta Saha,İtalya
21148,Angelo Di Livio,Juventus,1994,Orta Saha Sağ,İtalya
4153,Roberto Baggio,Juventus,1994,Forvet Arkası,İtalya
4289,Alessandro Del Piero,Juventus,1994,Forvet Arkası,İtalya
16036,Gianluca Vialli,Juventus,1994,Santrafor,İtalya
3704,Corrado Grabbi,Juventus,1994,Santrafor,İtalya
4226,Fabrizio Ravanelli,Juventus,1994,Santrafor,İtalya
6026,Tommaso Rocchi,Juventus,1994,Santrafor,İtalya
21149,Enrico Fantini,Juventus,1994,Santrafor,İtalya
5826,Angelo Peruzzi,Juventus,1995,Kaleci,İtalya
11808,Michelangelo Rampulla,Juventus,1995,Kaleci,İtalya
259584,Nicola Visentin,Juventus,1995,Kaleci,İtalya
5749,Ciro Ferrara,Juventus,1995,Stoper,İtalya
23348,Massimo Carrera,Juventus,1995,Stoper,İtalya
