OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
115894,Kıvanç Bozkurt,Kardemir Karabükspor,1990,Kaleci,Türkiye
324061,Mahir Günok,Kardemir Karabükspor,1990,Kaleci,Türkiye
811184,Murat Seyli,Kardemir Karabükspor,1990,Kaleci,Türkiye
115902,Özcan İlarslan,Kardemir Karabükspor,1990,Defans,Türkiye
613369,Nejat Özyıldırım,Kardemir Karabükspor,1990,Defans,Türkiye
668401,Nazmi Yılmaz,Kardemir Karabükspor,1990,Defans,Türkiye
811167,Metin Çuvalcı,Kardemir Karabükspor,1990,Defans,Türkiye
811175,Erkan Çakır,Kardemir Karabükspor,1990,Defans,Türkiye
811178,Erkan Bölükbaş,Kardemir Karabükspor,1990,Defans,Türkiye
811179,Gürsel Tunalı,Kardemir Karabükspor,1990,Defans,Türkiye
115891,Levent Açıkgöz,Kardemir Karabükspor,1990,Stoper,Türkiye
115913,İlhan Özer,Kardemir Karabükspor,1990,Sağ Bek,Türkiye
633933,Ahmet Kurt,Kardemir Karabükspor,1990,Sağ Bek,Türkiye
115904,Sedat Kalaycı,Kardemir Karabükspor,1990,Ön Libero,Türkiye
586288,Ümit Aktaş,Kardemir Karabükspor,1990,Orta Saha,Türkiye
634801,Gökmen Özcan,Kardemir Karabükspor,1990,Orta Saha,Türkiye
682876,Ertuğrul Şerbetçi,Kardemir Karabükspor,1990,Orta Saha,Türkiye
811172,Aktan Kutlu,Kardemir Karabükspor,1990,Orta Saha,Türkiye
811173,Mustafa Bankoğlu,Kardemir Karabükspor,1990,Orta Saha,Türkiye
811183,Aytekin Kebelioğlu,Kardemir Karabükspor,1990,Orta Saha,Türkiye
587739,Ayhan Alemdaroğlu,Kardemir Karabükspor,1990,Forvet,Türkiye
811165,Zeki Demirkıran,Kardemir Karabükspor,1990,Santrafor,Türkiye
811168,Tınas Karakaş,Kardemir Karabükspor,1990,Forvet,Türkiye
811177,Hüdai Hamdi Büyükpoyraz,Kardemir Karabükspor,1990,Forvet,Türkiye
811182,Emin Küçük,Kardemir Karabükspor,1990,Forvet,Türkiye
823002,Demir Beşlioğlu,Kardemir Karabükspor,1990,Forvet,Türkiye
1018745,Ahmet Karadağ,Kardemir Karabükspor,1990,Forvet,Türkiye
