OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
590645,Bülent Yenidoğan,Kasımpaşa,1990,Kaleci,Türkiye
601220,Alp Pehlivan,Kasımpaşa,1990,Kaleci,Türkiye
827476,Erdinç Kaya,Kasımpaşa,1990,Kaleci,Türkiye
1359823,Ali Bayrak,Kasımpaşa,1990,Kaleci,Türkiye
797749,Tandoğan Sunguroğlu,Kasımpaşa,1990,Defans,Türkiye
827477,Levent Erünsal,Kasımpaşa,1990,Defans,Türkiye
827506,Osman Küçük,Kasımpaşa,1990,Defans,Türkiye
830122,Altay Unan,Kasımpaşa,1990,Defans,Türkiye
1259212,Murat Ömer Işıkal,Kasımpaşa,1990,Defans,Türkiye
290765,Haluk Serenli,Kasımpaşa,1990,Stoper,Türkiye
827478,Targan Seymen,Kasımpaşa,1990,Orta Saha,Türkiye
115896,Ali Çebi,Kasımpaşa,1990,Orta Saha,Türkiye
830128,Haydar Kemendi,Kasımpaşa,1990,Orta Saha,Türkiye
1558480,Arif Gökdemir,Kasımpaşa,1990,Orta Saha,Türkiye
583097,Abdullah Avcı,Kasımpaşa,1990,Santrafor,Türkiye
601892,Özer Kılık,Kasımpaşa,1990,Forvet,Türkiye
718694,Yaşar Çevikel,Kasımpaşa,1990,Forvet,Türkiye
827481,Refa Refik Aslan,Kasımpaşa,1990,Forvet,Türkiye
827482,Can Erdem,Kasımpaşa,1990,Forvet,Türkiye
827720,Okan Çokeker,Kasımpaşa,1990,Forvet,Türkiye
830145,Harun Gül,Kasımpaşa,1990,Forvet,Türkiye
882289,Ali Oktay Çevik,Kasımpaşa,1990,Forvet,Türkiye
607052,Hakan Yurtvermez,Kasımpaşa,1991,Kaleci,Türkiye
827476,Erdinç Kaya,Kasımpaşa,1991,Kaleci,Türkiye
827719,Özgüneri Şenyurt,Kasımpaşa,1991,Kaleci,Türkiye
827477,Levent Erünsal,Kasımpaşa,1991,Defans,Türkiye
827480,Tuncay Korkmaz,Kasımpaşa,1991,Defans,Türkiye
827483,Yalçın Aykaç,Kasımpaşa,1991,Defans,Türkiye
827506,Osman Küçük,Kasımpaşa,1991,Defans,Türkiye
290765,Haluk Serenli,Kasımpaşa,1991,Stoper,Türkiye
827478,Targan Seymen,Kasımpaşa,1991,Orta Saha,Türkiye
115896,Ali Çebi,Kasımpaşa,1991,Orta Saha,Türkiye
824758,Mehmet Karasu,Kasımpaşa,1991,Orta Saha,Türkiye
827479,Ercan Ünlü,Kasımpaşa,1991,Orta Saha,Türkiye
827698,Ercan Temir,Kasımpaşa,1991,Orta Saha,Türkiye
827717,Erdinç Şehit,Kasımpaşa,1991,Orta Saha,Türkiye
583090,Erkan Ültanır,Kasımpaşa,1991,Santrafor,Türkiye
601892,Özer Kılık,Kasımpaşa,1991,Forvet,Türkiye
827481,Refa Refik Aslan,Kasımpaşa,1991,Forvet,Türkiye
827482,Can Erdem,Kasımpaşa,1991,Forvet,Türkiye
827718,Cengiz Sabancı,Kasımpaşa,1991,Forvet,Türkiye
827720,Okan Çokeker,Kasımpaşa,1991,Forvet,Türkiye
866933,Yüksel Kurtoğlu,Kasımpaşa,1991,Forvet,Türkiye
959540,Özcan Türkmen,Kasımpaşa,1991,Forvet,Türkiye
827477,Levent Erünsal,Kasımpaşa,1992,Defans,Türkiye
827506,Osman Küçük,Kasımpaşa,1992,Defans,Türkiye
290765,Haluk Serenli,Kasımpaşa,1992,Stoper,Türkiye
1561436,Tekin Aslıhan,Kasımpaşa,1992,Stoper,Türkiye
576639,Hakan Özgerçek,Kasımpaşa,1992,Orta Saha,Türkiye
827479,Ercan Ünlü,Kasımpaşa,1992,Orta Saha,Türkiye
830128,Haydar Kemendi,Kasımpaşa,1992,Orta Saha,Türkiye
1041469,Candan Giden,Kasımpaşa,1992,Orta Saha,Türkiye
1561243,Ferat Nokay,Kasımpaşa,1992,Sağ Kanat,Türkiye
739212,Hakan Saral,Kasımpaşa,1992,Forvet,Türkiye
827481,Refa Refik Aslan,Kasımpaşa,1992,Forvet,Türkiye
827482,Can Erdem,Kasımpaşa,1992,Forvet,Türkiye
827480,Tuncay Korkmaz,Kasımpaşa,1993,Defans,Türkiye
827506,Osman Küçük,Kasımpaşa,1993,Defans,Türkiye
1561436,Tekin Aslıhan,Kasımpaşa,1993,Stoper,Türkiye
615064,Musa Pekin,Kasımpaşa,1993,Orta Saha,Türkiye
827479,Ercan Ünlü,Kasımpaşa,1993,Orta Saha,Türkiye
830128,Haydar Kemendi,Kasımpaşa,1993,Orta Saha,Türkiye
827481,Refa Refik Aslan,Kasımpaşa,1993,Forvet,Türkiye
827720,Okan Çokeker,Kasımpaşa,1993,Forvet,Türkiye
586392,Adem Beşli,Kasımpaşa,1994,Kaleci,Türkiye
615056,Ufuk İskender,Kasımpaşa,1994,Defans,Türkiye
797749,Tandoğan Sunguroğlu,Kasımpaşa,1994,Defans,Türkiye
827480,Tuncay Korkmaz,Kasımpaşa,1994,Defans,Türkiye
1493236,Ali Kemal Bakoğlu,Kasımpaşa,1994,Defans,Türkiye
615064,Musa Pekin,Kasımpaşa,1994,Orta Saha,Türkiye
827479,Ercan Ünlü,Kasımpaşa,1994,Orta Saha,Türkiye
830128,Haydar Kemendi,Kasımpaşa,1994,Orta Saha,Türkiye
902480,Metin Öztürk,Kasımpaşa,1994,Orta Saha,Türkiye
1469081,Rahmi Kalkan,Kasımpaşa,1994,Ön Libero,Türkiye
7067,Olcay Doğu,Kasımpaşa,1994,On Numara,Türkiye
601892,Özer Kılık,Kasımpaşa,1994,Forvet,Türkiye
630545,Fikret Erdoğan,Kasımpaşa,1994,Santrafor,Türkiye
827481,Refa Refik Aslan,Kasımpaşa,1994,Forvet,Türkiye
827482,Can Erdem,Kasımpaşa,1994,Forvet,Türkiye
830397,Murat Akan,Kasımpaşa,1994,Forvet,Türkiye
652631,Bülent Yılmaz,Kasımpaşa,1995,Kaleci,Türkiye
797749,Tandoğan Sunguroğlu,Kasımpaşa,1995,Defans,Türkiye
827480,Tuncay Korkmaz,Kasımpaşa,1995,Defans,Türkiye
1308224,Mehmet Bulduk,Kasımpaşa,1995,Defans,Türkiye
1493236,Ali Kemal Bakoğlu,Kasımpaşa,1995,Defans,Türkiye
583128,Muharrem Vezir,Kasımpaşa,1995,Stoper,Türkiye
584531,Uğur Balcıoğlu,Kasımpaşa,1995,Orta Saha,Türkiye
791879,Aydın Kahraman,Kasımpaşa,1995,Orta Saha,Türkiye
866170,Ekrem Yiğit,Kasımpaşa,1995,Orta Saha,Türkiye
902480,Metin Öztürk,Kasımpaşa,1995,Orta Saha,Türkiye
820568,Davut Bulut,Kasımpaşa,1995,Merkez Orta Saha,Türkiye
638165,Ferruh Eren,Kasımpaşa,1995,Santrafor,Türkiye
654879,Barış Dane,Kasımpaşa,1995,Forvet,Türkiye
824757,Mustafa Bukan,Kasımpaşa,1995,Forvet,Türkiye
827482,Can Erdem,Kasımpaşa,1995,Forvet,Türkiye
827720,Okan Çokeker,Kasımpaşa,1995,Forvet,Türkiye
830397,Murat Akan,Kasımpaşa,1995,Forvet,Türkiye
584741,Aydın Salatan,Kasımpaşa,1996,Kaleci,Türkiye
599271,Hüseyin Tosun,Kasımpaşa,1996,Kaleci,Türkiye
990817,Seyhan Göçen,Kasımpaşa,1996,Kaleci,Türkiye
633976,Mustafa Öztürk,Kasımpaşa,1996,Defans,Türkiye
797749,Tandoğan Sunguroğlu,Kasımpaşa,1996,Defans,Türkiye
825282,Cenk Düzen,Kasımpaşa,1996,Defans,Türkiye
831396,Yavuz Çınar,Kasımpaşa,1996,Defans,Türkiye
1308224,Mehmet Bulduk,Kasımpaşa,1996,Defans,Türkiye
791879,Aydın Kahraman,Kasımpaşa,1996,Orta Saha,Türkiye
866170,Ekrem Yiğit,Kasımpaşa,1996,Orta Saha,Türkiye
902480,Metin Öztürk,Kasımpaşa,1996,Orta Saha,Türkiye
959538,Zeki Yakupoğlu,Kasımpaşa,1996,Orta Saha,Türkiye
820568,Davut Bulut,Kasımpaşa,1996,Merkez Orta Saha,Türkiye
576683,Çetin Kahrıman,Kasımpaşa,1996,On Numara,Türkiye
577999,Ramazan Konya,Kasımpaşa,1996,Forvet,Türkiye
617246,Ergun Erikdemir,Kasımpaşa,1996,Forvet,Türkiye
632222,Hüseyin Sarıçan,Kasımpaşa,1996,Forvet,Türkiye
638165,Ferruh Eren,Kasımpaşa,1996,Santrafor,Türkiye
654879,Barış Dane,Kasımpaşa,1996,Forvet,Türkiye
714119,Haluk Duranoğlu,Kasımpaşa,1996,Santrafor,Türkiye
822969,Kenan Oktay,Kasımpaşa,1996,Forvet,Türkiye
824757,Mustafa Bukan,Kasımpaşa,1996,Forvet,Türkiye
827482,Can Erdem,Kasımpaşa,1996,Forvet,Türkiye
584741,Aydın Salatan,Kasımpaşa,1997,Kaleci,Türkiye
961601,Yusuf Köknar,Kasımpaşa,1997,Kaleci,Türkiye
990817,Seyhan Göçen,Kasımpaşa,1997,Kaleci,Türkiye
1146733,Coşkun Akalın,Kasımpaşa,1997,Kaleci,Türkiye
613782,Hüseyin Saraç,Kasımpaşa,1997,Defans,Türkiye
625594,Fatih Çayla,Kasımpaşa,1997,Defans,Türkiye
633830,Hakan Toraman,Kasımpaşa,1997,Defans,Türkiye
633976,Mustafa Öztürk,Kasımpaşa,1997,Defans,Türkiye
668755,Aydın Küçükkaya,Kasımpaşa,1997,Defans,Türkiye
825282,Cenk Düzen,Kasımpaşa,1997,Defans,Türkiye
831396,Yavuz Çınar,Kasımpaşa,1997,Defans,Türkiye
857523,İşcan Avşar,Kasımpaşa,1997,Defans,Türkiye
1308224,Mehmet Bulduk,Kasımpaşa,1997,Defans,Türkiye
58841,Ulaş Ortakaya,Kasımpaşa,1997,Stoper,Türkiye
765952,Murat Çolak,Kasımpaşa,1997,Merkez Orta Saha,Türkiye
66598,Hakikat Yıldırım,Kasımpaşa,1997,Santrafor,Türkiye
577999,Ramazan Konya,Kasımpaşa,1997,Forvet,Türkiye
617246,Ergun Erikdemir,Kasımpaşa,1997,Forvet,Türkiye
632222,Hüseyin Sarıçan,Kasımpaşa,1997,Forvet,Türkiye
654879,Barış Dane,Kasımpaşa,1997,Forvet,Türkiye
667910,Ümit Yılmaz,Kasımpaşa,1997,Forvet,Türkiye
714119,Haluk Duranoğlu,Kasımpaşa,1997,Santrafor,Türkiye
774665,Musa Hakan Ulutaş,Kasımpaşa,1997,Forvet,Türkiye
608381,Yılmaz Ece,Kasımpaşa,1998,Kaleci,Türkiye
584741,Aydın Salatan,Kasımpaşa,1998,Kaleci,Türkiye
961601,Yusuf Köknar,Kasımpaşa,1998,Kaleci,Türkiye
990817,Seyhan Göçen,Kasımpaşa,1998,Kaleci,Türkiye
110683,Mustafa Demir,Kasımpaşa,1998,Defans,Türkiye
114917,Fatih Kurtoğlu,Kasımpaşa,1998,Defans,Türkiye
586305,Besim Durmuş,Kasımpaşa,1998,Defans,Türkiye
613769,Mehmet Ünver,Kasımpaşa,1998,Defans,Türkiye
613782,Hüseyin Saraç,Kasımpaşa,1998,Defans,Türkiye
640926,Vahit Dumanova,Kasımpaşa,1998,Defans,Türkiye
961605,İslam Hacıoğlu,Kasımpaşa,1998,Defans,Türkiye
170456,Özcan Karakiraz,Kasımpaşa,1998,Stoper,Türkiye
646605,Şükrü Şamlı,Kasımpaşa,1998,Sol Bek,Türkiye
600235,Salih Başköy,Kasımpaşa,1998,Orta Saha,Türkiye
819775,Ali İrfan Buran,Kasımpaşa,1998,Orta Saha,Türkiye
839481,Erbil Aktepe,Kasımpaşa,1998,Orta Saha,Türkiye
