OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
850835,Alaaddin Demirözü,Kayserispor,1990,Defans,Türkiye
851081,Kemal Önelke,Kayserispor,1990,Defans,Türkiye
979562,Serdar Düzen,Kayserispor,1990,Defans,Türkiye
979569,Yücel Sarıgül,Kayserispor,1990,Defans,Türkiye
1042375,Hüseyin Ayotuz,Kayserispor,1990,Defans,Türkiye
683117,Seyit İçgül,Kayserispor,1990,Stoper,Türkiye
1370715,Burhanettin Hızcan,Kayserispor,1990,Orta Saha,Türkiye
595007,Rıdvan Çeçen,Kayserispor,1990,Orta Saha Sol,Türkiye
979568,Mustafa Esmeray,Kayserispor,1990,Sol Kanat,Türkiye
979562,Serdar Düzen,Kayserispor,1991,Defans,Türkiye
979569,Yücel Sarıgül,Kayserispor,1991,Defans,Türkiye
1042375,Hüseyin Ayotuz,Kayserispor,1991,Defans,Türkiye
1196568,Abidin Çakmak,Kayserispor,1991,Defans,Türkiye
683117,Seyit İçgül,Kayserispor,1991,Stoper,Türkiye
1370715,Burhanettin Hızcan,Kayserispor,1991,Orta Saha,Türkiye
979568,Mustafa Esmeray,Kayserispor,1991,Sol Kanat,Türkiye
851082,Mehmet Hündürel,Kayserispor,1992,Defans,Türkiye
979562,Serdar Düzen,Kayserispor,1992,Defans,Türkiye
979569,Yücel Sarıgül,Kayserispor,1992,Defans,Türkiye
1196568,Abidin Çakmak,Kayserispor,1992,Defans,Türkiye
683117,Seyit İçgül,Kayserispor,1992,Stoper,Türkiye
925501,Ahmet İzgi,Kayserispor,1992,Orta Saha,Türkiye
1354432,Ahmet Akgün,Kayserispor,1992,Orta Saha,Türkiye
1370715,Burhanettin Hızcan,Kayserispor,1992,Orta Saha,Türkiye
850820,Hakan Ertürk,Kayserispor,1992,On Numara,Türkiye
979568,Mustafa Esmeray,Kayserispor,1992,Sol Kanat,Türkiye
825561,Mehmet Aşık,Kayserispor,1992,Santrafor,Türkiye
1186959,Kenan Altunbaş,Kayserispor,1992,Santrafor,Türkiye
739208,Cengiz Balcıoğlu,Kayserispor,1993,Kaleci,Türkiye
737551,Gökhan Gündüz,Kayserispor,1993,Defans,Türkiye
979562,Serdar Düzen,Kayserispor,1993,Defans,Türkiye
7077,İsmail Doğan,Kayserispor,1993,Stoper,Türkiye
1419138,Serdar Sucan,Kayserispor,1993,Orta Saha,Türkiye
850820,Hakan Ertürk,Kayserispor,1993,On Numara,Türkiye
979568,Mustafa Esmeray,Kayserispor,1993,Sol Kanat,Türkiye
726186,Ferhat Timoçin,Kayserispor,1993,Santrafor,Türkiye
825561,Mehmet Aşık,Kayserispor,1993,Santrafor,Türkiye
739208,Cengiz Balcıoğlu,Kayserispor,1994,Kaleci,Türkiye
812734,Murat Gündoğdu,Kayserispor,1994,Kaleci,Türkiye
737551,Gökhan Gündüz,Kayserispor,1994,Defans,Türkiye
850810,Güven Durdağ,Kayserispor,1994,Defans,Türkiye
850796,Mustafa Avcı,Kayserispor,1994,Orta Saha,Türkiye
925501,Ahmet İzgi,Kayserispor,1994,Orta Saha,Türkiye
979568,Mustafa Esmeray,Kayserispor,1994,Sol Kanat,Türkiye
