OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
561321,Alper Boğuşlu,Kocaelispor,1990,Kaleci,Türkiye
617731,Sedat Ünlüer,Kocaelispor,1990,Kaleci,Türkiye
822039,Aydın Artanlar,Kocaelispor,1990,Kaleci,Türkiye
561317,Sefer Yılmaz,Kocaelispor,1990,Defans,Türkiye
342527,Osman Çakır,Kocaelispor,1990,Stoper,Türkiye
602032,Olcay Danacı,Kocaelispor,1990,Stoper,Türkiye
607404,Kadir Sünnetçiler,Kocaelispor,1990,Stoper,Türkiye
650223,Alaattin Arslan,Kocaelispor,1990,Stoper,Türkiye
594859,Yalçın Kıldıran,Kocaelispor,1990,Sol Bek,Türkiye
964187,Şerif Hasanoğlu,Kocaelispor,1990,Sol Bek,Türkiye
594837,Erol Usta,Kocaelispor,1990,Sağ Bek,Türkiye
828725,Metin Özkan,Kocaelispor,1990,Sağ Bek,Türkiye
602547,Kemal Güven,Kocaelispor,1990,Orta Saha,Türkiye
650219,Osman Karakaya,Kocaelispor,1990,Orta Saha,Türkiye
650220,Ayhan Eryılmaz,Kocaelispor,1990,Orta Saha,Türkiye
561312,Melih Gürbüztürk,Kocaelispor,1990,Merkez Orta Saha,Türkiye
92233,Halil İbrahim Kara,Kocaelispor,1990,Orta Saha Sol,Türkiye
92240,Bülent Uygun,Kocaelispor,1990,On Numara,Türkiye
92261,Tuncay Akgün,Kocaelispor,1990,On Numara,Türkiye
217786,Ziya Doğan,Kocaelispor,1990,On Numara,Türkiye
586386,Yaşar Altıntaş,Kocaelispor,1990,Sol Kanat,Türkiye
301675,Orhan Görsen,Kocaelispor,1990,Sağ Kanat,Türkiye
301665,Mahmut Aydın,Kocaelispor,1990,Forvet,Türkiye
573987,Hayrettin Aksoy,Kocaelispor,1990,Santrafor,Türkiye
594871,Ergun Kula,Kocaelispor,1990,Santrafor,Türkiye
820726,Engin Erdem,Kocaelispor,1990,Forvet,Türkiye
964188,Ercan Gezgin,Kocaelispor,1990,Forvet,Türkiye
561321,Alper Boğuşlu,Kocaelispor,1991,Kaleci,Türkiye
617731,Sedat Ünlüer,Kocaelispor,1991,Kaleci,Türkiye
822039,Aydın Artanlar,Kocaelispor,1991,Kaleci,Türkiye
561317,Sefer Yılmaz,Kocaelispor,1991,Defans,Türkiye
342527,Osman Çakır,Kocaelispor,1991,Stoper,Türkiye
561315,Murat Doğansoy,Kocaelispor,1991,Stoper,Türkiye
601055,Fevzi Açıkgöz,Kocaelispor,1991,Stoper,Türkiye
602032,Olcay Danacı,Kocaelispor,1991,Stoper,Türkiye
607404,Kadir Sünnetçiler,Kocaelispor,1991,Stoper,Türkiye
594859,Yalçın Kıldıran,Kocaelispor,1991,Sol Bek,Türkiye
586711,Vural Kaya,Kocaelispor,1991,Sol Bek,Türkiye
964187,Şerif Hasanoğlu,Kocaelispor,1991,Sol Bek,Türkiye
594837,Erol Usta,Kocaelispor,1991,Sağ Bek,Türkiye
602547,Kemal Güven,Kocaelispor,1991,Orta Saha,Türkiye
650220,Ayhan Eryılmaz,Kocaelispor,1991,Orta Saha,Türkiye
820719,Tuncay Kurt,Kocaelispor,1991,Orta Saha,Türkiye
561312,Melih Gürbüztürk,Kocaelispor,1991,Merkez Orta Saha,Türkiye
92233,Halil İbrahim Kara,Kocaelispor,1991,Orta Saha Sol,Türkiye
92240,Bülent Uygun,Kocaelispor,1991,On Numara,Türkiye
92261,Tuncay Akgün,Kocaelispor,1991,On Numara,Türkiye
217786,Ziya Doğan,Kocaelispor,1991,On Numara,Türkiye
586386,Yaşar Altıntaş,Kocaelispor,1991,Sol Kanat,Türkiye
92212,Saffet Sancaklı,Kocaelispor,1991,Santrafor,Türkiye
301665,Mahmut Aydın,Kocaelispor,1991,Forvet,Türkiye
594871,Ergun Kula,Kocaelispor,1991,Santrafor,Türkiye
820718,Murat Sevim,Kocaelispor,1991,Forvet,Türkiye
820726,Engin Erdem,Kocaelispor,1991,Forvet,Türkiye
964188,Ercan Gezgin,Kocaelispor,1991,Forvet,Türkiye
102697,Fahrudin Omerovic,Kocaelispor,1992,Kaleci,Bosna-Hersek
561321,Alper Boğuşlu,Kocaelispor,1992,Kaleci,Türkiye
1488682,Murat Göksu,Kocaelispor,1992,Kaleci,Türkiye
324073,Stevica Kuzmanovski,Kocaelispor,1992,Libero,Kuzey Makedonya
561317,Sefer Yılmaz,Kocaelispor,1992,Defans,Türkiye
151614,Misko Mirkovic,Kocaelispor,1992,Stoper,Sırbistan
342527,Osman Çakır,Kocaelispor,1992,Stoper,Türkiye
561315,Murat Doğansoy,Kocaelispor,1992,Stoper,Türkiye
601055,Fevzi Açıkgöz,Kocaelispor,1992,Stoper,Türkiye
602032,Olcay Danacı,Kocaelispor,1992,Stoper,Türkiye
594859,Yalçın Kıldıran,Kocaelispor,1992,Sol Bek,Türkiye
964187,Şerif Hasanoğlu,Kocaelispor,1992,Sol Bek,Türkiye
594837,Erol Usta,Kocaelispor,1992,Sağ Bek,Türkiye
17461,Mahmut Taşdemir,Kocaelispor,1992,Orta Saha,Türkiye
602547,Kemal Güven,Kocaelispor,1992,Orta Saha,Türkiye
561312,Melih Gürbüztürk,Kocaelispor,1992,Merkez Orta Saha,Türkiye
92233,Halil İbrahim Kara,Kocaelispor,1992,Orta Saha Sol,Türkiye
92240,Bülent Uygun,Kocaelispor,1992,On Numara,Türkiye
92261,Tuncay Akgün,Kocaelispor,1992,On Numara,Türkiye
561320,Arif Bacacı,Kocaelispor,1992,Sol Kanat,Türkiye
586386,Yaşar Altıntaş,Kocaelispor,1992,Sol Kanat,Türkiye
92212,Saffet Sancaklı,Kocaelispor,1992,Santrafor,Türkiye
103804,Faruk Yiğit,Kocaelispor,1992,Santrafor,Türkiye
594871,Ergun Kula,Kocaelispor,1992,Santrafor,Türkiye
102697,Fahrudin Omerovic,Kocaelispor,1993,Kaleci,Bosna-Hersek
561321,Alper Boğuşlu,Kocaelispor,1993,Kaleci,Türkiye
576706,İsmail Ünal,Kocaelispor,1993,Kaleci,Türkiye
324073,Stevica Kuzmanovski,Kocaelispor,1993,Libero,Kuzey Makedonya
561317,Sefer Yılmaz,Kocaelispor,1993,Defans,Türkiye
151614,Misko Mirkovic,Kocaelispor,1993,Stoper,Sırbistan
342527,Osman Çakır,Kocaelispor,1993,Stoper,Türkiye
561315,Murat Doğansoy,Kocaelispor,1993,Stoper,Türkiye
601055,Fevzi Açıkgöz,Kocaelispor,1993,Stoper,Türkiye
602032,Olcay Danacı,Kocaelispor,1993,Stoper,Türkiye
594859,Yalçın Kıldıran,Kocaelispor,1993,Sol Bek,Türkiye
358930,Şeyhmus Suna,Kocaelispor,1993,Sağ Bek,Türkiye
561322,İlhami Arslan,Kocaelispor,1993,Sağ Bek,Türkiye
594837,Erol Usta,Kocaelispor,1993,Sağ Bek,Türkiye
