OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
103797,Adnan Erkan,Konyaspor,1990,Kaleci,Türkiye
313144,Nejat Topal,Konyaspor,1990,Kaleci,Türkiye
570643,Enver Lugusic,Konyaspor,1990,Kaleci,Bosna-Hersek
599128,Mustafa Şentabaklar,Konyaspor,1990,Kaleci,Türkiye
576658,Türkay Başaran,Konyaspor,1990,Defans,Türkiye
92204,Sedat Balkanlı,Konyaspor,1990,Stoper,Türkiye
576655,Osman Şahinoğlu,Konyaspor,1990,Stoper,Türkiye
574007,İbrahim Nalbant,Konyaspor,1990,Sol Bek,Türkiye
573113,Hayati Palancı,Konyaspor,1990,Sağ Bek,Türkiye
576695,Erol Mıngır,Konyaspor,1990,Sağ Bek,Türkiye
92208,Suat Kaya,Konyaspor,1990,Ön Libero,Türkiye
114585,Savaş Demiral,Konyaspor,1990,Ön Libero,Türkiye
572969,Muharrem Sahiti,Konyaspor,1990,Ön Libero,Kosova
576657,Levent Bayram,Konyaspor,1990,Orta Saha,Türkiye
576659,Osman Şen,Konyaspor,1990,Orta Saha,Türkiye
358400,Levent Devrim,Konyaspor,1990,Merkez Orta Saha,Türkiye
573993,Salih Eken,Konyaspor,1990,Orta Saha Sağ,Türkiye
136299,Ali Rıza Yılmaz,Konyaspor,1990,On Numara,Türkiye
616012,Celalettin Yavuz,Konyaspor,1990,Sol Kanat,Türkiye
336601,Kayhan Kaynak,Konyaspor,1990,Santrafor,Türkiye
115893,Fikret Bademci,Konyaspor,1990,Forvet,Türkiye
573984,Nedim Demirbilek,Konyaspor,1990,Santrafor,Türkiye
573986,Cemal Gürsel Menteşe,Konyaspor,1990,Santrafor,Türkiye
575563,Ümit Metin Yıldız,Konyaspor,1990,Santrafor,Türkiye
576656,Fadil Muriqi,Konyaspor,1990,Santrafor,Kosova
576794,Almir Memic,Konyaspor,1990,Santrafor,Bosna-Hersek
597915,Adnan Söyler,Konyaspor,1990,Santrafor,Türkiye
103797,Adnan Erkan,Konyaspor,1991,Kaleci,Türkiye
570643,Enver Lugusic,Konyaspor,1991,Kaleci,Bosna-Hersek
599128,Mustafa Şentabaklar,Konyaspor,1991,Kaleci,Türkiye
576658,Türkay Başaran,Konyaspor,1991,Defans,Türkiye
92204,Sedat Balkanlı,Konyaspor,1991,Stoper,Türkiye
570740,Blerim Mula,Konyaspor,1991,Stoper,Kosova
576655,Osman Şahinoğlu,Konyaspor,1991,Stoper,Türkiye
574007,İbrahim Nalbant,Konyaspor,1991,Sol Bek,Türkiye
573113,Hayati Palancı,Konyaspor,1991,Sağ Bek,Türkiye
576695,Erol Mıngır,Konyaspor,1991,Sağ Bek,Türkiye
