OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
14966,Benny Gall,Kopenhag,1992,Kaleci,Danimarka
178778,Palle Petersen,Kopenhag,1992,Kaleci,Danimarka
588668,Thomas Risum,Kopenhag,1992,Kaleci,Danimarka
765855,Simon Goldschmidt,Kopenhag,1992,Kaleci,Danimarka
23113,Diego Tur,Kopenhag,1992,Stoper,Danimarka
101300,Torben Piechnik,Kopenhag,1992,Stoper,Danimarka
116137,Ivan Nielsen,Kopenhag,1992,Stoper,Danimarka
178769,Morten Falch,Kopenhag,1992,Stoper,Danimarka
178773,Brian Kaus,Kopenhag,1992,Stoper,Danimarka
178780,Kenneth Wegner,Kopenhag,1992,Sağ Bek,Danimarka
181756,Pierre Larsen,Kopenhag,1992,Ön Libero,Danimarka
14970,Christian Lønstrup,Kopenhag,1992,Merkez Orta Saha,Danimarka
178770,Michael Giolbas,Kopenhag,1992,Merkez Orta Saha,Danimarka
178772,Jörgen Juul Jensen,Kopenhag,1992,Merkez Orta Saha,Danimarka
191378,Anders Bjerre,Kopenhag,1992,Merkez Orta Saha,Danimarka
593748,Kenneth Birkedal,Kopenhag,1992,Merkez Orta Saha,Danimarka
772167,Kim Larsen,Kopenhag,1992,Merkez Orta Saha,Danimarka
178776,Lars Højer,Kopenhag,1992,Orta Saha Sağ,Danimarka
178779,Iørn Uldbjerg,Kopenhag,1992,Orta Saha Sol,Danimarka
23116,Nicolai Wael,Kopenhag,1992,On Numara,Danimarka
15391,Michael Johansen,Kopenhag,1992,On Numara,Danimarka
3493,Martin Johansen,Kopenhag,1992,Santrafor,Danimarka
95899,Mark Strudal,Kopenhag,1992,Santrafor,Danimarka
119161,Michael Manniche,Kopenhag,1992,Santrafor,Danimarka
178775,Kim Mikkelsen,Kopenhag,1992,Santrafor,Danimarka
298066,Brian Rasmussen,Kopenhag,1992,Santrafor,Danimarka
593737,Søren Lyng,Kopenhag,1992,Santrafor,Danimarka
23764,Brian Flies,Kopenhag,1993,Kaleci,Danimarka
15057,Karim Zaza,Kopenhag,1993,Kaleci,Fas
178778,Palle Petersen,Kopenhag,1993,Kaleci,Danimarka
588668,Thomas Risum,Kopenhag,1993,Kaleci,Danimarka
299050,Kim Larsen,Kopenhag,1993,Defans,Danimarka
486413,Henrik Jensen,Kopenhag,1993,Libero,Danimarka
1368132,Michael Nielsen,Kopenhag,1993,Defans,Danimarka
23113,Diego Tur,Kopenhag,1993,Stoper,Danimarka
4544,Ole Tobiasen,Kopenhag,1993,Stoper,Danimarka
178769,Morten Falch,Kopenhag,1993,Stoper,Danimarka
178773,Brian Kaus,Kopenhag,1993,Stoper,Danimarka
178774,Henrik Lykke,Kopenhag,1993,Stoper,Danimarka
178780,Kenneth Wegner,Kopenhag,1993,Sağ Bek,Danimarka
364034,Christian Bank,Kopenhag,1993,Sağ Bek,Danimarka
178777,Michael Mio Nielsen,Kopenhag,1993,Ön Libero,Danimarka
181756,Pierre Larsen,Kopenhag,1993,Ön Libero,Danimarka
744840,Nikolaj Randrup,Kopenhag,1993,Orta Saha,Danimarka
764963,Riffi Haddaoui,Kopenhag,1993,Orta Saha,Danimarka
1368131,Jan Carlsen,Kopenhag,1993,Ön Libero,Danimarka
14970,Christian Lønstrup,Kopenhag,1993,Merkez Orta Saha,Danimarka
31829,Allan Nielsen,Kopenhag,1993,Merkez Orta Saha,Danimarka
178770,Michael Giolbas,Kopenhag,1993,Merkez Orta Saha,Danimarka
178772,Jörgen Juul Jensen,Kopenhag,1993,Merkez Orta Saha,Danimarka
191378,Anders Bjerre,Kopenhag,1993,Merkez Orta Saha,Danimarka
285861,Lars Jakobsen,Kopenhag,1993,Merkez Orta Saha,Danimarka
1368130,Leif Nielsen,Kopenhag,1993,Merkez Orta Saha,Danimarka
178776,Lars Højer,Kopenhag,1993,Orta Saha Sağ,Danimarka
69983,Christian Clem,Kopenhag,1993,Orta Saha Sol,Norveç
178779,Iørn Uldbjerg,Kopenhag,1993,Orta Saha Sol,Danimarka
251317,Carsten Jensen,Kopenhag,1993,Orta Saha Sol,Danimarka
23116,Nicolai Wael,Kopenhag,1993,On Numara,Danimarka
15391,Michael Johansen,Kopenhag,1993,On Numara,Danimarka
23333,Jeppe Tengbjerg,Kopenhag,1993,Santrafor,Danimarka
3493,Martin Johansen,Kopenhag,1993,Santrafor,Danimarka
14915,Peter Møller,Kopenhag,1993,Santrafor,Danimarka
108270,René Tengstedt,Kopenhag,1993,Santrafor,Danimarka
119161,Michael Manniche,Kopenhag,1993,Santrafor,Danimarka
178775,Kim Mikkelsen,Kopenhag,1993,Santrafor,Danimarka
564881,Lars Brandt,Kopenhag,1993,Santrafor,Danimarka
593755,Michael Lenander,Kopenhag,1993,Santrafor,Danimarka
593756,Morten Skaaning,Kopenhag,1993,Santrafor,Danimarka
617842,Henrik Knudsen,Kopenhag,1993,Forvet,Danimarka
23764,Brian Flies,Kopenhag,1994,Kaleci,Danimarka
15057,Karim Zaza,Kopenhag,1994,Kaleci,Fas
299425,Per Poulsen,Kopenhag,1994,Kaleci,Danimarka
23113,Diego Tur,Kopenhag,1994,Stoper,Danimarka
4544,Ole Tobiasen,Kopenhag,1994,Stoper,Danimarka
178769,Morten Falch,Kopenhag,1994,Stoper,Danimarka
23720,Morten Nielsen,Kopenhag,1994,Sağ Bek,Danimarka
1167480,Bo Almlev,Kopenhag,1994,Sağ Bek,Danimarka
178777,Michael Mio Nielsen,Kopenhag,1994,Ön Libero,Danimarka
