OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
12965,Zvonko Milojevic,Kızılyıldız,1990,Kaleci,Sırbistan
102692,Dragoje Lekovic,Kızılyıldız,1990,Kaleci,Sırbistan
179909,Stevan Stojanovic,Kızılyıldız,1990,Kaleci,Sırbistan
48461,Marko Simeunovic,Kızılyıldız,1990,Kaleci,Slovenya
180260,Zeljko Kaludjerovic,Kızılyıldız,1990,Kaleci,Karadağ
181010,Milic Jovanovic,Kızılyıldız,1990,Kaleci,Sırbistan
102018,Miodrag Belodedici,Kızılyıldız,1990,Libero,Romanya
160213,Goran Juric,Kızılyıldız,1990,Libero,Hırvatistan
5834,Sinisa Mihajlovic,Kızılyıldız,1990,Stoper,Sırbistan
9603,Aleksandar Ilic,Kızılyıldız,1990,Stoper,Sırbistan
25352,Miroslav Tanjga,Kızılyıldız,1990,Stoper,Sırbistan
180176,Goran Vasilijevic,Kızılyıldız,1990,Stoper,Sırbistan
152380,Ilija Najdoski,Kızılyıldız,1990,Stoper,Kuzey Makedonya
179912,Slobodan Marovic,Kızılyıldız,1990,Sol Bek,Karadağ
293949,Rade Tosic,Kızılyıldız,1990,Sol Bek,Bosna-Hersek
180988,Sasa Nedeljkovic,Kızılyıldız,1990,Sağ Bek,Sırbistan
179913,Dusko Radinovic,Kızılyıldız,1990,Sağ Bek,Karadağ
486900,Dusko Savic,Kızılyıldız,1990,Ön Libero,Sırbistan
102701,Refik Sabanadzovic,Kızılyıldız,1990,Ön Libero,Bosna-Hersek
180261,Ivica Momcilovic,Kızılyıldız,1990,Ön Libero,Sırbistan
179915,Vlada Stosic,Kızılyıldız,1990,Ön Libero,Sırbistan
215177,Enes Besic,Kızılyıldız,1990,Ön Libero,Bosna-Hersek
5297,Vladimir Jugovic,Kızılyıldız,1990,Merkez Orta Saha,Sırbistan
8013,Robert Prosinecki,Kızılyıldız,1990,Merkez Orta Saha,Hırvatistan
81468,Ivan Adzic,Kızılyıldız,1990,Orta Saha Sağ,Sırbistan
92280,Mitar Mrkela,Kızılyıldız,1990,Orta Saha Sol,Sırbistan
180262,Milorad Ratkovic,Kızılyıldız,1990,Orta Saha Sol,Bosna-Hersek
181243,Dejan Joksimovic,Kızılyıldız,1990,On Numara,Sırbistan
1497891,Djordje Acimovic,Kızılyıldız,1990,On Numara,Sırbistan
35894,Dejan Savicevic,Kızılyıldız,1990,On Numara,Karadağ
179914,Dragisa Binic,Kızılyıldız,1990,Forvet Arkası,Sırbistan
9869,Ilija Ivic,Kızılyıldız,1990,Santrafor,Sırbistan
100098,Darko Pancev,Kızılyıldız,1990,Santrafor,Kuzey Makedonya
171753,Vladan Lukic,Kızılyıldız,1990,Santrafor,Sırbistan
180989,Slavisa Cula,Kızılyıldız,1990,Santrafor,Sırbistan
443397,Ljubisa Milojevic,Kızılyıldız,1990,Santrafor,Sırbistan
12965,Zvonko Milojevic,Kızılyıldız,1991,Kaleci,Sırbistan
181010,Milic Jovanovic,Kızılyıldız,1991,Kaleci,Sırbistan
102692,Dragoje Lekovic,Kızılyıldız,1991,Kaleci,Sırbistan
102018,Miodrag Belodedici,Kızılyıldız,1991,Libero,Romanya
5834,Sinisa Mihajlovic,Kızılyıldız,1991,Stoper,Sırbistan
180176,Goran Vasilijevic,Kızılyıldız,1991,Stoper,Sırbistan
152380,Ilija Najdoski,Kızılyıldız,1991,Stoper,Kuzey Makedonya
228822,Aleksandar Kristic,Kızılyıldız,1991,Stoper,Sırbistan
25352,Miroslav Tanjga,Kızılyıldız,1991,Stoper,Sırbistan
293949,Rade Tosic,Kızılyıldız,1991,Sol Bek,Bosna-Hersek
179913,Dusko Radinovic,Kızılyıldız,1991,Sağ Bek,Karadağ
180988,Sasa Nedeljkovic,Kızılyıldız,1991,Sağ Bek,Sırbistan
179915,Vlada Stosic,Kızılyıldız,1991,Ön Libero,Sırbistan
486900,Dusko Savic,Kızılyıldız,1991,Ön Libero,Sırbistan
5297,Vladimir Jugovic,Kızılyıldız,1991,Merkez Orta Saha,Sırbistan
81468,Ivan Adzic,Kızılyıldız,1991,Orta Saha Sağ,Sırbistan
390,Mitko Stojkovski,Kızılyıldız,1991,Orta Saha Sol,Kuzey Makedonya
180262,Milorad Ratkovic,Kızılyıldız,1991,Orta Saha Sol,Bosna-Hersek
906,Nebojsa Krupnikovic,Kızılyıldız,1991,On Numara,Sırbistan
1497891,Djordje Acimovic,Kızılyıldız,1991,On Numara,Sırbistan
35894,Dejan Savicevic,Kızılyıldız,1991,On Numara,Karadağ
171753,Vladan Lukic,Kızılyıldız,1991,Santrafor,Sırbistan
100098,Darko Pancev,Kızılyıldız,1991,Santrafor,Kuzey Makedonya
6867,Elvir Bolic,Kızılyıldız,1991,Santrafor,Bosna-Hersek
180989,Slavisa Cula,Kızılyıldız,1991,Santrafor,Sırbistan
9869,Ilija Ivic,Kızılyıldız,1991,Santrafor,Sırbistan
574831,Predrag Jovanovic,Kızılyıldız,1991,Santrafor,Sırbistan
12965,Zvonko Milojevic,Kızılyıldız,1992,Kaleci,Sırbistan
635753,Milan Simeunovic,Kızılyıldız,1992,Kaleci,Sırbistan
4308,Dejan Stefanovic,Kızılyıldız,1992,Stoper,Sırbistan
27993,Srdjan Pecelj,Kızılyıldız,1992,Stoper,Bosna-Hersek
167530,Risto Vidakovic,Kızılyıldız,1992,Stoper,Sırbistan
228822,Aleksandar Kristic,Kızılyıldız,1992,Stoper,Sırbistan
172419,Bozidar Bandovic,Kızılyıldız,1992,Sağ Bek,Karadağ
221385,Miodrag Bozovic,Kızılyıldız,1992,Sağ Bek,Karadağ
180261,Ivica Momcilovic,Kızılyıldız,1992,Ön Libero,Sırbistan
179334,Dragan Glogovac,Kızılyıldız,1992,Merkez Orta Saha,Bosna-Hersek
81468,Ivan Adzic,Kızılyıldız,1992,Orta Saha Sağ,Sırbistan
390,Mitko Stojkovski,Kızılyıldız,1992,Orta Saha Sol,Kuzey Makedonya
9683,Predrag Djordjevic,Kızılyıldız,1992,Orta Saha Sol,Sırbistan
14213,Jovan Stankovic,Kızılyıldız,1992,Orta Saha Sol,Sırbistan
54056,Dejan Petkovic,Kızılyıldız,1992,On Numara,Sırbistan
558828,Nenad Maslovar,Kızılyıldız,1992,On Numara,Karadağ
46,Darko Pivaljevic,Kızılyıldız,1992,Santrafor,Sırbistan
9869,Ilija Ivic,Kızılyıldız,1992,Santrafor,Sırbistan
22634,Zoran Jovicic,Kızılyıldız,1992,Santrafor,Sırbistan
152759,Anto Drobnjak,Kızılyıldız,1992,Santrafor,Karadağ
12965,Zvonko Milojevic,Kızılyıldız,1993,Kaleci,Sırbistan
