OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
173653,Jean-Claude Nadon,LOSC Lille,1990,Kaleci,Fransa
405704,Jean-Pierre Lauricella,LOSC Lille,1990,Kaleci,Fransa
173817,David Guion,LOSC Lille,1990,Defans,Fransa
6923,Oumar Dieng,LOSC Lille,1990,Stoper,Fransa
23343,Jakob Friis-Hansen,LOSC Lille,1990,Stoper,Danimarka
129828,Fabien Leclercq,LOSC Lille,1990,Stoper,Fransa
134024,Éric Decroix,LOSC Lille,1990,Stoper,Fransa
145267,Claude Fichaux,LOSC Lille,1990,Stoper,Fransa
467152,Jean-Luc Buisine,LOSC Lille,1990,Stoper,Fransa
480800,Dominique Thomas,LOSC Lille,1990,Sol Bek,Fransa
486386,Antoine Cervetti,LOSC Lille,1990,Sol Bek,Fransa
408023,Bertrand Reuzeau,LOSC Lille,1990,Sağ Bek,Fransa
178777,Michael Mio Nielsen,LOSC Lille,1990,Ön Libero,Danimarka
313000,Alain Fiard,LOSC Lille,1990,Ön Libero,Fransa
405707,Philippe Périlleux,LOSC Lille,1990,Orta Saha,Fransa
508427,Victor Da Silva,LOSC Lille,1990,Orta Saha,Fransa
3735,Per Frandsen,LOSC Lille,1990,Orta Saha Sağ,Danimarka
229088,François Brisson,LOSC Lille,1990,Sol Kanat,Fransa
167999,Éric Assadourian,LOSC Lille,1990,Sağ Kanat,Ermenistan
64244,Henrik Nielsen,LOSC Lille,1990,Santrafor,Danimarka
160004,Faride Soudani,LOSC Lille,1990,Santrafor,Cezayir
288368,Patrice Sauvaget,LOSC Lille,1990,Santrafor,Fransa
173653,Jean-Claude Nadon,LOSC Lille,1991,Kaleci,Fransa
405704,Jean-Pierre Lauricella,LOSC Lille,1991,Kaleci,Fransa
174040,Mamadou Kane,LOSC Lille,1991,Defans,Senegal
378634,Benoît Tihy,LOSC Lille,1991,Defans,Fransa
480634,Hervé Rollain,LOSC Lille,1991,Defans,Fransa
23343,Jakob Friis-Hansen,LOSC Lille,1991,Stoper,Danimarka
129828,Fabien Leclercq,LOSC Lille,1991,Stoper,Fransa
134024,Éric Decroix,LOSC Lille,1991,Stoper,Fransa
145267,Claude Fichaux,LOSC Lille,1991,Stoper,Fransa
467152,Jean-Luc Buisine,LOSC Lille,1991,Stoper,Fransa
