OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
5799,Valerio Fiori,Lazio,1990,Kaleci,İtalya
224942,Fernando Orsi,Lazio,1990,Kaleci,İtalya
121101,Roberto Soldà,Lazio,1990,Libero,İtalya
224940,Massimiliano Nardecchia,Lazio,1990,Defans,İtalya
228858,Davide Lampugnani,Lazio,1990,Defans,İtalya
166544,Cristiano Bergodi,Lazio,1990,Stoper,İtalya
166893,Angelo Gregucci,Lazio,1990,Stoper,İtalya
223001,Claudio Vertova,Lazio,1990,Stoper,İtalya
224927,Roberto Bacci,Lazio,1990,Stoper,İtalya
224939,Luca Monari,Lazio,1990,Stoper,İtalya
224538,Raffaele Sergio,Lazio,1990,Sol Bek,İtalya
106981,Pedro Troglio,Lazio,1990,Ön Libero,Arjantin
222978,Andrea Icardi,Lazio,1990,Ön Libero,İtalya
224934,Sergio Domini,Lazio,1990,Ön Libero,İtalya
224937,Franco Marchegiani,Lazio,1990,Ön Libero,İtalya
120410,Gabriele Pin,Lazio,1990,Merkez Orta Saha,İtalya
225174,Claudio Sclosa,Lazio,1990,Merkez Orta Saha,İtalya
166556,Armando Madonna,Lazio,1990,Orta Saha Sağ,İtalya
216816,Davide Olivares,Lazio,1990,On Numara,İtalya
224928,Alessandro Bertoni,Lazio,1990,Sağ Kanat,İtalya
22455,Rubén Sosa,Lazio,1990,Forvet Arkası,Uruguay
13806,Karl-Heinz Riedle,Lazio,1990,Santrafor,Almanya
224946,Giampaolo Saurini,Lazio,1990,Santrafor,İtalya
5281,Flavio Roma,Lazio,1991,Kaleci,İtalya
5799,Valerio Fiori,Lazio,1991,Kaleci,İtalya
224942,Fernando Orsi,Lazio,1991,Kaleci,İtalya
121101,Roberto Soldà,Lazio,1991,Libero,İtalya
228858,Davide Lampugnani,Lazio,1991,Defans,İtalya
166544,Cristiano Bergodi,Lazio,1991,Stoper,İtalya
166893,Angelo Gregucci,Lazio,1991,Stoper,İtalya
222788,Rufo Emiliano Verga,Lazio,1991,Stoper,İtalya
223001,Claudio Vertova,Lazio,1991,Stoper,İtalya
224927,Roberto Bacci,Lazio,1991,Stoper,İtalya
224930,Luigi Corino,Lazio,1991,Stoper,İtalya
224538,Raffaele Sergio,Lazio,1991,Sol Bek,İtalya
