OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
1122,Sven Neuhaus,Leipzig,2009,Kaleci,Almanya
11937,Alexander Moritz,Leipzig,2009,Kaleci,Almanya
59800,Benjamin Bellot,Leipzig,2009,Kaleci,Almanya
308,Ingo Hertzsch,Leipzig,2009,Stoper,Almanya
11250,Thomas Kläsener,Leipzig,2009,Stoper,Almanya
9355,Stefan Schumann,Leipzig,2009,Stoper,Almanya
918,Lars Müller,Leipzig,2009,Sol Bek,Almanya
33378,Patrick Kunig,Leipzig,2009,Sol Bek,Almanya
59685,Nicolas Warz,Leipzig,2009,Sol Bek,Almanya
11889,Frank Räbsch,Leipzig,2009,Sağ Bek,Almanya
33667,Sebastian Albert,Leipzig,2009,Sağ Bek,Almanya
35001,Michael Lerchl,Leipzig,2009,Ön Libero,Almanya
59,Timo Rost,Leipzig,2009,Ön Libero,Almanya
928,Daniel Rosin,Leipzig,2009,Ön Libero,Almanya
36625,Toni Jurascheck,Leipzig,2009,Ön Libero,Almanya
1838,Patrick Bick,Leipzig,2009,Ön Libero,Almanya
129690,Marcel Nüchtern,Leipzig,2009,Merkez Orta Saha,Almanya
17722,Mario Schaaf,Leipzig,2009,Orta Saha Sağ,Almanya
2580,Christian Streit,Leipzig,2009,Orta Saha Sol,Almanya
26879,Sebastian Wille,Leipzig,2009,Orta Saha Sol,Almanya
5126,Ronny Kujat,Leipzig,2009,On Numara,Almanya
11884,Christian Mittenzwei,Leipzig,2009,On Numara,Almanya
17777,Jochen Höfler,Leipzig,2009,Santrafor,Almanya
1036,Nico Frommer,Leipzig,2009,Santrafor,Almanya
22261,Robert Scannewin,Leipzig,2009,Forvet,Almanya
11744,Christian Reimann,Leipzig,2009,Santrafor,Almanya
51262,Robert Klauß,Leipzig,2009,Santrafor,Almanya
60878,Sebastian Hauck,Leipzig,2009,Santrafor,Almanya
1122,Sven Neuhaus,Leipzig,2010,Kaleci,Almanya
37976,Christopher Gäng,Leipzig,2010,Kaleci,Almanya
59800,Benjamin Bellot,Leipzig,2010,Kaleci,Almanya
8172,Tim Sebastian,Leipzig,2010,Stoper,Almanya
11250,Thomas Kläsener,Leipzig,2010,Stoper,Almanya
308,Ingo Hertzsch,Leipzig,2010,Stoper,Almanya
59819,Fabian Franke,Leipzig,2010,Stoper,Almanya
151104,Matthias Buszkowiak,Leipzig,2010,Stoper,Almanya
918,Lars Müller,Leipzig,2010,Sol Bek,Almanya
33667,Sebastian Albert,Leipzig,2010,Sağ Bek,Almanya
59,Timo Rost,Leipzig,2010,Ön Libero,Almanya
1838,Patrick Bick,Leipzig,2010,Ön Libero,Almanya
928,Daniel Rosin,Leipzig,2010,Ön Libero,Almanya
5118,Tom Geißler,Leipzig,2010,Merkez Orta Saha,Almanya
49128,Benjamin Baier,Leipzig,2010,Merkez Orta Saha,Almanya
18885,Maximilian Watzka,Leipzig,2010,Orta Saha Sağ,Almanya
40672,Shaban Ismaili,Leipzig,2010,Orta Saha Sağ,Kuzey Makedonya
2852,Alexander Laas,Leipzig,2010,Orta Saha Sol,Almanya
17295,Thiago Rockenbach,Leipzig,2010,On Numara,Brezilya
64432,Paul Schinke,Leipzig,2010,On Numara,Almanya
83251,Steven Lewerenz,Leipzig,2010,Sol Kanat,Almanya
105664,Richard van den Bosch,Leipzig,2010,Sol Kanat,Almanya
57715,Carsten Kammlott,Leipzig,2010,Santrafor,Almanya
33837,Daniel Frahn,Leipzig,2010,Santrafor,Almanya
1036,Nico Frommer,Leipzig,2010,Santrafor,Almanya
51069,Stefan Kutschke,Leipzig,2010,Santrafor,Almanya
176565,Roman Jaworski,Leipzig,2010,Forvet,Almanya
522,Pascal Borel,Leipzig,2011,Kaleci,Almanya
59800,Benjamin Bellot,Leipzig,2011,Kaleci,Almanya
