OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
145786,Bruce Grobbelaar,Liverpool,1990,Kaleci,Zimbabve
175869,Mike Hooper,Liverpool,1990,Kaleci,İngiltere
145765,Gary Ablett,Liverpool,1990,Stoper,İngiltere
145788,Glenn Hysén,Liverpool,1990,Stoper,İsveç
145817,Gary Gillespie,Liverpool,1990,Stoper,İskoçya
3839,Steve Staunton,Liverpool,1990,Sol Bek,İrlanda
107196,Steve Harkness,Liverpool,1990,Sol Bek,İngiltere
109481,David Burrows,Liverpool,1990,Sol Bek,İngiltere
107096,Steve Nicol,Liverpool,1990,Sağ Bek,İskoçya
176215,Barry Venison,Liverpool,1990,Sağ Bek,İngiltere
3424,Jamie Redknapp,Liverpool,1990,Merkez Orta Saha,İngiltere
101387,Steve McMahon,Liverpool,1990,Merkez Orta Saha,İngiltere
116136,Jan Mølby,Liverpool,1990,Merkez Orta Saha,Danimarka
3980,Steve McManaman,Liverpool,1990,Orta Saha Sağ,İngiltere
102488,Ray Houghton,Liverpool,1990,Orta Saha Sağ,İrlanda
102501,Ronnie Whelan,Liverpool,1990,Orta Saha Sol,İrlanda
87436,John Barnes,Liverpool,1990,Sol Kanat,İngiltere
141047,Ronny Rosenthal,Liverpool,1990,Sol Kanat,İsrail
145782,Jimmy Carter,Liverpool,1990,Sağ Kanat,İngiltere
102030,Peter Beardsley,Liverpool,1990,Forvet Arkası,İngiltere
145743,Ian Rush,Liverpool,1990,Santrafor,Galler
145783,Tony Cousins,Liverpool,1990,Santrafor,İrlanda
176832,David Speedie,Liverpool,1990,Santrafor,İskoçya
10259,Tony Warner,Liverpool,1991,Kaleci,Trinidad ve Tobago
145786,Bruce Grobbelaar,Liverpool,1991,Kaleci,Zimbabve
175869,Mike Hooper,Liverpool,1991,Kaleci,İngiltere
145765,Gary Ablett,Liverpool,1991,Stoper,İngiltere
101386,Mark Wright,Liverpool,1991,Stoper,İngiltere
107196,Steve Harkness,Liverpool,1991,Sol Bek,İngiltere
109481,David Burrows,Liverpool,1991,Sol Bek,İngiltere
107096,Steve Nicol,Liverpool,1991,Sağ Bek,İskoçya
107200,Rob Jones,Liverpool,1991,Sağ Bek,İngiltere
