OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
39339,Andy Dibble,Manchester City,1990,Kaleci,Galler
12718,Martyn Margetson,Manchester City,1990,Kaleci,Galler
176010,Tony Coton,Manchester City,1990,Kaleci,İngiltere
103642,Colin Hendry,Manchester City,1990,Stoper,İskoçya
176214,Mark Seagraves,Manchester City,1990,Stoper,İngiltere
177056,Steve Redmond,Manchester City,1990,Stoper,İngiltere
177252,Neil Pointon,Manchester City,1990,Sol Bek,İngiltere
67373,Ian Brightwell,Manchester City,1990,Sağ Bek,İngiltere
79806,Peter Reid,Manchester City,1990,Ön Libero,İngiltere
3801,Steve Lomas,Manchester City,1990,Merkez Orta Saha,Kuzey İrlanda
177122,Paul Lake,Manchester City,1990,Merkez Orta Saha,İngiltere
177126,Gary Megson,Manchester City,1990,Merkez Orta Saha,İngiltere
14026,Michael Hughes,Manchester City,1990,On Numara,Kuzey İrlanda
177113,Adrian Heath,Manchester City,1990,On Numara,İngiltere
177060,David White,Manchester City,1990,Sağ Kanat,İngiltere
177143,Mark Ward,Manchester City,1990,Sağ Kanat,İngiltere
21362,Mike Sheron,Manchester City,1990,Santrafor,İngiltere
104110,Niall Quinn,Manchester City,1990,Santrafor,İrlanda
176672,Clive Allen,Manchester City,1990,Santrafor,İngiltere
39339,Andy Dibble,Manchester City,1991,Kaleci,Galler
12718,Martyn Margetson,Manchester City,1991,Kaleci,Galler
176010,Tony Coton,Manchester City,1991,Kaleci,İngiltere
101316,Keith Curle,Manchester City,1991,Stoper,İngiltere
103642,Colin Hendry,Manchester City,1991,Stoper,İskoçya
150889,Michel Vonk,Manchester City,1991,Stoper,Hollanda
177056,Steve Redmond,Manchester City,1991,Stoper,İngiltere
177252,Neil Pointon,Manchester City,1991,Sol Bek,İngiltere
67373,Ian Brightwell,Manchester City,1991,Sağ Bek,İngiltere
222219,Andy Hill,Manchester City,1991,Sağ Bek,İngiltere
79806,Peter Reid,Manchester City,1991,Ön Libero,İngiltere
3801,Steve Lomas,Manchester City,1991,Merkez Orta Saha,Kuzey İrlanda
177122,Paul Lake,Manchester City,1991,Merkez Orta Saha,İngiltere
177126,Gary Megson,Manchester City,1991,Merkez Orta Saha,İngiltere
157682,Fitzroy Simpson,Manchester City,1991,Orta Saha Sağ,Jamaika
14026,Michael Hughes,Manchester City,1991,On Numara,Kuzey İrlanda
177113,Adrian Heath,Manchester City,1991,On Numara,İngiltere
177060,David White,Manchester City,1991,Sağ Kanat,İngiltere
177143,Mark Ward,Manchester City,1991,Sağ Kanat,İngiltere
21362,Mike Sheron,Manchester City,1991,Santrafor,İngiltere
104110,Niall Quinn,Manchester City,1991,Santrafor,İrlanda
176672,Clive Allen,Manchester City,1991,Santrafor,İngiltere
39339,Andy Dibble,Manchester City,1992,Kaleci,Galler
12718,Martyn Margetson,Manchester City,1992,Kaleci,Galler
176010,Tony Coton,Manchester City,1992,Kaleci,İngiltere
101316,Keith Curle,Manchester City,1992,Stoper,İngiltere
150889,Michel Vonk,Manchester City,1992,Stoper,Hollanda
222212,David Brightwell,Manchester City,1992,Stoper,İngiltere
102495,Terry Phelan,Manchester City,1992,Sol Bek,İrlanda
67373,Ian Brightwell,Manchester City,1992,Sağ Bek,İngiltere
176930,Ray Ranson,Manchester City,1992,Sağ Bek,İngiltere
222219,Andy Hill,Manchester City,1992,Sağ Bek,İngiltere
79806,Peter Reid,Manchester City,1992,Ön Libero,İngiltere
173071,Kåre Ingebrigtsen,Manchester City,1992,Ön Libero,Norveç
3706,Garry Flitcroft,Manchester City,1992,Merkez Orta Saha,İngiltere
101387,Steve McMahon,Manchester City,1992,Merkez Orta Saha,İngiltere
177122,Paul Lake,Manchester City,1992,Merkez Orta Saha,İngiltere
226944,David Kerr,Manchester City,1992,Merkez Orta Saha,İskoçya
229832,Mike Quigley,Manchester City,1992,Merkez Orta Saha,İngiltere
157682,Fitzroy Simpson,Manchester City,1992,Orta Saha Sağ,Jamaika
222221,Rick Holden,Manchester City,1992,Sol Kanat,İngiltere
177060,David White,Manchester City,1992,Sağ Kanat,İngiltere
21362,Mike Sheron,Manchester City,1992,Santrafor,İngiltere
104110,Niall Quinn,Manchester City,1992,Santrafor,İrlanda
228081,Adie Mike,Manchester City,1992,Santrafor,İngiltere
39339,Andy Dibble,Manchester City,1993,Kaleci,Galler
176010,Tony Coton,Manchester City,1993,Kaleci,İngiltere
12718,Martyn Margetson,Manchester City,1993,Kaleci,Galler
14619,Alan Kernaghan,Manchester City,1993,Stoper,İrlanda
101316,Keith Curle,Manchester City,1993,Stoper,İngiltere
150889,Michel Vonk,Manchester City,1993,Stoper,Hollanda
222212,David Brightwell,Manchester City,1993,Stoper,İngiltere
102495,Terry Phelan,Manchester City,1993,Sol Bek,İrlanda
226942,Rae Ingram,Manchester City,1993,Sol Bek,İngiltere
222219,Andy Hill,Manchester City,1993,Sağ Bek,İngiltere
67373,Ian Brightwell,Manchester City,1993,Sağ Bek,İngiltere
13724,Richard Edghill,Manchester City,1993,Sağ Bek,İngiltere
226719,John Foster,Manchester City,1993,Sağ Bek,İngiltere
79806,Peter Reid,Manchester City,1993,Ön Libero,İngiltere
173071,Kåre Ingebrigtsen,Manchester City,1993,Ön Libero,Norveç
101387,Steve McMahon,Manchester City,1993,Merkez Orta Saha,İngiltere
3706,Garry Flitcroft,Manchester City,1993,Merkez Orta Saha,İngiltere
177122,Paul Lake,Manchester City,1993,Merkez Orta Saha,İngiltere
229832,Mike Quigley,Manchester City,1993,Merkez Orta Saha,İngiltere
149294,Alfons Groenendijk,Manchester City,1993,Merkez Orta Saha,Hollanda
3801,Steve Lomas,Manchester City,1993,Merkez Orta Saha,Kuzey İrlanda
226944,David Kerr,Manchester City,1993,Merkez Orta Saha,İskoçya
1542,Steffen Karl,Manchester City,1993,Merkez Orta Saha,Almanya
157682,Fitzroy Simpson,Manchester City,1993,Orta Saha Sağ,Jamaika
175583,David Rocastle,Manchester City,1993,On Numara,İngiltere
222221,Rick Holden,Manchester City,1993,Sol Kanat,İngiltere
138385,Peter Beagrie,Manchester City,1993,Sol Kanat,İngiltere
177060,David White,Manchester City,1993,Sağ Kanat,İngiltere
21362,Mike Sheron,Manchester City,1993,Santrafor,İngiltere
889024,Steve Finney,Manchester City,1993,Santrafor,İngiltere
104110,Niall Quinn,Manchester City,1993,Santrafor,İrlanda
222217,Carl Griffiths,Manchester City,1993,Santrafor,Galler
228081,Adie Mike,Manchester City,1993,Santrafor,İngiltere
