OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
13547,Gary Walsh,Manchester United,1990,Kaleci,İngiltere
176019,Les Sealey,Manchester United,1990,Kaleci,İngiltere
3249,Mark Bosnich,Manchester United,1990,Kaleci,Avustralya
91920,Jim Leighton,Manchester United,1990,Kaleci,İskoçya
104635,Steve Bruce,Manchester United,1990,Stoper,İngiltere
106917,Gary Pallister,Manchester United,1990,Stoper,İngiltere
170379,Neil Whitworth,Manchester United,1990,Stoper,İngiltere
4280,Denis Irwin,Manchester United,1990,Sol Bek,İrlanda
117755,Mal Donaghy,Manchester United,1990,Sol Bek,Kuzey İrlanda
176025,Lee Martin,Manchester United,1990,Sol Bek,İngiltere
117188,Viv Anderson,Manchester United,1990,Sağ Bek,İngiltere
176007,Clayton Blackmore,Manchester United,1990,Sağ Bek,Galler
176018,Mike Phelan,Manchester United,1990,Ön Libero,İngiltere
36737,Darren Ferguson,Manchester United,1990,Merkez Orta Saha,İskoçya
3248,Paul Ince,Manchester United,1990,Merkez Orta Saha,İngiltere
101382,Bryan Robson,Manchester United,1990,Merkez Orta Saha,İngiltere
3742,Andrey Kanchelskis,Manchester United,1990,Orta Saha Sağ,Rusya
101329,Neil Webb,Manchester United,1990,Orta Saha Sağ,İngiltere
3406,Ryan Giggs,Manchester United,1990,Orta Saha Sol,Galler
107229,Lee Sharpe,Manchester United,1990,Orta Saha Sol,İngiltere
8022,Mark Hughes,Manchester United,1990,Forvet Arkası,Galler
101130,Brian McClair,Manchester United,1990,Forvet Arkası,İskoçya
13644,Mark Robins,Manchester United,1990,Santrafor,İngiltere
176638,Paul Wratten,Manchester United,1990,Forvet,İngiltere
13547,Gary Walsh,Manchester United,1991,Kaleci,İngiltere
3465,Peter Schmeichel,Manchester United,1991,Kaleci,Danimarka
91920,Jim Leighton,Manchester United,1991,Kaleci,İskoçya
176637,Ian Wilkinson,Manchester United,1991,Kaleci,İngiltere
104635,Steve Bruce,Manchester United,1991,Stoper,İngiltere
106917,Gary Pallister,Manchester United,1991,Stoper,İngiltere
4280,Denis Irwin,Manchester United,1991,Sol Bek,İrlanda
117755,Mal Donaghy,Manchester United,1991,Sol Bek,Kuzey İrlanda
176025,Lee Martin,Manchester United,1991,Sol Bek,İngiltere
101381,Paul Parker,Manchester United,1991,Sağ Bek,İngiltere
176007,Clayton Blackmore,Manchester United,1991,Sağ Bek,Galler
176018,Mike Phelan,Manchester United,1991,Ön Libero,İngiltere
3248,Paul Ince,Manchester United,1991,Merkez Orta Saha,İngiltere
101382,Bryan Robson,Manchester United,1991,Merkez Orta Saha,İngiltere
3742,Andrey Kanchelskis,Manchester United,1991,Orta Saha Sağ,Rusya
101329,Neil Webb,Manchester United,1991,Orta Saha Sağ,İngiltere
3406,Ryan Giggs,Manchester United,1991,Orta Saha Sol,Galler
107229,Lee Sharpe,Manchester United,1991,Orta Saha Sol,İngiltere
8022,Mark Hughes,Manchester United,1991,Forvet Arkası,Galler
101130,Brian McClair,Manchester United,1991,Forvet Arkası,İskoçya
13644,Mark Robins,Manchester United,1991,Santrafor,İngiltere
170381,Colin McKee,Manchester United,1991,Santrafor,İskoçya
13547,Gary Walsh,Manchester United,1992,Kaleci,İngiltere
3465,Peter Schmeichel,Manchester United,1992,Kaleci,Danimarka
104635,Steve Bruce,Manchester United,1992,Stoper,İngiltere
106917,Gary Pallister,Manchester United,1992,Stoper,İngiltere
176025,Lee Martin,Manchester United,1992,Sol Bek,İngiltere
4280,Denis Irwin,Manchester United,1992,Sol Bek,İrlanda
101381,Paul Parker,Manchester United,1992,Sağ Bek,İngiltere
176007,Clayton Blackmore,Manchester United,1992,Sağ Bek,Galler
3403,Gary Neville,Manchester United,1992,Sağ Bek,İngiltere
3543,Nicky Butt,Manchester United,1992,Ön Libero,İngiltere
176018,Mike Phelan,Manchester United,1992,Ön Libero,İngiltere
36737,Darren Ferguson,Manchester United,1992,Merkez Orta Saha,İskoçya
3248,Paul Ince,Manchester United,1992,Merkez Orta Saha,İngiltere
101382,Bryan Robson,Manchester United,1992,Merkez Orta Saha,İngiltere
101329,Neil Webb,Manchester United,1992,Orta Saha Sağ,İngiltere
3742,Andrey Kanchelskis,Manchester United,1992,Orta Saha Sağ,Rusya
3139,David Beckham,Manchester United,1992,Orta Saha Sağ,İngiltere
3827,Keith Gillespie,Manchester United,1992,Orta Saha Sağ,Kuzey İrlanda
107229,Lee Sharpe,Manchester United,1992,Orta Saha Sol,İngiltere
3406,Ryan Giggs,Manchester United,1992,Orta Saha Sol,Galler
176635,Danny Wallace,Manchester United,1992,Sol Kanat,İngiltere
12000,Éric Cantona,Manchester United,1992,Forvet Arkası,Fransa
101130,Brian McClair,Manchester United,1992,Forvet Arkası,İskoçya
8022,Mark Hughes,Manchester United,1992,Forvet Arkası,Galler
3763,Dion Dublin,Manchester United,1992,Santrafor,İngiltere
176019,Les Sealey,Manchester United,1993,Kaleci,İngiltere
13547,Gary Walsh,Manchester United,1993,Kaleci,İngiltere
3465,Peter Schmeichel,Manchester United,1993,Kaleci,Danimarka
104635,Steve Bruce,Manchester United,1993,Stoper,İngiltere
106917,Gary Pallister,Manchester United,1993,Stoper,İngiltere
150434,Chris Casper,Manchester United,1993,Stoper,İngiltere
170379,Neil Whitworth,Manchester United,1993,Stoper,İngiltere
4280,Denis Irwin,Manchester United,1993,Sol Bek,İrlanda
176025,Lee Martin,Manchester United,1993,Sol Bek,İngiltere
101381,Paul Parker,Manchester United,1993,Sağ Bek,İngiltere
176007,Clayton Blackmore,Manchester United,1993,Sağ Bek,Galler
3403,Gary Neville,Manchester United,1993,Sağ Bek,İngiltere
150458,John O'Kane,Manchester United,1993,Sağ Bek,İngiltere
3543,Nicky Butt,Manchester United,1993,Ön Libero,İngiltere
176018,Mike Phelan,Manchester United,1993,Ön Libero,İngiltere
36737,Darren Ferguson,Manchester United,1993,Merkez Orta Saha,İskoçya
3248,Paul Ince,Manchester United,1993,Merkez Orta Saha,İngiltere
101382,Bryan Robson,Manchester United,1993,Merkez Orta Saha,İngiltere
3396,Roy Keane,Manchester United,1993,Merkez Orta Saha,İrlanda
176017,Craig Lawton,Manchester United,1993,Merkez Orta Saha,Galler
3397,Paul Scholes,Manchester United,1993,Merkez Orta Saha,İngiltere
3742,Andrey Kanchelskis,Manchester United,1993,Orta Saha Sağ,Rusya
3139,David Beckham,Manchester United,1993,Orta Saha Sağ,İngiltere
3827,Keith Gillespie,Manchester United,1993,Orta Saha Sağ,Kuzey İrlanda
107229,Lee Sharpe,Manchester United,1993,Orta Saha Sol,İngiltere
3406,Ryan Giggs,Manchester United,1993,Orta Saha Sol,Galler
16727,Ben Thornley,Manchester United,1993,Sol Kanat,İngiltere
