OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
168575,Gaëtan Huard,Marsilya,1990,Kaleci,Fransa
173707,Pascal Olmeta,Marsilya,1990,Kaleci,Fransa
467947,Alain Casanova,Marsilya,1990,Kaleci,Fransa
101109,Basile Boli,Marsilya,1990,Stoper,Fransa
101110,Bernard Casoni,Marsilya,1990,Stoper,Fransa
126890,Carlos Mozer,Marsilya,1990,Stoper,Brezilya
104060,Éric Di Meco,Marsilya,1990,Sol Bek,Fransa
117485,William Ayache,Marsilya,1990,Sol Bek,Fransa
101108,Manuel Amoros,Marsilya,1990,Sağ Bek,Fransa
180372,Éric Mura,Marsilya,1990,Sağ Bek,Fransa
408023,Bertrand Reuzeau,Marsilya,1990,Sağ Bek,Fransa
171818,Laurent Fournier,Marsilya,1990,Ön Libero,Fransa
180346,Bruno Germain,Marsilya,1990,Ön Libero,Fransa
180371,Bernard Pardo,Marsilya,1990,Ön Libero,Fransa
117501,Jean Tigana,Marsilya,1990,Merkez Orta Saha,Fransa
6657,Abédi Pelé,Marsilya,1990,On Numara,Gana
102704,Dragan Stojkovic,Marsilya,1990,On Numara,Sırbistan
117503,Philippe Vercruysse,Marsilya,1990,On Numara,Fransa
101385,Chris Waddle,Marsilya,1990,Sağ Kanat,İngiltere
12000,Éric Cantona,Marsilya,1990,Forvet Arkası,Fransa
17168,Jean-Pierre Papin,Marsilya,1990,Santrafor,Fransa
180373,Éric Lada,Marsilya,1990,Forvet,Fransa
173707,Pascal Olmeta,Marsilya,1991,Kaleci,Fransa
467947,Alain Casanova,Marsilya,1991,Kaleci,Fransa
101109,Basile Boli,Marsilya,1991,Stoper,Fransa
101110,Bernard Casoni,Marsilya,1991,Stoper,Fransa
126890,Carlos Mozer,Marsilya,1991,Stoper,Brezilya
104060,Éric Di Meco,Marsilya,1991,Sol Bek,Fransa
156975,Jean-Christophe Marquet,Marsilya,1991,Sol Bek,Fransa
51776,Jocelyn Angloma,Marsilya,1991,Sağ Bek,Guadeloupe
101108,Manuel Amoros,Marsilya,1991,Sağ Bek,Fransa
158081,Pascal Baills,Marsilya,1991,Sağ Bek,Fransa
75553,Didier Deschamps,Marsilya,1991,Ön Libero,Fransa
152765,Patrice Eyraud,Marsilya,1991,Ön Libero,Fransa
4148,Alain Boghossian,Marsilya,1991,Merkez Orta Saha,Fransa
101113,Jean-Philippe Durand,Marsilya,1991,Merkez Orta Saha,Fransa
101119,Franck Sauzée,Marsilya,1991,Merkez Orta Saha,Fransa
101328,Trevor Steven,Marsilya,1991,Orta Saha Sağ,İngiltere
6657,Abédi Pelé,Marsilya,1991,On Numara,Gana
101385,Chris Waddle,Marsilya,1991,Sağ Kanat,İngiltere
17168,Jean-Pierre Papin,Marsilya,1991,Santrafor,Fransa
21321,Marc Libbra,Marsilya,1991,Santrafor,Fransa
117504,Daniel Xuereb,Marsilya,1991,Santrafor,Fransa
180373,Éric Lada,Marsilya,1991,Forvet,Fransa
3289,Fabien Barthez,Marsilya,1992,Kaleci,Fransa
173707,Pascal Olmeta,Marsilya,1992,Kaleci,Fransa
101109,Basile Boli,Marsilya,1992,Stoper,Fransa
3154,Marcel Desailly,Marsilya,1992,Stoper,Fransa
101110,Bernard Casoni,Marsilya,1992,Stoper,Fransa
104060,Éric Di Meco,Marsilya,1992,Sol Bek,Fransa
156975,Jean-Christophe Marquet,Marsilya,1992,Sol Bek,Fransa
101108,Manuel Amoros,Marsilya,1992,Sağ Bek,Fransa
51776,Jocelyn Angloma,Marsilya,1992,Sağ Bek,Guadeloupe
75553,Didier Deschamps,Marsilya,1992,Ön Libero,Fransa
174458,Jean-Christophe Thomas,Marsilya,1992,Ön Libero,Fransa
173685,Jean-Jacques Eydelie,Marsilya,1992,Ön Libero,Fransa
101119,Franck Sauzée,Marsilya,1992,Merkez Orta Saha,Fransa
101113,Jean-Philippe Durand,Marsilya,1992,Merkez Orta Saha,Fransa
79567,Rafa Martín Vázquez,Marsilya,1992,On Numara,İspanya
102704,Dragan Stojkovic,Marsilya,1992,On Numara,Sırbistan
6657,Abédi Pelé,Marsilya,1992,On Numara,Gana
117491,Jean-Marc Ferreri,Marsilya,1992,On Numara,Fransa
69814,Igor Dobrovolskiy,Marsilya,1992,On Numara,Rusya
102614,François Omam-Biyik,Marsilya,1992,Santrafor,Kamerun
3571,Alen Bokšić,Marsilya,1992,Santrafor,Hırvatistan
13775,Rudi Völler,Marsilya,1992,Santrafor,Almanya
3289,Fabien Barthez,Marsilya,1993,Kaleci,Fransa
12764,Gilles Rousset,Marsilya,1993,Kaleci,Fransa
233753,Thomas Videau,Marsilya,1993,Kaleci,Fransa
6979,William Prunier,Marsilya,1993,Stoper,Fransa
3154,Marcel Desailly,Marsilya,1993,Stoper,Fransa
101109,Basile Boli,Marsilya,1993,Stoper,Fransa
101110,Bernard Casoni,Marsilya,1993,Stoper,Fransa
104060,Éric Di Meco,Marsilya,1993,Sol Bek,Fransa
23935,Hamada Jambay,Marsilya,1993,Sağ Bek,Madagaskar
5694,Pascal Fugier,Marsilya,1993,Sağ Bek,Fransa
51776,Jocelyn Angloma,Marsilya,1993,Sağ Bek,Guadeloupe
75553,Didier Deschamps,Marsilya,1993,Ön Libero,Fransa
152838,Cyril Revillet,Marsilya,1993,Orta Saha,Fransa
