OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
633029,Ayhan Yakar,Mersin İdmanyurdu,1990,Kaleci,Türkiye
822974,Atıf Öztoprak,Mersin İdmanyurdu,1990,Kaleci,Türkiye
827447,Yunus Tanış,Mersin İdmanyurdu,1990,Kaleci,Türkiye
958233,İbrahim Örenç,Mersin İdmanyurdu,1990,Kaleci,Türkiye
577972,Ersin Komaç,Mersin İdmanyurdu,1990,Defans,Türkiye
615067,Süleyman Can,Mersin İdmanyurdu,1990,Defans,Türkiye
683104,Mehmet Diner,Mersin İdmanyurdu,1990,Defans,Türkiye
819671,Kaya Çalışkan,Mersin İdmanyurdu,1990,Defans,Türkiye
822992,Osman Güler,Mersin İdmanyurdu,1990,Libero,Türkiye
826482,Erkan Kahraman,Mersin İdmanyurdu,1990,Defans,Türkiye
577971,Cengizhan Köksal,Mersin İdmanyurdu,1990,Sol Bek,Türkiye
586374,Serbay Yengel,Mersin İdmanyurdu,1990,Sol Bek,Türkiye
586395,Selçuk Yiğitlik,Mersin İdmanyurdu,1990,Sağ Bek,Türkiye
298551,Özcan Kızıltan,Mersin İdmanyurdu,1990,Orta Saha,Türkiye
573996,Sinan Aydın,Mersin İdmanyurdu,1990,Orta Saha,Türkiye
583573,Ergün Aytekin,Mersin İdmanyurdu,1990,Orta Saha,Türkiye
597918,Fuhat Yüksel,Mersin İdmanyurdu,1990,Orta Saha,Türkiye
632221,Kurthan Yılmaz,Mersin İdmanyurdu,1990,Orta Saha,Türkiye
672058,Mesut Bilir,Mersin İdmanyurdu,1990,Orta Saha,Türkiye
586391,Şenol Kaba,Mersin İdmanyurdu,1990,Merkez Orta Saha,Türkiye
581064,Necmettin Sert,Mersin İdmanyurdu,1990,On Numara,Türkiye
426959,Sinan Turhan,Mersin İdmanyurdu,1990,Santrafor,Türkiye
574024,Cihat Metin,Mersin İdmanyurdu,1990,Santrafor,Türkiye
574025,Neşat Kılıç,Mersin İdmanyurdu,1990,Santrafor,Türkiye
731303,Yasin Evkuran,Mersin İdmanyurdu,1990,Forvet,Türkiye
826486,Tamer Avcı,Mersin İdmanyurdu,1990,Forvet,Türkiye
827455,Metin Erbilmiş,Mersin İdmanyurdu,1990,Forvet,Türkiye
950430,Ayhan Kaya,Mersin İdmanyurdu,1990,Forvet,Türkiye
958237,Naci Özen,Mersin İdmanyurdu,1990,Forvet,Türkiye
633029,Ayhan Yakar,Mersin İdmanyurdu,1991,Kaleci,Türkiye
822974,Atıf Öztoprak,Mersin İdmanyurdu,1991,Kaleci,Türkiye
827447,Yunus Tanış,Mersin İdmanyurdu,1991,Kaleci,Türkiye
958233,İbrahim Örenç,Mersin İdmanyurdu,1991,Kaleci,Türkiye
683104,Mehmet Diner,Mersin İdmanyurdu,1991,Defans,Türkiye
822988,Faruk Özbekir,Mersin İdmanyurdu,1991,Defans,Türkiye
822992,Osman Güler,Mersin İdmanyurdu,1991,Libero,Türkiye
823126,Aytümen Akyıldız,Mersin İdmanyurdu,1991,Defans,Türkiye
827449,Tuncay Şeker,Mersin İdmanyurdu,1991,Defans,Türkiye
